symbol,date,time,open,high,low,close,volume
AAPL,2026-09-02,09:30,326.97,328.4,326.75,327.446,1605102
AAPL,2026-09-02,09:31,327.365,328.2499,325.51,326.005,275484
AAPL,2026-09-02,09:32,325.97,326.625,325.83,326.4577,155502
AAPL,2026-09-02,09:33,326.43,327.258,326.05,326.5299,147809
AAPL,2026-09-02,09:34,326.505,326.601,325.6,325.63,131011
AAPL,2026-09-02,09:35,325.6658,325.6658,324.7,325.21,273079
AAPL,2026-09-02,09:36,325.185,325.34,324.205,324.275,152837
AAPL,2026-09-02,09:37,324.289,324.7859,324.1733,324.39,100885
AAPL,2026-09-02,09:38,324.395,324.395,324.07,324.26,112928
AAPL,2026-09-02,09:39,324.235,325.09,324.23,325.01,130059
AAPL,2026-09-02,09:40,325.01,325.0383,324.4,324.86,138715
AAPL,2026-09-02,09:41,324.87,325.29,324.81,325.09,118037
AAPL,2026-09-02,09:42,325.125,325.265,324.7375,324.87,111153
AAPL,2026-09-02,09:43,324.87,325.1,324.62,324.87,120403
AAPL,2026-09-02,09:44,324.8868,325.5,324.88,325.45,97135
AAPL,2026-09-02,09:45,325.455,325.48,324.66,325.06,170402
AAPL,2026-09-02,09:46,325.06,325.3,324.69,325.25,157277
AAPL,2026-09-02,09:47,325.216,325.5749,325.2,325.24,81853
AAPL,2026-09-02,09:48,325.2214,325.355,324.76,324.8,101773
AAPL,2026-09-02,09:49,324.76,324.84,324.52,324.545,108245
AAPL,2026-09-02,09:50,324.545,325.134,324.46,324.92,115188
AAPL,2026-09-02,09:51,324.95,325.0666,324.63,324.6501,74316
AAPL,2026-09-02,09:52,324.6501,325.18,324.65,325.12,142315
AAPL,2026-09-02,09:53,325.115,325.36,324.98,325.33,68428
AAPL,2026-09-02,09:54,325.31,325.33,324.85,325.005,97606
AAPL,2026-09-02,09:55,325.01,325.03,324.52,324.7,102253
AAPL,2026-09-02,09:56,324.68,325.31,324.44,325.06,106657
AAPL,2026-09-02,09:57,325.06,325.41,325.0409,325.4,92128
AAPL,2026-09-02,09:58,325.38,325.55,325.255,325.365,93932
AAPL,2026-09-02,09:59,325.34,325.43,325.1,325.19,102090
AAPL,2026-09-02,10:00,325.16,325.185,324.545,324.81,646387
AAPL,2026-09-02,10:01,324.825,325.165,324.745,324.9,77078
AAPL,2026-09-02,10:02,324.8561,325.1158,324.67,324.79,74728
AAPL,2026-09-02,10:03,324.74,324.76,324.126,324.18,126279
AAPL,2026-09-02,10:04,324.17,324.3295,323.94,323.965,104351
AAPL,2026-09-02,10:05,323.94,324.0595,323.53,323.61,130079
AAPL,2026-09-02,10:06,323.59,324.15,323.59,324.0351,119727
AAPL,2026-09-02,10:07,324.02,324.1999,323.71,324.08,86720
AAPL,2026-09-02,10:08,324.11,324.4995,324.07,324.4299,93587
AAPL,2026-09-02,10:09,324.42,324.42,324.16,324.2,106216
AAPL,2026-09-02,10:10,324.25,324.36,323.537,323.66,136534
AAPL,2026-09-02,10:11,323.64,324.1,323.625,323.8026,78310
AAPL,2026-09-02,10:12,323.79,323.9499,323.6101,323.75,59011
AAPL,2026-09-02,10:13,323.74,324.06,323.63,323.89,68057
AAPL,2026-09-02,10:14,323.91,324.15,323.74,323.99,59347
AAPL,2026-09-02,10:15,323.97,324.07,323.71,324.03,61620
AAPL,2026-09-02,10:16,324.0115,324.18,323.97,324.1599,44302
AAPL,2026-09-02,10:17,324.15,324.3,324,324.025,85945
AAPL,2026-09-02,10:18,324.04,324.16,323.73,323.935,58508
AAPL,2026-09-02,10:19,323.96,324.22,323.7848,323.7848,50078
AAPL,2026-09-02,10:20,323.8,324.1092,323.6,324.086,64273
AAPL,2026-09-02,10:21,324.08,324.3,323.93,324.0736,52712
AAPL,2026-09-02,10:22,324.0101,324.08,323.83,324.04,50602
AAPL,2026-09-02,10:23,324.045,324.17,323.84,324.11,63301
AAPL,2026-09-02,10:24,324.13,324.22,324.035,324.075,31651
AAPL,2026-09-02,10:25,324.08,324.18,324.03,324.16,37201
AAPL,2026-09-02,10:26,324.18,324.54,324.18,324.53,90422
AAPL,2026-09-02,10:27,324.53,324.6,324.32,324.575,77222
AAPL,2026-09-02,10:28,324.59,324.8182,324.43,324.8182,67782
AAPL,2026-09-02,10:29,324.815,324.95,324.5,324.57,53938
AAPL,2026-09-02,10:30,324.585,324.6,324,324.11,95873
AAPL,2026-09-02,10:31,324.13,324.7199,324.09,324.675,64722
AAPL,2026-09-02,10:32,324.69,324.77,324.36,324.36,54267
AAPL,2026-09-02,10:33,324.38,324.43,324.1701,324.21,36308
AAPL,2026-09-02,10:34,324.26,324.37,324.05,324.07,49514
AAPL,2026-09-02,10:35,324.07,324.2399,324.0205,324.16,52199
AAPL,2026-09-02,10:36,324.17,324.23,324.03,324.075,40130
AAPL,2026-09-02,10:37,324.062,324.4708,324.062,324.47,42067
AAPL,2026-09-02,10:38,324.45,324.6,324.38,324.54,39916
AAPL,2026-09-02,10:39,324.56,324.57,324.4,324.56,50460
AAPL,2026-09-02,10:40,324.57,324.7,324.39,324.7,63853
AAPL,2026-09-02,10:41,324.69,324.75,324.61,324.665,53178
AAPL,2026-09-02,10:42,324.69,324.765,324.61,324.6299,41027
AAPL,2026-09-02,10:43,324.61,324.68,324.415,324.57,51935
AAPL,2026-09-02,10:44,324.57,324.84,324.56,324.725,38463
AAPL,2026-09-02,10:45,324.727,324.79,324.55,324.58,46675
AAPL,2026-09-02,10:46,324.615,324.89,324.57,324.85,83449
AAPL,2026-09-02,10:47,324.84,325.08,324.82,325.08,74715
AAPL,2026-09-02,10:48,325.04,325.06,324.67,324.912,70268
AAPL,2026-09-02,10:49,324.915,324.915,324.59,324.75,51017
AAPL,2026-09-02,10:50,324.73,324.77,324.5205,324.62,43110
AAPL,2026-09-02,10:51,324.61,324.71,324.49,324.61,58930
AAPL,2026-09-02,10:52,324.62,324.74,324.53,324.62,42007
AAPL,2026-09-02,10:53,324.62,324.63,324.4289,324.44,76831
AAPL,2026-09-02,10:54,324.47,324.5274,324.15,324.205,80011
AAPL,2026-09-02,10:55,324.205,324.48,324.1755,324.48,37877
AAPL,2026-09-02,10:56,324.48,324.6,324.4425,324.47,32757
AAPL,2026-09-02,10:57,324.465,324.68,324.4301,324.6351,69448
AAPL,2026-09-02,10:58,324.64,324.75,324.49,324.59,39813
AAPL,2026-09-02,10:59,324.595,324.74,324.5717,324.6191,37361
AAPL,2026-09-02,11:00,324.65,324.825,324.6,324.67,48376
AAPL,2026-09-02,11:01,324.66,324.895,324.66,324.72,35662
AAPL,2026-09-02,11:02,324.71,324.86,324.71,324.86,26802
AAPL,2026-09-02,11:03,324.86,324.945,324.8175,324.8801,35868
AAPL,2026-09-02,11:04,324.87,324.87,324.39,324.4024,50606
AAPL,2026-09-02,11:05,324.4,324.42,324.27,324.37,31172
AAPL,2026-09-02,11:06,324.365,324.62,324.345,324.595,47684
AAPL,2026-09-02,11:07,324.605,324.665,324.4227,324.585,34252
AAPL,2026-09-02,11:08,324.57,324.67,324.39,324.67,26403
AAPL,2026-09-02,11:09,324.67,324.68,324.355,324.39,37887
AAPL,2026-09-02,11:10,324.4,324.4027,324.11,324.22,37173
AAPL,2026-09-02,11:11,324.22,324.56,324.22,324.54,42228
AAPL,2026-09-02,11:12,324.52,324.6,324.44,324.48,25302
AAPL,2026-09-02,11:13,324.465,324.465,324.26,324.325,45753
AAPL,2026-09-02,11:14,324.33,324.46,324.32,324.46,23980
AAPL,2026-09-02,11:15,324.48,324.75,324.4501,324.72,27728
AAPL,2026-09-02,11:16,324.735,324.82,324.69,324.8,36586
AAPL,2026-09-02,11:17,324.795,324.8,324.58,324.6611,36833
AAPL,2026-09-02,11:18,324.7,324.8999,324.68,324.89,28521
AAPL,2026-09-02,11:19,324.8924,325.21,324.83,325.21,119179
AAPL,2026-09-02,11:20,325.19,325.21,324.98,325.055,72372
AAPL,2026-09-02,11:21,325.055,325.25,324.96,325.175,42496
AAPL,2026-09-02,11:22,325.2,325.26,325.14,325.19,55286
AAPL,2026-09-02,11:23,325.18,325.32,325.155,325.2477,62076
AAPL,2026-09-02,11:24,325.255,325.585,325.2101,325.48,67422
AAPL,2026-09-02,11:25,325.5,325.868,325.47,325.86,75802
AAPL,2026-09-02,11:26,325.87,325.96,325.85,325.91,81626
AAPL,2026-09-02,11:27,325.91,325.915,325.56,325.67,69918
AAPL,2026-09-02,11:28,325.6608,325.8499,325.6608,325.79,38291
AAPL,2026-09-02,11:29,325.7945,326.55,325.75,326.55,228612
AAPL,2026-09-02,11:30,326.53,326.76,326.4501,326.6601,144364
AAPL,2026-09-02,11:31,326.665,326.9599,326.51,326.9599,268682
AAPL,2026-09-02,11:32,326.97,327.055,326.8,326.985,147388
AAPL,2026-09-02,11:33,326.96,327.005,326.7201,326.91,87916
AAPL,2026-09-02,11:34,326.91,326.95,326.69,326.7126,69412
AAPL,2026-09-02,11:35,326.73,326.765,326.1609,326.275,134502
AAPL,2026-09-02,11:36,326.255,326.78,326.24,326.735,149686
AAPL,2026-09-02,11:37,326.74,326.9499,326.65,326.8311,82089
AAPL,2026-09-02,11:38,326.84,326.96,326.66,326.855,76771
AAPL,2026-09-02,11:39,326.85,326.88,326.5185,326.7,90478
AAPL,2026-09-02,11:40,326.6963,326.725,326.2181,326.29,63764
AAPL,2026-09-02,11:41,326.29,326.34,325.57,325.66,125006
AAPL,2026-09-02,11:42,325.665,325.7,325.183,325.6,113522
AAPL,2026-09-02,11:43,325.6,325.61,325.2201,325.3,77168
AAPL,2026-09-02,11:44,325.31,325.385,324.9101,325.115,362866
AAPL,2026-09-02,11:45,325.09,325.2671,325.02,325.0783,41910
AAPL,2026-09-02,11:46,325.055,325.4198,324.99,325.39,73288
AAPL,2026-09-02,11:47,325.4199,325.4899,324.8001,324.825,92021
AAPL,2026-09-02,11:48,324.85,324.85,324.34,324.45,115478
AAPL,2026-09-02,11:49,324.4301,324.46,324,324.14,91865
AAPL,2026-09-02,11:50,324.15,324.26,323.95,323.98,300818
AAPL,2026-09-02,11:51,323.91,324.22,323.895,324.125,73131
AAPL,2026-09-02,11:52,324.11,324.525,324.09,324.43,80595
AAPL,2026-09-02,11:53,324.43,324.5199,324.32,324.49,50677
AAPL,2026-09-02,11:54,324.5,324.655,324.35,324.55,68650
AAPL,2026-09-02,11:55,324.57,324.66,324.33,324.39,77210
AAPL,2026-09-02,11:56,324.375,324.49,324.36,324.395,37501
AAPL,2026-09-02,11:57,324.39,324.61,324.365,324.47,48627
AAPL,2026-09-02,11:58,324.47,325.17,324.42,325.13,73739
AAPL,2026-09-02,11:59,325.125,325.125,324.8,325.01,58287
AAPL,2026-09-02,12:00,325.01,325.36,324.955,325.34,58896
AAPL,2026-09-02,12:01,325.34,325.467,325.22,325.3,116096
AAPL,2026-09-02,12:02,325.3,325.68,325.285,325.645,95603
AAPL,2026-09-02,12:03,325.635,325.6595,325.325,325.6389,54272
AAPL,2026-09-02,12:04,325.64,325.86,325.5826,325.855,87339
AAPL,2026-09-02,12:05,325.855,325.8685,325.7,325.73,87193
AAPL,2026-09-02,12:06,325.745,325.98,325.74,325.94,68777
AAPL,2026-09-02,12:07,325.9505,326.067,325.89,326.05,460416
AAPL,2026-09-02,12:08,326.06,326.19,325.7001,325.7001,80931
AAPL,2026-09-02,12:09,325.715,325.85,325.67,325.76,76101
AAPL,2026-09-02,12:10,325.75,325.75,325.37,325.6885,69009
AAPL,2026-09-02,12:11,325.67,325.77,325.62,325.74,31572
AAPL,2026-09-02,12:12,325.7499,325.91,325.73,325.825,41335
AAPL,2026-09-02,12:13,325.82,325.94,325.7,325.82,68363
AAPL,2026-09-02,12:14,325.805,325.81,325.2616,325.3,58546
AAPL,2026-09-02,12:15,325.2755,325.33,324.97,325.12,72105
AAPL,2026-09-02,12:16,325.14,325.29,325.0907,325.2101,30390
AAPL,2026-09-02,12:17,325.21,325.21,324.93,325.01,44130
AAPL,2026-09-02,12:18,325.0111,325.11,324.71,324.71,92885
AAPL,2026-09-02,12:19,324.725,324.88,324.6183,324.84,155681
AAPL,2026-09-02,12:20,324.83,325.12,324.815,325.09,52501
AAPL,2026-09-02,12:21,325.0917,325.1,324.97,325.05,47509
AAPL,2026-09-02,12:22,325.03,325.06,324.87,324.88,32420
AAPL,2026-09-02,12:23,324.88,324.88,324.4,324.53,105202
AAPL,2026-09-02,12:24,324.53,324.5863,324.115,324.5851,94158
AAPL,2026-09-02,12:25,324.58,324.68,324.49,324.67,43812
