symbol,date,time,open,high,low,close,volume
ABBV,2026-09-02,09:30,262.7,262.7,261.84,262.02,92378
ABBV,2026-09-02,09:31,261.5,262.58,261.38,262.58,11787
ABBV,2026-09-02,09:32,261.905,262.61,261.69,261.69,17052
ABBV,2026-09-02,09:33,262.08,262.61,261.56,262.085,6138
ABBV,2026-09-02,09:34,262.305,262.41,261.47,262.065,23471
ABBV,2026-09-02,09:35,262.18,262.6,262.18,262.285,8312
ABBV,2026-09-02,09:36,262.285,262.75,262.285,262.585,14430
ABBV,2026-09-02,09:37,262.75,262.91,262.27,262.51,21154
ABBV,2026-09-02,09:38,262.52,262.6,262.135,262.1975,10919
ABBV,2026-09-02,09:39,262.165,262.165,261.77,261.77,9288
ABBV,2026-09-02,09:40,261.695,262,261.634,261.91,30019
ABBV,2026-09-02,09:41,262.01,262.97,261.95,262.795,17758
ABBV,2026-09-02,09:42,262.79,262.85,262.38,262.53,8039
ABBV,2026-09-02,09:43,262.379,262.535,262.275,262.275,4099
ABBV,2026-09-02,09:44,262.2,262.38,261.8,262.14,14707
ABBV,2026-09-02,09:45,262.03,262.15,261.05,261.26,19915
ABBV,2026-09-02,09:46,261.24,261.535,261.1278,261.23,10497
ABBV,2026-09-02,09:47,261.23,261.236,260.745,260.87,4759
ABBV,2026-09-02,09:48,260.9,260.92,260.18,260.33,8843
ABBV,2026-09-02,09:49,260.2323,260.51,259.805,259.805,7148
ABBV,2026-09-02,09:50,259.92,259.92,259.43,259.6,4664
ABBV,2026-09-02,09:51,259.9599,260.1,259.695,259.79,9336
ABBV,2026-09-02,09:52,259.82,259.94,259.74,259.915,2896
ABBV,2026-09-02,09:53,259.78,260.03,259.19,259.29,10339
ABBV,2026-09-02,09:54,259.28,259.57,259.28,259.445,5516
ABBV,2026-09-02,09:55,259.3,259.3772,259.11,259.26,2245
ABBV,2026-09-02,09:56,259.39,259.74,259.1501,259.385,26305
ABBV,2026-09-02,09:57,259.275,259.4456,258.94,259.25,7557
ABBV,2026-09-02,09:58,259.175,259.26,259.08,259.15,8278
ABBV,2026-09-02,09:59,259.145,259.39,259.145,259.335,8608
ABBV,2026-09-02,10:00,259.355,260.0631,259.27,260.0631,15283
ABBV,2026-09-02,10:01,259.98,260.679,259.98,260.34,17255
ABBV,2026-09-02,10:02,260.3,260.89,260.3,260.63,6625
ABBV,2026-09-02,10:03,260.74,260.74,260.3,260.62,4361
ABBV,2026-09-02,10:04,260.4975,260.545,260.25,260.3325,2281
ABBV,2026-09-02,10:05,260.335,260.78,260.335,260.68,8020
ABBV,2026-09-02,10:06,260.76,260.83,260.7,260.83,3154
ABBV,2026-09-02,10:07,260.62,260.67,260.3402,260.539,8568
ABBV,2026-09-02,10:08,260.455,260.56,260.09,260.09,4311
ABBV,2026-09-02,10:09,260.14,260.23,259.81,259.97,9684
ABBV,2026-09-02,10:10,259.98,260.17,259.81,259.93,12889
ABBV,2026-09-02,10:11,259.9696,259.9696,259.33,259.33,8220
ABBV,2026-09-02,10:12,259.3,259.635,259.3,259.6,4847
ABBV,2026-09-02,10:13,259.59,259.59,259.07,259.43,6681
ABBV,2026-09-02,10:14,259.33,259.6,259.33,259.41,12709
ABBV,2026-09-02,10:15,259.285,259.2925,259,259.12,3843
ABBV,2026-09-02,10:16,259.03,259.24,259.015,259.115,8399
