symbol,date,time,open,high,low,close,volume
ADBE,2026-09-08,09:30,262.805,262.805,260.25,260.4001,227417
ADBE,2026-09-08,09:31,260.635,261.345,259.5,259.7,51331
ADBE,2026-09-08,09:32,259.66,259.93,257.69,257.7852,39605
ADBE,2026-09-08,09:33,257.9701,258.545,257.5,257.51,35938
ADBE,2026-09-08,09:34,257.43,257.6638,256.51,256.8999,40208
ADBE,2026-09-08,09:35,256.7,257.75,256.7,257.36,44493
ADBE,2026-09-08,09:36,257.33,257.74,255.76,255.805,42437
ADBE,2026-09-08,09:37,255.75,256.1,255.31,255.53,35715
ADBE,2026-09-08,09:38,255.675,256.6797,255.63,256.425,23817
ADBE,2026-09-08,09:39,256.37,256.68,255.35,255.4492,36439
ADBE,2026-09-08,09:40,255.525,256.63,255.49,256.58,21346
ADBE,2026-09-08,09:41,256.44,256.679,256,256.375,16123
ADBE,2026-09-08,09:42,256.33,256.8,256.26,256.64,31549
ADBE,2026-09-08,09:43,256.71,256.8,256.09,256.3073,18141
ADBE,2026-09-08,09:44,256.395,256.395,255.53,255.72,22196
ADBE,2026-09-08,09:45,255.93,256.29,255.75,255.855,18700
ADBE,2026-09-08,09:46,255.73,256,255.53,255.87,19467
ADBE,2026-09-08,09:47,255.72,256.23,255.5,256.13,21566
ADBE,2026-09-08,09:48,256.09,256.26,255.55,255.63,23757
ADBE,2026-09-08,09:49,255.61,256.085,255.305,255.855,40768
ADBE,2026-09-08,09:50,255.77,256.6,255.73,256.285,19708
ADBE,2026-09-08,09:51,256,256.19,255.61,255.85,15630
ADBE,2026-09-08,09:52,255.76,255.8225,255.07,255.355,24596
ADBE,2026-09-08,09:53,255.25,255.67,255.17,255.3833,19930
ADBE,2026-09-08,09:54,255.4,256.1,255.25,255.86,22498
ADBE,2026-09-08,09:55,255.78,256.39,255.6,256.195,27035
ADBE,2026-09-08,09:56,256.2049,256.2049,255.532,255.98,24961
ADBE,2026-09-08,09:57,255.94,256.48,255.91,256.3,19164
ADBE,2026-09-08,09:58,256.31,256.31,255.8,255.925,20500
ADBE,2026-09-08,09:59,255.83,256.24,255.75,256.12,19538
ADBE,2026-09-08,10:00,256.11,257.0497,256.01,256.81,21913
ADBE,2026-09-08,10:01,256.795,256.92,256.41,256.41,15154
ADBE,2026-09-08,10:02,256.5999,256.695,255.92,256.1499,14681
ADBE,2026-09-08,10:03,256.12,256.23,255.9,255.985,11508
ADBE,2026-09-08,10:04,255.955,257.14,255.87,257.12,21045
ADBE,2026-09-08,10:05,257.155,257.64,256.99,257.62,16408
ADBE,2026-09-08,10:06,257.65,257.76,257.3662,257.55,13561
ADBE,2026-09-08,10:07,257.645,257.9799,257.56,257.95,10930
ADBE,2026-09-08,10:08,257.9,257.9,257.47,257.7,14305
ADBE,2026-09-08,10:09,257.7,257.7,256.87,256.87,9862
ADBE,2026-09-08,10:10,256.75,257.1356,256.6901,256.865,7493
ADBE,2026-09-08,10:11,256.805,256.85,256.3,256.3,6247
ADBE,2026-09-08,10:12,256.36,256.439,256.2,256.365,11512
ADBE,2026-09-08,10:13,256.57,256.8717,256.53,256.68,14529
ADBE,2026-09-08,10:14,256.56,256.6154,256.15,256.3078,10813
ADBE,2026-09-08,10:15,256.305,256.86,256.255,256.545,12493
ADBE,2026-09-08,10:16,256.545,256.66,256.36,256.5331,6920
ADBE,2026-09-08,10:17,256.465,256.74,256.39,256.5,5940
ADBE,2026-09-08,10:18,256.45,256.76,256.44,256.67,10834
ADBE,2026-09-08,10:19,256.73,256.79,256.39,256.72,16738
ADBE,2026-09-08,10:20,256.6135,256.93,256.6135,256.721,6558
ADBE,2026-09-08,10:21,256.825,256.825,256.43,256.76,7256
ADBE,2026-09-08,10:22,256.73,256.73,256.54,256.65,5921
ADBE,2026-09-08,10:23,256.56,256.9073,256.5195,256.8,8826
ADBE,2026-09-08,10:24,256.81,256.91,256.5801,256.5801,4606
ADBE,2026-09-08,10:25,256.675,257.04,256.675,256.805,17254
ADBE,2026-09-08,10:26,256.805,256.88,256.635,256.8,6342
ADBE,2026-09-08,10:27,256.67,256.67,256.055,256.1,11571
ADBE,2026-09-08,10:28,256.16,256.39,256.125,256.39,6812
ADBE,2026-09-08,10:29,256.43,256.61,256.23,256.48,12387
ADBE,2026-09-08,10:30,256.67,256.8,256.59,256.665,12560
ADBE,2026-09-08,10:31,256.61,257,256.52,256.63,10917
ADBE,2026-09-08,10:32,256.5501,256.82,256.55,256.68,6092
ADBE,2026-09-08,10:33,256.57,257.09,256.55,257.01,7914
ADBE,2026-09-08,10:34,257.02,257.42,257.02,257.34,9101
ADBE,2026-09-08,10:35,257.345,257.45,257.25,257.3,8853
ADBE,2026-09-08,10:36,257.355,257.43,257,257.115,16905
ADBE,2026-09-08,10:37,257.13,257.5,257.13,257.5,9794
ADBE,2026-09-08,10:38,257.45,257.64,257.41,257.64,9667
ADBE,2026-09-08,10:39,257.645,257.645,257.19,257.35,6298
ADBE,2026-09-08,10:40,257.35,257.35,256.93,257.12,11932
ADBE,2026-09-08,10:41,257.2399,257.24,257.0385,257.12,10021
ADBE,2026-09-08,10:42,257.07,257.12,256.81,256.89,7183
ADBE,2026-09-08,10:43,256.89,256.95,256.6,256.94,7403
ADBE,2026-09-08,10:44,256.8913,257.05,256.66,256.82,13403
ADBE,2026-09-08,10:45,256.91,257.05,256.72,256.785,4936
ADBE,2026-09-08,10:46,256.785,257.1972,256.64,257.07,13194
ADBE,2026-09-08,10:47,257.08,257.2,256.97,257.07,11714
ADBE,2026-09-08,10:48,257.115,257.145,256.885,257.14,4902
ADBE,2026-09-08,10:49,257,257.0921,256.7801,256.7801,4011
ADBE,2026-09-08,10:50,256.83,257.05,256.76,256.95,15306
ADBE,2026-09-08,10:51,256.95,256.95,256.55,256.56,15867
ADBE,2026-09-08,10:52,256.61,256.6848,256.4,256.64,12423
ADBE,2026-09-08,10:53,256.63,256.76,256.545,256.71,6296
ADBE,2026-09-08,10:54,256.735,256.735,256.59,256.6582,8319
ADBE,2026-09-08,10:55,256.6,256.955,256.57,256.91,10802
ADBE,2026-09-08,10:56,257.01,257.03,256.78,256.79,6586
ADBE,2026-09-08,10:57,256.75,256.85,256.66,256.825,9741
ADBE,2026-09-08,10:58,256.88,256.915,256.69,256.82,6439
ADBE,2026-09-08,10:59,256.7725,256.78,256.59,256.64,8581
ADBE,2026-09-08,11:00,256.64,257.1,256.5,256.965,12648
ADBE,2026-09-08,11:01,257.11,257.28,257.05,257.05,14119
ADBE,2026-09-08,11:02,257.075,257.1156,256.93,256.95,7358
ADBE,2026-09-08,11:03,257.05,257.37,257.045,257.36,12542
ADBE,2026-09-08,11:04,257.34,257.42,257.18,257.21,9064
ADBE,2026-09-08,11:05,257.205,257.63,257.12,257.5092,17536
ADBE,2026-09-08,11:06,257.497,257.6,257.31,257.31,8251
ADBE,2026-09-08,11:07,257.31,257.43,257.24,257.43,8207
ADBE,2026-09-08,11:08,257.43,257.66,257.41,257.5168,22238
ADBE,2026-09-08,11:09,257.525,257.76,257.44,257.66,11370
ADBE,2026-09-08,11:10,257.695,257.74,257.63,257.74,6727
ADBE,2026-09-08,11:11,257.72,257.95,257.72,257.945,7434
ADBE,2026-09-08,11:12,257.91,258.25,257.88,258.045,16425
ADBE,2026-09-08,11:13,258.0017,258.37,258.0017,258.3,16102
ADBE,2026-09-08,11:14,258.295,258.295,258.04,258.04,12934
ADBE,2026-09-08,11:15,258.02,258.265,258.01,258.265,12113
ADBE,2026-09-08,11:16,258.23,258.23,257.79,257.9,14008
ADBE,2026-09-08,11:17,257.945,257.97,257.82,257.9,7287
ADBE,2026-09-08,11:18,257.9,257.98,257.82,257.88,11518
ADBE,2026-09-08,11:19,257.78,257.795,257.5,257.5,9637
ADBE,2026-09-08,11:20,257.59,257.7199,257.44,257.53,9037
ADBE,2026-09-08,11:21,257.37,257.37,256.975,257,8481
ADBE,2026-09-08,11:22,257,257.04,256.87,256.9075,9934
ADBE,2026-09-08,11:23,256.94,257.095,256.8184,256.98,12691
ADBE,2026-09-08,11:24,256.87,257.4248,256.87,257.4248,21890
ADBE,2026-09-08,11:25,257.46,257.74,257.46,257.7099,7505
ADBE,2026-09-08,11:26,257.71,257.81,257.54,257.735,9038
ADBE,2026-09-08,11:27,257.795,257.795,257.5,257.59,9977
ADBE,2026-09-08,11:28,257.455,257.76,257.45,257.51,7398
ADBE,2026-09-08,11:29,257.51,257.9375,257.42,257.9375,10093
ADBE,2026-09-08,11:30,257.935,258.02,257.89,257.94,8285
ADBE,2026-09-08,11:31,257.94,258.025,257.88,258.005,12114
ADBE,2026-09-08,11:32,257.9701,258,257.74,257.945,6050
ADBE,2026-09-08,11:33,257.93,257.99,257.73,257.8799,6524
ADBE,2026-09-08,11:34,257.815,257.9488,257.71,257.87,7276
ADBE,2026-09-08,11:35,257.795,257.98,257.795,257.935,7014
ADBE,2026-09-08,11:36,257.9,257.935,257.7,257.87,18320
ADBE,2026-09-08,11:37,257.875,257.9,257.72,257.77,3870
ADBE,2026-09-08,11:38,257.77,257.86,257.69,257.7499,5004
ADBE,2026-09-08,11:39,257.64,257.72,257.52,257.536,6677
ADBE,2026-09-08,11:40,257.51,257.9307,257.5,257.9307,11337
ADBE,2026-09-08,11:41,257.81,258.3,257.81,258.14,21131
ADBE,2026-09-08,11:42,258.14,258.35,258.11,258.11,7690
ADBE,2026-09-08,11:43,258.1696,258.2,257.91,258.09,8171
ADBE,2026-09-08,11:44,258.25,258.35,258.0901,258.2358,5161
ADBE,2026-09-08,11:45,258.26,258.41,257.845,258.08,16372
ADBE,2026-09-08,11:46,258.02,258.02,257.6,257.6,11329
ADBE,2026-09-08,11:47,257.655,257.655,257.525,257.57,4684
ADBE,2026-09-08,11:48,257.615,257.76,257.58,257.76,3203
ADBE,2026-09-08,11:49,257.76,257.76,257.56,257.655,5962
ADBE,2026-09-08,11:50,257.6999,257.6999,257.545,257.545,3731
ADBE,2026-09-08,11:51,257.5206,258,257.41,257.895,6665
ADBE,2026-09-08,11:52,257.88,258.2576,257.88,258.09,8209
ADBE,2026-09-08,11:53,258.245,258.245,257.98,257.98,4721
ADBE,2026-09-08,11:54,257.92,257.985,257.8625,257.8625,5560
ADBE,2026-09-08,11:55,257.85,257.9,257.82,257.84,4202
ADBE,2026-09-08,11:56,257.82,257.96,257.8,257.86,4646
ADBE,2026-09-08,11:57,257.9,257.93,257.76,257.865,13176
ADBE,2026-09-08,11:58,257.83,257.87,257.73,257.7404,7326
ADBE,2026-09-08,11:59,257.78,257.78,257.15,257.41,9416
ADBE,2026-09-08,12:00,257.3872,257.43,257.2,257.26,14076
ADBE,2026-09-08,12:01,257.265,257.27,257.03,257.03,7428
ADBE,2026-09-08,12:02,257.06,257.0975,256.855,256.91,9101
ADBE,2026-09-08,12:03,256.88,257.12,256.86,257.06,7355
