symbol,date,time,open,high,low,close,volume
ADI,2026-09-02,09:30,355.54,355.75,354.05,354.3551,34132
ADI,2026-09-02,09:31,354.49,355.215,354.48,355.215,1775
ADI,2026-09-02,09:32,355.73,355.83,355.49,355.8,1390
ADI,2026-09-02,09:33,355.09,355.095,354.12,354.53,2927
ADI,2026-09-02,09:34,354.595,355.05,354.4501,354.765,2476
ADI,2026-09-02,09:35,354.77,354.77,354.05,354.05,5565
ADI,2026-09-02,09:36,354.34,354.625,354.01,354.48,2132
ADI,2026-09-02,09:37,354.625,355.22,354.625,354.64,3036
ADI,2026-09-02,09:38,354.71,354.74,354.71,354.735,1517
ADI,2026-09-02,09:39,355.32,355.43,355.0001,355.225,5619
ADI,2026-09-02,09:40,355.2631,355.56,354.99,355.39,5709
ADI,2026-09-02,09:41,355.23,355.78,355.23,355.49,4206
ADI,2026-09-02,09:42,355.25,355.25,354.42,354.44,2689
ADI,2026-09-02,09:43,353.99,354.365,353.8366,353.96,2101
ADI,2026-09-02,09:44,353.83,354.4,353.83,354.4,4627
ADI,2026-09-02,09:45,354.03,354.2325,353.23,353.2925,7335
ADI,2026-09-02,09:46,353.295,353.295,352.465,352.465,5598
ADI,2026-09-02,09:47,352.05,353.1,352.05,352.86,3625
ADI,2026-09-02,09:48,352.7,352.99,352.36,352.52,4507
ADI,2026-09-02,09:49,352.47,352.71,352.41,352.65,3464
ADI,2026-09-02,09:50,352.69,353.17,352.69,352.88,3316
ADI,2026-09-02,09:51,353.06,353.06,352.62,352.77,759
ADI,2026-09-02,09:52,352.72,352.8275,352.59,352.63,13164
ADI,2026-09-02,09:53,352.55,352.55,352.255,352.255,4820
ADI,2026-09-02,09:54,352.12,352.8,352.03,352.63,5585
ADI,2026-09-02,09:55,352.635,353.165,352.33,352.81,3628
ADI,2026-09-02,09:56,352.815,353.06,352.5807,352.75,5861
ADI,2026-09-02,09:57,352.6925,352.8678,352.47,352.71,4496
ADI,2026-09-02,09:58,352.68,352.8496,352.4801,352.72,4305
ADI,2026-09-02,09:59,352.725,353.33,352.7,353.26,20563
ADI,2026-09-02,10:00,353.165,353.21,352.79,353.21,11990
ADI,2026-09-02,10:01,353.27,353.56,353.07,353.4475,11040
ADI,2026-09-02,10:02,353.191,353.61,353.01,353.61,5466
ADI,2026-09-02,10:03,353.57,353.8,353.29,353.67,3824
ADI,2026-09-02,10:04,353.685,354.235,353.685,354.13,4881
ADI,2026-09-02,10:05,354.3,354.54,354.22,354.48,7344
ADI,2026-09-02,10:06,354.38,354.84,354.38,354.82,3670
ADI,2026-09-02,10:07,354.82,355.07,354.59,354.59,4290
ADI,2026-09-02,10:08,354.41,354.9399,354.22,354.635,2403
ADI,2026-09-02,10:09,354.75,355.4099,354.565,355.25,3593
ADI,2026-09-02,10:10,355.25,355.7601,355.25,355.75,2930
ADI,2026-09-02,10:11,355.81,356.115,355.74,356.115,2220
ADI,2026-09-02,10:12,356.4199,356.4199,355.85,356.25,2409
ADI,2026-09-02,10:13,356.42,356.64,356.3501,356.47,5554
ADI,2026-09-02,10:14,356.69,356.8495,356.44,356.8495,3032
ADI,2026-09-02,10:15,356.89,356.89,356.67,356.765,1167
ADI,2026-09-02,10:16,357.05,357.4195,356.911,357.4195,2319
ADI,2026-09-02,10:17,357.2783,357.685,357.21,357.685,5107
ADI,2026-09-02,10:18,357.69,358.41,357.69,357.95,3855
ADI,2026-09-02,10:19,357.79,358.1,357.79,357.945,1851
ADI,2026-09-02,10:20,357.8,358.1938,357.8,358.1938,5249
ADI,2026-09-02,10:21,358.065,358.31,357.8701,358.2475,6379
ADI,2026-09-02,10:22,358.58,358.66,358.37,358.44,4703
ADI,2026-09-02,10:23,358.375,358.375,357.94,358.04,6524
ADI,2026-09-02,10:24,357.95,358.03,357.6575,357.66,3465
ADI,2026-09-02,10:25,357.66,357.9599,357.64,357.86,3258
ADI,2026-09-02,10:26,357.95,358.35,357.95,358.34,2388
ADI,2026-09-02,10:27,358.36,358.46,358.21,358.45,2093
ADI,2026-09-02,10:28,358.305,358.89,358.305,358.88,3704
ADI,2026-09-02,10:29,359,359.075,358.78,358.78,2453
ADI,2026-09-02,10:30,358.965,359.02,358.68,358.795,2315
ADI,2026-09-02,10:31,358.825,359.16,358.825,359.0101,2231
ADI,2026-09-02,10:32,359.175,359.31,359.08,359.13,2436
ADI,2026-09-02,10:33,359.49,360.33,359.49,360.3,4120
ADI,2026-09-02,10:34,360.335,360.77,360.212,360.67,3788
ADI,2026-09-02,10:35,360.4,360.56,359.995,359.995,4172
ADI,2026-09-02,10:36,360.01,360.25,360.01,360.1,2641
ADI,2026-09-02,10:37,360.08,360.095,359.82,359.82,3578
ADI,2026-09-02,10:38,360.04,360.04,359.71,359.71,1920
ADI,2026-09-02,10:39,359.57,359.6,359.3489,359.5853,1553
ADI,2026-09-02,10:40,359.5675,359.5675,359.23,359.445,2293
ADI,2026-09-02,10:41,359.25,359.44,359.12,359.28,2571
ADI,2026-09-02,10:42,359.27,359.36,359.205,359.205,2418
ADI,2026-09-02,10:43,359.43,359.43,358.905,358.905,2049
ADI,2026-09-02,10:44,358.9969,358.9969,358.86,358.86,1372
ADI,2026-09-02,10:45,358.895,359.0099,358.53,358.53,2021
ADI,2026-09-02,10:46,358.51,358.68,358.38,358.68,4886
ADI,2026-09-02,10:47,358.77,358.81,358.65,358.65,1563
ADI,2026-09-02,10:48,358.65,358.65,358.2357,358.2357,2692
ADI,2026-09-02,10:49,358.345,358.66,358.345,358.66,1491
ADI,2026-09-02,10:50,358.715,358.76,358.51,358.51,2142
ADI,2026-09-02,10:51,358.44,358.7,358.44,358.6,1929
ADI,2026-09-02,10:52,358.48,358.83,358.45,358.605,2582
ADI,2026-09-02,10:53,358.625,358.65,358.625,358.63,737
ADI,2026-09-02,10:54,358.665,358.765,358.665,358.765,1028
ADI,2026-09-02,10:55,358.87,359.27,358.87,358.95,5091
ADI,2026-09-02,10:56,358.865,358.97,358.69,358.74,7920
ADI,2026-09-02,10:57,358.81,358.915,358.54,358.55,3569
ADI,2026-09-02,10:58,358.5375,358.5375,358,358,2793
ADI,2026-09-02,10:59,357.82,357.82,357.58,357.58,1689
ADI,2026-09-02,11:00,357.66,357.66,357.635,357.635,942
ADI,2026-09-02,11:01,357.59,357.59,357.37,357.38,1081
ADI,2026-09-02,11:02,357.4186,357.4186,357.28,357.39,2629
ADI,2026-09-02,11:03,357.28,357.48,357.16,357.455,2575
ADI,2026-09-02,11:04,357.5826,357.5826,357.2788,357.42,3234
ADI,2026-09-02,11:05,357.395,357.44,357.21,357.21,1948
ADI,2026-09-02,11:06,357.31,357.67,357.31,357.62,2117
ADI,2026-09-02,11:07,357.63,357.6988,357.26,357.26,7251
ADI,2026-09-02,11:08,357.36,357.89,357.36,357.83,4964
ADI,2026-09-02,11:09,357.94,358.01,357.76,358.01,3649
ADI,2026-09-02,11:10,358.01,358.01,357.83,357.905,1693
ADI,2026-09-02,11:11,357.89,358.01,357.75,357.92,3587
ADI,2026-09-02,11:12,358.02,358.17,357.5,357.5,5060
ADI,2026-09-02,11:13,357.645,357.72,357.575,357.575,1692
ADI,2026-09-02,11:14,357.71,357.94,357.71,357.89,2761
ADI,2026-09-02,11:15,357.935,358.17,357.935,358.17,1179
ADI,2026-09-02,11:16,358.06,358.28,358.06,358.28,1885
ADI,2026-09-02,11:17,358.29,358.54,358.265,358.475,4805
ADI,2026-09-02,11:18,358.475,358.475,358.1,358.22,1629
ADI,2026-09-02,11:19,358.38,358.38,358.17,358.17,1473
ADI,2026-09-02,11:20,358.05,358.05,357.77,358.035,4155
ADI,2026-09-02,11:21,358.035,358.095,357.86,357.86,1814
ADI,2026-09-02,11:22,357.93,357.97,357.7,357.82,3972
ADI,2026-09-02,11:23,357.835,358.22,357.71,357.74,13875
ADI,2026-09-02,11:24,357.57,357.8,357.57,357.67,1658
ADI,2026-09-02,11:25,357.615,358.03,357.615,358.03,4555
ADI,2026-09-02,11:26,357.92,357.96,357.8,357.8,1279
ADI,2026-09-02,11:27,357.88,357.99,357.69,357.82,12625
ADI,2026-09-02,11:28,357.85,358.08,357.82,357.82,7196
ADI,2026-09-02,11:29,358.07,358.07,357.77,357.8,7970
ADI,2026-09-02,11:30,357.73,358.13,357.73,358.08,7794
ADI,2026-09-02,11:31,358.09,358.2099,357.92,357.97,8997
ADI,2026-09-02,11:32,358.045,358.11,357.98,358.11,1930
ADI,2026-09-02,11:33,358.14,358.26,358.09,358.26,7496
ADI,2026-09-02,11:34,358.21,358.46,358.2,358.28,7171
ADI,2026-09-02,11:35,358.26,358.36,358.13,358.13,2477
ADI,2026-09-02,11:36,358.2,358.25,358.06,358.06,5499
ADI,2026-09-02,11:37,358.01,358.19,357.94,358.1,3430
ADI,2026-09-02,11:38,358.07,358.28,358.07,358.28,6962
ADI,2026-09-02,11:39,358.05,358.05,357.42,357.4318,5127
ADI,2026-09-02,11:40,357.465,357.615,357.465,357.51,2921
ADI,2026-09-02,11:41,357.525,357.65,357.39,357.64,3696
ADI,2026-09-02,11:42,357.6897,358.08,357.64,358.08,5783
ADI,2026-09-02,11:43,358.01,358.3,358.01,358.3,10569
ADI,2026-09-02,11:44,358.25,358.315,357.87,357.895,7337
ADI,2026-09-02,11:45,357.89,357.89,357.59,357.59,2689
ADI,2026-09-02,11:46,357.76,357.76,357.46,357.625,2334
ADI,2026-09-02,11:47,357.59,357.845,357.59,357.755,6145
ADI,2026-09-02,11:48,357.66,357.71,357.54,357.54,2179
ADI,2026-09-02,11:49,357.65,357.65,356.9,356.985,6471
ADI,2026-09-02,11:50,356.995,356.995,356.86,356.86,4504
ADI,2026-09-02,11:51,356.945,357.085,356.945,356.96,2384
ADI,2026-09-02,11:52,356.99,357.46,356.99,357.4,6291
ADI,2026-09-02,11:53,357.46,357.46,357.06,357.195,2971
ADI,2026-09-02,11:54,357.02,357.13,357.02,357.03,1177
ADI,2026-09-02,11:55,357.095,357.175,356.97,357.175,6115
ADI,2026-09-02,11:56,357.17,357.17,356.975,357.01,5936
ADI,2026-09-02,11:57,357.0213,357.21,357.0213,357.13,2287
ADI,2026-09-02,11:58,357.245,357.585,357.245,357.585,2733
ADI,2026-09-02,11:59,357.62,357.66,357.5,357.53,3768
ADI,2026-09-02,12:00,357.52,357.66,357.52,357.65,3650
ADI,2026-09-02,12:01,357.65,357.73,357.4,357.46,3816
ADI,2026-09-02,12:02,357.495,357.52,357.46,357.52,2064
ADI,2026-09-02,12:03,357.52,357.595,357.44,357.595,1314
ADI,2026-09-02,12:04,357.605,357.605,357.54,357.57,2087
ADI,2026-09-02,12:05,357.59,357.675,357.54,357.615,2554
ADI,2026-09-02,12:06,357.615,357.68,357.55,357.68,2099
ADI,2026-09-02,12:07,357.76,357.805,357.61,357.61,5889
ADI,2026-09-02,12:08,357.58,357.58,357.35,357.495,4108
ADI,2026-09-02,12:09,357.53,357.6329,357.26,357.335,4085
ADI,2026-09-02,12:10,357.385,357.56,357.36,357.455,1870
ADI,2026-09-02,12:11,357.49,357.55,357.17,357.315,13854
ADI,2026-09-02,12:12,357.315,357.435,357.23,357.37,5401
ADI,2026-09-02,12:13,357.37,357.37,357.15,357.15,2639
ADI,2026-09-02,12:14,357.265,357.55,357.1,357.51,5060
ADI,2026-09-02,12:15,357.58,357.5873,357.51,357.52,1910
ADI,2026-09-02,12:16,357.47,357.585,357.4,357.4,1580
ADI,2026-09-02,12:17,357.35,357.5199,357.19,357.2225,1807
ADI,2026-09-02,12:18,357.175,357.35,357.05,357.35,3075
ADI,2026-09-02,12:19,357.25,357.315,357.24,357.315,1440
ADI,2026-09-02,12:20,357.29,357.29,357.23,357.25,1842
