symbol,date,time,open,high,low,close,volume
AMZN,2026-09-02,09:30,254.255,254.81,253.4,253.585,797161
AMZN,2026-09-02,09:31,253.5,253.9961,253.4,253.87,68297
AMZN,2026-09-02,09:32,253.9,254,253.54,253.9299,65960
AMZN,2026-09-02,09:33,253.895,254.24,253.8351,254.14,55445
AMZN,2026-09-02,09:34,254.24,254.25,253.69,253.9318,63279
AMZN,2026-09-02,09:35,253.89,254.4387,253.61,254.38,95876
AMZN,2026-09-02,09:36,254.42,254.51,254.1,254.2,86087
AMZN,2026-09-02,09:37,254.17,254.275,253.865,253.97,51186
AMZN,2026-09-02,09:38,254.015,254.27,253.941,254.105,41551
AMZN,2026-09-02,09:39,254.08,254.305,253.985,254.275,49845
AMZN,2026-09-02,09:40,254.2442,254.6,254.19,254.4352,63315
AMZN,2026-09-02,09:41,254.41,254.48,254.165,254.41,42236
AMZN,2026-09-02,09:42,254.3801,254.4699,254.22,254.38,62252
AMZN,2026-09-02,09:43,254.39,254.665,254.34,254.3925,57101
AMZN,2026-09-02,09:44,254.38,254.46,254.22,254.3,68897
AMZN,2026-09-02,09:45,254.22,254.4,254.01,254.265,118556
AMZN,2026-09-02,09:46,254.27,255.055,254.21,255,113813
AMZN,2026-09-02,09:47,255.01,255.29,254.83,254.9701,110431
AMZN,2026-09-02,09:48,254.97,255.28,254.91,254.97,91793
AMZN,2026-09-02,09:49,254.99,255.15,254.75,254.81,52721
AMZN,2026-09-02,09:50,254.86,255.13,254.81,255.0825,60391
AMZN,2026-09-02,09:51,255.09,255.1647,254.5,254.6,175964
AMZN,2026-09-02,09:52,254.5705,255.12,254.5,254.81,97906
AMZN,2026-09-02,09:53,254.83,255.488,254.81,255.24,81593
AMZN,2026-09-02,09:54,255.27,255.64,255.2407,255.435,123289
AMZN,2026-09-02,09:55,255.41,255.55,255.2401,255.43,158758
AMZN,2026-09-02,09:56,255.45,255.5,255.24,255.38,80516
AMZN,2026-09-02,09:57,255.34,255.6,255.25,255.415,90892
AMZN,2026-09-02,09:58,255.42,255.48,255.231,255.41,53796
AMZN,2026-09-02,09:59,255.355,255.36,255.03,255.3,70184
AMZN,2026-09-02,10:00,255.28,255.3799,254.95,255.305,108154
AMZN,2026-09-02,10:01,255.305,255.3282,254.99,255.005,103045
AMZN,2026-09-02,10:02,255.005,255.04,254.66,254.75,87030
AMZN,2026-09-02,10:03,254.76,255.11,254.73,255.08,54361
AMZN,2026-09-02,10:04,255.1,255.39,255.03,255.34,159242
AMZN,2026-09-02,10:05,255.29,255.49,255.21,255.26,99234
AMZN,2026-09-02,10:06,255.26,255.53,255.26,255.395,78439
AMZN,2026-09-02,10:07,255.409,255.7,255.38,255.6,102880
AMZN,2026-09-02,10:08,255.58,255.65,255.4664,255.4967,63173
AMZN,2026-09-02,10:09,255.5394,255.85,255.495,255.675,100026
AMZN,2026-09-02,10:10,255.72,255.95,255.51,255.675,78108
AMZN,2026-09-02,10:11,255.675,255.77,255.54,255.7401,61822
AMZN,2026-09-02,10:12,255.805,255.94,255.1605,255.36,85809
AMZN,2026-09-02,10:13,255.385,255.59,255.2572,255.57,65867
AMZN,2026-09-02,10:14,255.565,255.63,255.41,255.6,44422
AMZN,2026-09-02,10:15,255.6156,255.93,255.53,255.58,130056
AMZN,2026-09-02,10:16,255.64,255.8,255.495,255.74,79085
AMZN,2026-09-02,10:17,255.74,255.915,255.59,255.845,128157
AMZN,2026-09-02,10:18,255.84,255.975,255.13,255.295,159120
AMZN,2026-09-02,10:19,255.31,255.545,255.2128,255.36,92460
AMZN,2026-09-02,10:20,255.34,255.43,255.24,255.285,78015
AMZN,2026-09-02,10:21,255.305,255.6499,255.27,255.61,61437
AMZN,2026-09-02,10:22,255.61,255.92,255.56,255.865,48673
AMZN,2026-09-02,10:23,255.85,255.91,255.57,255.7401,68468
AMZN,2026-09-02,10:24,255.74,255.97,255.64,255.7236,51605
AMZN,2026-09-02,10:25,255.75,255.79,255.67,255.7001,34828
AMZN,2026-09-02,10:26,255.79,256.1899,255.765,256.06,84222
AMZN,2026-09-02,10:27,256.04,256.12,255.85,256.115,55815
