symbol,date,time,open,high,low,close,volume
ARM,2026-09-02,09:30,233.375,234.49,232.98,233.86,105783
ARM,2026-09-02,09:31,233.41,235.99,233.165,234.9999,16150
ARM,2026-09-02,09:32,234.325,235.69,234.325,235.34,5705
ARM,2026-09-02,09:33,235.8996,235.8996,234.97,234.98,6734
ARM,2026-09-02,09:34,235.3399,235.625,234.985,235.625,2875
ARM,2026-09-02,09:35,235.635,235.6758,233.69,233.695,17078
ARM,2026-09-02,09:36,233.72,234.47,233.72,234.13,4205
ARM,2026-09-02,09:37,234.225,234.43,233.9,234.3301,12533
ARM,2026-09-02,09:38,234.665,234.665,233.88,234.104,2514
ARM,2026-09-02,09:39,234.4,234.87,234.395,234.87,4414
ARM,2026-09-02,09:40,235.122,235.51,235.06,235.51,5688
ARM,2026-09-02,09:41,235.3366,235.45,235.09,235.4225,11073
ARM,2026-09-02,09:42,235.5999,236.44,235.5,236.27,10365
ARM,2026-09-02,09:43,236.265,236.27,235.36,235.36,12538
ARM,2026-09-02,09:44,235.3524,235.3524,235.26,235.26,1808
ARM,2026-09-02,09:45,235.21,235.74,234.98,234.98,20207
ARM,2026-09-02,09:46,234.7638,234.7638,233.41,233.5,16218
ARM,2026-09-02,09:47,233.38,233.95,233.38,233.95,3239
ARM,2026-09-02,09:48,233.62,233.62,233.22,233.3,7180
ARM,2026-09-02,09:49,233.21,233.22,232.61,232.81,9317
ARM,2026-09-02,09:50,233.04,233.59,233.04,233.3553,4836
ARM,2026-09-02,09:51,233.405,233.54,231.8,232.01,15549
ARM,2026-09-02,09:52,232.05,232.67,232.05,232.18,9780
ARM,2026-09-02,09:53,232.13,232.52,232.13,232.13,4588
ARM,2026-09-02,09:54,231.5,231.739,231.0101,231.739,5276
ARM,2026-09-02,09:55,231.67,231.67,231.185,231.3104,4618
ARM,2026-09-02,09:56,231.6,231.675,231.5154,231.675,1825
ARM,2026-09-02,09:57,231.74,231.74,230.92,230.98,6159
ARM,2026-09-02,09:58,230.95,231.21,230.94,230.94,5114
ARM,2026-09-02,09:59,231.27,231.74,231.2006,231.72,27739
ARM,2026-09-02,10:00,231.53,231.8208,231.5,231.5,5604
ARM,2026-09-02,10:01,231.655,231.7674,231.47,231.7674,3094
ARM,2026-09-02,10:02,231.4,231.6,231.2,231.6,4139
ARM,2026-09-02,10:03,231.81,231.81,231.63,231.63,3378
ARM,2026-09-02,10:04,231.66,231.99,231.66,231.9,5127
ARM,2026-09-02,10:05,232.095,232.43,231.87,232.33,13035
ARM,2026-09-02,10:06,232.19,232.26,231.7441,232,9469
ARM,2026-09-02,10:07,232,232.4683,231.92,231.92,7818
ARM,2026-09-02,10:08,231.95,231.95,231.59,231.59,3550
ARM,2026-09-02,10:09,232.1667,232.74,232.03,232.74,1990
ARM,2026-09-02,10:10,232.3296,233.19,232.3296,232.95,14111
ARM,2026-09-02,10:11,232.74,232.74,232.64,232.655,3955
ARM,2026-09-02,10:12,232.8872,232.8872,232.1705,232.18,3216
ARM,2026-09-02,10:13,232.175,232.57,232,232.02,4422
ARM,2026-09-02,10:14,232.2,232.285,232.01,232.215,12612
ARM,2026-09-02,10:15,232.215,232.26,231.88,231.88,10239
ARM,2026-09-02,10:16,232.105,232.28,232,232.2342,5466
ARM,2026-09-02,10:17,232.22,232.245,232.22,232.245,1275
ARM,2026-09-02,10:18,232.495,232.9099,232.495,232.6658,4633
ARM,2026-09-02,10:19,232.91,233.14,232.91,233.14,6510
ARM,2026-09-02,10:20,233.28,233.3,232.9,232.9,6958
ARM,2026-09-02,10:21,232.785,233.96,232.785,233.96,13948
ARM,2026-09-02,10:22,233.81,234.46,233.6805,234.23,10085
ARM,2026-09-02,10:23,234.25,234.655,233.7,233.93,44724
ARM,2026-09-02,10:24,233.88,234.15,233.2,233.7,28982
ARM,2026-09-02,10:25,234.0205,234.15,233.73,233.86,15892
ARM,2026-09-02,10:26,233.77,234.03,233.7595,234.03,3848
ARM,2026-09-02,10:27,234.08,234.12,233.94,234.055,3392
ARM,2026-09-02,10:28,234.055,234.41,234.055,234.07,11294
ARM,2026-09-02,10:29,234.11,234.11,233.71,233.98,8454
ARM,2026-09-02,10:30,233.925,233.925,233.18,233.18,9978
ARM,2026-09-02,10:31,233.2518,233.48,233.2518,233.48,2275
ARM,2026-09-02,10:32,233.46,233.53,232.995,233.1092,6615
ARM,2026-09-02,10:33,232.8923,233.15,232.8923,233.15,1303
ARM,2026-09-02,10:34,233.35,233.485,233.35,233.39,1883
ARM,2026-09-02,10:35,233.39,233.659,233.27,233.27,9720
ARM,2026-09-02,10:36,233.13,233.235,233.0276,233.0975,4629
ARM,2026-09-02,10:37,233.02,233.25,232.96,233.05,5990
ARM,2026-09-02,10:38,232.91,232.91,232.1104,232.45,3763
ARM,2026-09-02,10:39,232.15,232.4697,232.05,232.4697,2660
ARM,2026-09-02,10:40,232.23,232.35,232.23,232.35,3779
ARM,2026-09-02,10:41,232,232,231.75,231.81,3106
ARM,2026-09-02,10:42,231.81,232.1,231.62,231.905,4166
ARM,2026-09-02,10:43,231.845,232,231.7586,231.8937,1726
