symbol,date,time,open,high,low,close,volume
AVGO,2026-09-02,09:30,369.68,369.68,365.7,367.015,898284
AVGO,2026-09-02,09:31,367.13,367.14,366.16,366.7,107377
AVGO,2026-09-02,09:32,366.7,367.72,366.2,367.1332,129674
AVGO,2026-09-02,09:33,367.175,367.53,365.225,365.5811,107455
AVGO,2026-09-02,09:34,365.515,366.01,364.65,365.23,97060
AVGO,2026-09-02,09:35,365.165,365.978,364.86,365.41,115334
AVGO,2026-09-02,09:36,365.363,365.9298,365.2,365.35,90975
AVGO,2026-09-02,09:37,365.35,365.65,364.92,365.21,76936
AVGO,2026-09-02,09:38,365.21,365.62,364.8135,365.62,95103
AVGO,2026-09-02,09:39,365.535,366.6,365.42,366.525,74856
AVGO,2026-09-02,09:40,366.4913,367.86,366.4913,367.54,102296
AVGO,2026-09-02,09:41,367.54,369.03,367.2675,368.7,74609
AVGO,2026-09-02,09:42,368.68,369.29,368.5,369.195,61310
AVGO,2026-09-02,09:43,369.12,369.17,368.43,368.65,59685
AVGO,2026-09-02,09:44,368.65,368.83,368.14,368.38,38305
AVGO,2026-09-02,09:45,368.28,369.55,368,369,83339
AVGO,2026-09-02,09:46,368.995,369.12,367.75,368.15,53834
AVGO,2026-09-02,09:47,368.2,368.68,368.035,368.22,35750
AVGO,2026-09-02,09:48,368.2,368.275,367.3,367.35,46023
AVGO,2026-09-02,09:49,367.35,367.69,366.7001,367.17,52704
AVGO,2026-09-02,09:50,367.1175,367.85,366.915,367.6293,65253
AVGO,2026-09-02,09:51,367.748,367.748,366.78,366.9296,40933
AVGO,2026-09-02,09:52,366.91,367.233,366.81,367.04,62364
AVGO,2026-09-02,09:53,367.045,367.39,366.6,366.69,55514
AVGO,2026-09-02,09:54,366.68,367.045,366.29,367.0178,56240
AVGO,2026-09-02,09:55,367.03,367.4399,366.88,367.37,39893
AVGO,2026-09-02,09:56,367.37,367.78,367.26,367.57,52168
AVGO,2026-09-02,09:57,367.57,367.85,367.21,367.24,37210
AVGO,2026-09-02,09:58,367.31,367.48,367.01,367.19,65287
AVGO,2026-09-02,09:59,367.19,368.15,367.19,367.91,64767
