symbol,date,time,open,high,low,close,volume
BAC,2026-09-02,09:30,62.28,62.5,62.27,62.42,339973
BAC,2026-09-02,09:31,62.445,62.555,62.3124,62.34,108721
BAC,2026-09-02,09:32,62.34,62.5,62.3,62.5,134488
BAC,2026-09-02,09:33,62.49,62.51,62.27,62.27,82885
BAC,2026-09-02,09:34,62.265,62.34,62.21,62.24,77939
BAC,2026-09-02,09:35,62.23,62.24,62.14,62.2255,102924
BAC,2026-09-02,09:36,62.23,62.27,62.16,62.19,47603
BAC,2026-09-02,09:37,62.1892,62.34,62.1892,62.34,52756
BAC,2026-09-02,09:38,62.34,62.42,62.335,62.34,70455
BAC,2026-09-02,09:39,62.348,62.36,62.245,62.265,47157
BAC,2026-09-02,09:40,62.26,62.26,62.06,62.0886,70945
BAC,2026-09-02,09:41,62.085,62.12,62,62.01,60965
BAC,2026-09-02,09:42,62.02,62.065,61.94,61.96,73188
BAC,2026-09-02,09:43,61.97,62.36,61.955,62.305,413344
BAC,2026-09-02,09:44,62.31,62.44,62.2925,62.42,117703
BAC,2026-09-02,09:45,62.42,62.48,62.35,62.385,171005
BAC,2026-09-02,09:46,62.38,62.41,62.32,62.34,95552
BAC,2026-09-02,09:47,62.3308,62.335,62.21,62.23,81647
BAC,2026-09-02,09:48,62.245,62.305,62.235,62.295,80595
BAC,2026-09-02,09:49,62.29,62.335,62.29,62.32,37075
BAC,2026-09-02,09:50,62.32,62.325,62.29,62.29,52084
BAC,2026-09-02,09:51,62.28,62.34,62.245,62.255,81466
BAC,2026-09-02,09:52,62.255,62.33,62.255,62.325,40549
BAC,2026-09-02,09:53,62.33,62.37,62.33,62.36,37202
BAC,2026-09-02,09:54,62.35,62.37,62.34,62.37,33017
BAC,2026-09-02,09:55,62.37,62.37,62.33,62.33,47659
BAC,2026-09-02,09:56,62.34,62.445,62.34,62.435,56056
BAC,2026-09-02,09:57,62.435,62.485,62.43,62.485,44353
BAC,2026-09-02,09:58,62.485,62.551,62.485,62.55,128083
BAC,2026-09-02,09:59,62.555,62.61,62.515,62.535,188995
BAC,2026-09-02,10:00,62.53,62.58,62.515,62.575,81031
BAC,2026-09-02,10:01,62.57,62.61,62.51,62.545,100618
BAC,2026-09-02,10:02,62.54,62.565,62.5,62.545,40446
BAC,2026-09-02,10:03,62.55,62.555,62.475,62.51,40282
BAC,2026-09-02,10:04,62.515,62.61,62.51,62.575,47102
BAC,2026-09-02,10:05,62.57,62.6,62.56,62.59,53193
BAC,2026-09-02,10:06,62.6,62.635,62.575,62.625,56688
BAC,2026-09-02,10:07,62.62,62.63,62.585,62.62,46807
BAC,2026-09-02,10:08,62.625,62.74,62.625,62.7351,71333
BAC,2026-09-02,10:09,62.7386,62.74,62.705,62.74,31716
BAC,2026-09-02,10:10,62.745,62.79,62.71,62.7892,82739
BAC,2026-09-02,10:11,62.78,62.8192,62.77,62.815,62569
BAC,2026-09-02,10:12,62.81,62.89,62.7901,62.835,145847
BAC,2026-09-02,10:13,62.83,62.9,62.825,62.84,65221
BAC,2026-09-02,10:14,62.835,62.88,62.83,62.8601,52786
BAC,2026-09-02,10:15,62.865,62.9,62.85,62.885,68563
BAC,2026-09-02,10:16,62.88,62.895,62.84,62.89,33371
BAC,2026-09-02,10:17,62.89,62.9592,62.88,62.955,63024
BAC,2026-09-02,10:18,62.955,62.955,62.92,62.935,25095
BAC,2026-09-02,10:19,62.935,62.98,62.93,62.93,165798
BAC,2026-09-02,10:20,62.921,63.03,62.92,63.03,109313
BAC,2026-09-02,10:21,63.02,63.0399,62.9908,63.0399,38606
BAC,2026-09-02,10:22,63.035,63.05,62.94,62.96,76788
BAC,2026-09-02,10:23,62.96,63.015,62.95,62.98,58953
BAC,2026-09-02,10:24,62.985,63.03,62.985,63.03,24534
BAC,2026-09-02,10:25,63.02,63.0824,63.005,63.0824,51217
BAC,2026-09-02,10:26,63.08,63.13,63.0616,63.13,83655
BAC,2026-09-02,10:27,63.13,63.145,63.065,63.075,54261
BAC,2026-09-02,10:28,63.08,63.12,63.08,63.11,41523
BAC,2026-09-02,10:29,63.105,63.1242,63.09,63.09,25765
BAC,2026-09-02,10:30,63.09,63.15,63.09,63.135,58226
BAC,2026-09-02,10:31,63.135,63.14,63.09,63.1254,44004
BAC,2026-09-02,10:32,63.13,63.1692,63.125,63.15,33188
BAC,2026-09-02,10:33,63.155,63.155,63.11,63.11,36797
BAC,2026-09-02,10:34,63.12,63.16,63.1,63.16,35140
BAC,2026-09-02,10:35,63.1585,63.18,63.135,63.18,59201
BAC,2026-09-02,10:36,63.1799,63.21,63.1684,63.18,46300
BAC,2026-09-02,10:37,63.185,63.205,63.17,63.205,26691
BAC,2026-09-02,10:38,63.205,63.235,63.195,63.22,53780
BAC,2026-09-02,10:39,63.22,63.265,63.215,63.255,86148
BAC,2026-09-02,10:40,63.26,63.265,63.24,63.265,34247
BAC,2026-09-02,10:41,63.26,63.275,63.24,63.2704,25115
BAC,2026-09-02,10:42,63.275,63.3292,63.265,63.32,105483
BAC,2026-09-02,10:43,63.32,63.325,63.305,63.315,77256
BAC,2026-09-02,10:44,63.315,63.375,63.31,63.355,131088
BAC,2026-09-02,10:45,63.355,63.435,63.34,63.435,82635
BAC,2026-09-02,10:46,63.43,63.435,63.35,63.37,130704
BAC,2026-09-02,10:47,63.375,63.425,63.37,63.405,81076
BAC,2026-09-02,10:48,63.41,63.52,63.41,63.505,235189
BAC,2026-09-02,10:49,63.505,63.54,63.4413,63.501,173842
BAC,2026-09-02,10:50,63.505,63.5092,63.47,63.495,138203
BAC,2026-09-02,10:51,63.49,63.5,63.33,63.335,177564
BAC,2026-09-02,10:52,63.33,63.445,63.32,63.44,71000
BAC,2026-09-02,10:53,63.445,63.5,63.445,63.495,37412
BAC,2026-09-02,10:54,63.5,63.5399,63.485,63.535,38143
BAC,2026-09-02,10:55,63.535,63.545,63.485,63.485,137437
BAC,2026-09-02,10:56,63.49,63.495,63.47,63.48,66921
BAC,2026-09-02,10:57,63.49,63.51,63.475,63.495,83085
BAC,2026-09-02,10:58,63.495,63.5,63.4405,63.475,80831
BAC,2026-09-02,10:59,63.475,63.4792,63.44,63.445,55838
BAC,2026-09-02,11:00,63.45,63.55,63.45,63.495,162322
BAC,2026-09-02,11:01,63.49,63.53,63.49,63.495,36734
BAC,2026-09-02,11:02,63.495,63.52,63.44,63.4451,64836
BAC,2026-09-02,11:03,63.445,63.455,63.355,63.36,76000
BAC,2026-09-02,11:04,63.355,63.36,63.31,63.31,69478
BAC,2026-09-02,11:05,63.31,63.33,63.28,63.32,47090
BAC,2026-09-02,11:06,63.315,63.33,63.295,63.325,38194
BAC,2026-09-02,11:07,63.335,63.34,63.27,63.27,53459
BAC,2026-09-02,11:08,63.27,63.32,63.26,63.31,49582
BAC,2026-09-02,11:09,63.31,63.31,63.285,63.29,32503
BAC,2026-09-02,11:10,63.29,63.29,63.23,63.26,41192
BAC,2026-09-02,11:11,63.265,63.27,63.2495,63.26,31857
BAC,2026-09-02,11:12,63.265,63.275,63.21,63.225,42209
BAC,2026-09-02,11:13,63.22,63.225,63.175,63.185,34651
BAC,2026-09-02,11:14,63.18,63.19,63.115,63.15,63015
BAC,2026-09-02,11:15,63.15,63.1651,63.14,63.14,26453
BAC,2026-09-02,11:16,63.14,63.16,63.11,63.135,42520
BAC,2026-09-02,11:17,63.13,63.175,63.12,63.13,35819
