symbol,date,time,open,high,low,close,volume
BKNG,2026-09-02,09:30,197.355,197.65,196.67,197.3,74056
BKNG,2026-09-02,09:31,197.3,198.28,196.96,197.76,36623
BKNG,2026-09-02,09:32,197.76,198.67,197.5011,197.85,34493
BKNG,2026-09-02,09:33,197.875,197.875,197.13,197.37,8831
BKNG,2026-09-02,09:34,197.395,197.47,196.9,197.275,21799
BKNG,2026-09-02,09:35,197.2091,197.275,196.57,197.05,16257
BKNG,2026-09-02,09:36,197.02,197.07,196.34,196.4625,13118
BKNG,2026-09-02,09:37,196.45,196.61,196.05,196.185,11309
BKNG,2026-09-02,09:38,196.135,196.565,196.13,196.29,9822
BKNG,2026-09-02,09:39,196.32,196.51,196.16,196.29,8443
BKNG,2026-09-02,09:40,196.3465,196.36,195.77,196.095,16928
BKNG,2026-09-02,09:41,196.11,196.1195,195.73,195.96,6041
BKNG,2026-09-02,09:42,195.95,196.9,195.95,196.875,18691
BKNG,2026-09-02,09:43,196.87,197.54,196.78,197.52,26457
BKNG,2026-09-02,09:44,197.49,197.555,197.19,197.245,11895
BKNG,2026-09-02,09:45,197.3,197.69,196.97,197.46,28999
BKNG,2026-09-02,09:46,197.52,197.89,197.38,197.85,13546
BKNG,2026-09-02,09:47,197.835,198.19,197.835,198.18,26731
BKNG,2026-09-02,09:48,198.12,198.49,198.02,198.47,18157
BKNG,2026-09-02,09:49,198.485,198.51,198.16,198.2,21656
BKNG,2026-09-02,09:50,198.25,199.11,198.25,198.73,30437
BKNG,2026-09-02,09:51,198.74,199.38,198.67,199.29,35443
BKNG,2026-09-02,09:52,199.245,199.545,199.18,199.47,12026
BKNG,2026-09-02,09:53,199.42,199.82,199.42,199.82,11842
BKNG,2026-09-02,09:54,199.83,200.37,199.69,200.29,18796
BKNG,2026-09-02,09:55,200.29,200.49,199.94,199.94,12751
BKNG,2026-09-02,09:56,200.005,200.52,200.005,200.45,16372
BKNG,2026-09-02,09:57,200.5,200.5,200.17,200.345,9532
BKNG,2026-09-02,09:58,200.35,200.62,200.14,200.225,19542
BKNG,2026-09-02,09:59,200.22,200.39,200.1,200.255,16037
BKNG,2026-09-02,10:00,200.255,200.32,199.83,200.115,18863
BKNG,2026-09-02,10:01,200.16,200.346,199.56,199.56,12637
BKNG,2026-09-02,10:02,199.569,199.785,199.36,199.655,8693
BKNG,2026-09-02,10:03,199.655,199.74,199.56,199.645,8489
BKNG,2026-09-02,10:04,199.645,199.83,199.45,199.45,14996
BKNG,2026-09-02,10:05,199.47,199.51,198.97,199,4861
BKNG,2026-09-02,10:06,199,199.13,198.94,199.01,8466
BKNG,2026-09-02,10:07,198.97,199.07,198.54,198.585,5594
BKNG,2026-09-02,10:08,198.585,198.585,198.295,198.44,7085
BKNG,2026-09-02,10:09,198.485,198.57,198.02,198.055,8543
BKNG,2026-09-02,10:10,198.055,198.3,197.97,198.3,10430
BKNG,2026-09-02,10:11,198.245,198.5299,198.245,198.405,19157
BKNG,2026-09-02,10:12,198.38,198.52,198.08,198.26,10866
BKNG,2026-09-02,10:13,198.26,198.52,198.15,198.46,13559
BKNG,2026-09-02,10:14,198.46,198.61,198.31,198.46,11341
BKNG,2026-09-02,10:15,198.5,198.895,198.435,198.75,13186
BKNG,2026-09-02,10:16,198.66,198.79,198.485,198.565,5481
BKNG,2026-09-02,10:17,198.585,198.59,198.39,198.41,8041
BKNG,2026-09-02,10:18,198.41,198.44,198.26,198.29,13248
BKNG,2026-09-02,10:19,198.31,198.44,198.22,198.26,12600
BKNG,2026-09-02,10:20,198.23,198.355,198.13,198.275,10190
BKNG,2026-09-02,10:21,198.275,198.56,198.18,198.52,16881
BKNG,2026-09-02,10:22,198.5,198.65,198.46,198.57,11065
BKNG,2026-09-02,10:23,198.58,199.18,198.535,199.1546,13078
BKNG,2026-09-02,10:24,199.155,199.44,198.92,199.41,10247
BKNG,2026-09-02,10:25,199.41,199.43,199.05,199.135,11900
BKNG,2026-09-02,10:26,199.16,199.3,199.065,199.25,7855
BKNG,2026-09-02,10:27,199.25,199.52,199.16,199.29,17443
BKNG,2026-09-02,10:28,199.28,199.28,198.915,198.98,10095
BKNG,2026-09-02,10:29,198.98,199.09,198.915,198.94,8623
BKNG,2026-09-02,10:30,199.01,199.02,198.85,198.93,6516
BKNG,2026-09-02,10:31,198.93,198.97,198.48,198.56,6092
BKNG,2026-09-02,10:32,198.56,198.59,198.37,198.51,8122
BKNG,2026-09-02,10:33,198.51,198.59,198.28,198.46,8814
BKNG,2026-09-02,10:34,198.5,198.69,198.48,198.655,7089
BKNG,2026-09-02,10:35,198.675,198.79,198.58,198.6125,9540
BKNG,2026-09-02,10:36,198.6,198.75,198.575,198.66,9608
BKNG,2026-09-02,10:37,198.62,198.84,198.58,198.84,3973
BKNG,2026-09-02,10:38,198.84,198.89,198.685,198.885,5229
BKNG,2026-09-02,10:39,198.885,198.895,198.7759,198.885,8667
BKNG,2026-09-02,10:40,198.881,198.915,198.74,198.78,9771
BKNG,2026-09-02,10:41,198.78,198.93,198.75,198.87,5482
BKNG,2026-09-02,10:42,198.86,198.92,198.68,198.695,10204
BKNG,2026-09-02,10:43,198.695,198.915,198.66,198.915,8117
BKNG,2026-09-02,10:44,198.915,199.01,198.63,198.63,6058
BKNG,2026-09-02,10:45,198.675,198.68,198.49,198.51,19882
BKNG,2026-09-02,10:46,198.5,198.75,198.4,198.715,13482
BKNG,2026-09-02,10:47,198.7,198.76,198.57,198.61,14013
BKNG,2026-09-02,10:48,198.61,198.86,198.61,198.81,12645
BKNG,2026-09-02,10:49,198.79,199.26,198.79,198.995,28593
BKNG,2026-09-02,10:50,198.995,199.2,198.8,199.08,26498
BKNG,2026-09-02,10:51,199.03,199.03,198.83,198.845,3962
BKNG,2026-09-02,10:52,198.84,198.84,198.665,198.725,6879
BKNG,2026-09-02,10:53,198.67,198.69,198.56,198.63,4523
BKNG,2026-09-02,10:54,198.65,198.94,198.65,198.7529,9495
BKNG,2026-09-02,10:55,198.81,198.905,198.73,198.78,7735
BKNG,2026-09-02,10:56,198.785,198.8,198.67,198.69,10932
BKNG,2026-09-02,10:57,198.71,198.77,198.69,198.705,6921
BKNG,2026-09-02,10:58,198.72,198.93,198.72,198.93,9752
BKNG,2026-09-02,10:59,198.93,199.09,198.88,199.085,7239
BKNG,2026-09-02,11:00,199.09,199.1,198.9544,198.99,7990
BKNG,2026-09-02,11:01,199.015,199.0425,198.94,199.01,5359
BKNG,2026-09-02,11:02,199.015,199.06,198.98,199.0075,8009
BKNG,2026-09-02,11:03,199,199.225,199,199.11,5692
BKNG,2026-09-02,11:04,199.12,199.15,199.02,199.07,6759
BKNG,2026-09-02,11:05,199.045,199.175,198.985,199.13,7605
BKNG,2026-09-02,11:06,199.125,199.18,198.8968,198.9099,5691
BKNG,2026-09-02,11:07,198.895,198.96,198.82,198.87,6429
BKNG,2026-09-02,11:08,198.845,198.85,198.75,198.8,5841
BKNG,2026-09-02,11:09,198.8,198.81,198.7,198.7,10055
BKNG,2026-09-02,11:10,198.69,198.73,198.58,198.61,10173
BKNG,2026-09-02,11:11,198.64,198.7175,198.61,198.715,3823
BKNG,2026-09-02,11:12,198.715,198.715,198.555,198.575,5509
BKNG,2026-09-02,11:13,198.57,198.68,198.49,198.62,6521
BKNG,2026-09-02,11:14,198.6,198.77,198.58,198.74,3217
BKNG,2026-09-02,11:15,198.745,198.77,198.52,198.59,12549
BKNG,2026-09-02,11:16,198.6,198.6,198.27,198.365,4410
BKNG,2026-09-02,11:17,198.365,198.41,198.31,198.34,3884
BKNG,2026-09-02,11:18,198.345,198.48,198.21,198.29,8220
BKNG,2026-09-02,11:19,198.29,198.54,198.28,198.455,16508
BKNG,2026-09-02,11:20,198.455,198.57,198.39,198.54,11485
BKNG,2026-09-02,11:21,198.535,198.6775,198.5,198.58,4605
BKNG,2026-09-02,11:22,198.6,198.71,198.57,198.71,8447
BKNG,2026-09-02,11:23,198.655,198.685,198.565,198.65,4197
BKNG,2026-09-02,11:24,198.65,198.65,198.5395,198.62,8036
BKNG,2026-09-02,11:25,198.63,198.68,198.5117,198.6592,3246
BKNG,2026-09-02,11:26,198.62,198.652,198.43,198.465,3498
BKNG,2026-09-02,11:27,198.48,198.55,198.42,198.51,4595
BKNG,2026-09-02,11:28,198.51,198.6,198.445,198.5,14090
BKNG,2026-09-02,11:29,198.515,198.82,198.515,198.79,9713
BKNG,2026-09-02,11:30,198.81,198.81,198.41,198.45,3119
BKNG,2026-09-02,11:31,198.43,198.62,198.43,198.59,11498
BKNG,2026-09-02,11:32,198.59,198.67,198.55,198.66,2896
BKNG,2026-09-02,11:33,198.64,198.64,198.49,198.49,3225
BKNG,2026-09-02,11:34,198.48,198.645,198.44,198.58,5585
BKNG,2026-09-02,11:35,198.578,198.71,198.53,198.56,5872
BKNG,2026-09-02,11:36,198.56,198.94,198.56,198.83,5671
BKNG,2026-09-02,11:37,198.79,198.87,198.6703,198.72,3629
BKNG,2026-09-02,11:38,198.7,198.7,198.47,198.54,7028
BKNG,2026-09-02,11:39,198.535,198.61,198.48,198.61,5953
BKNG,2026-09-02,11:40,198.61,198.66,198.56,198.56,4224
