symbol,date,time,open,high,low,close,volume
BRK-B,2026-09-04,09:30,506.2,506.2,506.2,506.2,94557
BRK-B,2026-09-04,09:31,506.055,506.45,505.76,506.265,6511
BRK-B,2026-09-04,09:32,506.265,506.36,505.53,505.905,4732
BRK-B,2026-09-04,09:33,505.795,506.43,505.795,506,4589
BRK-B,2026-09-04,09:34,506.06,506.21,505.74,505.74,3912
BRK-B,2026-09-04,09:35,505.74,506.3995,505.73,506.08,12381
BRK-B,2026-09-04,09:36,505.98,506.58,505.88,506.49,13435
BRK-B,2026-09-04,09:37,506.595,506.77,506.11,506.2496,8637
BRK-B,2026-09-04,09:38,506.36,506.85,505.93,506.83,18429
BRK-B,2026-09-04,09:39,506.51,507.22,506.51,506.99,20815
BRK-B,2026-09-04,09:40,506.7447,506.9,506.3522,506.58,15885
BRK-B,2026-09-04,09:41,506.41,506.66,506.3346,506.6,3470
BRK-B,2026-09-04,09:42,506.71,506.75,506.32,506.545,4193
BRK-B,2026-09-04,09:43,506.4676,506.97,506.4676,506.77,5281
BRK-B,2026-09-04,09:44,506.9175,507.24,506.75,506.78,36714
BRK-B,2026-09-04,09:45,506.79,506.79,506.31,506.595,12769
BRK-B,2026-09-04,09:46,506.51,506.98,506.51,506.8,8915
BRK-B,2026-09-04,09:47,506.625,506.98,506.57,506.81,3542
BRK-B,2026-09-04,09:48,506.78,506.825,506.44,506.725,6198
BRK-B,2026-09-04,09:49,506.61,507.42,506.56,507.2875,17328
BRK-B,2026-09-04,09:50,507.5,507.5,507.12,507.12,7135
BRK-B,2026-09-04,09:51,507.11,507.44,507.06,507.165,12863
BRK-B,2026-09-04,09:52,507.37,507.37,506.76,506.88,16189
BRK-B,2026-09-04,09:53,506.835,507,506.67,506.88,9941
BRK-B,2026-09-04,09:54,506.9,507,506.68,506.85,16854
BRK-B,2026-09-04,09:55,506.89,506.95,506.74,506.795,7507
BRK-B,2026-09-04,09:56,506.835,506.835,506.54,506.595,7422
BRK-B,2026-09-04,09:57,506.585,506.7,506.44,506.58,7214
BRK-B,2026-09-04,09:58,506.6387,506.69,506.22,506.22,9127
BRK-B,2026-09-04,09:59,506.1,506.24,505.89,506.03,15497
BRK-B,2026-09-04,10:00,505.83,506.2499,505.82,506.2499,12013
BRK-B,2026-09-04,10:01,506.24,506.67,506.24,506.39,13288
BRK-B,2026-09-04,10:02,506.35,506.44,505.68,505.955,26400
BRK-B,2026-09-04,10:03,505.955,506.05,505.72,505.81,14441
BRK-B,2026-09-04,10:04,505.775,506.0499,505.74,505.835,3276
BRK-B,2026-09-04,10:05,505.71,505.88,505.636,505.74,9514
BRK-B,2026-09-04,10:06,505.83,505.895,505.775,505.895,3917
BRK-B,2026-09-04,10:07,505.9685,506.35,505.95,506.21,6016
BRK-B,2026-09-04,10:08,506.25,506.26,506.0658,506.095,5138
BRK-B,2026-09-04,10:09,506.1,506.24,505.76,505.78,9069
BRK-B,2026-09-04,10:10,505.835,505.92,505.7,505.74,9326
BRK-B,2026-09-04,10:11,505.77,505.92,505.69,505.89,4461
BRK-B,2026-09-04,10:12,505.88,506.125,505.82,505.98,4949
BRK-B,2026-09-04,10:13,505.95,505.995,505.76,505.95,7188
BRK-B,2026-09-04,10:14,505.9336,505.95,505.8,505.95,6823
BRK-B,2026-09-04,10:15,506,506.24,505.99,506.095,3193
BRK-B,2026-09-04,10:16,506.07,506.2599,506,506.21,6365
BRK-B,2026-09-04,10:17,506.28,506.3099,505.81,506.025,30542
BRK-B,2026-09-04,10:18,506,506.07,505.87,506.025,7905
BRK-B,2026-09-04,10:19,506.03,506.285,506,506.28,3906
BRK-B,2026-09-04,10:20,506.34,506.735,506.24,506.69,10556
BRK-B,2026-09-04,10:21,506.66,506.73,506.32,506.41,22107
BRK-B,2026-09-04,10:22,506.36,507.13,506.28,506.67,23327
BRK-B,2026-09-04,10:23,506.84,506.89,506.705,506.705,10044
BRK-B,2026-09-04,10:24,506.735,506.93,506.735,506.83,8089
BRK-B,2026-09-04,10:25,506.81,506.865,506.68,506.8,2813
BRK-B,2026-09-04,10:26,506.81,506.9,506.76,506.82,7543
BRK-B,2026-09-04,10:27,506.82,506.82,506.5801,506.5801,2260
BRK-B,2026-09-04,10:28,506.745,506.91,506.6663,506.82,1679
BRK-B,2026-09-04,10:29,506.725,506.83,506.55,506.61,6963
BRK-B,2026-09-04,10:30,506.61,506.74,506.5,506.68,7250
BRK-B,2026-09-04,10:31,506.675,506.99,506.6101,506.86,3453
BRK-B,2026-09-04,10:32,506.81,507.07,506.745,507,4239
BRK-B,2026-09-04,10:33,507.1099,507.1099,506.81,506.82,4275
BRK-B,2026-09-04,10:34,506.84,506.875,506.7201,506.77,5744
BRK-B,2026-09-04,10:35,506.72,506.98,506.72,506.874,2458
BRK-B,2026-09-04,10:36,506.91,506.9666,506.71,506.72,3401
BRK-B,2026-09-04,10:37,506.795,506.93,506.77,506.825,3777
BRK-B,2026-09-04,10:38,506.825,506.97,506.825,506.945,3206
BRK-B,2026-09-04,10:39,506.98,507.08,506.965,506.98,3964
BRK-B,2026-09-04,10:40,506.98,507.16,506.97,507.135,3092
BRK-B,2026-09-04,10:41,507.135,507.2499,507.07,507.1548,5543
BRK-B,2026-09-04,10:42,507.185,507.185,507.0001,507.055,2059
BRK-B,2026-09-04,10:43,507.085,507.15,506.92,506.98,6543
BRK-B,2026-09-04,10:44,507.02,507.12,507,507.12,2333
BRK-B,2026-09-04,10:45,507.08,507.294,507.08,507.1632,3975
BRK-B,2026-09-04,10:46,507.215,507.24,506.97,506.985,10767
BRK-B,2026-09-04,10:47,506.93,507.11,506.93,506.9585,4682
BRK-B,2026-09-04,10:48,506.97,507.015,506.9675,506.995,2328
BRK-B,2026-09-04,10:49,507,507,506.81,506.87,6669
BRK-B,2026-09-04,10:50,506.825,506.9,506.7001,506.8351,5070
BRK-B,2026-09-04,10:51,506.89,506.95,506.794,506.9,6862
BRK-B,2026-09-04,10:52,506.9453,507.03,506.85,506.85,5810
BRK-B,2026-09-04,10:53,506.84,506.85,506.29,506.41,9177
BRK-B,2026-09-04,10:54,506.53,506.82,506.53,506.82,2224
BRK-B,2026-09-04,10:55,506.63,506.63,506.4449,506.54,2859
BRK-B,2026-09-04,10:56,506.535,506.61,506.5001,506.6099,2977
BRK-B,2026-09-04,10:57,506.61,506.61,506.31,506.44,6523
BRK-B,2026-09-04,10:58,506.4,506.48,506.29,506.3493,1243
BRK-B,2026-09-04,10:59,506.42,506.48,506.2995,506.345,4296
BRK-B,2026-09-04,11:00,506.345,506.4,506.036,506.19,4863
BRK-B,2026-09-04,11:01,506.07,506.2999,506.07,506.2999,1910
BRK-B,2026-09-04,11:02,506.3,506.4,506.08,506.195,5559
BRK-B,2026-09-04,11:03,506.155,506.354,506.155,506.24,3310
BRK-B,2026-09-04,11:04,506.27,506.27,505.93,505.97,5178
BRK-B,2026-09-04,11:05,505.93,506.16,505.93,506.13,2848
BRK-B,2026-09-04,11:06,506.15,506.28,506.1101,506.17,2129
BRK-B,2026-09-04,11:07,506.135,506.2099,506.09,506.09,2185
BRK-B,2026-09-04,11:08,506.1318,506.1318,505.81,506.08,12680
BRK-B,2026-09-04,11:09,506.07,506.36,506.055,506.18,5917
BRK-B,2026-09-04,11:10,506.195,506.195,506.03,506.04,5951
BRK-B,2026-09-04,11:11,506.1,506.18,506.06,506.18,6399
BRK-B,2026-09-04,11:12,506.15,506.15,506.07,506.07,2164
BRK-B,2026-09-04,11:13,506.12,506.375,506.09,506.32,4392
BRK-B,2026-09-04,11:14,506.352,506.352,506.2,506.2912,2321
BRK-B,2026-09-04,11:15,506.31,506.55,506.27,506.54,3068
BRK-B,2026-09-04,11:16,506.525,506.61,506.5,506.58,4486
BRK-B,2026-09-04,11:17,506.61,506.66,506.505,506.58,1807
BRK-B,2026-09-04,11:18,506.6,506.74,506.57,506.74,2271
BRK-B,2026-09-04,11:19,506.755,506.755,506.65,506.69,2699
BRK-B,2026-09-04,11:20,506.64,506.79,506.62,506.69,3512
BRK-B,2026-09-04,11:21,506.6726,506.7,506.65,506.65,1115
BRK-B,2026-09-04,11:22,506.615,506.6592,506.305,506.45,6474
BRK-B,2026-09-04,11:23,506.315,506.44,506.22,506.325,3031
BRK-B,2026-09-04,11:24,506.2,506.565,506.2,506.56,4206
BRK-B,2026-09-04,11:25,506.43,506.49,506.2289,506.3001,2887
BRK-B,2026-09-04,11:26,506.38,506.505,506.3,506.42,4824
BRK-B,2026-09-04,11:27,506.41,506.43,506.27,506.415,1984
BRK-B,2026-09-04,11:28,506.415,506.47,506.3801,506.41,2310
BRK-B,2026-09-04,11:29,506.38,506.75,506.38,506.47,2481
BRK-B,2026-09-04,11:30,506.47,506.48,506.315,506.43,4717
BRK-B,2026-09-04,11:31,506.4582,506.4582,506.25,506.31,2529
BRK-B,2026-09-04,11:32,506.32,506.401,506.2301,506.3,2293
BRK-B,2026-09-04,11:33,506.3699,506.43,506.3197,506.42,3122
BRK-B,2026-09-04,11:34,506.3914,506.45,506.36,506.45,5664
BRK-B,2026-09-04,11:35,506.45,506.45,506.34,506.36,2213
BRK-B,2026-09-04,11:36,506.34,506.41,506.2152,506.41,4240
BRK-B,2026-09-04,11:37,506.418,506.62,506.36,506.555,10578
BRK-B,2026-09-04,11:38,506.6,506.675,506.471,506.545,7329
BRK-B,2026-09-04,11:39,506.6099,506.61,506.54,506.555,1561
BRK-B,2026-09-04,11:40,506.61,506.6189,506.51,506.565,2886
BRK-B,2026-09-04,11:41,506.59,506.77,506.59,506.7184,4395
BRK-B,2026-09-04,11:42,506.68,506.75,506.66,506.71,3435
BRK-B,2026-09-04,11:43,506.73,506.73,506.6,506.6,3137
BRK-B,2026-09-04,11:44,506.59,506.59,506.54,506.54,2747
BRK-B,2026-09-04,11:45,506.505,506.62,506.46,506.58,4304
BRK-B,2026-09-04,11:46,506.58,506.7,506.54,506.69,5287
