symbol,date,time,open,high,low,close,volume
C,2026-09-02,09:30,133.8,133.8,133.04,133.07,146696
C,2026-09-02,09:31,133.06,133.365,132.89,133.19,31785
C,2026-09-02,09:32,133.165,133.7719,133.165,133.755,78558
C,2026-09-02,09:33,133.7625,133.91,133.49,133.585,125924
C,2026-09-02,09:34,133.575,133.575,133.31,133.38,11279
C,2026-09-02,09:35,133.21,133.295,133.19,133.24,11631
C,2026-09-02,09:36,133.33,133.395,133.15,133.315,12480
C,2026-09-02,09:37,133.42,133.6,133.315,133.55,32354
C,2026-09-02,09:38,133.63,133.693,133.56,133.61,42763
C,2026-09-02,09:39,133.655,133.66,133.43,133.45,18836
C,2026-09-02,09:40,133.42,133.42,133.19,133.195,8195
C,2026-09-02,09:41,133.14,133.195,132.93,132.955,10251
C,2026-09-02,09:42,132.93,132.9899,132.695,132.73,10507
C,2026-09-02,09:43,132.745,133.0735,132.71,133.05,11149
C,2026-09-02,09:44,133.07,133.21,132.99,133.16,5128
C,2026-09-02,09:45,133.19,133.37,133.1375,133.25,20693
C,2026-09-02,09:46,133.24,133.305,133.1901,133.1901,7438
C,2026-09-02,09:47,133.2,133.215,133.14,133.215,6736
C,2026-09-02,09:48,133.325,133.38,133.28,133.345,7121
C,2026-09-02,09:49,133.345,133.37,133.185,133.185,30331
C,2026-09-02,09:50,133.16,133.255,133.02,133.02,14622
C,2026-09-02,09:51,133.04,133.19,132.96,133.07,13195
C,2026-09-02,09:52,133.025,133.385,133.025,133.385,13652
C,2026-09-02,09:53,133.38,133.5,133.38,133.455,20985
C,2026-09-02,09:54,133.445,133.51,133.37,133.48,30426
C,2026-09-02,09:55,133.485,133.495,133.42,133.445,8881
C,2026-09-02,09:56,133.47,134,133.42,133.93,123057
C,2026-09-02,09:57,133.96,134.08,133.96,134.045,13939
C,2026-09-02,09:58,134.04,134.17,134.04,134.11,25251
C,2026-09-02,09:59,134.14,134.28,133.92,134.03,53770
C,2026-09-02,10:00,134.05,134.11,133.94,134.04,33676
C,2026-09-02,10:01,134.06,134.13,133.94,133.94,27737
C,2026-09-02,10:02,134.05,134.05,133.76,133.885,10145
C,2026-09-02,10:03,133.9,134.1,133.73,133.96,30268
C,2026-09-02,10:04,133.95,134.325,133.95,134.28,25793
C,2026-09-02,10:05,134.26,134.34,134.14,134.34,27700
C,2026-09-02,10:06,134.3135,134.48,134.3,134.44,15927
C,2026-09-02,10:07,134.43,134.47,134.31,134.465,75963
C,2026-09-02,10:08,134.44,134.64,134.44,134.6125,56948
C,2026-09-02,10:09,134.67,134.74,134.64,134.74,7525
C,2026-09-02,10:10,134.73,134.79,134.66,134.73,16589
C,2026-09-02,10:11,134.72,134.7699,134.42,134.5,27765
C,2026-09-02,10:12,134.5,134.62,134.45,134.555,31586
C,2026-09-02,10:13,134.57,134.67,134.565,134.565,39037
C,2026-09-02,10:14,134.58,134.77,134.58,134.67,62749
C,2026-09-02,10:15,134.69,134.76,134.67,134.735,20270
C,2026-09-02,10:16,134.74,134.84,134.71,134.81,21003
C,2026-09-02,10:17,134.805,135.03,134.805,134.98,32422
C,2026-09-02,10:18,134.99,135.01,134.93,134.97,9841
C,2026-09-02,10:19,135,135.14,135,135.05,15946
C,2026-09-02,10:20,135.0611,135.225,135.045,135.215,13222
C,2026-09-02,10:21,135.18,135.315,135.16,135.31,15020
C,2026-09-02,10:22,135.3194,135.3194,135.14,135.25,39164
C,2026-09-02,10:23,135.25,135.3,135.22,135.24,12511
C,2026-09-02,10:24,135.25,135.32,135.19,135.3,83914
C,2026-09-02,10:25,135.31,135.43,135.3,135.43,15157
C,2026-09-02,10:26,135.4,135.42,135.3042,135.4,8771
C,2026-09-02,10:27,135.41,135.43,135.315,135.345,16502
C,2026-09-02,10:28,135.345,135.42,135.3,135.37,11470
C,2026-09-02,10:29,135.41,135.41,135.35,135.41,7141
C,2026-09-02,10:30,135.37,135.42,135.34,135.36,8730
C,2026-09-02,10:31,135.39,135.405,135.2578,135.38,13739
C,2026-09-02,10:32,135.42,135.54,135.37,135.41,26186
C,2026-09-02,10:33,135.42,135.44,135.36,135.4,16180
C,2026-09-02,10:34,135.435,135.5,135.4,135.5,4795
C,2026-09-02,10:35,135.54,135.73,135.54,135.73,10761
C,2026-09-02,10:36,135.7,135.81,135.7,135.775,17084
C,2026-09-02,10:37,135.75,135.78,135.67,135.735,13447
C,2026-09-02,10:38,135.75,135.915,135.71,135.86,40015
C,2026-09-02,10:39,135.855,135.9697,135.82,135.89,68459
C,2026-09-02,10:40,135.89,135.945,135.87,135.9075,11938
C,2026-09-02,10:41,135.915,135.965,135.87,135.96,19732
C,2026-09-02,10:42,135.941,135.98,135.9,135.94,16783
C,2026-09-02,10:43,135.94,135.94,135.8715,135.92,13037
C,2026-09-02,10:44,135.955,136.01,135.92,135.96,33229
C,2026-09-02,10:45,135.96,136.2,135.91,136.2,49447
C,2026-09-02,10:46,136.18,136.18,136.073,136.15,11913
C,2026-09-02,10:47,136.135,136.1499,136.055,136.08,25949
C,2026-09-02,10:48,136.09,136.16,136.09,136.135,19156
C,2026-09-02,10:49,136.16,136.18,136.08,136.0868,17185
C,2026-09-02,10:50,136.12,136.1899,136.05,136.085,18442
C,2026-09-02,10:51,136.085,136.085,135.735,135.785,41278
