symbol,date,time,open,high,low,close,volume
CAT,2026-09-02,09:30,778.51,779.2075,777.24,778.585,59416
CAT,2026-09-02,09:31,779.49,779.77,776.56,777.05,5666
CAT,2026-09-02,09:32,777.05,779.03,776.4649,779.03,7702
CAT,2026-09-02,09:33,778.515,778.525,774.22,774.22,15453
CAT,2026-09-02,09:34,774.52,776.21,773.57,776.19,11820
CAT,2026-09-02,09:35,776.445,776.735,772.88,772.88,10066
CAT,2026-09-02,09:36,773.8258,777.095,773.3325,776.77,10208
CAT,2026-09-02,09:37,776.2,777,775.03,775.7629,6974
CAT,2026-09-02,09:38,777.04,779.5,776.42,779.5,5008
CAT,2026-09-02,09:39,778.565,779.5,777.64,778.93,4788
CAT,2026-09-02,09:40,779.3113,779.5,778.66,778.66,8171
CAT,2026-09-02,09:41,778.66,779.5497,778.43,779.4023,3445
CAT,2026-09-02,09:42,778.828,779.7269,778.828,778.96,4334
CAT,2026-09-02,09:43,778.58,779.3696,777.8,778.195,6006
CAT,2026-09-02,09:44,777.59,779.68,777.59,778.61,2718
CAT,2026-09-02,09:45,779,779.499,775.07,775.41,9849
CAT,2026-09-02,09:46,775.1,776.415,774.09,774.39,9385
CAT,2026-09-02,09:47,774.39,775,774.05,774.05,4664
CAT,2026-09-02,09:48,774.1965,774.915,773.73,773.73,5015
CAT,2026-09-02,09:49,773.75,774.47,773.74,774.0414,1703
CAT,2026-09-02,09:50,773.985,775.36,773.97,774.08,14166
CAT,2026-09-02,09:51,774.73,774.73,773.45,774.08,2325
CAT,2026-09-02,09:52,773.227,775.28,772.77,774.9835,11087
CAT,2026-09-02,09:53,774.32,774.7507,773.08,773.09,2342
CAT,2026-09-02,09:54,772.77,773.39,772.2,772.49,11105
CAT,2026-09-02,09:55,772.16,772.74,771.39,772.39,4840
CAT,2026-09-02,09:56,772,772.6899,771.65,772.0956,6007
CAT,2026-09-02,09:57,772.015,772.6899,771.78,771.81,8327
CAT,2026-09-02,09:58,771.85,773.95,771.8001,773.23,21138
CAT,2026-09-02,09:59,773.225,773.49,772.66,773.365,7010
CAT,2026-09-02,10:00,773.365,774.56,772.99,774.56,10584
CAT,2026-09-02,10:01,774.62,775.9999,774.49,775.9999,6092
CAT,2026-09-02,10:02,775.81,776.455,774.86,776.455,6625
CAT,2026-09-02,10:03,776.475,777.76,776.475,777.605,4930
CAT,2026-09-02,10:04,777.38,779.205,777.38,779.01,3972
