symbol,date,time,open,high,low,close,volume
COIN,2026-09-02,09:30,174.3,174.3775,172.8,173.86,335905
COIN,2026-09-02,09:31,173.88,174,172.35,172.65,33604
COIN,2026-09-02,09:32,172.65,172.88,172.3216,172.5204,44315
COIN,2026-09-02,09:33,172.48,172.89,172.03,172.36,21171
COIN,2026-09-02,09:34,172.45,173.1,172.1044,172.89,18501
COIN,2026-09-02,09:35,172.89,172.89,172.176,172.67,20680
COIN,2026-09-02,09:36,172.945,173.22,172.47,172.59,26407
COIN,2026-09-02,09:37,172.5,172.71,172.05,172.46,28259
COIN,2026-09-02,09:38,172.52,173.41,172.2501,173.1192,33029
COIN,2026-09-02,09:39,173.225,173.505,172.9701,173.505,19861
COIN,2026-09-02,09:40,173.495,174.38,173.41,174.27,34225
COIN,2026-09-02,09:41,174.27,174.7848,173.931,174.49,26485
COIN,2026-09-02,09:42,174.7578,176.1,174.65,175.985,35666
COIN,2026-09-02,09:43,175.99,176.29,175.5601,176.185,47399
COIN,2026-09-02,09:44,176.22,176.91,176,176.83,25732
COIN,2026-09-02,09:45,176.881,177.239,176.01,176.3501,40019
COIN,2026-09-02,09:46,176.565,177.16,176.395,177.03,27760
COIN,2026-09-02,09:47,176.834,177.137,176.5801,176.705,16401
COIN,2026-09-02,09:48,176.745,177.33,176.521,177.28,18422
COIN,2026-09-02,09:49,177.13,177.28,176.5669,176.5669,33660
COIN,2026-09-02,09:50,176.5925,177.11,176.5925,176.88,6674
COIN,2026-09-02,09:51,177.015,177.17,176.85,177.09,18136
COIN,2026-09-02,09:52,177.12,177.95,177.12,177.8,45635
COIN,2026-09-02,09:53,177.76,178.46,177.71,177.75,40586
COIN,2026-09-02,09:54,177.7,177.7,177.391,177.685,15959
COIN,2026-09-02,09:55,177.79,177.91,177.45,177.565,23109
COIN,2026-09-02,09:56,177.4811,178.23,177.4,178.095,33374
COIN,2026-09-02,09:57,178.1,178.38,177.4141,177.52,16492
COIN,2026-09-02,09:58,177.615,177.6353,177.2992,177.52,10241
COIN,2026-09-02,09:59,177.41,177.91,177.4,177.54,13889
COIN,2026-09-02,10:00,177.5193,177.86,177.3733,177.56,15751
COIN,2026-09-02,10:01,177.705,178.0914,177.705,177.905,18904
COIN,2026-09-02,10:02,178.04,178.22,177.581,178.22,17962
COIN,2026-09-02,10:03,178.3,178.3,177.2,177.29,13498
COIN,2026-09-02,10:04,177.292,177.6181,177.16,177.6181,12035
COIN,2026-09-02,10:05,177.6373,178.1699,177.428,177.84,8474
COIN,2026-09-02,10:06,178.2,178.2,177.92,178.09,10940
COIN,2026-09-02,10:07,178.2,178.2,177.73,177.814,11822
COIN,2026-09-02,10:08,177.86,178.105,177.68,178.105,9442
COIN,2026-09-02,10:09,178.02,178.18,176.83,177.25,17375
COIN,2026-09-02,10:10,177.265,177.9999,177.265,177.63,17137
COIN,2026-09-02,10:11,177.9076,178,177.66,177.865,12465
COIN,2026-09-02,10:12,177.87,177.88,177.1136,177.425,15739
COIN,2026-09-02,10:13,177.3459,177.6966,177.135,177.585,10044
COIN,2026-09-02,10:14,177.59,178,177.56,177.71,15313
COIN,2026-09-02,10:15,177.6901,178.01,177.58,177.825,11232
COIN,2026-09-02,10:16,177.9999,178.0899,177.69,177.815,8007
COIN,2026-09-02,10:17,177.705,177.81,177.6,177.81,9457
COIN,2026-09-02,10:18,177.77,177.81,177.4761,177.6823,10460
COIN,2026-09-02,10:19,177.83,177.959,177.63,177.87,10735
COIN,2026-09-02,10:20,177.77,177.85,177.635,177.8,6733
COIN,2026-09-02,10:21,177.8392,178.51,177.8392,178.4275,28313
COIN,2026-09-02,10:22,178.44,178.7221,178.161,178.49,24603
COIN,2026-09-02,10:23,178.28,178.43,178.125,178.22,19369
COIN,2026-09-02,10:24,178.255,178.32,178.0475,178.19,8800
COIN,2026-09-02,10:25,178.15,178.185,177.91,178.0325,9232
COIN,2026-09-02,10:26,178.035,178.369,177.9791,178.185,7160
COIN,2026-09-02,10:27,178.23,178.4,178.09,178.29,22817
COIN,2026-09-02,10:28,178.4,178.4,178.0961,178.23,6034
COIN,2026-09-02,10:29,178.23,178.25,177.94,178.0639,11966
COIN,2026-09-02,10:30,177.905,177.905,177.425,177.445,9612
COIN,2026-09-02,10:31,177.39,177.45,177.1,177.1415,25345
COIN,2026-09-02,10:32,177.2,177.4999,177.2,177.4,13721
COIN,2026-09-02,10:33,177.3,177.3,176.81,177.01,14524
COIN,2026-09-02,10:34,177.095,177.245,177,177.1,6441
COIN,2026-09-02,10:35,177.12,177.3339,177.0708,177.215,7904
COIN,2026-09-02,10:36,177.1225,177.31,176.8,176.94,6766
COIN,2026-09-02,10:37,176.8566,177.4,176.8566,177.1656,10032
COIN,2026-09-02,10:38,177.23,177.23,177.04,177.1,5215
COIN,2026-09-02,10:39,177.13,177.6395,177.06,177.545,11950
COIN,2026-09-02,10:40,177.68,177.9,177.29,177.45,33419
COIN,2026-09-02,10:41,177.5,177.79,177.42,177.42,6039
COIN,2026-09-02,10:42,177.5,177.87,177.1,177.145,15363
COIN,2026-09-02,10:43,177.02,177.49,177.02,177.46,10062
COIN,2026-09-02,10:44,177.63,178.08,177.565,177.69,12603
COIN,2026-09-02,10:45,177.711,177.82,177.52,177.7,27346
COIN,2026-09-02,10:46,177.56,177.825,177.47,177.825,34818
COIN,2026-09-02,10:47,177.86,177.86,177.61,177.75,3760
COIN,2026-09-02,10:48,177.8,178.015,177.8,177.88,3998
COIN,2026-09-02,10:49,178.09,178.4,178.05,178.185,10757
COIN,2026-09-02,10:50,178.23,178.35,178.028,178.1,9159
COIN,2026-09-02,10:51,178.1,178.1,177.81,177.88,4053
COIN,2026-09-02,10:52,177.805,177.805,177.48,177.61,9668
COIN,2026-09-02,10:53,177.51,177.7134,177.49,177.51,8006
COIN,2026-09-02,10:54,177.5,178,177.48,177.86,6216
COIN,2026-09-02,10:55,177.92,178.4,177.92,178.15,20774
COIN,2026-09-02,10:56,178.155,178.155,177.43,177.755,16007
COIN,2026-09-02,10:57,177.755,178.06,177.621,177.89,9647
COIN,2026-09-02,10:58,177.95,177.99,177.865,177.99,2302
COIN,2026-09-02,10:59,177.82,177.99,177.805,177.95,6101
COIN,2026-09-02,11:00,177.87,177.87,177.53,177.61,6107
COIN,2026-09-02,11:01,177.7299,177.7299,177.33,177.33,20730
COIN,2026-09-02,11:02,177.32,177.54,177.2,177.4401,14288
COIN,2026-09-02,11:03,177.54,177.76,177.54,177.76,3888
COIN,2026-09-02,11:04,177.84,177.95,177.49,177.751,9312
COIN,2026-09-02,11:05,177.751,178.0264,177.69,177.87,7040
COIN,2026-09-02,11:06,177.89,177.89,177.58,177.6,4878
COIN,2026-09-02,11:07,177.51,177.57,177.37,177.37,2868
COIN,2026-09-02,11:08,177.22,177.31,176.8802,176.9,18617
COIN,2026-09-02,11:09,176.945,177,176.6,176.79,13548
COIN,2026-09-02,11:10,176.545,176.6368,176.405,176.45,15052
COIN,2026-09-02,11:11,176.45,176.525,176.2201,176.5,13338
COIN,2026-09-02,11:12,176.46,176.57,176.4,176.57,6665
COIN,2026-09-02,11:13,176.48,176.63,176.42,176.55,4401
COIN,2026-09-02,11:14,176.52,176.76,176.4337,176.725,7575
