symbol,date,time,open,high,low,close,volume
CRDO,2026-09-04,09:30,162.1,164.4499,160.75,161.245,853308
CRDO,2026-09-04,09:31,161.035,163.76,161.035,163.54,54011
CRDO,2026-09-04,09:32,163.495,163.8,162.6601,163.08,46777
CRDO,2026-09-04,09:33,162.99,162.99,161.06,161.4904,48375
CRDO,2026-09-04,09:34,161.605,163.5999,161.57,163.38,64497
CRDO,2026-09-04,09:35,163.445,164.88,163.27,164.785,74357
CRDO,2026-09-04,09:36,164.88,166.39,164.71,165.29,122976
CRDO,2026-09-04,09:37,165.29,166.48,165.0777,166.14,81996
CRDO,2026-09-04,09:38,166.11,166.11,164.51,164.89,49962
CRDO,2026-09-04,09:39,164.89,165.57,164.5,165.57,45976
CRDO,2026-09-04,09:40,165.7,167.12,165.6618,166.6,119875
CRDO,2026-09-04,09:41,166.8088,166.82,165.37,165.52,56676
CRDO,2026-09-04,09:42,165.52,166.49,165.52,166.215,41300
CRDO,2026-09-04,09:43,166.215,168.5,166.148,168.455,115803
CRDO,2026-09-04,09:44,168.598,169.48,168.21,168.565,175866
CRDO,2026-09-04,09:45,168.47,168.93,167.71,167.9907,75534
CRDO,2026-09-04,09:46,167.8846,169.29,167.8846,168.865,72717
CRDO,2026-09-04,09:47,168.9492,169.28,168.5,168.7,58596
CRDO,2026-09-04,09:48,168.68,170.22,168.6,170.18,113893
CRDO,2026-09-04,09:49,169.995,170.51,169.55,170.04,90166
CRDO,2026-09-04,09:50,170.13,170.675,169.8,170.675,88463
CRDO,2026-09-04,09:51,170.545,170.67,169.01,169.4,80841
CRDO,2026-09-04,09:52,169.28,170.49,169.16,170.06,58439
CRDO,2026-09-04,09:53,170.165,170.675,169.75,170.49,45133
CRDO,2026-09-04,09:54,170.4551,171.07,170.1905,170.26,68527
CRDO,2026-09-04,09:55,170.26,170.4144,169.78,170.18,56324
CRDO,2026-09-04,09:56,170.325,171.3,170.19,170.9918,78580
CRDO,2026-09-04,09:57,171.0406,171.68,171,171.235,54402
CRDO,2026-09-04,09:58,171.33,171.3692,170.6726,170.95,57056
CRDO,2026-09-04,09:59,170.96,171.2,170.46,170.66,54073
CRDO,2026-09-04,10:00,170.52,170.75,169.254,169.4,71389
CRDO,2026-09-04,10:01,169.33,169.33,168.634,169.025,41830
CRDO,2026-09-04,10:02,169.15,170.74,169.12,170.1,43796
CRDO,2026-09-04,10:03,170.085,170.48,169.5765,170.18,25268
CRDO,2026-09-04,10:04,170.19,170.3,169.56,169.8,21342
CRDO,2026-09-04,10:05,169.86,170,169.505,169.68,69702
CRDO,2026-09-04,10:06,169.85,170.8,169.58,170.7515,41964
CRDO,2026-09-04,10:07,170.58,171.5,170.31,171.25,56947
CRDO,2026-09-04,10:08,171.33,172.03,171.23,171.82,71627
CRDO,2026-09-04,10:09,171.875,171.9524,171.11,171.1555,56578
CRDO,2026-09-04,10:10,171.3179,171.6164,171.01,171.23,29813
CRDO,2026-09-04,10:11,171.3928,171.52,171.01,171.22,26483
CRDO,2026-09-04,10:12,171.22,171.3,170.5801,170.62,50796
CRDO,2026-09-04,10:13,170.625,171.49,170.595,171.28,30758
CRDO,2026-09-04,10:14,171.25,171.65,170.68,171.555,30673
CRDO,2026-09-04,10:15,171.555,171.5999,171.01,171.2,34043
CRDO,2026-09-04,10:16,171.29,171.63,170.24,170.28,84931
CRDO,2026-09-04,10:17,170.39,170.7809,169.6257,169.75,25273
CRDO,2026-09-04,10:18,169.87,170.24,169.68,170.17,31969
CRDO,2026-09-04,10:19,170.17,170.335,169.8,170.15,27672
CRDO,2026-09-04,10:20,170.11,170.7761,169.8,169.9999,34111
CRDO,2026-09-04,10:21,169.99,170.64,169.935,170.44,21001
CRDO,2026-09-04,10:22,170.5,170.56,170.19,170.38,19331
CRDO,2026-09-04,10:23,170.3,171.095,170.3,171.095,36550
CRDO,2026-09-04,10:24,171.205,171.43,170.83,171.25,35256
CRDO,2026-09-04,10:25,171.1,171.64,170.7801,170.7801,40967
CRDO,2026-09-04,10:26,170.89,170.9,169.63,170.03,47914
CRDO,2026-09-04,10:27,170.03,170.4,169.92,170.4,27088
CRDO,2026-09-04,10:28,170.3972,170.9,169.745,170.6,41990
CRDO,2026-09-04,10:29,170.62,170.7739,170.0101,170.75,20280
CRDO,2026-09-04,10:30,170.63,170.81,170.12,170.265,22256
CRDO,2026-09-04,10:31,170.2625,170.52,170.14,170.285,23223
CRDO,2026-09-04,10:32,170.295,170.9,169.85,169.98,38712
CRDO,2026-09-04,10:33,169.98,170.94,169.98,170.195,30508
CRDO,2026-09-04,10:34,170.195,170.562,170.195,170.215,12747
CRDO,2026-09-04,10:35,170.47,170.7,170.29,170.29,8642
CRDO,2026-09-04,10:36,170.52,171.5,170.38,171.2437,51219
CRDO,2026-09-04,10:37,171.405,171.98,171.13,171.91,42735
CRDO,2026-09-04,10:38,171.92,171.95,171.2,171.5,44196
CRDO,2026-09-04,10:39,171.47,171.67,171.2494,171.57,20191
CRDO,2026-09-04,10:40,171.485,171.6369,170.97,171.08,14946
CRDO,2026-09-04,10:41,171.01,171.15,170.48,170.61,12621
CRDO,2026-09-04,10:42,170.5847,170.69,169.37,169.655,38696
CRDO,2026-09-04,10:43,169.73,169.73,169.04,169.1,21024
CRDO,2026-09-04,10:44,169.095,169.17,168.83,169.06,43536
CRDO,2026-09-04,10:45,169.045,169.135,168.4,168.4127,29870
CRDO,2026-09-04,10:46,168.4,169.13,168.22,169.13,40075
CRDO,2026-09-04,10:47,169.12,169.12,168.67,168.78,33325
CRDO,2026-09-04,10:48,168.775,168.7999,168.6005,168.71,23627
CRDO,2026-09-04,10:49,168.92,168.9899,168.51,168.62,20216
CRDO,2026-09-04,10:50,168.6,168.8668,168.52,168.8668,20693
CRDO,2026-09-04,10:51,168.79,169.1065,168.76,169,37797
CRDO,2026-09-04,10:52,169.09,169.56,169.07,169.56,21088
CRDO,2026-09-04,10:53,169.55,170.23,169.2001,170.11,31837
CRDO,2026-09-04,10:54,170.17,170.17,169.64,169.69,18782
CRDO,2026-09-04,10:55,169.835,170.25,169.8,170.18,19498
CRDO,2026-09-04,10:56,170.2775,170.5,170.17,170.21,18156
CRDO,2026-09-04,10:57,170.21,170.86,170.21,170.765,14283
CRDO,2026-09-04,10:58,170.8,170.87,170.3,170.53,13097
CRDO,2026-09-04,10:59,170.6,170.69,170.09,170.35,12611
CRDO,2026-09-04,11:00,170.23,170.8,170.09,170.78,15718
CRDO,2026-09-04,11:01,170.5611,170.605,170,170.31,25962
CRDO,2026-09-04,11:02,170.38,170.9,170.35,170.76,17010
CRDO,2026-09-04,11:03,170.84,170.84,170.23,170.38,17380
CRDO,2026-09-04,11:04,170.36,170.49,170.26,170.31,11159
CRDO,2026-09-04,11:05,170.35,170.5047,170.32,170.42,6689
CRDO,2026-09-04,11:06,170.3601,170.56,169.95,170.135,24467
CRDO,2026-09-04,11:07,170.135,170.49,170.12,170.27,14124
CRDO,2026-09-04,11:08,170.16,170.27,169.76,169.99,17229
CRDO,2026-09-04,11:09,170.05,170.205,169.72,169.77,25701
CRDO,2026-09-04,11:10,169.79,170.45,169.79,170.23,33048
CRDO,2026-09-04,11:11,170.2,170.46,170.2,170.41,10219
CRDO,2026-09-04,11:12,170.5,171.39,170.5,171.34,32543
CRDO,2026-09-04,11:13,171.27,171.585,171.19,171.36,17960
CRDO,2026-09-04,11:14,171.22,171.5,171.22,171.39,19860
CRDO,2026-09-04,11:15,171.39,171.74,171.16,171.185,28789
CRDO,2026-09-04,11:16,171.155,171.4,170.8321,170.88,15557
CRDO,2026-09-04,11:17,170.825,170.9977,170.6701,170.98,10699
CRDO,2026-09-04,11:18,170.84,171.01,170.6606,170.89,17019
CRDO,2026-09-04,11:19,170.91,171,170.8,170.9433,8019
CRDO,2026-09-04,11:20,170.995,171.01,170.5305,170.58,13789
CRDO,2026-09-04,11:21,170.56,170.74,170.41,170.43,15552
CRDO,2026-09-04,11:22,170.57,171.09,170.57,171.09,10760
CRDO,2026-09-04,11:23,170.85,170.905,170.43,170.58,10071
CRDO,2026-09-04,11:24,170.6,170.82,170.58,170.67,16346
CRDO,2026-09-04,11:25,170.635,170.9999,170.635,170.905,16010
CRDO,2026-09-04,11:26,170.9,170.915,170.21,170.47,19158
CRDO,2026-09-04,11:27,170.35,170.5999,170.285,170.455,11297
CRDO,2026-09-04,11:28,170.495,170.6,170.33,170.554,14536
CRDO,2026-09-04,11:29,170.51,170.77,170.34,170.77,13144
CRDO,2026-09-04,11:30,170.78,170.815,169.905,170.02,29661
CRDO,2026-09-04,11:31,170.02,170.0974,169.5,169.76,31733
CRDO,2026-09-04,11:32,169.53,169.91,169.53,169.87,18560
CRDO,2026-09-04,11:33,169.9099,169.92,169.53,169.53,16487
CRDO,2026-09-04,11:34,169.535,169.9125,169.5301,169.6972,10612
CRDO,2026-09-04,11:35,169.92,170.1839,169.8594,170.085,9049
CRDO,2026-09-04,11:36,170.1,170.2351,169.91,169.91,11837
CRDO,2026-09-04,11:37,169.84,169.89,169.7169,169.7169,16212
CRDO,2026-09-04,11:38,169.735,169.8,169.5312,169.64,12357
CRDO,2026-09-04,11:39,169.62,169.645,169.52,169.635,5190
CRDO,2026-09-04,11:40,169.635,169.635,169.25,169.385,19216
CRDO,2026-09-04,11:41,169.28,169.49,169.25,169.42,11226
CRDO,2026-09-04,11:42,169.43,169.51,169.245,169.27,7187
CRDO,2026-09-04,11:43,169.32,169.68,169.32,169.68,15727
CRDO,2026-09-04,11:44,169.645,169.72,169.29,169.44,20419
CRDO,2026-09-04,11:45,169.36,169.5275,169.355,169.4,3657
CRDO,2026-09-04,11:46,169.53,169.53,168.98,169.03,18591
CRDO,2026-09-04,11:47,169.025,169.2,169.025,169.12,10979
CRDO,2026-09-04,11:48,169.1,169.18,169,169.17,5369
CRDO,2026-09-04,11:49,169.08,169.2,169.04,169.09,12124
CRDO,2026-09-04,11:50,169.15,169.2,168.95,168.95,11927
CRDO,2026-09-04,11:51,169.1,169.259,169,169.045,12649
CRDO,2026-09-04,11:52,168.97,169.1,168.94,168.99,15699
CRDO,2026-09-04,11:53,168.975,168.975,168.65,168.86,28046
CRDO,2026-09-04,11:54,168.94,168.94,168.6508,168.85,7033
CRDO,2026-09-04,11:55,168.765,169.02,168.7502,168.855,10073
CRDO,2026-09-04,11:56,168.98,169.13,168.92,168.92,14869
CRDO,2026-09-04,11:57,168.99,169.1362,168.9674,169.1,8669
CRDO,2026-09-04,11:58,169.16,169.3899,169.0001,169.14,8840
CRDO,2026-09-04,11:59,169.155,169.3999,169.15,169.28,15888
