symbol,date,time,open,high,low,close,volume
CRWD,2026-09-08,09:30,209.85,210.8,207.3701,207.53,286574
CRWD,2026-09-08,09:31,207.4957,207.81,205.41,207.43,60719
CRWD,2026-09-08,09:32,207.625,209.4727,207.605,208.76,42812
CRWD,2026-09-08,09:33,208.76,210.2986,208.63,210.04,27015
CRWD,2026-09-08,09:34,209.975,209.975,208.74,209.11,33996
CRWD,2026-09-08,09:35,209.095,210.25,208.81,209.79,23787
CRWD,2026-09-08,09:36,209.78,210.3165,209.59,210.2,31251
CRWD,2026-09-08,09:37,210.105,210.524,209.88,210.31,19349
CRWD,2026-09-08,09:38,210.24,210.83,209.4501,210.3901,26465
CRWD,2026-09-08,09:39,210.5,210.61,209.215,209.55,26132
CRWD,2026-09-08,09:40,209.526,210.24,209.526,209.7415,27064
CRWD,2026-09-08,09:41,209.77,210.35,209.64,210.3299,15073
CRWD,2026-09-08,09:42,210.275,210.275,209.37,209.94,13723
CRWD,2026-09-08,09:43,209.94,210.05,209.14,209.2,20431
CRWD,2026-09-08,09:44,209.195,209.29,208.14,208.31,31681
CRWD,2026-09-08,09:45,208.43,208.61,208.08,208.5,20874
CRWD,2026-09-08,09:46,208.5,208.71,207.75,207.8901,12735
CRWD,2026-09-08,09:47,207.89,208.4883,207.7203,208.24,13320
CRWD,2026-09-08,09:48,208.215,208.57,208.09,208.415,12379
CRWD,2026-09-08,09:49,208.46,208.99,208.38,208.92,21245
CRWD,2026-09-08,09:50,208.875,209.41,208.7,209.225,14516
CRWD,2026-09-08,09:51,209.03,209.07,208.47,208.765,8575
CRWD,2026-09-08,09:52,208.6,208.73,207.65,207.705,15714
CRWD,2026-09-08,09:53,207.59,207.8325,207.29,207.72,18275
CRWD,2026-09-08,09:54,207.8896,208.02,207.6801,208.02,15656
CRWD,2026-09-08,09:55,208.03,208.09,207.8636,208.03,8000
CRWD,2026-09-08,09:56,208.03,208.1132,207.7314,207.875,13652
CRWD,2026-09-08,09:57,207.88,208.49,207.7779,208.244,10393
CRWD,2026-09-08,09:58,208.17,208.97,208,208.81,11551
CRWD,2026-09-08,09:59,208.83,208.96,208.52,208.6,8450
CRWD,2026-09-08,10:00,208.57,208.57,207.74,207.815,21438
CRWD,2026-09-08,10:01,207.74,207.74,207.13,207.13,21298
CRWD,2026-09-08,10:02,207.225,207.49,206.83,207.19,28075
CRWD,2026-09-08,10:03,207.01,207.36,207,207.11,15168
CRWD,2026-09-08,10:04,207.0701,207.47,206.9701,207.47,17339
CRWD,2026-09-08,10:05,207.48,207.5041,206.9453,207.01,10191
CRWD,2026-09-08,10:06,207.02,207.14,206.8,206.955,11850
CRWD,2026-09-08,10:07,207.09,207.33,206.92,207.2143,14661
CRWD,2026-09-08,10:08,207.27,207.3491,206.9001,206.9001,16566
CRWD,2026-09-08,10:09,206.936,207.0499,206.675,206.675,15074
CRWD,2026-09-08,10:10,206.68,206.84,206.4801,206.78,30191
CRWD,2026-09-08,10:11,206.7001,206.83,206.47,206.59,15523
CRWD,2026-09-08,10:12,206.67,207.155,206.67,206.98,11499
CRWD,2026-09-08,10:13,206.98,207.225,206.82,207.12,10198
CRWD,2026-09-08,10:14,207.13,207.26,207.0001,207.26,4874
CRWD,2026-09-08,10:15,207.245,207.84,207.1,207.72,11449
CRWD,2026-09-08,10:16,207.72,207.9599,207.6491,207.855,13845
CRWD,2026-09-08,10:17,207.875,207.95,207.745,207.88,8184
CRWD,2026-09-08,10:18,207.88,207.998,207.5,207.58,20185
CRWD,2026-09-08,10:19,207.58,207.7172,207.431,207.7172,10463
CRWD,2026-09-08,10:20,207.63,207.63,207.17,207.29,8147
CRWD,2026-09-08,10:21,207.27,207.51,207.27,207.35,8244
CRWD,2026-09-08,10:22,207.35,207.94,207.16,207.63,21504
CRWD,2026-09-08,10:23,207.57,207.79,207.31,207.335,8620
CRWD,2026-09-08,10:24,207.3799,207.44,207.23,207.385,12260
CRWD,2026-09-08,10:25,207.4,207.48,207.11,207.1435,9253
CRWD,2026-09-08,10:26,207.23,207.29,206.36,206.47,23715
CRWD,2026-09-08,10:27,206.5,206.53,206.39,206.48,11362
CRWD,2026-09-08,10:28,206.4894,206.55,206.3005,206.475,13838
CRWD,2026-09-08,10:29,206.5,206.5597,206.3006,206.375,12426
CRWD,2026-09-08,10:30,206.35,206.68,206.339,206.54,19548
CRWD,2026-09-08,10:31,206.54,207.43,206.5,207.37,16568
CRWD,2026-09-08,10:32,207.395,207.5,207.0521,207.455,13428
CRWD,2026-09-08,10:33,207.485,207.53,207,207.11,8994
