symbol,date,time,open,high,low,close,volume
DELL,2026-09-02,09:30,462.05,464.3502,457,463.66,1833055
DELL,2026-09-02,09:31,463.4722,474.4,462.16,471.625,674178
DELL,2026-09-02,09:32,471.635,472,466.38,469.11,269243
DELL,2026-09-02,09:33,469.5,474.77,468.67,473.13,310191
DELL,2026-09-02,09:34,473.14,473.7599,465.19,466.38,252438
DELL,2026-09-02,09:35,466.43,469,451.5,453,393219
DELL,2026-09-02,09:36,453.23,458.63,452.53,457.75,319991
DELL,2026-09-02,09:37,457.71,464.3999,457.5,462.9144,220530
DELL,2026-09-02,09:38,463.26,464.37,461.54,462.78,182777
DELL,2026-09-02,09:39,463.531,468.75,463.01,467,236120
DELL,2026-09-02,09:40,467.17,470.55,466.0001,469.1326,208072
DELL,2026-09-02,09:41,469.9399,474.33,468.3001,473.505,318275
DELL,2026-09-02,09:42,473.8412,475.58,472.34,474.515,363034
DELL,2026-09-02,09:43,474.1123,475.8201,472.01,473.64,202144
DELL,2026-09-02,09:44,473.37,478.5292,471.2201,478.125,286306
DELL,2026-09-02,09:45,477.8647,481.99,477.09,481.5,350708
DELL,2026-09-02,09:46,481.56,483.9396,477.81,479.99,292580
DELL,2026-09-02,09:47,479.9999,482.84,479,479.02,155458
DELL,2026-09-02,09:48,478.5301,479.996,471.23,471.67,238961
DELL,2026-09-02,09:49,471.9474,472.3599,468.2101,471.69,255800
DELL,2026-09-02,09:50,471.59,471.9999,464.0001,466.29,207540
DELL,2026-09-02,09:51,467,468.5,459.11,459.955,256338
DELL,2026-09-02,09:52,460.29,460.85,454.55,454.6372,255347
DELL,2026-09-02,09:53,454.98,457,453.55,455.84,306975
DELL,2026-09-02,09:54,455.84,456.88,454.13,454.8712,175023
DELL,2026-09-02,09:55,455,455.8044,453,455.22,140036
DELL,2026-09-02,09:56,455.22,455.81,452.2,454.56,147799
DELL,2026-09-02,09:57,454.41,454.98,447.57,449.09,335253
DELL,2026-09-02,09:58,448.89,452.88,448.77,451.7212,189009
DELL,2026-09-02,09:59,451.7699,452.9899,449,452.2599,139235
DELL,2026-09-02,10:00,452,452.54,449.48,450.354,94330
DELL,2026-09-02,10:01,450.87,452.187,448.5,450.48,130105
DELL,2026-09-02,10:02,450.2087,450.99,448.5,448.535,108976
DELL,2026-09-02,10:03,448.495,449.4,446.5,448.112,180554
DELL,2026-09-02,10:04,448.28,448.9832,446.25,448.045,104576
DELL,2026-09-02,10:05,448.045,448.4999,446,447.01,119969
DELL,2026-09-02,10:06,447.125,447.5092,442.68,444.78,278009
DELL,2026-09-02,10:07,444.945,447.29,444.6001,445.93,104806
DELL,2026-09-02,10:08,446.03,446.03,444.22,444.8672,64757
DELL,2026-09-02,10:09,444.58,445.17,442.13,443.495,120337
DELL,2026-09-02,10:10,443.94,444,441.5,442.502,154659
DELL,2026-09-02,10:11,442.2526,442.82,439.5,439.5619,187475
DELL,2026-09-02,10:12,439.515,439.7399,435.1,435.1,255656
DELL,2026-09-02,10:13,435.4,436.6061,432.2651,433.455,259568
DELL,2026-09-02,10:14,433.455,436.49,432.5515,436.2197,182345
DELL,2026-09-02,10:15,436.4999,436.99,434.5894,435.77,179774
DELL,2026-09-02,10:16,435.9744,442.4899,435.03,440.8151,324702
DELL,2026-09-02,10:17,441.08,441.44,439.0624,440.36,165124
DELL,2026-09-02,10:18,440.35,444.99,439.57,444.94,238006
DELL,2026-09-02,10:19,444.92,445.95,444.09,445.416,251972
DELL,2026-09-02,10:20,445.33,447.3138,444.85,446.875,188648
DELL,2026-09-02,10:21,446.745,447.69,445.35,446.25,145388
DELL,2026-09-02,10:22,446.0944,447,445.02,446.09,105236
DELL,2026-09-02,10:23,446.2,446.9,445.35,446.39,62718
DELL,2026-09-02,10:24,446.39,446.5899,444.4215,445.1572,106709
DELL,2026-09-02,10:25,445.145,446,442.8901,443.3,84865
DELL,2026-09-02,10:26,443.3,443.9999,440.92,442.19,144211
DELL,2026-09-02,10:27,442.11,443.2499,441.55,442.5101,102127
DELL,2026-09-02,10:28,442.775,445.6869,442.55,445.25,111877
DELL,2026-09-02,10:29,445.31,445.31,442.59,443.5,77631
DELL,2026-09-02,10:30,443.49,443.99,442.16,443.66,56102
DELL,2026-09-02,10:31,443.6106,444.16,442.59,443.9131,39768
DELL,2026-09-02,10:32,443.82,444.243,441.895,444,70303
DELL,2026-09-02,10:33,444.2,444.3,442.98,442.98,39834
DELL,2026-09-02,10:34,442.8973,443.98,442.3583,443.1587,51684
DELL,2026-09-02,10:35,443.33,444.33,442.7,442.87,40569
DELL,2026-09-02,10:36,442.89,443.55,442,443.525,51579
DELL,2026-09-02,10:37,443.58,443.7,442.5,442.69,32296
DELL,2026-09-02,10:38,442.85,443.5848,442.51,442.75,24666
DELL,2026-09-02,10:39,443,444.3999,442.26,444.2,51751
DELL,2026-09-02,10:40,444.01,445.38,443.53,444.4568,86733
DELL,2026-09-02,10:41,445.0829,445.2606,443.5819,443.984,63073
DELL,2026-09-02,10:42,444.17,444.759,443.5,443.84,36442
DELL,2026-09-02,10:43,443.845,444.55,443.0701,443.295,27015
DELL,2026-09-02,10:44,443.405,443.92,443.35,443.785,21281
DELL,2026-09-02,10:45,443.79,444.21,442.7801,443.81,51079
DELL,2026-09-02,10:46,443.885,444.98,443.7,444.49,35727
DELL,2026-09-02,10:47,444.49,444.7999,443.38,443.63,28691
DELL,2026-09-02,10:48,443.63,443.885,442.5,442.645,47850
DELL,2026-09-02,10:49,442.33,443.07,440.68,441.35,93721
DELL,2026-09-02,10:50,441.645,441.979,439.17,439.775,137614
DELL,2026-09-02,10:51,439.777,441.34,439.16,441.15,52175
DELL,2026-09-02,10:52,441.15,442.2599,440.55,442.05,47368
DELL,2026-09-02,10:53,442.05,442.48,440.5001,440.71,30507
DELL,2026-09-02,10:54,440.71,441.595,440,441.39,51812
DELL,2026-09-02,10:55,441.075,441.49,440.5001,440.94,20481
DELL,2026-09-02,10:56,441.04,441.04,440.38,440.68,21363
DELL,2026-09-02,10:57,440.42,441.9,440.11,441.335,25915
DELL,2026-09-02,10:58,441.58,442.41,441.3125,442.41,37618
DELL,2026-09-02,10:59,442.41,443.68,441.8166,443.68,56609
DELL,2026-09-02,11:00,443.0676,444.17,443.0001,443.49,41811
DELL,2026-09-02,11:01,443.5,443.54,441.7,442.34,36344
DELL,2026-09-02,11:02,442.46,442.76,441,442.075,45980
DELL,2026-09-02,11:03,441.655,444.0299,441.25,443.969,31125
DELL,2026-09-02,11:04,443.735,444.4,443.2454,443.9794,36647
DELL,2026-09-02,11:05,443.5658,444.4,443.51,443.805,31021
DELL,2026-09-02,11:06,443.805,446.6299,443.6904,446,96388
DELL,2026-09-02,11:07,445.7,446.78,444.99,445.895,56949
DELL,2026-09-02,11:08,445.895,446.87,445.52,446.09,54812
DELL,2026-09-02,11:09,446.44,446.7799,445,445.495,55181
DELL,2026-09-02,11:10,445.495,445.495,443.58,445.395,43590
DELL,2026-09-02,11:11,445.7295,445.98,445,445.2601,29969
DELL,2026-09-02,11:12,445.62,446.2,445.26,445.725,38100
DELL,2026-09-02,11:13,446,446.5,445.155,445.575,26299
DELL,2026-09-02,11:14,445.68,445.77,445.01,445.54,24558
DELL,2026-09-02,11:15,445.54,445.9399,445,445.385,22921
DELL,2026-09-02,11:16,445.385,446.48,445.0879,445.75,26125
DELL,2026-09-02,11:17,445.75,445.81,444.5116,444.86,27160
DELL,2026-09-02,11:18,444.86,445.5899,444.51,444.54,20307
DELL,2026-09-02,11:19,444.51,445.8195,444.51,445.7,14163
