symbol,date,time,open,high,low,close,volume
ICE,2026-09-08,09:30,160,160.63,159.43,159.43,97188
ICE,2026-09-08,09:31,159.43,159.49,159.415,159.49,1328
ICE,2026-09-08,09:32,159.4,159.4,158.87,159.38,1107
ICE,2026-09-08,09:33,159.375,159.38,159.36,159.38,1000
ICE,2026-09-08,09:34,159.325,159.335,158.93,158.93,3236
ICE,2026-09-08,09:35,159.325,159.61,159.315,159.61,1667
ICE,2026-09-08,09:36,159.23,159.23,159.0675,159.1,1329
ICE,2026-09-08,09:37,159.105,159.105,158.88,159.09,1060
ICE,2026-09-08,09:38,159.01,159.01,158.87,158.985,2381
ICE,2026-09-08,09:39,159.13,159.24,159.04,159.24,4833
ICE,2026-09-08,09:40,159.06,159.25,159.06,159.23,2407
ICE,2026-09-08,09:41,159.21,159.21,159.21,159.21,1334
ICE,2026-09-08,09:42,159.22,159.41,159.215,159.38,3356
ICE,2026-09-08,09:43,159.31,159.31,158.79,159.01,9959
ICE,2026-09-08,09:44,158.74,158.88,158.46,158.88,7017
ICE,2026-09-08,09:45,159.06,159.495,158.94,158.94,5810
ICE,2026-09-08,09:46,158.92,159.11,158.92,159.11,1614
ICE,2026-09-08,09:47,159.11,159.34,159.015,159.34,4292
ICE,2026-09-08,09:48,159.44,159.445,159.4075,159.445,1494
ICE,2026-09-08,09:49,159.445,159.54,159.39,159.54,1653
ICE,2026-09-08,09:50,159.62,159.77,159.41,159.715,3689
ICE,2026-09-08,09:51,159.705,159.705,159.44,159.44,2498
ICE,2026-09-08,09:52,159.36,159.37,159.13,159.35,1861
ICE,2026-09-08,09:53,159.48,159.52,159.2725,159.2725,4000
ICE,2026-09-08,09:54,159.52,159.53,159.445,159.445,1747
ICE,2026-09-08,09:55,159.71,159.84,159.71,159.84,894
ICE,2026-09-08,09:56,159.765,159.765,159.51,159.51,1750
ICE,2026-09-08,09:57,159.51,159.65,159.435,159.435,1334
ICE,2026-09-08,09:58,159.57,159.63,159.44,159.48,2420
ICE,2026-09-08,09:59,159.48,159.48,159.43,159.43,1107
ICE,2026-09-08,10:00,159.44,159.72,159.44,159.705,3170
ICE,2026-09-08,10:01,159.89,159.94,159.74,159.805,2246
ICE,2026-09-08,10:02,159.81,159.81,159.44,159.45,1676
ICE,2026-09-08,10:03,159.37,159.395,159.2,159.315,2532
ICE,2026-09-08,10:04,159.355,159.36,159.23,159.36,3858
ICE,2026-09-08,10:05,159.51,159.57,159.43,159.43,2362
ICE,2026-09-08,10:06,159.67,159.775,159.43,159.43,5980
ICE,2026-09-08,10:07,159.49,159.655,159.49,159.565,3370
ICE,2026-09-08,10:08,159.64,159.885,159.64,159.885,2925
ICE,2026-09-08,10:09,159.87,159.87,159.74,159.835,5649
ICE,2026-09-08,10:10,159.78,159.881,159.76,159.83,1608
ICE,2026-09-08,10:11,159.89,159.89,159.73,159.73,3565
ICE,2026-09-08,10:12,159.82,159.82,159.68,159.685,1268
ICE,2026-09-08,10:13,159.68,159.77,159.59,159.77,2335
ICE,2026-09-08,10:14,159.715,159.715,159.675,159.675,3361
ICE,2026-09-08,10:15,159.675,159.675,159.45,159.45,1787
ICE,2026-09-08,10:16,159.43,159.49,159.35,159.49,2439
ICE,2026-09-08,10:17,159.48,159.52,159.385,159.49,1357
