symbol,date,time,open,high,low,close,volume
ISRG,2026-09-02,09:30,369,370.46,368.25,370.2,20213
ISRG,2026-09-02,09:31,370.46,371.34,369.525,370.87,10526
ISRG,2026-09-02,09:32,370.82,372.05,370.82,371.91,2261
ISRG,2026-09-02,09:33,372.09,372.44,370.815,371.1898,1884
ISRG,2026-09-02,09:34,371.5512,372.75,371.0251,372.71,3272
ISRG,2026-09-02,09:35,372.29,373,372.2405,373,5190
ISRG,2026-09-02,09:36,373.5565,373.99,372.79,373.565,3524
ISRG,2026-09-02,09:37,373.99,373.99,373.12,373.52,2129
ISRG,2026-09-02,09:38,373.5,373.5,372.8,373.26,3689
ISRG,2026-09-02,09:39,373.28,373.86,373.24,373.86,2492
ISRG,2026-09-02,09:40,373.4653,375,373.4653,374.325,5624
ISRG,2026-09-02,09:41,374.36,374.36,374.145,374.145,1502
ISRG,2026-09-02,09:42,374.62,374.72,374.16,374.3,2330
ISRG,2026-09-02,09:43,374.0702,374.745,374.0702,374.745,4024
ISRG,2026-09-02,09:44,374.5,375.1,374.49,375.1,5596
ISRG,2026-09-02,09:45,375.39,375.7879,375.11,375.255,4941
ISRG,2026-09-02,09:46,375.06,375.28,374.795,375.24,2699
ISRG,2026-09-02,09:47,375.24,375.4,375.07,375.4,2213
ISRG,2026-09-02,09:48,375.695,376.11,375.695,375.82,4010
ISRG,2026-09-02,09:49,375.81,376.1199,375.72,376.06,3939
ISRG,2026-09-02,09:50,376,376.31,375.99,376.2839,6767
ISRG,2026-09-02,09:51,376.22,377.145,376.0001,377.145,3744
ISRG,2026-09-02,09:52,377.11,377.94,377.105,377.94,2317
ISRG,2026-09-02,09:53,377.95,379.215,377.93,379.21,7530
ISRG,2026-09-02,09:54,379.56,380.45,379.55,380.45,8673
ISRG,2026-09-02,09:55,380.835,381.1165,380.47,380.475,4909
ISRG,2026-09-02,09:56,380.6093,380.75,380.32,380.4075,4569
ISRG,2026-09-02,09:57,380.4,380.4,379.8022,380.14,3899
ISRG,2026-09-02,09:58,380.14,380.14,379.78,379.9,4241
ISRG,2026-09-02,09:59,380.17,380.28,379.88,380.1157,2939
ISRG,2026-09-02,10:00,380.325,380.52,379.85,380.0326,4484
ISRG,2026-09-02,10:01,380,381,380,380.735,7761
ISRG,2026-09-02,10:02,380.6944,381.39,380.6944,381.38,2397
ISRG,2026-09-02,10:03,381.38,382.24,381.355,381.89,6612
ISRG,2026-09-02,10:04,381.71,381.71,380.82,381.185,4322
ISRG,2026-09-02,10:05,381.19,381.75,380.53,381.06,4677
ISRG,2026-09-02,10:06,380.9,381.16,380.6,380.82,4748
ISRG,2026-09-02,10:07,380.745,380.94,380,380.44,4754
ISRG,2026-09-02,10:08,380.485,380.7,380.38,380.38,3067
ISRG,2026-09-02,10:09,380.23,380.23,379.31,379.82,4435
ISRG,2026-09-02,10:10,379.565,379.67,379.36,379.5828,3516
ISRG,2026-09-02,10:11,379.68,380.03,379.58,379.825,14465
ISRG,2026-09-02,10:12,379.825,380,379.47,379.655,5282
ISRG,2026-09-02,10:13,379.545,379.73,379.06,379.31,3604
ISRG,2026-09-02,10:14,379.31,379.545,379.2501,379.46,3335
ISRG,2026-09-02,10:15,379.465,379.5,379.25,379.38,3627
ISRG,2026-09-02,10:16,379.38,379.38,378.55,378.725,3392
ISRG,2026-09-02,10:17,378.73,379.3795,378.52,379.3795,5998
ISRG,2026-09-02,10:18,378.92,379.06,378.22,378.6038,5154
ISRG,2026-09-02,10:19,378.49,378.73,377.965,378.29,3098
ISRG,2026-09-02,10:20,378.215,378.7,378.215,378.7,1304
ISRG,2026-09-02,10:21,378.76,379.53,378.63,379.46,8930
ISRG,2026-09-02,10:22,379.4601,379.4601,378.9,378.9,2905
ISRG,2026-09-02,10:23,379.69,379.83,379.44,379.48,2265
ISRG,2026-09-02,10:24,379.4,379.85,379.4,379.595,2946
ISRG,2026-09-02,10:25,379.6536,379.79,379.38,379.715,6535
ISRG,2026-09-02,10:26,379.86,379.86,379.66,379.76,2336
ISRG,2026-09-02,10:27,379.76,380.4,379.72,380.05,2361
ISRG,2026-09-02,10:28,379.85,379.85,379.2,379.2,2190
ISRG,2026-09-02,10:29,379.57,379.57,379.13,379.2625,2344
ISRG,2026-09-02,10:30,379.29,379.56,379.2851,379.56,1810
ISRG,2026-09-02,10:31,379.535,379.85,379.53,379.75,4425
ISRG,2026-09-02,10:32,379.74,379.755,379.3001,379.33,2483
ISRG,2026-09-02,10:33,379.2,379.5699,378.72,379.405,4582
ISRG,2026-09-02,10:34,379.24,379.35,379.11,379.2625,1981
ISRG,2026-09-02,10:35,379.22,379.41,379.13,379.25,1762
ISRG,2026-09-02,10:36,378.96,379.005,378.79,378.89,1659
ISRG,2026-09-02,10:37,379.13,379.86,379.13,379.86,3192
ISRG,2026-09-02,10:38,379.825,380.17,379.75,379.95,4132
ISRG,2026-09-02,10:39,379.945,380.1493,379.88,380.115,1969
ISRG,2026-09-02,10:40,380.115,380.17,379.88,380.17,3692
ISRG,2026-09-02,10:41,380.1604,380.35,380.09,380.34,3210
ISRG,2026-09-02,10:42,380.43,380.646,380.3401,380.46,2460
ISRG,2026-09-02,10:43,380.42,380.6,380.33,380.425,4960
ISRG,2026-09-02,10:44,380.67,380.687,380.54,380.605,2441
ISRG,2026-09-02,10:45,380.605,380.681,379.18,379.18,20951
ISRG,2026-09-02,10:46,379.366,379.53,378.91,379.53,3254
ISRG,2026-09-02,10:47,379.783,379.783,378.595,378.595,3900
ISRG,2026-09-02,10:48,379.184,379.184,378.96,378.96,567
ISRG,2026-09-02,10:49,379.184,379.36,379.184,379.29,1427
