symbol,date,time,open,high,low,close,volume
KO,2026-09-02,09:30,87.895,88.35,87.895,87.97,426094
KO,2026-09-02,09:31,87.95,88.05,87.88,88.0452,34665
KO,2026-09-02,09:32,88.025,88.1147,87.9,87.92,22825
KO,2026-09-02,09:33,87.905,87.9255,87.75,87.77,25039
KO,2026-09-02,09:34,87.77,87.8446,87.73,87.74,28479
KO,2026-09-02,09:35,87.76,87.93,87.73,87.93,29105
KO,2026-09-02,09:36,87.91,88.01,87.91,87.96,22572
KO,2026-09-02,09:37,87.98,88.05,87.955,87.975,50769
KO,2026-09-02,09:38,88.0032,88.03,87.9238,87.9238,13355
KO,2026-09-02,09:39,87.935,87.98,87.82,87.83,32372
KO,2026-09-02,09:40,87.825,87.83,87.78,87.805,33546
KO,2026-09-02,09:41,87.795,87.905,87.79,87.85,19684
KO,2026-09-02,09:42,87.86,87.93,87.83,87.92,22431
KO,2026-09-02,09:43,87.91,87.93,87.88,87.92,24631
KO,2026-09-02,09:44,87.91,87.92,87.875,87.91,13951
KO,2026-09-02,09:45,87.905,87.94,87.83,87.86,39857
KO,2026-09-02,09:46,87.85,87.87,87.83,87.84,14822
KO,2026-09-02,09:47,87.84,87.92,87.81,87.91,28551
KO,2026-09-02,09:48,87.925,87.99,87.92,87.98,21824
KO,2026-09-02,09:49,88,88.02,87.94,87.94,33882
KO,2026-09-02,09:50,87.94,87.95,87.9,87.94,13927
KO,2026-09-02,09:51,87.945,88.05,87.945,88.0428,23595
KO,2026-09-02,09:52,88.055,88.06,88.02,88.03,15860
KO,2026-09-02,09:53,88.02,88.08,88.02,88.08,18477
KO,2026-09-02,09:54,88.085,88.18,88.085,88.17,25105
KO,2026-09-02,09:55,88.165,88.175,88.11,88.13,22493
KO,2026-09-02,09:56,88.14,88.155,88,88.04,19262
KO,2026-09-02,09:57,88.04,88.07,88.01,88.07,23282
KO,2026-09-02,09:58,88.075,88.08,87.97,88.015,37937
KO,2026-09-02,09:59,87.99,88.0058,87.915,87.93,26310
KO,2026-09-02,10:00,87.93,88.02,87.91,88,25219
KO,2026-09-02,10:01,87.99,88.06,87.98,88.06,39887
KO,2026-09-02,10:02,88.06,88.09,88.0242,88.03,23697
KO,2026-09-02,10:03,88.02,88.03,87.94,87.98,14940
KO,2026-09-02,10:04,87.98,88.055,87.945,88.03,18934
KO,2026-09-02,10:05,88.03,88.03,87.94,87.96,15321
KO,2026-09-02,10:06,87.96,87.97,87.905,87.93,19020
KO,2026-09-02,10:07,87.92,87.9275,87.84,87.8503,19154
KO,2026-09-02,10:08,87.86,87.86,87.81,87.83,17088
KO,2026-09-02,10:09,87.825,87.825,87.78,87.815,19964
KO,2026-09-02,10:10,87.815,87.815,87.75,87.755,22931
KO,2026-09-02,10:11,87.77,87.83,87.7575,87.805,30389
KO,2026-09-02,10:12,87.8,87.87,87.8,87.855,20940
KO,2026-09-02,10:13,87.85,87.92,87.84,87.9,17927
KO,2026-09-02,10:14,87.8945,87.93,87.87,87.88,16540
KO,2026-09-02,10:15,87.89,87.915,87.87,87.9,15235
KO,2026-09-02,10:16,87.88,87.915,87.86,87.88,22074
KO,2026-09-02,10:17,87.88,87.9484,87.865,87.935,50109
KO,2026-09-02,10:18,87.9298,87.98,87.925,87.96,24267
KO,2026-09-02,10:19,87.96,87.99,87.94,87.95,25271
KO,2026-09-02,10:20,87.95,87.95,87.92,87.93,25156
KO,2026-09-02,10:21,87.935,87.94,87.9,87.92,32832
KO,2026-09-02,10:22,87.92,87.92,87.875,87.9,18286
KO,2026-09-02,10:23,87.905,87.93,87.9,87.93,17506
KO,2026-09-02,10:24,87.93,87.99,87.93,87.97,7600
KO,2026-09-02,10:25,87.975,87.995,87.9501,87.985,46235
KO,2026-09-02,10:26,87.98,88.06,87.975,88.035,38238
KO,2026-09-02,10:27,88.03,88.05,87.98,88.045,17950
KO,2026-09-02,10:28,88.045,88.045,88,88,18253
KO,2026-09-02,10:29,88,88.015,87.98,87.98,10872
KO,2026-09-02,10:30,87.98,88.015,87.94,87.995,21590
KO,2026-09-02,10:31,87.995,88.03,87.98,87.985,13039
KO,2026-09-02,10:32,87.985,88,87.97,87.99,8396
KO,2026-09-02,10:33,87.99,88,87.89,87.89,19838
KO,2026-09-02,10:34,87.885,87.95,87.855,87.95,18794
KO,2026-09-02,10:35,87.93,87.95,87.91,87.935,15272
KO,2026-09-02,10:36,87.94,87.94,87.895,87.9,13841
KO,2026-09-02,10:37,87.9,88.01,87.9,88,14474
KO,2026-09-02,10:38,87.99,87.99,87.95,87.97,11955
KO,2026-09-02,10:39,87.975,87.985,87.955,87.98,15436
KO,2026-09-02,10:40,87.9955,88.015,87.99,87.995,12573
KO,2026-09-02,10:41,87.995,88.01,87.985,88,7352
KO,2026-09-02,10:42,87.985,88.0175,87.97,88.01,11728
KO,2026-09-02,10:43,88.01,88.03,88,88.025,11610
KO,2026-09-02,10:44,88.03,88.055,88.03,88.04,14620
KO,2026-09-02,10:45,88.0399,88.05,88.005,88.035,36596
KO,2026-09-02,10:46,88.04,88.09,88.04,88.065,23500
KO,2026-09-02,10:47,88.055,88.06,88.015,88.02,12117
KO,2026-09-02,10:48,88.025,88.095,88.02,88.095,15183
KO,2026-09-02,10:49,88.09,88.125,88.065,88.12,19986
KO,2026-09-02,10:50,88.13,88.1899,88.1,88.1899,22637
KO,2026-09-02,10:51,88.18,88.195,88.17,88.195,12882
KO,2026-09-02,10:52,88.1999,88.215,88.1725,88.21,17181
KO,2026-09-02,10:53,88.205,88.2251,88.175,88.2251,20301
KO,2026-09-02,10:54,88.22,88.235,88.205,88.225,15981
KO,2026-09-02,10:55,88.225,88.2251,88.19,88.2251,12648
KO,2026-09-02,10:56,88.225,88.2699,88.225,88.245,20082
KO,2026-09-02,10:57,88.245,88.3,88.24,88.29,25170
KO,2026-09-02,10:58,88.29,88.3,88.265,88.285,18511
KO,2026-09-02,10:59,88.285,88.325,88.275,88.32,22500
KO,2026-09-02,11:00,88.32,88.33,88.29,88.295,21366
KO,2026-09-02,11:01,88.3,88.345,88.3,88.34,12083
KO,2026-09-02,11:02,88.34,88.34,88.305,88.315,15103
KO,2026-09-02,11:03,88.32,88.425,88.32,88.4,19780
KO,2026-09-02,11:04,88.4,88.45,88.39,88.44,20421
KO,2026-09-02,11:05,88.43,88.4999,88.425,88.495,32163
KO,2026-09-02,11:06,88.49,88.49,88.39,88.4151,69145
KO,2026-09-02,11:07,88.41,88.4129,88.37,88.41,28535
KO,2026-09-02,11:08,88.41,88.41,88.36,88.38,14063
