symbol,date,time,open,high,low,close,volume
LIN,2026-09-04,09:30,478.55,479.6325,478.5,478.5,26691
LIN,2026-09-04,09:31,478.64,479.29,478.4,479.195,2713
LIN,2026-09-04,09:32,479.77,479.77,479.195,479.27,685
LIN,2026-09-04,09:33,479.98,479.99,478.98,479.95,1292
LIN,2026-09-04,09:34,479.58,480.0225,479.58,480.0225,1286
LIN,2026-09-04,09:35,479.795,479.865,479.78,479.865,1592
LIN,2026-09-04,09:36,479.615,479.89,479.1775,479.89,3284
LIN,2026-09-04,09:37,479,479.06,478.15,478.15,12642
LIN,2026-09-04,09:38,478,478,477.1544,477.1544,2638
LIN,2026-09-04,09:39,477.245,477.53,477.01,477.37,3184
LIN,2026-09-04,09:40,477.4204,477.4204,476.595,476.715,3800
LIN,2026-09-04,09:41,476.73,477.15,476.48,477.125,3867
LIN,2026-09-04,09:42,476.9,477.61,476.9,477.375,3259
LIN,2026-09-04,09:43,478.06,478.51,478.06,478.51,8163
LIN,2026-09-04,09:44,479.365,479.93,479.3575,479.5187,1891
LIN,2026-09-04,09:45,479.8375,480,479.63,479.68,4267
LIN,2026-09-04,09:46,479.47,479.475,479.065,479.28,1714
LIN,2026-09-04,09:47,479.375,480.2496,479.375,479.94,2432
LIN,2026-09-04,09:48,479.4601,479.47,478.91,479.47,1215
LIN,2026-09-04,09:49,479.555,479.96,479.175,479.49,2034
LIN,2026-09-04,09:50,479.33,479.5,478.85,479.3,6603
LIN,2026-09-04,09:51,479.3,479.96,478.85,479.76,10577
LIN,2026-09-04,09:52,480.01,480.2525,479.87,480.035,11386
LIN,2026-09-04,09:53,480.14,480.24,479.715,480.24,6302
LIN,2026-09-04,09:54,479.92,480.06,479.75,480.04,2712
LIN,2026-09-04,09:55,480,480.89,479.975,480.89,5800
LIN,2026-09-04,09:56,480.87,480.87,480.095,480.5299,3442
LIN,2026-09-04,09:57,480.26,480.51,480.26,480.51,958
LIN,2026-09-04,09:58,480.01,480.46,479.77,479.915,6464
LIN,2026-09-04,09:59,479.915,480.15,479.85,480.15,4006
LIN,2026-09-04,10:00,480.15,480.92,479.965,480.7,8306
LIN,2026-09-04,10:01,480.92,481.02,480.6,481.02,4244
LIN,2026-09-04,10:02,480.935,481.17,480.25,480.37,4143
LIN,2026-09-04,10:03,480.17,480.56,480.17,480.56,1825
LIN,2026-09-04,10:04,480.365,480.56,480.1,480.235,6183
LIN,2026-09-04,10:05,480.235,481.225,480.235,481.03,3569
LIN,2026-09-04,10:06,481,481.255,480.97,481.14,2331
LIN,2026-09-04,10:07,481.2675,481.69,481.265,481.685,4493
LIN,2026-09-04,10:08,481.42,481.425,481.34,481.41,1319
LIN,2026-09-04,10:09,481.545,481.545,481.525,481.525,719
LIN,2026-09-04,10:10,481.52,481.61,480.755,481.14,5089
LIN,2026-09-04,10:11,481.14,481.15,481.12,481.15,1608
LIN,2026-09-04,10:12,481.39,481.39,481.01,481.17,2489
LIN,2026-09-04,10:13,481.06,481.065,480.8,480.8,2162
LIN,2026-09-04,10:14,480.95,480.98,480.67,480.735,2862
LIN,2026-09-04,10:15,480.735,481.15,480.735,480.84,3743
LIN,2026-09-04,10:16,480.805,481.45,480.805,481.45,3585
LIN,2026-09-04,10:17,481.48,481.48,481.26,481.41,4690
LIN,2026-09-04,10:18,481.38,481.8146,481.36,481.555,4022
LIN,2026-09-04,10:19,481.68,481.955,481.68,481.955,2559
LIN,2026-09-04,10:20,482.265,482.405,481.86,482.2,14124
LIN,2026-09-04,10:21,482.18,482.23,482.0501,482.205,2248
LIN,2026-09-04,10:22,481.805,482.15,481.63,481.715,5720
LIN,2026-09-04,10:23,481.57,481.75,481.32,481.32,2865
LIN,2026-09-04,10:24,481.33,481.86,481.33,481.74,1655
LIN,2026-09-04,10:25,481.85,481.85,481.48,481.495,3035
LIN,2026-09-04,10:26,481.35,481.85,481.35,481.545,1580
LIN,2026-09-04,10:27,481.85,481.93,481.56,481.56,1675
LIN,2026-09-04,10:28,481.94,482.27,481.56,482.1,6953
LIN,2026-09-04,10:29,482.36,482.37,481.86,481.99,2017
LIN,2026-09-04,10:30,482.25,482.55,482.25,482.41,3291
LIN,2026-09-04,10:31,482.405,482.405,482.405,482.405,443
LIN,2026-09-04,10:32,482.79,482.81,482.475,482.81,4727
LIN,2026-09-04,10:33,482.85,482.86,482.85,482.85,1054
LIN,2026-09-04,10:34,482.72,482.96,482.5201,482.84,1918
LIN,2026-09-04,10:35,482.65,482.65,482.62,482.62,721
LIN,2026-09-04,10:36,482.69,482.69,482.565,482.565,627
LIN,2026-09-04,10:37,482.43,482.65,482.4,482.4,1974
LIN,2026-09-04,10:38,482.405,482.48,482.385,482.385,2535
LIN,2026-09-04,10:39,482.485,482.485,482.21,482.21,939
LIN,2026-09-04,10:40,482.3344,482.3344,481.72,481.72,1243
LIN,2026-09-04,10:41,481.9,481.905,481.56,481.56,898
LIN,2026-09-04,10:42,481.72,481.72,481.72,481.72,193
LIN,2026-09-04,10:43,481.67,481.825,481.57,481.825,5712
LIN,2026-09-04,10:44,481.825,481.825,481.82,481.82,664
LIN,2026-09-04,10:45,481.92,481.93,481.74,481.93,2289
LIN,2026-09-04,10:46,482.02,482.1675,481.99,482.055,2988
LIN,2026-09-04,10:47,481.95,481.9925,481.95,481.9925,2234
LIN,2026-09-04,10:48,481.95,482.07,481.885,481.885,1110
LIN,2026-09-04,10:49,481.9328,481.99,481.78,481.88,1143
LIN,2026-09-04,10:50,481.9175,481.97,481.85,481.97,705
LIN,2026-09-04,10:51,482.12,482.155,481.99,482.01,2233
LIN,2026-09-04,10:52,481.87,482.41,481.87,482.2731,1703
LIN,2026-09-04,10:53,482.07,482.13,481.87,482.0407,1510
LIN,2026-09-04,10:54,482.2,482.36,482.01,482.205,4824
LIN,2026-09-04,10:55,482.05,482.15,481.88,482.06,1950
LIN,2026-09-04,10:56,482.07,482.27,481.8074,481.8074,1365
LIN,2026-09-04,10:57,481.845,482.12,481.68,482.08,3650
LIN,2026-09-04,10:58,482.08,482.08,481.65,481.9042,2267
LIN,2026-09-04,10:59,482.11,482.11,481.565,481.565,2270
LIN,2026-09-04,11:00,481.68,481.87,481.605,481.645,3354
LIN,2026-09-04,11:01,481.88,482.2086,481.87,481.92,2448
LIN,2026-09-04,11:02,481.8377,481.8377,481.61,481.61,1021
LIN,2026-09-04,11:03,481.8357,481.8357,481.8357,481.8357,471
LIN,2026-09-04,11:04,481.765,481.85,481.765,481.85,1231
LIN,2026-09-04,11:05,481.64,481.65,481.62,481.62,1251
LIN,2026-09-04,11:06,481.62,481.62,481.62,481.62,0
LIN,2026-09-04,11:07,481.72,481.82,481.45,481.55,4204
LIN,2026-09-04,11:08,481.46,481.46,481.46,481.46,96
LIN,2026-09-04,11:09,481.43,481.43,481.05,481.05,2190
LIN,2026-09-04,11:10,481.08,481.42,481.025,481.37,5162
LIN,2026-09-04,11:11,481.23,481.37,481.12,481.33,5043
LIN,2026-09-04,11:12,481.15,481.63,481,481.63,4385
