symbol,date,time,open,high,low,close,volume
LMT,2026-09-02,09:30,545.65,548,543.98,544.17,17194
LMT,2026-09-02,09:31,543,543,541.46,541.46,1556
LMT,2026-09-02,09:32,541.2771,542.1317,540.2205,540.535,1736
LMT,2026-09-02,09:33,540.16,540.705,540.0601,540.0601,2336
LMT,2026-09-02,09:34,540.09,540.7,540.09,540.7,984
LMT,2026-09-02,09:35,541.31,541.47,539.29,539.76,4830
LMT,2026-09-02,09:36,539.79,540.71,539.745,540.54,1737
LMT,2026-09-02,09:37,540.155,540.21,539.12,540.21,712
LMT,2026-09-02,09:38,540.185,540.48,540.12,540.48,693
LMT,2026-09-02,09:39,540.41,540.78,539.9,540,1226
LMT,2026-09-02,09:40,540.038,540.14,539.68,539.915,981
LMT,2026-09-02,09:41,539.97,540.43,539.9369,540.41,979
LMT,2026-09-02,09:42,540.34,540.35,540.24,540.245,1070
LMT,2026-09-02,09:43,540.22,540.22,540.205,540.22,515
LMT,2026-09-02,09:44,540.2,540.61,539.46,539.75,2042
LMT,2026-09-02,09:45,539.4,540.17,538.39,538.39,4649
LMT,2026-09-02,09:46,538.68,538.98,537.9,538.29,2821
LMT,2026-09-02,09:47,538.685,538.71,537.935,537.935,2375
LMT,2026-09-02,09:48,537.645,537.79,537.5,537.6,3632
LMT,2026-09-02,09:49,537.5,538.005,537.5,537.97,1712
LMT,2026-09-02,09:50,538.095,538.52,538.095,538.46,1601
LMT,2026-09-02,09:51,538.3102,538.3102,538.3102,538.3102,258
LMT,2026-09-02,09:52,538.01,538.4,537.66,538.4,2443
LMT,2026-09-02,09:53,538.51,538.51,535.22,535.83,24786
LMT,2026-09-02,09:54,535.26,536.22,532.91,533.3975,27313
LMT,2026-09-02,09:55,533.04,533.58,532.99,533.325,13182
LMT,2026-09-02,09:56,533.45,534.63,533.08,534.605,11769
LMT,2026-09-02,09:57,534.605,535.25,534.37,534.4,2475
LMT,2026-09-02,09:58,534.5,534.5,532.58,532.58,4002
LMT,2026-09-02,09:59,532.58,532.58,531.09,531.14,9399
LMT,2026-09-02,10:00,531.55,532.19,531.43,531.92,7406
LMT,2026-09-02,10:01,532.06,532.76,532.0001,532.498,5688
LMT,2026-09-02,10:02,532.24,532.48,531.845,531.92,2961
LMT,2026-09-02,10:03,531.6101,531.885,531.6101,531.885,2310
LMT,2026-09-02,10:04,531.885,532.5,531.845,532.5,6000
LMT,2026-09-02,10:05,532.325,532.93,532.325,532.93,1105
LMT,2026-09-02,10:06,532.315,533.03,532.315,532.475,4533
LMT,2026-09-02,10:07,532.91,533,532.61,532.61,1237
LMT,2026-09-02,10:08,532.665,533.0457,532.04,533.0457,3750
LMT,2026-09-02,10:09,532.655,533.0399,532.2,532.63,2263
