symbol,date,time,open,high,low,close,volume
LOW,2026-09-02,09:30,201,201,200.46,200.99,37953
LOW,2026-09-02,09:31,200.5,201.115,200.5,200.89,2096
LOW,2026-09-02,09:32,201.19,201.19,200.05,200.54,4150
LOW,2026-09-02,09:33,200.54,200.675,200.0601,200.675,6455
LOW,2026-09-02,09:34,200.675,201.175,200.605,200.7,6149
LOW,2026-09-02,09:35,200.7,201,200.2,200.9,9107
LOW,2026-09-02,09:36,200.75,201.065,200.39,200.39,6254
LOW,2026-09-02,09:37,200.35,200.485,200.05,200.05,6749
LOW,2026-09-02,09:38,200.17,200.43,200.16,200.43,3029
LOW,2026-09-02,09:39,200.235,200.25,200.235,200.24,2010
LOW,2026-09-02,09:40,200.04,200.1612,199.82,199.995,14142
LOW,2026-09-02,09:41,200.005,200.34,200.005,200.01,3856
LOW,2026-09-02,09:42,200.07,200.16,200.07,200.16,1945
LOW,2026-09-02,09:43,200.115,200.115,200.115,200.115,681
LOW,2026-09-02,09:44,200.06,200.33,199.84,200.195,55307
LOW,2026-09-02,09:45,200.2,200.2,199.82,199.96,4575
LOW,2026-09-02,09:46,199.83,200.16,199.83,200.13,3288
LOW,2026-09-02,09:47,200.11,200.25,200.11,200.175,3933
LOW,2026-09-02,09:48,200.18,200.405,200.18,200.405,3483
LOW,2026-09-02,09:49,200.39,200.5,200.14,200.15,8043
LOW,2026-09-02,09:50,200.17,200.35,200.17,200.35,2331
LOW,2026-09-02,09:51,200.44,200.85,200.44,200.8,25129
LOW,2026-09-02,09:52,200.82,201.0699,200.82,200.85,14457
LOW,2026-09-02,09:53,200.86,201.16,200.86,201.16,6244
LOW,2026-09-02,09:54,201.155,201.46,201.155,201.325,4125
LOW,2026-09-02,09:55,201.35,201.47,201.35,201.47,1730
LOW,2026-09-02,09:56,201.355,201.355,201.13,201.13,1891
LOW,2026-09-02,09:57,201.14,201.14,201,201.14,6351
LOW,2026-09-02,09:58,201.1,201.17,200.99,200.99,3013
LOW,2026-09-02,09:59,201.02,201.07,200.865,201.015,9029
LOW,2026-09-02,10:00,201.07,201.3,201.015,201.3,4621
LOW,2026-09-02,10:01,201.3,201.315,201.255,201.315,3088
LOW,2026-09-02,10:02,201.29,201.61,201.29,201.455,7598
LOW,2026-09-02,10:03,201.455,201.97,201.455,201.83,12812
LOW,2026-09-02,10:04,201.81,202.045,201.7701,201.9,7177
LOW,2026-09-02,10:05,201.99,202.11,201.97,202.11,3037
LOW,2026-09-02,10:06,202.02,202.105,202.02,202.035,3407
LOW,2026-09-02,10:07,201.995,202.18,201.87,201.87,9281
LOW,2026-09-02,10:08,201.8,201.8,201.61,201.8,7925
LOW,2026-09-02,10:09,201.63,201.63,201.4,201.41,4260
LOW,2026-09-02,10:10,201.465,201.56,201.42,201.42,5220
LOW,2026-09-02,10:11,201.4872,201.4872,201.35,201.355,6090
LOW,2026-09-02,10:12,201.51,201.5161,201.485,201.5161,2377
LOW,2026-09-02,10:13,201.4511,201.695,201.4511,201.6,7529
LOW,2026-09-02,10:14,201.725,201.725,201.63,201.63,1215
LOW,2026-09-02,10:15,201.76,201.76,201.59,201.59,1395
LOW,2026-09-02,10:16,201.54,201.63,201.3301,201.3301,5267
LOW,2026-09-02,10:17,201.49,201.645,201.49,201.62,8349
LOW,2026-09-02,10:18,201.8,201.955,201.645,201.845,11048
LOW,2026-09-02,10:19,201.845,201.97,201.78,201.82,4452
LOW,2026-09-02,10:20,201.875,201.875,201.7201,201.855,4268
LOW,2026-09-02,10:21,201.855,201.865,201.855,201.865,3539
LOW,2026-09-02,10:22,201.865,201.885,201.77,201.84,6199
LOW,2026-09-02,10:23,201.84,201.865,201.705,201.73,6900
LOW,2026-09-02,10:24,201.73,201.74,201.73,201.735,1581
LOW,2026-09-02,10:25,201.7236,201.7236,201.56,201.6,3701
LOW,2026-09-02,10:26,201.61,201.69,201.53,201.56,2558
LOW,2026-09-02,10:27,201.565,201.69,201.43,201.43,2977
LOW,2026-09-02,10:28,201.3,201.31,201.3,201.3,2343
LOW,2026-09-02,10:29,201.305,201.42,201.26,201.3258,4710
LOW,2026-09-02,10:30,201.285,201.295,201.285,201.295,1258
LOW,2026-09-02,10:31,201.21,201.295,201.16,201.16,2264
LOW,2026-09-02,10:32,201.16,201.39,201.16,201.265,9470
LOW,2026-09-02,10:33,201.1,201.505,201.1,201.485,4283
LOW,2026-09-02,10:34,201.47,201.58,201.43,201.58,2776
LOW,2026-09-02,10:35,201.535,201.535,201.42,201.4815,1856
LOW,2026-09-02,10:36,201.475,201.475,201.4,201.455,3334
