symbol,date,time,open,high,low,close,volume
MA,2026-09-04,09:30,580.73,583.22,580.73,583.085,38430
MA,2026-09-04,09:31,583.09,584.4999,582.06,582.06,6637
MA,2026-09-04,09:32,581.56,582.495,581.46,581.66,1761
MA,2026-09-04,09:33,582.76,583.685,582.16,583.2499,3179
MA,2026-09-04,09:34,582.67,582.67,581,581.01,2609
MA,2026-09-04,09:35,581.18,581.45,580.57,581.1,2002
MA,2026-09-04,09:36,581.23,582.81,581.23,582.81,4270
MA,2026-09-04,09:37,582.88,582.88,581.91,582.71,3372
MA,2026-09-04,09:38,582.23,582.33,580.815,581.295,2205
MA,2026-09-04,09:39,581.39,581.77,581.31,581.35,1816
MA,2026-09-04,09:40,581.5177,581.62,581.1,581.62,1890
MA,2026-09-04,09:41,581.26,581.62,581.26,581.6,872
MA,2026-09-04,09:42,581.345,581.94,581,581.94,2331
MA,2026-09-04,09:43,582.3,582.9899,582.04,582.56,3048
MA,2026-09-04,09:44,582.11,582.7,582.04,582.69,3880
MA,2026-09-04,09:45,582.7,582.89,582.03,582.03,3736
MA,2026-09-04,09:46,582.16,582.89,582.05,582.625,4771
MA,2026-09-04,09:47,582.7,583.46,582.23,582.775,7577
MA,2026-09-04,09:48,582.77,583.12,582.41,583.08,4533
MA,2026-09-04,09:49,583.14,583.83,583.01,583.83,7218
MA,2026-09-04,09:50,583.77,583.77,582.74,582.81,19130
MA,2026-09-04,09:51,582.555,583.45,582.395,582.97,5524
MA,2026-09-04,09:52,583.01,583.01,582.61,582.76,1107
MA,2026-09-04,09:53,582.52,582.54,581.63,581.635,11421
MA,2026-09-04,09:54,581.95,582.26,581.3201,582.24,3299
MA,2026-09-04,09:55,582.11,582.49,581.965,582.48,3675
MA,2026-09-04,09:56,582.255,582.89,582.255,582.89,1278
MA,2026-09-04,09:57,582.35,582.7599,581.95,582.43,12399
MA,2026-09-04,09:58,582.56,582.56,582.1,582.1,2420
MA,2026-09-04,09:59,581.975,582.06,581.16,581.975,7659
MA,2026-09-04,10:00,581.79,581.985,581.205,581.49,14385
MA,2026-09-04,10:01,581.4,581.6151,581.125,581.1951,4335
MA,2026-09-04,10:02,581.135,581.24,580.6,580.67,3798
MA,2026-09-04,10:03,580.6,581.38,580.6,580.94,3324
MA,2026-09-04,10:04,580.92,581.23,580.6,580.6,3612
MA,2026-09-04,10:05,580.5,581.29,580.43,581.17,5573
MA,2026-09-04,10:06,581.165,581.165,580.7779,580.94,2909
MA,2026-09-04,10:07,580.915,581.48,580.915,581.45,3395
MA,2026-09-04,10:08,581.6,581.73,580.51,580.705,1465
MA,2026-09-04,10:09,580.85,580.9053,580.44,580.81,1181
MA,2026-09-04,10:10,580.94,581.06,580.61,580.61,3513
MA,2026-09-04,10:11,580.7,580.75,580.44,580.75,2240
MA,2026-09-04,10:12,580.75,580.83,580.43,580.49,3882
MA,2026-09-04,10:13,580.21,580.37,579.6182,579.95,8030
MA,2026-09-04,10:14,580.115,580.29,579.53,579.585,5373
MA,2026-09-04,10:15,579.66,579.94,579.655,579.94,2591
MA,2026-09-04,10:16,579.85,580.3,579.51,580.3,2573
MA,2026-09-04,10:17,579.99,580.09,579.62,579.64,2991
MA,2026-09-04,10:18,579.63,579.7,579.51,579.57,2545
