symbol,date,time,open,high,low,close,volume
MDLZ,2026-09-02,09:30,61.68,61.81,61.31,61.34,136037
MDLZ,2026-09-02,09:31,61.335,61.44,61.3,61.44,14206
MDLZ,2026-09-02,09:32,61.425,61.425,61.29,61.32,5875
MDLZ,2026-09-02,09:33,61.32,61.356,61.29,61.356,5079
MDLZ,2026-09-02,09:34,61.36,61.41,61.35,61.361,7409
MDLZ,2026-09-02,09:35,61.36,61.505,61.36,61.505,12305
MDLZ,2026-09-02,09:36,61.5,61.5,61.45,61.46,9955
MDLZ,2026-09-02,09:37,61.455,61.5,61.415,61.415,17966
MDLZ,2026-09-02,09:38,61.43,61.45,61.39,61.4,12588
MDLZ,2026-09-02,09:39,61.41,61.48,61.41,61.43,3416
MDLZ,2026-09-02,09:40,61.415,61.44,61.41,61.41,5709
MDLZ,2026-09-02,09:41,61.41,61.48,61.41,61.48,3801
MDLZ,2026-09-02,09:42,61.51,61.53,61.495,61.53,10634
MDLZ,2026-09-02,09:43,61.515,61.58,61.5,61.58,6960
MDLZ,2026-09-02,09:44,61.535,61.535,61.53,61.53,1592
MDLZ,2026-09-02,09:45,61.55,61.6,61.49,61.54,27773
MDLZ,2026-09-02,09:46,61.53,61.55,61.495,61.52,10356
MDLZ,2026-09-02,09:47,61.52,61.525,61.47,61.52,8677
MDLZ,2026-09-02,09:48,61.495,61.56,61.49,61.56,15010
MDLZ,2026-09-02,09:49,61.57,61.58,61.505,61.56,15214
MDLZ,2026-09-02,09:50,61.545,61.56,61.535,61.5511,4484
MDLZ,2026-09-02,09:51,61.58,61.64,61.58,61.625,40545
MDLZ,2026-09-02,09:52,61.635,61.635,61.58,61.6,5569
MDLZ,2026-09-02,09:53,61.6144,61.67,61.56,61.66,16967
MDLZ,2026-09-02,09:54,61.68,61.78,61.68,61.78,34569
MDLZ,2026-09-02,09:55,61.77,61.805,61.76,61.76,17262
MDLZ,2026-09-02,09:56,61.761,61.761,61.63,61.65,22388
MDLZ,2026-09-02,09:57,61.67,61.67,61.65,61.65,10031
MDLZ,2026-09-02,09:58,61.64,61.665,61.63,61.665,9295
MDLZ,2026-09-02,09:59,61.645,61.645,61.58,61.58,11213
MDLZ,2026-09-02,10:00,61.58,61.61,61.575,61.59,7619
MDLZ,2026-09-02,10:01,61.595,61.63,61.58,61.59,20370
