symbol,date,time,open,high,low,close,volume
META,2026-09-04,09:30,612.495,615,610.11,614.31,535090
META,2026-09-04,09:31,614.27,616.33,609.8,610.1918,90047
META,2026-09-04,09:32,610.495,611.6589,608.25,608.5,45226
META,2026-09-04,09:33,608.55,610.76,608.1001,609.47,68182
META,2026-09-04,09:34,609.77,611.06,608.71,609.528,40669
META,2026-09-04,09:35,609.49,611.0899,609,610.73,58104
META,2026-09-04,09:36,610.51,610.97,608.74,609.515,49060
META,2026-09-04,09:37,609.57,609.7797,607.5,607.735,65328
META,2026-09-04,09:38,607.67,608.15,606.11,606.535,75639
META,2026-09-04,09:39,606.14,608.23,605.27,607.5392,70199
META,2026-09-04,09:40,607.6828,607.98,605.5,605.73,47832
META,2026-09-04,09:41,605.9951,606.45,605.5,605.865,61222
META,2026-09-04,09:42,606,607.12,605.66,606.63,53965
META,2026-09-04,09:43,606.63,607.94,606.63,607.555,36738
META,2026-09-04,09:44,607.555,608.9175,607.555,608.52,52410
META,2026-09-04,09:45,608.459,608.459,606.2,606.325,67714
META,2026-09-04,09:46,606.325,607.0037,605.88,607.0037,33309
META,2026-09-04,09:47,606.875,607.1199,606.41,606.855,28487
META,2026-09-04,09:48,606.855,607.53,606.42,607.02,166847
META,2026-09-04,09:49,607.02,607.97,606.8676,607.5,167120
META,2026-09-04,09:50,607.48,607.48,606.2,606.53,40549
META,2026-09-04,09:51,606.505,607.16,606.08,606.53,41372
META,2026-09-04,09:52,606.65,607,606.48,606.8,23093
META,2026-09-04,09:53,606.71,607,606.1,606.7799,28737
META,2026-09-04,09:54,606.7799,608.25,606.59,607.85,28120
META,2026-09-04,09:55,607.69,608.38,607.54,608.255,33762
META,2026-09-04,09:56,608.255,608.31,607.33,607.515,27947
META,2026-09-04,09:57,607.515,608.36,607.4922,608.18,37177
META,2026-09-04,09:58,608.18,608.65,607.79,608.49,34419
META,2026-09-04,09:59,608.33,608.98,608.15,608.91,47957
META,2026-09-04,10:00,608.904,610.31,608.38,610.09,78956
META,2026-09-04,10:01,609.96,610.23,609.41,609.91,56672
META,2026-09-04,10:02,609.8071,610.5,609.64,610.08,50180
META,2026-09-04,10:03,610.005,611.83,609.9193,611.76,69319
META,2026-09-04,10:04,611.7005,612.16,611.31,611.65,96187
META,2026-09-04,10:05,611.65,612.77,611.28,612.53,106499
META,2026-09-04,10:06,612.5,612.865,612.1901,612.62,79386
META,2026-09-04,10:07,612.57,612.98,610.9,611.07,83455
META,2026-09-04,10:08,611.0645,611.22,610.11,610.865,62032
META,2026-09-04,10:09,610.8301,611.4567,610.81,611.245,36360
META,2026-09-04,10:10,611.35,612.2899,611.23,612.235,80164
META,2026-09-04,10:11,612.23,612.785,611.85,612.27,87303
META,2026-09-04,10:12,612.17,612.34,611.3,611.94,53594
META,2026-09-04,10:13,612.12,612.85,611.7942,612.85,49117
META,2026-09-04,10:14,612.82,612.88,612.13,612.31,31645
META,2026-09-04,10:15,612.28,613.03,612.275,612.363,29864
META,2026-09-04,10:16,612.7999,613.28,612.5,612.615,66289
META,2026-09-04,10:17,612.5,612.575,610.55,610.645,46097
META,2026-09-04,10:18,610.645,610.66,609.1401,609.1401,45066
META,2026-09-04,10:19,609.409,609.61,608.78,608.78,40217
META,2026-09-04,10:20,608.895,609.16,608.53,608.65,38079
META,2026-09-04,10:21,608.64,609.4,608.52,609.25,32487
META,2026-09-04,10:22,609.17,610.8999,609,610.59,66038
META,2026-09-04,10:23,610.49,610.56,609.76,610.235,21054
META,2026-09-04,10:24,610.235,610.2439,609.4768,610.14,20666
META,2026-09-04,10:25,610,610.63,609.7901,610,33133
META,2026-09-04,10:26,609.84,610.61,609.68,610.49,19676
META,2026-09-04,10:27,610.51,610.58,608.785,609.09,39510
META,2026-09-04,10:28,609.09,609.79,608.97,609.66,16863
META,2026-09-04,10:29,609.66,610.1897,609.2,609.3,19909
META,2026-09-04,10:30,609.28,609.41,608.77,608.875,19221
META,2026-09-04,10:31,608.875,609.2,608.582,608.6551,37484
META,2026-09-04,10:32,608.665,609.5399,608.665,609.255,19624
META,2026-09-04,10:33,609.255,609.76,609.1933,609.2,13474
META,2026-09-04,10:34,609.4131,609.4131,608.45,608.75,73346
META,2026-09-04,10:35,608.75,609.79,608.75,609.79,59066
META,2026-09-04,10:36,609.55,610.68,609.55,610.4515,37231
META,2026-09-04,10:37,610.41,611.22,610.3725,611.132,35581
META,2026-09-04,10:38,611.11,612.225,611.01,612,50222
META,2026-09-04,10:39,612,613.4,611.845,613.4,44347
META,2026-09-04,10:40,613.39,613.39,612.34,612.83,35338
META,2026-09-04,10:41,612.55,613.17,612.08,612.76,25852
META,2026-09-04,10:42,612.765,612.9,611.5001,611.825,37362
META,2026-09-04,10:43,611.66,611.73,610.62,610.705,48134
META,2026-09-04,10:44,610.725,611.68,610.65,611.135,27083
META,2026-09-04,10:45,611.26,612.7478,611.26,612.404,31534
META,2026-09-04,10:46,612.48,612.77,612.0001,612.25,24725
META,2026-09-04,10:47,612.175,612.42,611.75,612.31,22338
META,2026-09-04,10:48,612.3451,612.56,611.52,611.55,20709
META,2026-09-04,10:49,611.635,611.81,611.27,611.75,16794
META,2026-09-04,10:50,611.75,611.78,611.0283,611.07,14726
META,2026-09-04,10:51,611.01,611.13,610.5,610.63,20119
META,2026-09-04,10:52,610.63,610.84,610.21,610.75,14976
META,2026-09-04,10:53,610.6473,611.15,610.14,610.155,31291
META,2026-09-04,10:54,610.05,610.47,610,610.0343,17211
META,2026-09-04,10:55,610,610.0899,609.54,609.8101,14593
META,2026-09-04,10:56,609.86,610.13,608.16,608.52,38030
META,2026-09-04,10:57,608.485,609.0099,608.4,608.7,23608
META,2026-09-04,10:58,608.61,609.1,608.41,608.855,20225
META,2026-09-04,10:59,608.944,609.28,608.5,608.965,22755
META,2026-09-04,11:00,609.2044,609.76,609.105,609.675,28717
META,2026-09-04,11:01,609.675,609.7876,609.1,609.34,23828
META,2026-09-04,11:02,609.31,609.95,608.5,609.826,29939
META,2026-09-04,11:03,609.7901,610.6375,609.7901,610.25,35543
META,2026-09-04,11:04,610.305,610.845,610.1081,610.78,24649
META,2026-09-04,11:05,610.77,611.43,610.77,611.145,50446
META,2026-09-04,11:06,611.1239,611.4295,610.661,610.78,16721
META,2026-09-04,11:07,610.73,612.27,610.6,612.19,57851
META,2026-09-04,11:08,612.13,613.22,612.12,612.91,91617
META,2026-09-04,11:09,613.1299,613.1299,612.09,612.3385,41943
META,2026-09-04,11:10,612.355,612.39,611.64,611.75,46008
META,2026-09-04,11:11,611.88,612.29,611.1,611.175,25379
META,2026-09-04,11:12,611.04,611.29,610.7501,611.07,23549
META,2026-09-04,11:13,610.89,611.175,610.6173,611.119,12848
