symbol,date,time,open,high,low,close,volume
MRSH,2026-09-02,09:30,188.51,188.67,188.12,188.67,26254
MRSH,2026-09-02,09:31,188.67,188.67,188.67,188.67,0
MRSH,2026-09-02,09:32,187.53,187.53,187.53,187.53,828
MRSH,2026-09-02,09:33,187.51,187.51,187.51,187.51,575
MRSH,2026-09-02,09:34,187.41,187.41,187.41,187.41,317
MRSH,2026-09-02,09:35,187.45,187.45,187.36,187.36,1525
MRSH,2026-09-02,09:36,187.67,187.67,187.4,187.4,835
MRSH,2026-09-02,09:37,187.32,187.32,187.12,187.12,1160
MRSH,2026-09-02,09:38,187.12,187.12,187.12,187.12,0
MRSH,2026-09-02,09:39,187.275,187.34,187.24,187.34,1771
MRSH,2026-09-02,09:40,187.2,187.285,187.1975,187.25,5262
MRSH,2026-09-02,09:41,187.25,187.25,187.04,187.05,1038
MRSH,2026-09-02,09:42,187.05,187.05,186.97,186.98,2532
MRSH,2026-09-02,09:43,186.915,187.66,186.915,187.66,2991
MRSH,2026-09-02,09:44,187.64,187.83,187.64,187.83,1538
MRSH,2026-09-02,09:45,188.01,188.01,188.01,188.01,558
MRSH,2026-09-02,09:46,187.91,188.095,187.9,188.02,1318
MRSH,2026-09-02,09:47,187.88,187.995,187.83,187.995,3589
MRSH,2026-09-02,09:48,188.055,188.475,188.04,188.475,8585
MRSH,2026-09-02,09:49,188.52,188.595,188.3701,188.59,3041
MRSH,2026-09-02,09:50,188.66,188.69,188.58,188.58,2248
MRSH,2026-09-02,09:51,188.635,188.64,188.47,188.625,5597
MRSH,2026-09-02,09:52,188.625,188.63,188.48,188.54,11304
MRSH,2026-09-02,09:53,188.545,188.86,188.52,188.81,15670
MRSH,2026-09-02,09:54,188.87,189.19,188.83,189.09,12204
MRSH,2026-09-02,09:55,189.335,189.335,189,189,2717
MRSH,2026-09-02,09:56,188.975,189.15,188.895,188.995,1425
MRSH,2026-09-02,09:57,188.99,189.055,188.99,189.05,1047
MRSH,2026-09-02,09:58,188.95,188.95,188.72,188.72,9531
MRSH,2026-09-02,09:59,188.61,188.645,188.5,188.605,12566
MRSH,2026-09-02,10:00,188.56,188.59,188.41,188.59,5462
MRSH,2026-09-02,10:01,188.645,188.7175,188.5,188.5,6651
MRSH,2026-09-02,10:02,188.5,188.5,188.19,188.275,3250
MRSH,2026-09-02,10:03,188.27,188.32,188.16,188.32,917
MRSH,2026-09-02,10:04,188.3504,188.4,188.21,188.21,3501
MRSH,2026-09-02,10:05,188.08,188.14,188.08,188.14,771
MRSH,2026-09-02,10:06,188.03,188.03,187.815,188.01,4759
MRSH,2026-09-02,10:07,187.985,187.985,187.62,187.62,1716
MRSH,2026-09-02,10:08,187.52,187.78,187.45,187.78,2968
MRSH,2026-09-02,10:09,187.56,187.56,187.261,187.261,2410
MRSH,2026-09-02,10:10,187.22,187.3,187.1,187.22,2879
MRSH,2026-09-02,10:11,187.315,187.315,187.07,187.23,5493
MRSH,2026-09-02,10:12,187.31,187.32,187.11,187.2,2230
MRSH,2026-09-02,10:13,187.18,187.3,187.02,187.22,3423
MRSH,2026-09-02,10:14,187.22,187.22,187.02,187.02,1037
MRSH,2026-09-02,10:15,187.18,187.18,187.18,187.18,796
MRSH,2026-09-02,10:16,187.33,187.38,187.18,187.275,3450
MRSH,2026-09-02,10:17,187.31,187.37,187.13,187.13,10021
MRSH,2026-09-02,10:18,186.99,187.07,186.71,186.935,4097
MRSH,2026-09-02,10:19,187,187.36,187,187.195,6075
MRSH,2026-09-02,10:20,187.275,187.51,187.19,187.51,8029
MRSH,2026-09-02,10:21,187.66,187.93,187.65,187.84,4478
MRSH,2026-09-02,10:22,187.845,187.925,187.84,187.85,2346
MRSH,2026-09-02,10:23,187.94,187.98,187.93,187.93,1088
MRSH,2026-09-02,10:24,188.15,188.33,188.15,188.205,2377
MRSH,2026-09-02,10:25,188.2,188.2,188.01,188.07,5040
MRSH,2026-09-02,10:26,188.01,188.033,187.83,187.84,4205
MRSH,2026-09-02,10:27,187.97,187.99,187.89,187.98,1657
MRSH,2026-09-02,10:28,187.98,188.03,187.78,188.03,2278
MRSH,2026-09-02,10:29,187.97,187.97,187.69,187.69,609
MRSH,2026-09-02,10:30,187.69,187.76,187.69,187.7,1233
MRSH,2026-09-02,10:31,187.83,187.87,187.63,187.63,3972
MRSH,2026-09-02,10:32,187.66,187.685,187.56,187.56,2488
MRSH,2026-09-02,10:33,187.55,187.565,187.51,187.51,1792
MRSH,2026-09-02,10:34,187.625,187.625,187.62,187.62,475
MRSH,2026-09-02,10:35,187.62,187.75,187.55,187.75,2795
MRSH,2026-09-02,10:36,187.67,187.67,187.64,187.64,933
MRSH,2026-09-02,10:37,187.765,187.9,187.765,187.9,2394
MRSH,2026-09-02,10:38,187.855,188.03,187.855,188.03,2217
MRSH,2026-09-02,10:39,188.035,188.035,187.88,187.88,3680
MRSH,2026-09-02,10:40,187.88,187.985,187.87,187.87,1058
MRSH,2026-09-02,10:41,187.93,188,187.925,187.925,4561
MRSH,2026-09-02,10:42,188.09,188.1,187.995,188.02,3113
MRSH,2026-09-02,10:43,188.02,188.105,187.99,188.105,2400
MRSH,2026-09-02,10:44,188.105,188.24,188.05,188.17,15175
MRSH,2026-09-02,10:45,188.16,188.25,188.11,188.11,1583
MRSH,2026-09-02,10:46,188.17,188.17,188.11,188.11,1208
MRSH,2026-09-02,10:47,188.17,188.17,188.16,188.16,800
MRSH,2026-09-02,10:48,188.22,188.3325,188.22,188.33,10119
MRSH,2026-09-02,10:49,188.335,188.47,188.28,188.47,6595
MRSH,2026-09-02,10:50,188.59,188.59,188.445,188.445,664
MRSH,2026-09-02,10:51,188.4,188.57,188.39,188.49,3080
MRSH,2026-09-02,10:52,188.41,188.63,188.41,188.63,6562
MRSH,2026-09-02,10:53,188.63,188.65,188.6,188.6,3414
MRSH,2026-09-02,10:54,188.615,188.615,188.47,188.47,935
MRSH,2026-09-02,10:55,188.4701,188.51,188.3,188.4,3593
MRSH,2026-09-02,10:56,188.4,188.45,188.14,188.19,9168
MRSH,2026-09-02,10:57,188.24,188.35,188.2,188.28,19789
MRSH,2026-09-02,10:58,188.27,188.27,188.23,188.23,1720
MRSH,2026-09-02,10:59,188.26,188.26,188.26,188.26,456
MRSH,2026-09-02,11:00,188.26,188.37,188.26,188.3,10631
MRSH,2026-09-02,11:01,188.35,188.35,188.35,188.35,1180
MRSH,2026-09-02,11:02,188.3,188.31,188.23,188.23,1471
MRSH,2026-09-02,11:03,188.19,188.32,188.18,188.18,10470
MRSH,2026-09-02,11:04,188.18,188.18,188.18,188.18,0
MRSH,2026-09-02,11:05,188.22,188.2599,188.18,188.22,1789
MRSH,2026-09-02,11:06,188.22,188.22,188.04,188.04,3661
MRSH,2026-09-02,11:07,187.98,188.1,187.94,188.085,3495
MRSH,2026-09-02,11:08,188.12,188.12,187.99,187.99,1927
MRSH,2026-09-02,11:09,187.96,188,187.96,187.96,1239
MRSH,2026-09-02,11:10,188.05,188.05,188.05,188.05,660
MRSH,2026-09-02,11:11,188.16,188.17,188.07,188.07,2495
MRSH,2026-09-02,11:12,188,188,187.98,187.98,690
MRSH,2026-09-02,11:13,187.98,188.07,187.98,188.07,940
MRSH,2026-09-02,11:14,188.03,188.03,187.86,187.86,1163
MRSH,2026-09-02,11:15,187.93,187.94,187.85,187.89,3324
MRSH,2026-09-02,11:16,187.93,187.93,187.885,187.885,883
MRSH,2026-09-02,11:17,187.895,187.92,187.89,187.89,892
MRSH,2026-09-02,11:18,187.94,187.94,187.89,187.9,5476
MRSH,2026-09-02,11:19,187.94,188,187.91,187.91,7094
MRSH,2026-09-02,11:20,187.84,187.9297,187.655,187.655,3710
MRSH,2026-09-02,11:21,187.625,187.7,187.61,187.7,1298
MRSH,2026-09-02,11:22,187.74,187.76,187.74,187.76,1515
MRSH,2026-09-02,11:23,187.76,187.78,187.67,187.67,2743
MRSH,2026-09-02,11:24,187.66,187.66,187.66,187.66,482
MRSH,2026-09-02,11:25,187.6,187.6,187.485,187.485,2373
MRSH,2026-09-02,11:26,187.4975,187.4975,187.3,187.3,8016
MRSH,2026-09-02,11:27,187.4,187.56,187.4,187.56,3285
MRSH,2026-09-02,11:28,187.56,187.73,187.535,187.58,7010
MRSH,2026-09-02,11:29,187.66,187.66,187.66,187.66,896
MRSH,2026-09-02,11:30,187.66,187.67,187.595,187.595,2151
MRSH,2026-09-02,11:31,187.66,187.67,187.65,187.67,1490
MRSH,2026-09-02,11:32,187.6,187.635,187.525,187.635,1647
