symbol,date,time,open,high,low,close,volume
MRVL,2026-09-02,09:30,205.55,205.99,204.5,205.39,1255133
MRVL,2026-09-02,09:31,205.21,206.96,204.97,206.79,84182
MRVL,2026-09-02,09:32,206.55,208.49,206.54,207.99,102727
MRVL,2026-09-02,09:33,208.13,208.4899,206.94,207.1,69347
MRVL,2026-09-02,09:34,207.25,207.33,206.464,206.96,127204
MRVL,2026-09-02,09:35,206.97,207.0928,206.42,206.98,67948
MRVL,2026-09-02,09:36,206.9025,207.6612,206.76,207.6,65675
MRVL,2026-09-02,09:37,207.55,207.6599,206.8,206.9809,174670
MRVL,2026-09-02,09:38,207.125,207.26,206.9,207.13,48218
MRVL,2026-09-02,09:39,207.1,207.81,206.91,207.65,39156
MRVL,2026-09-02,09:40,207.7452,207.88,207.45,207.5,58658
MRVL,2026-09-02,09:41,207.49,207.8,207.31,207.71,31713
MRVL,2026-09-02,09:42,207.65,207.82,207.38,207.7,35490
MRVL,2026-09-02,09:43,207.7,207.7,206.5,206.62,52896
MRVL,2026-09-02,09:44,206.6,206.9785,206.5,206.893,33422
MRVL,2026-09-02,09:45,206.87,207.1,206.2,206.62,108777
MRVL,2026-09-02,09:46,206.28,206.59,205.66,205.9692,71209
MRVL,2026-09-02,09:47,205.92,206.2,205.825,205.9,60558
MRVL,2026-09-02,09:48,206,206,205.28,205.395,65831
MRVL,2026-09-02,09:49,205.375,205.49,204.71,204.8,109509
MRVL,2026-09-02,09:50,204.7875,205.26,204.74,205.1112,75262
MRVL,2026-09-02,09:51,205.1596,205.1596,203.7851,203.865,139553
MRVL,2026-09-02,09:52,203.84,204.33,203.8,204.02,74926
MRVL,2026-09-02,09:53,204.025,204.4683,203.64,203.69,83348
MRVL,2026-09-02,09:54,203.6506,203.85,203.5,203.79,94117
MRVL,2026-09-02,09:55,203.795,204.2799,203.67,204.21,66433
MRVL,2026-09-02,09:56,204.14,204.47,203.82,204.3445,80040
MRVL,2026-09-02,09:57,204.39,204.52,203.8,203.8,63503
MRVL,2026-09-02,09:58,203.855,204.3871,203.83,204.135,90311
MRVL,2026-09-02,09:59,204.12,204.57,204.1098,204.53,40462
MRVL,2026-09-02,10:00,204.53,204.54,204.14,204.52,50429
MRVL,2026-09-02,10:01,204.55,204.8199,204.48,204.56,73342
MRVL,2026-09-02,10:02,204.5,204.7362,204.14,204.62,44237
MRVL,2026-09-02,10:03,204.61,204.65,204.2155,204.265,29322
MRVL,2026-09-02,10:04,204.32,204.82,204.21,204.765,64430
MRVL,2026-09-02,10:05,204.79,205.36,204.65,205.2,78758
MRVL,2026-09-02,10:06,205.0531,205.39,204.96,205.36,37907
MRVL,2026-09-02,10:07,205.415,205.79,205.3065,205.585,55056
MRVL,2026-09-02,10:08,205.64,205.6899,205.0174,205.25,42667
MRVL,2026-09-02,10:09,205.24,205.64,205.22,205.57,26911
MRVL,2026-09-02,10:10,205.59,205.99,205.565,205.785,44586
MRVL,2026-09-02,10:11,205.8,205.98,205.7,205.825,38405
MRVL,2026-09-02,10:12,205.81,205.89,205.1501,205.365,79983
MRVL,2026-09-02,10:13,205.46,205.85,205.34,205.6275,40915
