symbol,date,time,open,high,low,close,volume
MS,2026-09-02,09:30,211.97,212.59,211.96,212.53,56911
MS,2026-09-02,09:31,212.53,212.53,211.5668,211.9,9888
MS,2026-09-02,09:32,212.13,213.12,212.1,212.3101,8846
MS,2026-09-02,09:33,212.3326,213.14,212.0205,212.18,6656
MS,2026-09-02,09:34,212.504,212.504,211.84,212.005,2482
MS,2026-09-02,09:35,211.84,211.86,211.695,211.72,4270
MS,2026-09-02,09:36,211.94,212.47,211.94,212.13,3074
MS,2026-09-02,09:37,212.34,213,212.04,212.86,6733
MS,2026-09-02,09:38,213.005,213.09,212.96,213.05,4213
MS,2026-09-02,09:39,213.05,213.05,212.465,212.59,13449
MS,2026-09-02,09:40,212.645,212.65,212.09,212.28,8838
MS,2026-09-02,09:41,212.09,212.32,211.5451,211.5451,5279
MS,2026-09-02,09:42,211.66,211.91,211.4,211.4,13651
MS,2026-09-02,09:43,211.42,212.17,211.41,212.14,7073
MS,2026-09-02,09:44,212.06,212.49,212.04,212.35,4987
MS,2026-09-02,09:45,212.32,212.365,212.0838,212.34,11610
MS,2026-09-02,09:46,212.335,212.45,212.17,212.17,6719
MS,2026-09-02,09:47,212.19,212.19,212.04,212.135,4061
MS,2026-09-02,09:48,212.135,212.51,212.13,212.51,9969
MS,2026-09-02,09:49,212.655,212.79,212.455,212.455,8658
MS,2026-09-02,09:50,212.36,212.455,212.16,212.16,5006
MS,2026-09-02,09:51,212.1664,212.21,212.03,212.03,4440
MS,2026-09-02,09:52,212.13,212.37,212.06,212.37,6861
MS,2026-09-02,09:53,212.38,212.4722,212.28,212.33,6044
MS,2026-09-02,09:54,212.325,212.44,212.14,212.44,6953
MS,2026-09-02,09:55,212.44,212.505,212.32,212.505,6053
MS,2026-09-02,09:56,212.49,212.62,212.41,212.6197,6673
MS,2026-09-02,09:57,212.61,212.6997,212.53,212.6997,4095
MS,2026-09-02,09:58,212.65,212.77,212.65,212.77,5510
MS,2026-09-02,09:59,212.8392,213.1375,212.77,212.77,11994
