symbol,date,time,open,high,low,close,volume
NFLX,2026-09-02,09:30,80.54,80.66,80.32,80.345,565931
NFLX,2026-09-02,09:31,80.345,80.69,80.3,80.6399,98448
NFLX,2026-09-02,09:32,80.665,80.8501,80.55,80.85,106619
NFLX,2026-09-02,09:33,80.851,81.1,80.85,81.05,70579
NFLX,2026-09-02,09:34,81.045,81.22,80.965,81.185,59644
NFLX,2026-09-02,09:35,81.17,81.31,81.105,81.31,76760
NFLX,2026-09-02,09:36,81.338,81.4,81.2201,81.2201,69764
NFLX,2026-09-02,09:37,81.24,81.2701,81.1841,81.22,49384
NFLX,2026-09-02,09:38,81.2,81.3199,81.1201,81.225,38079
NFLX,2026-09-02,09:39,81.2,81.2334,81.09,81.18,23549
NFLX,2026-09-02,09:40,81.179,81.49,81.179,81.439,59858
NFLX,2026-09-02,09:41,81.45,81.4899,81.34,81.396,55163
NFLX,2026-09-02,09:42,81.4201,81.53,81.41,81.53,50116
NFLX,2026-09-02,09:43,81.51,81.78,81.51,81.778,81788
NFLX,2026-09-02,09:44,81.775,81.805,81.74,81.8,64214
NFLX,2026-09-02,09:45,81.79,81.96,81.77,81.89,99907
NFLX,2026-09-02,09:46,81.91,81.94,81.78,81.92,53216
NFLX,2026-09-02,09:47,81.9101,82.13,81.9,82.11,146863
NFLX,2026-09-02,09:48,82.13,82.23,82.07,82.15,70732
NFLX,2026-09-02,09:49,82.1599,82.21,82.09,82.1704,86543
NFLX,2026-09-02,09:50,82.18,82.2399,82.1701,82.21,52394
NFLX,2026-09-02,09:51,82.215,82.53,82.19,82.5,190193
NFLX,2026-09-02,09:52,82.495,82.61,82.455,82.54,209784
NFLX,2026-09-02,09:53,82.53,82.67,82.49,82.6404,112220
NFLX,2026-09-02,09:54,82.64,82.73,82.5901,82.72,116152
NFLX,2026-09-02,09:55,82.72,82.855,82.44,82.48,193548
NFLX,2026-09-02,09:56,82.46,82.69,82.41,82.6,110674
NFLX,2026-09-02,09:57,82.59,82.62,82.551,82.61,69495
NFLX,2026-09-02,09:58,82.61,82.8,82.605,82.7701,122789
NFLX,2026-09-02,09:59,82.79,83.12,82.75,83.12,329683
NFLX,2026-09-02,10:00,83.11,83.111,82.87,82.955,170333
NFLX,2026-09-02,10:01,82.95,82.95,82.7301,82.818,90720
NFLX,2026-09-02,10:02,82.82,82.82,82.48,82.5755,109266
NFLX,2026-09-02,10:03,82.5763,82.81,82.5723,82.79,77640
NFLX,2026-09-02,10:04,82.79,82.84,82.61,82.61,81941
NFLX,2026-09-02,10:05,82.61,82.62,82.5,82.585,56684
NFLX,2026-09-02,10:06,82.6,82.62,82.5,82.525,45792
NFLX,2026-09-02,10:07,82.525,82.5399,82.416,82.445,62218
NFLX,2026-09-02,10:08,82.445,82.52,82.39,82.43,57248
NFLX,2026-09-02,10:09,82.43,82.43,82.29,82.2983,41251
NFLX,2026-09-02,10:10,82.2904,82.3599,82.19,82.285,72756
NFLX,2026-09-02,10:11,82.27,82.275,82.1801,82.24,47220
NFLX,2026-09-02,10:12,82.24,82.25,82.1,82.235,46707
NFLX,2026-09-02,10:13,82.2261,82.3899,82.19,82.28,58183
NFLX,2026-09-02,10:14,82.28,82.3,82.2,82.215,36656
NFLX,2026-09-02,10:15,82.215,82.31,82.19,82.26,51627
NFLX,2026-09-02,10:16,82.26,82.3372,82.235,82.31,54500
NFLX,2026-09-02,10:17,82.3,82.325,82.23,82.26,49148
NFLX,2026-09-02,10:18,82.255,82.36,82.24,82.275,64439
NFLX,2026-09-02,10:19,82.3,82.39,82.2523,82.2834,53888
NFLX,2026-09-02,10:20,82.29,82.3,82.22,82.27,49120
NFLX,2026-09-02,10:21,82.275,82.36,82.26,82.345,58134
NFLX,2026-09-02,10:22,82.33,82.3599,82.26,82.3,38969
NFLX,2026-09-02,10:23,82.29,82.32,82.245,82.32,22776
NFLX,2026-09-02,10:24,82.31,82.36,82.28,82.34,26137
NFLX,2026-09-02,10:25,82.34,82.37,82.29,82.37,38532
NFLX,2026-09-02,10:26,82.36,82.37,82.3,82.35,32365
NFLX,2026-09-02,10:27,82.362,82.48,82.362,82.47,39650
NFLX,2026-09-02,10:28,82.48,82.5397,82.39,82.43,61503
NFLX,2026-09-02,10:29,82.42,82.42,82.37,82.395,32295
NFLX,2026-09-02,10:30,82.38,82.38,82.31,82.35,45771
NFLX,2026-09-02,10:31,82.355,82.39,82.22,82.2501,48819
NFLX,2026-09-02,10:32,82.26,82.285,82.22,82.22,32103
NFLX,2026-09-02,10:33,82.225,82.238,82.16,82.2,46323
NFLX,2026-09-02,10:34,82.2,82.268,82.18,82.2,35456
NFLX,2026-09-02,10:35,82.19,82.29,82.18,82.29,34636
NFLX,2026-09-02,10:36,82.2805,82.3599,82.275,82.35,41086
NFLX,2026-09-02,10:37,82.35,82.4394,82.325,82.4394,40020
NFLX,2026-09-02,10:38,82.435,82.44,82.37,82.41,37662
NFLX,2026-09-02,10:39,82.41,82.43,82.39,82.41,38650
NFLX,2026-09-02,10:40,82.41,82.415,82.37,82.415,32456
NFLX,2026-09-02,10:41,82.41,82.46,82.37,82.43,26685
NFLX,2026-09-02,10:42,82.4251,82.57,82.42,82.53,87057
NFLX,2026-09-02,10:43,82.5493,82.59,82.5204,82.5877,40159
NFLX,2026-09-02,10:44,82.59,82.65,82.57,82.58,44809
NFLX,2026-09-02,10:45,82.58,82.59,82.5649,82.565,40456
NFLX,2026-09-02,10:46,82.58,82.6,82.5573,82.585,42727
NFLX,2026-09-02,10:47,82.585,82.6,82.536,82.595,29548
NFLX,2026-09-02,10:48,82.595,82.6754,82.565,82.66,42897
NFLX,2026-09-02,10:49,82.66,82.6947,82.64,82.655,41463
NFLX,2026-09-02,10:50,82.66,82.7,82.6,82.63,33719
NFLX,2026-09-02,10:51,82.63,82.7,82.625,82.7,23908
NFLX,2026-09-02,10:52,82.7,82.71,82.6204,82.64,27447
NFLX,2026-09-02,10:53,82.65,82.6534,82.57,82.59,55285
NFLX,2026-09-02,10:54,82.59,82.67,82.59,82.61,33274
NFLX,2026-09-02,10:55,82.6,82.6,82.53,82.55,23012
NFLX,2026-09-02,10:56,82.55,82.56,82.45,82.48,35027
NFLX,2026-09-02,10:57,82.48,82.55,82.47,82.54,26138
NFLX,2026-09-02,10:58,82.5463,82.58,82.52,82.535,25220
NFLX,2026-09-02,10:59,82.53,82.68,82.53,82.6501,62838
