symbol,date,time,open,high,low,close,volume
NOW,2026-09-02,09:30,140.3,141.7,139.51,140.9015,766921
NOW,2026-09-02,09:31,140.77,141.99,140.47,141.095,91626
NOW,2026-09-02,09:32,141.14,141.9457,140.81,141.68,39520
NOW,2026-09-02,09:33,141.38,142.59,141.19,142.57,73375
NOW,2026-09-02,09:34,142.49,142.6,141.86,142.2401,57843
NOW,2026-09-02,09:35,142.35,142.35,141.67,142.01,27383
NOW,2026-09-02,09:36,142.11,142.2,140.46,140.555,108730
NOW,2026-09-02,09:37,140.555,140.64,140.15,140.15,40426
NOW,2026-09-02,09:38,140.19,140.38,140.1,140.1801,35896
NOW,2026-09-02,09:39,140.18,140.3082,139.76,139.87,55447
NOW,2026-09-02,09:40,139.9018,140.7,139.82,140.4501,73042
NOW,2026-09-02,09:41,140.57,140.7,139.62,139.73,84434
NOW,2026-09-02,09:42,139.72,140.1561,139.59,140.0679,62927
NOW,2026-09-02,09:43,140.065,140.33,139.7,140.08,75968
NOW,2026-09-02,09:44,140.08,140.19,139.25,139.97,60289
NOW,2026-09-02,09:45,140.02,140.4,139.91,140.33,66990
NOW,2026-09-02,09:46,140.285,140.44,139.95,140.24,46153
NOW,2026-09-02,09:47,140.27,140.5,140.215,140.375,21856
NOW,2026-09-02,09:48,140.31,140.61,140,140.539,74045
NOW,2026-09-02,09:49,140.545,140.85,140.525,140.695,34000
NOW,2026-09-02,09:50,140.77,140.8,140.59,140.6637,20236
NOW,2026-09-02,09:51,140.67,141.05,140.665,140.9,42253
NOW,2026-09-02,09:52,140.85,140.92,140.3409,140.845,31567
NOW,2026-09-02,09:53,140.85,141.02,140.6,140.9105,27577
NOW,2026-09-02,09:54,140.96,141.53,140.94,141.5,34283
NOW,2026-09-02,09:55,141.5,141.5775,141.13,141.25,37236
NOW,2026-09-02,09:56,141.25,141.31,141.01,141.1341,53561
NOW,2026-09-02,09:57,141.17,141.35,141.08,141.3,33009
NOW,2026-09-02,09:58,141.255,141.255,140.69,140.83,18452
NOW,2026-09-02,09:59,140.825,141.35,140.78,141.34,41258
NOW,2026-09-02,10:00,141.33,141.36,140.95,141.05,21150
NOW,2026-09-02,10:01,141.035,141.11,140.52,140.66,18073
NOW,2026-09-02,10:02,140.6151,140.7228,140.23,140.39,45155
NOW,2026-09-02,10:03,140.395,140.41,140,140.0118,81273
NOW,2026-09-02,10:04,140.08,140.235,139.8,140.18,34747
NOW,2026-09-02,10:05,140.16,140.535,140.16,140.41,18054
NOW,2026-09-02,10:06,140.4,140.53,140.33,140.49,23451
NOW,2026-09-02,10:07,140.45,140.53,139.955,139.955,14297
NOW,2026-09-02,10:08,139.94,140.13,139.7301,140.01,26811
NOW,2026-09-02,10:09,139.988,140.01,139.44,139.44,36245
NOW,2026-09-02,10:10,139.42,139.8299,139.42,139.74,24327
NOW,2026-09-02,10:11,139.74,139.83,139.62,139.77,18175
NOW,2026-09-02,10:12,139.765,139.86,139.37,139.63,48795
NOW,2026-09-02,10:13,139.6,139.61,139.33,139.41,34935
NOW,2026-09-02,10:14,139.41,139.48,139.1535,139.2144,31665
NOW,2026-09-02,10:15,139.17,139.372,139.1432,139.23,31367
NOW,2026-09-02,10:16,139.24,139.33,138.9,138.9333,62738
NOW,2026-09-02,10:17,138.91,138.93,138.62,138.71,70216
NOW,2026-09-02,10:18,138.73,138.79,138.52,138.57,55795
NOW,2026-09-02,10:19,138.63,138.84,138.4558,138.47,65196
NOW,2026-09-02,10:20,138.47,138.79,138.47,138.7,38946
NOW,2026-09-02,10:21,138.76,138.8,138.38,138.65,58256
NOW,2026-09-02,10:22,138.685,138.7066,138.47,138.63,38714
NOW,2026-09-02,10:23,138.66,138.84,138.5706,138.8,41054
NOW,2026-09-02,10:24,138.78,138.93,138.652,138.9,48520
NOW,2026-09-02,10:25,138.8618,138.9,138.705,138.8725,49676
NOW,2026-09-02,10:26,138.91,139.1,138.9001,139.06,40165
NOW,2026-09-02,10:27,139.06,139.16,138.91,138.95,104465
NOW,2026-09-02,10:28,138.94,139.0677,138.8275,138.93,29527
NOW,2026-09-02,10:29,138.95,138.9999,138.79,138.87,33531
NOW,2026-09-02,10:30,138.83,139.03,138.73,139,22998
NOW,2026-09-02,10:31,139.03,139.11,138.8,138.87,16150
NOW,2026-09-02,10:32,138.9189,138.9189,138.61,138.61,22419
NOW,2026-09-02,10:33,138.6,138.63,138.435,138.565,48268
NOW,2026-09-02,10:34,138.54,138.69,138.51,138.6499,28047
NOW,2026-09-02,10:35,138.65,138.72,138.51,138.63,30131
NOW,2026-09-02,10:36,138.655,138.8,138.63,138.69,25084
NOW,2026-09-02,10:37,138.685,138.685,138.54,138.635,32007
NOW,2026-09-02,10:38,138.65,138.74,138.38,138.74,33876
NOW,2026-09-02,10:39,138.71,138.89,138.62,138.86,51716
NOW,2026-09-02,10:40,138.86,138.975,138.71,138.975,48206
NOW,2026-09-02,10:41,138.955,139.01,138.91,139.01,26835
NOW,2026-09-02,10:42,139.01,139.02,138.9,138.985,36287
NOW,2026-09-02,10:43,138.95,139.25,138.945,139.19,49934
NOW,2026-09-02,10:44,139.2,139.58,139.17,139.4,69396
NOW,2026-09-02,10:45,139.41,139.46,139.235,139.29,31738
NOW,2026-09-02,10:46,139.27,139.27,138.9,139.03,35942
NOW,2026-09-02,10:47,139.025,139.17,138.98,139.165,30363
NOW,2026-09-02,10:48,139.1669,139.19,139.05,139.07,17372
NOW,2026-09-02,10:49,139.1,139.2299,139.09,139.13,22988
NOW,2026-09-02,10:50,139.18,139.23,138.75,138.75,28866
NOW,2026-09-02,10:51,138.75,138.91,138.72,138.836,28406
NOW,2026-09-02,10:52,138.825,138.825,138.5,138.77,43747
NOW,2026-09-02,10:53,138.73,138.82,138.665,138.671,25361
NOW,2026-09-02,10:54,138.7,138.875,138.67,138.785,12922
NOW,2026-09-02,10:55,138.8,138.83,138.5725,138.59,22964
NOW,2026-09-02,10:56,138.57,138.5897,138.12,138.16,54083
NOW,2026-09-02,10:57,138.21,138.33,138.11,138.33,30239
NOW,2026-09-02,10:58,138.28,138.35,138.2,138.2,15437
NOW,2026-09-02,10:59,138.295,138.47,138.27,138.3,35594
NOW,2026-09-02,11:00,138.32,138.52,138.31,138.46,24606
NOW,2026-09-02,11:01,138.5,138.6,138.46,138.47,19588
NOW,2026-09-02,11:02,138.45,138.45,138.3,138.38,17766
NOW,2026-09-02,11:03,138.44,138.5899,138.44,138.545,30692
NOW,2026-09-02,11:04,138.53,138.54,138.28,138.41,13573
NOW,2026-09-02,11:05,138.38,138.47,138.37,138.435,19898
NOW,2026-09-02,11:06,138.4,138.65,138.4,138.53,33255
NOW,2026-09-02,11:07,138.5599,138.6,138.43,138.43,22188
NOW,2026-09-02,11:08,138.4865,138.4865,138.3,138.3,17476
NOW,2026-09-02,11:09,138.315,138.32,138.25,138.27,10862
NOW,2026-09-02,11:10,138.26,138.395,138.2,138.341,19776
NOW,2026-09-02,11:11,138.35,138.42,138.182,138.225,26069
NOW,2026-09-02,11:12,138.235,138.44,138.23,138.33,29423
NOW,2026-09-02,11:13,138.325,138.375,138.16,138.175,11916
NOW,2026-09-02,11:14,138.16,138.26,138.15,138.21,16095
NOW,2026-09-02,11:15,138.195,138.27,138.14,138.23,26148
NOW,2026-09-02,11:16,138.26,138.26,138.17,138.217,16016
NOW,2026-09-02,11:17,138.212,138.24,137.98,138.155,84239
NOW,2026-09-02,11:18,138.155,138.19,137.99,138.02,30838
NOW,2026-09-02,11:19,138.03,138.09,137.9704,138.0757,21753
NOW,2026-09-02,11:20,138.07,138.2713,138.07,138.17,32453
NOW,2026-09-02,11:21,138.13,138.3488,138.13,138.3488,32501
