symbol,date,time,open,high,low,close,volume
ORCL,2026-09-02,09:30,140.26,140.76,139.72,140.17,946416
ORCL,2026-09-02,09:31,140.32,141.15,140.26,141.02,92244
ORCL,2026-09-02,09:32,141.1,141.89,141.05,141.78,174692
ORCL,2026-09-02,09:33,141.805,142.515,141.72,142.345,132351
ORCL,2026-09-02,09:34,142.31,142.93,142.2,142.77,96084
ORCL,2026-09-02,09:35,142.8184,142.8184,142.19,142.48,74194
ORCL,2026-09-02,09:36,142.5329,142.58,142.04,142.405,67998
ORCL,2026-09-02,09:37,142.31,142.315,141.8023,142,65552
ORCL,2026-09-02,09:38,142.06,142.1707,141.55,142.09,58406
ORCL,2026-09-02,09:39,142.1559,142.42,142.03,142.3,43343
ORCL,2026-09-02,09:40,142.265,142.86,142.11,142.3,175575
ORCL,2026-09-02,09:41,142.1301,142.38,141.8618,142.36,73110
ORCL,2026-09-02,09:42,142.2471,142.8,142.2301,142.8,53786
ORCL,2026-09-02,09:43,142.798,143.42,142.72,143.2783,124823
ORCL,2026-09-02,09:44,143.36,143.55,143.26,143.55,85206
ORCL,2026-09-02,09:45,143.51,143.98,143.5,143.66,174450
ORCL,2026-09-02,09:46,143.7,143.81,143.0301,143.3798,74684
ORCL,2026-09-02,09:47,143.26,143.69,143.2101,143.46,57478
ORCL,2026-09-02,09:48,143.5499,143.5499,143.3,143.38,43421
ORCL,2026-09-02,09:49,143.32,143.65,143.31,143.405,57628
ORCL,2026-09-02,09:50,143.445,143.712,143.3701,143.4924,73889
ORCL,2026-09-02,09:51,143.525,143.6999,143.33,143.385,41883
ORCL,2026-09-02,09:52,143.37,143.65,143.25,143.28,92959
ORCL,2026-09-02,09:53,143.33,143.42,143.2476,143.4,49523
ORCL,2026-09-02,09:54,143.41,143.43,143.3,143.36,35734
ORCL,2026-09-02,09:55,143.3931,143.63,143.36,143.5,139737
ORCL,2026-09-02,09:56,143.475,143.74,143.44,143.68,46579
ORCL,2026-09-02,09:57,143.6841,143.73,143.25,143.25,42049
ORCL,2026-09-02,09:58,143.21,143.349,143.01,143.06,53666
ORCL,2026-09-02,09:59,143.07,143.695,143.065,143.62,58332
ORCL,2026-09-02,10:00,143.62,143.65,143.25,143.475,34588
ORCL,2026-09-02,10:01,143.45,143.6,143.4101,143.48,37544
ORCL,2026-09-02,10:02,143.5337,144.26,143.5,144.26,150637
ORCL,2026-09-02,10:03,144.2799,144.35,144.1,144.15,182856
ORCL,2026-09-02,10:04,144.11,144.67,144.08,144.53,301039
ORCL,2026-09-02,10:05,144.54,144.75,144.39,144.5401,95918
ORCL,2026-09-02,10:06,144.6,145.1,144.6,144.925,110434
ORCL,2026-09-02,10:07,144.97,145.4999,144.88,145.28,85253
ORCL,2026-09-02,10:08,145.43,145.43,145.09,145.3784,108487
ORCL,2026-09-02,10:09,145.3355,145.5,144.6901,144.875,109153
ORCL,2026-09-02,10:10,144.9,145.47,144.9,145.38,92527
ORCL,2026-09-02,10:11,145.34,145.6,145.17,145.54,404564
ORCL,2026-09-02,10:12,145.57,145.57,144.66,144.9001,61696
ORCL,2026-09-02,10:13,144.95,144.9899,144.76,144.97,43560
ORCL,2026-09-02,10:14,144.94,145.25,144.92,144.93,72584
ORCL,2026-09-02,10:15,144.965,145.3,144.93,145.28,57107
ORCL,2026-09-02,10:16,145.2501,145.29,144.69,144.69,105108
ORCL,2026-09-02,10:17,144.7,144.8699,144.25,144.69,74711
ORCL,2026-09-02,10:18,144.69,144.88,144.66,144.82,96837
ORCL,2026-09-02,10:19,144.865,144.969,144.6848,144.85,46098
ORCL,2026-09-02,10:20,144.855,145.12,144.74,145.06,59943
ORCL,2026-09-02,10:21,145.08,145.44,145.0405,145.34,81502
ORCL,2026-09-02,10:22,145.39,145.44,145.2001,145.3,46167
ORCL,2026-09-02,10:23,145.3199,145.3199,145.165,145.235,43380
ORCL,2026-09-02,10:24,145.26,145.39,145.15,145.28,73270
ORCL,2026-09-02,10:25,145.27,145.2908,144.97,145.075,69161
ORCL,2026-09-02,10:26,145.075,145.12,144.71,144.93,98932
ORCL,2026-09-02,10:27,144.9268,145,144.8101,144.85,29222
ORCL,2026-09-02,10:28,144.84,144.9799,144.63,144.87,44019
ORCL,2026-09-02,10:29,144.89,144.94,144.6,144.695,39602
ORCL,2026-09-02,10:30,144.72,144.86,144.59,144.64,28847
ORCL,2026-09-02,10:31,144.59,144.81,144.514,144.735,49893
ORCL,2026-09-02,10:32,144.71,144.8853,144.63,144.69,30258
ORCL,2026-09-02,10:33,144.7,144.77,144.5501,144.72,22828
ORCL,2026-09-02,10:34,144.76,144.76,144.57,144.715,22911
ORCL,2026-09-02,10:35,144.71,145,144.6801,144.9401,49205
ORCL,2026-09-02,10:36,144.96,145,144.84,144.96,31448
ORCL,2026-09-02,10:37,144.95,145.025,144.8301,144.945,45659
ORCL,2026-09-02,10:38,144.93,144.94,144.74,144.74,42045
ORCL,2026-09-02,10:39,144.78,145.08,144.6501,145.07,49240
ORCL,2026-09-02,10:40,145.08,145.19,144.98,145.17,41368
ORCL,2026-09-02,10:41,145.175,145.31,145.0646,145.19,41071
ORCL,2026-09-02,10:42,145.18,145.39,145.18,145.27,36156
ORCL,2026-09-02,10:43,145.29,145.67,145.25,145.67,97593
ORCL,2026-09-02,10:44,145.66,145.88,145.66,145.69,76606
ORCL,2026-09-02,10:45,145.6897,145.7499,145.3955,145.46,44835
ORCL,2026-09-02,10:46,145.49,145.49,145.136,145.136,41488
ORCL,2026-09-02,10:47,145.155,145.58,145.0601,145.58,53562
ORCL,2026-09-02,10:48,145.61,145.72,145.3312,145.41,45162
ORCL,2026-09-02,10:49,145.4,145.59,145.3401,145.4,52902
ORCL,2026-09-02,10:50,145.36,145.56,145.285,145.33,55002
ORCL,2026-09-02,10:51,145.32,145.66,145.3,145.6,39150
ORCL,2026-09-02,10:52,145.61,145.65,145.33,145.6,62841
ORCL,2026-09-02,10:53,145.62,145.66,145.49,145.58,33344
ORCL,2026-09-02,10:54,145.55,145.67,145.38,145.59,59513
ORCL,2026-09-02,10:55,145.565,145.83,145.565,145.82,50875
ORCL,2026-09-02,10:56,145.8,145.905,145.6301,145.68,41419
ORCL,2026-09-02,10:57,145.715,145.95,145.61,145.95,36957
ORCL,2026-09-02,10:58,145.92,145.99,145.665,145.7167,43398
ORCL,2026-09-02,10:59,145.71,145.84,145.56,145.84,27507
ORCL,2026-09-02,11:00,145.79,145.84,145.62,145.75,117510
ORCL,2026-09-02,11:01,145.775,145.81,145.58,145.59,39017
ORCL,2026-09-02,11:02,145.6,145.6338,145.38,145.6,42773
ORCL,2026-09-02,11:03,145.567,146.2,145.5601,146.19,99882
ORCL,2026-09-02,11:04,146.19,146.21,145.8201,145.865,39413
ORCL,2026-09-02,11:05,145.865,145.92,145.73,145.84,20709
ORCL,2026-09-02,11:06,145.84,145.99,145.84,145.85,24551
ORCL,2026-09-02,11:07,145.8994,145.8994,145.67,145.71,31219
ORCL,2026-09-02,11:08,145.73,145.73,145.51,145.56,24301
ORCL,2026-09-02,11:09,145.58,145.66,145.51,145.63,27707
ORCL,2026-09-02,11:10,145.58,145.59,145.2801,145.37,40993
ORCL,2026-09-02,11:11,145.345,145.45,145.2,145.45,32359
ORCL,2026-09-02,11:12,145.48,145.565,145.4,145.4,37722
ORCL,2026-09-02,11:13,145.4,145.47,145.35,145.42,25945
ORCL,2026-09-02,11:14,145.425,145.515,145.3501,145.47,19641
ORCL,2026-09-02,11:15,145.485,145.54,144.92,145.45,72203
ORCL,2026-09-02,11:16,145.45,145.5,145.36,145.445,23652
ORCL,2026-09-02,11:17,145.45,145.505,145.37,145.39,28981
ORCL,2026-09-02,11:18,145.4,145.49,145.29,145.37,54231
ORCL,2026-09-02,11:19,145.37,145.6,145.34,145.5176,36689
ORCL,2026-09-02,11:20,145.55,145.67,145.5,145.55,29252
ORCL,2026-09-02,11:21,145.55,145.55,145.35,145.405,20989
ORCL,2026-09-02,11:22,145.405,145.485,145.3888,145.3888,9595
ORCL,2026-09-02,11:23,145.3801,145.44,145.25,145.26,30180
ORCL,2026-09-02,11:24,145.2995,145.39,145.23,145.35,13047
ORCL,2026-09-02,11:25,145.335,145.45,145.335,145.38,19314
ORCL,2026-09-02,11:26,145.36,145.38,145.23,145.23,27420
ORCL,2026-09-02,11:27,145.24,145.31,145.21,145.24,15630
ORCL,2026-09-02,11:28,145.27,145.3835,145.1201,145.1201,19805
ORCL,2026-09-02,11:29,145.13,145.155,144.91,145.03,36447
ORCL,2026-09-02,11:30,145.065,145.1999,144.98,144.98,37770
ORCL,2026-09-02,11:31,144.9801,145.065,144.81,144.88,60676
ORCL,2026-09-02,11:32,144.88,145.09,144.81,144.97,25684
ORCL,2026-09-02,11:33,144.98,145.07,144.86,144.9975,25882
ORCL,2026-09-02,11:34,144.97,145,144.69,144.82,26366
ORCL,2026-09-02,11:35,144.8,144.93,144.75,144.92,22867
ORCL,2026-09-02,11:36,144.93,145.08,144.8401,144.88,28461
ORCL,2026-09-02,11:37,144.88,144.94,144.76,144.79,22665
ORCL,2026-09-02,11:38,144.79,144.82,144.62,144.66,19298
ORCL,2026-09-02,11:39,144.66,144.7,144.57,144.68,18471
ORCL,2026-09-02,11:40,144.69,144.93,144.66,144.855,13926
ORCL,2026-09-02,11:41,144.82,144.84,144.67,144.75,11568
ORCL,2026-09-02,11:42,144.78,144.8022,144.62,144.69,9487
ORCL,2026-09-02,11:43,144.695,144.695,144.6,144.61,10854
ORCL,2026-09-02,11:44,144.62,144.65,144.51,144.58,66069
ORCL,2026-09-02,11:45,144.55,144.575,144.03,144.13,32898
ORCL,2026-09-02,11:46,144.13,144.23,144.03,144.105,16649
ORCL,2026-09-02,11:47,144.105,144.105,143.81,143.9,84570
ORCL,2026-09-02,11:48,143.915,143.96,143.85,143.86,23718
ORCL,2026-09-02,11:49,143.88,143.92,143.77,143.88,24839
ORCL,2026-09-02,11:50,143.865,144.0279,143.81,143.955,24333
ORCL,2026-09-02,11:51,143.955,144.03,143.89,144.03,17923
ORCL,2026-09-02,11:52,143.99,144.145,143.9773,144.14,13927
ORCL,2026-09-02,11:53,144.18,144.22,143.9,144.12,37972
ORCL,2026-09-02,11:54,144.08,144.08,143.95,144.02,13105
ORCL,2026-09-02,11:55,144.03,144.12,144.01,144.11,18616
ORCL,2026-09-02,11:56,144.15,144.2393,144.1,144.175,11119
ORCL,2026-09-02,11:57,144.18,144.23,144.11,144.195,9782
ORCL,2026-09-02,11:58,144.2,144.4,144.15,144.399,31765
ORCL,2026-09-02,11:59,144.32,144.43,144.32,144.385,13802
ORCL,2026-09-02,12:00,144.3601,144.41,144.34,144.365,20623
ORCL,2026-09-02,12:01,144.39,144.4,144.34,144.37,12793
ORCL,2026-09-02,12:02,144.39,144.49,144.29,144.2917,114328
ORCL,2026-09-02,12:03,144.335,144.46,144.18,144.255,160465
ORCL,2026-09-02,12:04,144.255,144.27,144.18,144.23,18608
ORCL,2026-09-02,12:05,144.2,144.23,144.05,144.06,19845
ORCL,2026-09-02,12:06,144.05,144.084,144,144.02,32352
ORCL,2026-09-02,12:07,144.045,144.27,143.99,144.27,104942
ORCL,2026-09-02,12:08,144.22,144.3063,144.06,144.06,22597
ORCL,2026-09-02,12:09,144.05,144.09,143.89,143.99,102915
ORCL,2026-09-02,12:10,144.0164,144.02,143.87,143.905,17346
ORCL,2026-09-02,12:11,143.88,143.96,143.86,143.95,15064
ORCL,2026-09-02,12:12,144,144,143.8801,143.9,8113
ORCL,2026-09-02,12:13,143.95,144.05,143.94,144.01,18210
ORCL,2026-09-02,12:14,144.01,144.0211,143.83,143.9,17491
ORCL,2026-09-02,12:15,143.92,144,143.91,144,12164
ORCL,2026-09-02,12:16,143.99,144.035,143.94,143.97,18461
ORCL,2026-09-02,12:17,143.98,144.25,143.97,144.2,43680
ORCL,2026-09-02,12:18,144.18,144.2,143.9,143.9,16476
ORCL,2026-09-02,12:19,143.935,143.96,143.81,143.86,11880
ORCL,2026-09-02,12:20,143.8617,143.98,143.8617,143.9132,9588
ORCL,2026-09-02,12:21,143.92,143.95,143.84,143.95,5447
ORCL,2026-09-02,12:22,143.955,144.045,143.9,144.045,16764
ORCL,2026-09-02,12:23,144.04,144.06,143.98,144.025,15718
ORCL,2026-09-02,12:24,144.04,144.06,143.875,143.995,29438
ORCL,2026-09-02,12:25,144,144.16,144,144.1599,16382
ORCL,2026-09-02,12:26,144.13,144.13,144.035,144.075,12580
