symbol,date,time,open,high,low,close,volume
PANW,2026-09-02,09:30,346.18,350.67,340.3,340.55,546995
PANW,2026-09-02,09:31,340.39,343.79,336.2805,336.67,130921
PANW,2026-09-02,09:32,336.89,340.14,336.09,337.585,84394
PANW,2026-09-02,09:33,337.5033,338.3499,336.37,338.31,75450
PANW,2026-09-02,09:34,337.01,339.76,333.85,334.69,166824
PANW,2026-09-02,09:35,334.3097,337.1299,334.3097,334.5,66064
PANW,2026-09-02,09:36,334.64,334.64,332.23,333.1,93133
PANW,2026-09-02,09:37,333.25,333.58,332.26,333.03,46508
PANW,2026-09-02,09:38,333.02,334.605,332.05,334.6,77623
PANW,2026-09-02,09:39,334.54,334.54,330.71,331,79750
PANW,2026-09-02,09:40,330.8164,331.5599,330.32,331.3725,66317
PANW,2026-09-02,09:41,331.63,331.7099,329.11,329.565,69627
PANW,2026-09-02,09:42,329.4708,331.9999,329.01,330.59,54072
PANW,2026-09-02,09:43,331.19,332,330.5,331.86,74608
PANW,2026-09-02,09:44,331.6,331.9999,328.982,329,54974
PANW,2026-09-02,09:45,328.8,329.57,327.77,328.8,87462
PANW,2026-09-02,09:46,328.465,329.35,328.13,328.1701,51108
PANW,2026-09-02,09:47,328.77,329.15,327.7899,328.78,49303
PANW,2026-09-02,09:48,328.78,332,328.56,330.885,133468
PANW,2026-09-02,09:49,330.885,331.5,328.5593,328.75,65728
PANW,2026-09-02,09:50,329.185,331,328.95,330.745,48562
PANW,2026-09-02,09:51,330.57,331.64,329.5001,329.83,73030
PANW,2026-09-02,09:52,330.11,330.11,328.01,329.585,66847
PANW,2026-09-02,09:53,329.585,331,329.2,330.625,49321
PANW,2026-09-02,09:54,330.625,331.84,330.05,330.5,69699
PANW,2026-09-02,09:55,330.49,330.84,329.595,330.3279,26113
PANW,2026-09-02,09:56,330.405,331.135,329.885,330.22,33396
PANW,2026-09-02,09:57,330.525,330.7672,328.2262,328.2262,38309
PANW,2026-09-02,09:58,328.35,328.82,327.25,327.4053,67205
PANW,2026-09-02,09:59,327.67,328.63,327.4088,328.37,27666
PANW,2026-09-02,10:00,328.4595,329.305,327.7001,329.25,33245
PANW,2026-09-02,10:01,329.305,329.61,328.97,329.5,40051
PANW,2026-09-02,10:02,329.17,329.57,327.32,327.8,51987
PANW,2026-09-02,10:03,327.9,329.545,327.88,329.545,27164
PANW,2026-09-02,10:04,329.545,330.4,329.2475,330.305,38569
PANW,2026-09-02,10:05,330.5,331.74,330.17,330.82,40956
