symbol,date,time,open,high,low,close,volume
PGR,2026-09-02,09:30,221.17,221.17,221.17,221.17,12904
PGR,2026-09-02,09:31,220.87,220.87,220.87,220.87,434
PGR,2026-09-02,09:32,220.74,220.74,220.74,220.74,2152
PGR,2026-09-02,09:33,220.74,220.74,220.74,220.74,0
PGR,2026-09-02,09:34,220.42,220.785,220.42,220.78,679
PGR,2026-09-02,09:35,220.43,220.52,220.27,220.395,3803
PGR,2026-09-02,09:36,220.44,220.84,219.92,220.03,5538
PGR,2026-09-02,09:37,220.26,220.58,220.26,220.58,1331
PGR,2026-09-02,09:38,220.46,220.71,220.46,220.67,1347
PGR,2026-09-02,09:39,220.65,221.24,220.65,220.71,9317
PGR,2026-09-02,09:40,220.66,220.81,220.51,220.63,7806
PGR,2026-09-02,09:41,220.74,220.76,220.74,220.75,4118
PGR,2026-09-02,09:42,220.73,220.75,220.59,220.65,3227
PGR,2026-09-02,09:43,220.63,221.1,220.63,221.1,1753
PGR,2026-09-02,09:44,221.11,221.425,221.11,221.425,1280
PGR,2026-09-02,09:45,221.54,221.7,221.54,221.7,1230
PGR,2026-09-02,09:46,221.775,221.78,221.6008,221.78,1889
PGR,2026-09-02,09:47,221.57,221.6775,221.52,221.525,2930
PGR,2026-09-02,09:48,221.41,221.64,221.41,221.64,736
PGR,2026-09-02,09:49,221.64,221.8297,221.42,221.45,3058
PGR,2026-09-02,09:50,221.65,221.65,221.645,221.645,1350
PGR,2026-09-02,09:51,221.645,221.87,221.645,221.74,2326
PGR,2026-09-02,09:52,221.89,221.91,221.89,221.91,1071
PGR,2026-09-02,09:53,221.5961,222.05,221.5961,222.05,6173
PGR,2026-09-02,09:54,222.15,222.455,222.15,222.455,3194
PGR,2026-09-02,09:55,222.46,222.46,222.2725,222.36,1540
PGR,2026-09-02,09:56,222.3,222.45,222.15,222.18,1543
PGR,2026-09-02,09:57,222.32,222.32,221.91,221.91,2586
PGR,2026-09-02,09:58,222,222,221.875,221.875,1014
PGR,2026-09-02,09:59,221.77,221.955,221.7403,221.7403,5259
PGR,2026-09-02,10:00,221.74,221.97,221.56,221.97,3632
PGR,2026-09-02,10:01,222.02,222.19,222.02,222.1825,5474
PGR,2026-09-02,10:02,222.2,222.395,222.09,222.09,6184
PGR,2026-09-02,10:03,222.11,222.11,222.11,222.11,298
PGR,2026-09-02,10:04,221.95,221.95,221.93,221.93,2442
PGR,2026-09-02,10:05,221.9456,221.9456,221.9456,221.9456,358
PGR,2026-09-02,10:06,221.75,221.925,221.75,221.925,1020
PGR,2026-09-02,10:07,221.925,221.925,221.7,221.7,1673
PGR,2026-09-02,10:08,221.55,221.55,221.49,221.49,1373
PGR,2026-09-02,10:09,221.58,221.58,221.58,221.58,207
PGR,2026-09-02,10:10,221.44,221.5577,221.34,221.5577,1240
PGR,2026-09-02,10:11,221.34,221.36,221.17,221.32,2937
PGR,2026-09-02,10:12,221.3,221.305,221.23,221.305,1254
PGR,2026-09-02,10:13,221.305,221.305,221.305,221.305,1091
PGR,2026-09-02,10:14,221.295,221.295,221.05,221.22,2425
PGR,2026-09-02,10:15,221.34,221.34,221.34,221.34,1297
PGR,2026-09-02,10:16,221.235,221.38,221.01,221.01,3714
PGR,2026-09-02,10:17,221.01,221.2198,220.82,221.02,6473
PGR,2026-09-02,10:18,220.96,221.19,220.83,221.03,3616
PGR,2026-09-02,10:19,221.03,221.08,220.93,221.065,4852
PGR,2026-09-02,10:20,221.075,221.47,221.075,221.47,4395
PGR,2026-09-02,10:21,221.36,221.45,221.355,221.355,1881
PGR,2026-09-02,10:22,221.33,221.4899,221.19,221.19,1434
PGR,2026-09-02,10:23,221.215,221.215,221.19,221.215,1299
PGR,2026-09-02,10:24,221.28,221.38,221.28,221.38,2017
PGR,2026-09-02,10:25,221.26,221.57,221.26,221.57,1414
PGR,2026-09-02,10:26,221.48,221.635,221.47,221.635,1304
PGR,2026-09-02,10:27,221.63,221.65,221.63,221.65,1451
PGR,2026-09-02,10:28,221.55,221.62,221.55,221.62,1080
PGR,2026-09-02,10:29,221.54,221.54,221.46,221.46,1496
PGR,2026-09-02,10:30,221.42,221.43,221.35,221.35,1939
PGR,2026-09-02,10:31,221.5,221.5,221.415,221.415,1140
PGR,2026-09-02,10:32,221.345,221.345,221.345,221.345,1333
PGR,2026-09-02,10:33,221.1401,221.19,221,221.075,7405
PGR,2026-09-02,10:34,221.08,221.265,221.01,221.12,12329
PGR,2026-09-02,10:35,221.33,221.435,221.28,221.435,1262
PGR,2026-09-02,10:36,221.5,221.5,221.455,221.455,993
PGR,2026-09-02,10:37,221.5039,221.74,221.5039,221.74,1762
PGR,2026-09-02,10:38,222,222.075,222,222.075,1079
PGR,2026-09-02,10:39,222.0964,222.14,222.08,222.14,845
PGR,2026-09-02,10:40,222.1864,222.4718,222.1864,222.39,3023
PGR,2026-09-02,10:41,222.376,222.595,222.37,222.595,3242
PGR,2026-09-02,10:42,222.51,222.5425,222.44,222.5321,3252
PGR,2026-09-02,10:43,222.5321,222.5321,222.5321,222.5321,0
PGR,2026-09-02,10:44,222.59,222.59,222.54,222.54,1004
PGR,2026-09-02,10:45,222.57,222.57,222.47,222.57,1418
PGR,2026-09-02,10:46,222.565,222.565,222.54,222.54,829
PGR,2026-09-02,10:47,222.61,222.67,222.605,222.67,2177
PGR,2026-09-02,10:48,222.79,222.79,222.73,222.73,805
PGR,2026-09-02,10:49,222.835,222.845,222.835,222.845,618
PGR,2026-09-02,10:50,222.8575,222.9,222.8575,222.9,888
PGR,2026-09-02,10:51,222.96,223,222.96,223,1196
PGR,2026-09-02,10:52,223.09,223.305,223,223.305,3081
PGR,2026-09-02,10:53,223.35,223.35,223.35,223.35,445
PGR,2026-09-02,10:54,223.35,223.35,223.15,223.235,3244
PGR,2026-09-02,10:55,223.12,223.12,223.12,223.12,304
PGR,2026-09-02,10:56,223.0601,223.31,223.0601,223.225,4584
PGR,2026-09-02,10:57,223.19,223.24,223.135,223.24,1204
PGR,2026-09-02,10:58,223.11,223.16,223.095,223.16,1958
PGR,2026-09-02,10:59,223.16,223.16,223.16,223.16,0
PGR,2026-09-02,11:00,223.166,223.166,223.02,223.02,2397
PGR,2026-09-02,11:01,222.99,222.99,222.99,222.99,969
PGR,2026-09-02,11:02,222.99,222.99,222.99,222.99,0
PGR,2026-09-02,11:03,222.97,222.97,222.775,222.775,2367
PGR,2026-09-02,11:04,222.56,222.56,222.56,222.56,572
PGR,2026-09-02,11:05,222.5475,222.7,222.5475,222.6,1780
PGR,2026-09-02,11:06,222.52,222.52,222.33,222.33,1887
PGR,2026-09-02,11:07,222.17,222.17,222.17,222.17,295
PGR,2026-09-02,11:08,222.27,222.29,222.185,222.185,1773
PGR,2026-09-02,11:09,222.2716,222.2716,222.185,222.185,696
PGR,2026-09-02,11:10,222.28,222.33,222.1,222.3,3070
PGR,2026-09-02,11:11,222.28,222.28,222.18,222.18,1072
PGR,2026-09-02,11:12,222.16,222.16,221.89,221.93,2279
PGR,2026-09-02,11:13,221.925,221.925,221.8,221.83,1912
PGR,2026-09-02,11:14,221.77,221.78,221.66,221.78,1580
PGR,2026-09-02,11:15,221.81,221.81,221.81,221.81,1284
PGR,2026-09-02,11:16,221.81,221.81,221.81,221.81,0
PGR,2026-09-02,11:17,221.7,221.82,221.67,221.81,2396
PGR,2026-09-02,11:18,221.88,221.88,221.87,221.87,863
PGR,2026-09-02,11:19,221.83,221.83,221.83,221.83,421
PGR,2026-09-02,11:20,221.85,221.85,221.665,221.665,5155
PGR,2026-09-02,11:21,221.75,221.76,221.75,221.76,464
PGR,2026-09-02,11:22,221.695,221.77,221.66,221.77,1292
PGR,2026-09-02,11:23,221.79,221.95,221.79,221.875,2199
PGR,2026-09-02,11:24,221.895,221.895,221.89,221.89,906
PGR,2026-09-02,11:25,221.89,221.89,221.75,221.75,6202
PGR,2026-09-02,11:26,221.775,221.84,221.72,221.72,5683
PGR,2026-09-02,11:27,221.795,221.795,221.795,221.795,393
PGR,2026-09-02,11:28,221.87,221.9,221.835,221.835,969
PGR,2026-09-02,11:29,221.835,221.835,221.74,221.74,1752
PGR,2026-09-02,11:30,221.9269,222.1899,221.9269,222.1899,3124
PGR,2026-09-02,11:31,221.965,222.01,221.965,222.01,432
PGR,2026-09-02,11:32,222,222,221.995,221.995,2197
PGR,2026-09-02,11:33,222.09,222.13,221.97,221.995,2329
