symbol,date,time,open,high,low,close,volume
PLD,2026-09-02,09:30,138.57,138.57,137.55,137.62,65041
PLD,2026-09-02,09:31,137.55,137.6,137.38,137.38,9236
PLD,2026-09-02,09:32,137.39,137.47,137,137.455,11504
PLD,2026-09-02,09:33,137.44,137.54,137.28,137.31,13473
PLD,2026-09-02,09:34,137.15,137.29,137.15,137.29,1614
PLD,2026-09-02,09:35,137.18,137.46,137.18,137.23,5408
PLD,2026-09-02,09:36,137.29,137.35,137.26,137.27,858
PLD,2026-09-02,09:37,137.29,137.49,137.29,137.3,14954
PLD,2026-09-02,09:38,137.395,137.4,137.22,137.24,2550
PLD,2026-09-02,09:39,137.22,137.22,136.97,137.05,21825
PLD,2026-09-02,09:40,137.0946,137.18,137.08,137.135,5090
PLD,2026-09-02,09:41,137.14,137.29,137.14,137.165,10486
PLD,2026-09-02,09:42,137.1775,137.185,137.165,137.175,1257
PLD,2026-09-02,09:43,137.16,137.25,137.14,137.21,7782
PLD,2026-09-02,09:44,137.15,137.25,137.1,137.25,12410
PLD,2026-09-02,09:45,137.215,137.215,137,137,9172
PLD,2026-09-02,09:46,137.02,137.1,137,137,9670
PLD,2026-09-02,09:47,137,137.08,136.9005,137,5193
PLD,2026-09-02,09:48,137,137.1,136.98,137.09,5477
PLD,2026-09-02,09:49,137.085,137.21,137.05,137.21,11938
PLD,2026-09-02,09:50,137.21,137.23,137.15,137.15,2307
PLD,2026-09-02,09:51,137.13,137.29,137.08,137.28,7514
PLD,2026-09-02,09:52,137.33,137.505,137.31,137.505,5097
PLD,2026-09-02,09:53,137.4644,137.59,137.4644,137.505,14012
PLD,2026-09-02,09:54,137.505,137.72,137.505,137.655,14106
PLD,2026-09-02,09:55,137.65,137.65,137.6,137.6005,1909
PLD,2026-09-02,09:56,137.65,137.65,137.56,137.5975,3602
PLD,2026-09-02,09:57,137.585,137.68,137.49,137.665,19078
PLD,2026-09-02,09:58,137.69,137.71,137.54,137.69,12739
PLD,2026-09-02,09:59,137.69,137.79,137.69,137.7024,9064
PLD,2026-09-02,10:00,137.8,137.825,137.71,137.75,7876
PLD,2026-09-02,10:01,137.75,137.81,137.69,137.71,5456
PLD,2026-09-02,10:02,137.693,137.76,137.693,137.71,5018
PLD,2026-09-02,10:03,137.7283,137.78,137.7,137.78,3925
PLD,2026-09-02,10:04,137.79,137.87,137.79,137.85,2439
PLD,2026-09-02,10:05,137.92,137.92,137.53,137.53,28832
PLD,2026-09-02,10:06,137.615,137.62,137.43,137.62,4742
PLD,2026-09-02,10:07,137.64,137.66,137.36,137.36,4173
PLD,2026-09-02,10:08,137.435,137.44,137.435,137.44,1694
PLD,2026-09-02,10:09,137.52,137.52,137.41,137.42,4786
PLD,2026-09-02,10:10,137.36,137.41,137.3,137.4,3091
PLD,2026-09-02,10:11,137.4,137.5,137.28,137.5,5594
PLD,2026-09-02,10:12,137.53,137.575,137.495,137.55,20853
PLD,2026-09-02,10:13,137.565,137.61,137.45,137.47,11707
PLD,2026-09-02,10:14,137.525,137.64,137.52,137.59,4718
PLD,2026-09-02,10:15,137.57,137.57,137.56,137.56,1846
PLD,2026-09-02,10:16,137.54,137.59,137.5,137.545,2285
PLD,2026-09-02,10:17,137.56,137.7,137.56,137.675,3562
PLD,2026-09-02,10:18,137.66,137.83,137.66,137.815,15565
PLD,2026-09-02,10:19,137.8,138.045,137.76,138.045,22740
PLD,2026-09-02,10:20,138.11,138.11,137.82,137.865,13725
PLD,2026-09-02,10:21,137.95,137.95,137.875,137.915,1228
PLD,2026-09-02,10:22,137.91,137.93,137.66,137.71,11329
PLD,2026-09-02,10:23,137.67,137.85,137.67,137.85,3684
PLD,2026-09-02,10:24,137.86,137.995,137.86,137.935,15852
PLD,2026-09-02,10:25,137.96,137.98,137.925,137.955,3705
PLD,2026-09-02,10:26,137.96,137.96,137.89,137.915,3642
PLD,2026-09-02,10:27,137.92,137.97,137.92,137.97,1847
PLD,2026-09-02,10:28,137.985,138.0199,137.9,137.935,3723
PLD,2026-09-02,10:29,137.935,137.945,137.805,137.805,4041
PLD,2026-09-02,10:30,137.805,137.88,137.77,137.77,3507
PLD,2026-09-02,10:31,137.83,137.83,137.745,137.745,1384
PLD,2026-09-02,10:32,137.69,137.715,137.635,137.635,2196
PLD,2026-09-02,10:33,137.63,137.7,137.615,137.64,4841
PLD,2026-09-02,10:34,137.62,137.72,137.59,137.685,7219
PLD,2026-09-02,10:35,137.685,137.685,137.6075,137.655,1471
PLD,2026-09-02,10:36,137.65,137.65,137.61,137.64,1690
PLD,2026-09-02,10:37,137.67,137.68,137.61,137.625,10894
PLD,2026-09-02,10:38,137.625,137.67,137.53,137.5551,17603
PLD,2026-09-02,10:39,137.58,137.66,137.56,137.6,4687
PLD,2026-09-02,10:40,137.52,137.565,137.52,137.565,4756
PLD,2026-09-02,10:41,137.58,137.63,137.57,137.57,4788
PLD,2026-09-02,10:42,137.54,137.58,137.51,137.575,6025
PLD,2026-09-02,10:43,137.5559,137.62,137.54,137.57,4031
PLD,2026-09-02,10:44,137.633,137.633,137.6,137.6,1684
PLD,2026-09-02,10:45,137.54,137.55,137.49,137.49,2951
PLD,2026-09-02,10:46,137.46,137.48,137.44,137.48,3096
PLD,2026-09-02,10:47,137.46,137.49,137.45,137.48,17468
PLD,2026-09-02,10:48,137.45,137.615,137.45,137.545,23848
