symbol,date,time,open,high,low,close,volume
PM,2026-09-02,09:30,187.36,188.43,187.36,188.22,33676
PM,2026-09-02,09:31,188.79,188.79,187,187,3512
PM,2026-09-02,09:32,187.65,187.65,187.305,187.525,9040
PM,2026-09-02,09:33,187.23,187.23,186.14,186.31,13675
PM,2026-09-02,09:34,186,186.11,185.685,185.955,17449
PM,2026-09-02,09:35,185.955,186.53,185.95,186.28,15074
PM,2026-09-02,09:36,186.28,186.46,185.95,186.46,8567
PM,2026-09-02,09:37,186.6,186.705,186.54,186.705,1146
PM,2026-09-02,09:38,186.75,187.13,186.29,186.705,15475
PM,2026-09-02,09:39,186.38,186.6099,186.33,186.6099,6258
PM,2026-09-02,09:40,186.3165,186.3165,185.65,185.65,8492
PM,2026-09-02,09:41,185.77,185.93,185.29,185.29,6455
PM,2026-09-02,09:42,185.285,185.51,185.285,185.3,5336
PM,2026-09-02,09:43,185.3,185.55,185.165,185.165,6606
PM,2026-09-02,09:44,185.1,185.68,185.1,185.68,5885
PM,2026-09-02,09:45,185.595,186.01,185.41,185.41,8987
PM,2026-09-02,09:46,185.415,185.58,185.415,185.54,2497
PM,2026-09-02,09:47,185.54,185.55,185.39,185.495,3779
PM,2026-09-02,09:48,185.495,185.56,185.32,185.32,3537
PM,2026-09-02,09:49,185.4721,185.48,185.17,185.265,8310
PM,2026-09-02,09:50,185.37,185.59,185.27,185.55,7374
PM,2026-09-02,09:51,185.38,185.66,185.38,185.48,5690
PM,2026-09-02,09:52,185.52,185.52,185.2,185.2,5249
PM,2026-09-02,09:53,185.2,185.32,185.2,185.29,2518
PM,2026-09-02,09:54,185.32,185.63,185.32,185.625,7169
PM,2026-09-02,09:55,185.56,185.61,185.21,185.21,5788
PM,2026-09-02,09:56,185.205,185.205,184.75,184.93,18638
PM,2026-09-02,09:57,184.88,185.02,184.87,184.98,2727
PM,2026-09-02,09:58,185.06,185.26,185.02,185.26,5303
PM,2026-09-02,09:59,185.22,185.33,185.17,185.19,5503
PM,2026-09-02,10:00,185.14,185.56,184.95,185.56,20680
PM,2026-09-02,10:01,185.56,186.49,185.56,186.345,23108
PM,2026-09-02,10:02,186.47,186.9,186.47,186.59,5916
PM,2026-09-02,10:03,186.485,186.485,186.02,186.02,3607
PM,2026-09-02,10:04,186.005,186.005,185.995,185.995,828
PM,2026-09-02,10:05,185.995,186.1,185.8475,186.035,4152
PM,2026-09-02,10:06,185.98,186.12,185.82,185.82,6428
PM,2026-09-02,10:07,185.72,185.72,185.645,185.645,1098
PM,2026-09-02,10:08,185.82,185.86,185.78,185.86,2808
PM,2026-09-02,10:09,185.96,185.96,185.75,185.86,2611
PM,2026-09-02,10:10,185.75,185.81,185.5599,185.775,9634
PM,2026-09-02,10:11,185.81,186.39,185.81,186.39,9948
PM,2026-09-02,10:12,186.15,186.38,186.15,186.2625,7948
PM,2026-09-02,10:13,186.14,186.15,186.05,186.05,5129
PM,2026-09-02,10:14,186.095,186.44,186.095,186.38,5489
PM,2026-09-02,10:15,186.23,186.5,186.23,186.49,4465
PM,2026-09-02,10:16,186.51,186.56,186.43,186.465,3354
PM,2026-09-02,10:17,186.48,186.48,186.34,186.34,4333
PM,2026-09-02,10:18,186.23,186.42,186.18,186.18,11498
PM,2026-09-02,10:19,186.29,186.295,186.19,186.22,2361
PM,2026-09-02,10:20,186.295,186.41,186.21,186.35,12138
PM,2026-09-02,10:21,186.3125,186.69,186.295,186.575,4439
PM,2026-09-02,10:22,186.565,186.57,186.45,186.555,6865
PM,2026-09-02,10:23,186.46,186.55,186.43,186.55,5614
PM,2026-09-02,10:24,186.54,186.55,186.5,186.55,1095
PM,2026-09-02,10:25,186.585,186.86,186.57,186.72,6775
PM,2026-09-02,10:26,186.86,186.86,186.735,186.75,3594
PM,2026-09-02,10:27,186.74,186.8399,186.725,186.7475,2208
PM,2026-09-02,10:28,186.74,186.74,186.715,186.7175,2346
PM,2026-09-02,10:29,186.78,186.81,186.75,186.75,2862
PM,2026-09-02,10:30,186.69,186.695,186.655,186.695,2891
PM,2026-09-02,10:31,186.695,186.79,186.55,186.75,5567
PM,2026-09-02,10:32,186.83,186.83,186.6987,186.765,1555
PM,2026-09-02,10:33,186.77,186.77,186.56,186.56,4315
PM,2026-09-02,10:34,186.55,186.66,186.43,186.66,2689
PM,2026-09-02,10:35,186.63,186.97,186.58,186.91,8316
PM,2026-09-02,10:36,187.03,187.03,186.905,186.96,2051
PM,2026-09-02,10:37,186.95,187.35,186.95,187.35,12644
PM,2026-09-02,10:38,187.255,187.28,187.07,187.28,7745
PM,2026-09-02,10:39,187.15,187.39,187.15,187.35,4581
PM,2026-09-02,10:40,187.47,187.47,187.21,187.225,5563
PM,2026-09-02,10:41,187.225,187.31,187.13,187.2525,1796
PM,2026-09-02,10:42,187.24,187.24,187.23,187.23,2264
PM,2026-09-02,10:43,187.16,187.255,187.12,187.18,7937
PM,2026-09-02,10:44,187.29,187.36,187.265,187.295,4731
PM,2026-09-02,10:45,187.2825,187.331,187.125,187.26,7168
PM,2026-09-02,10:46,187.37,187.49,187.37,187.49,1333
PM,2026-09-02,10:47,187.42,187.7,187.41,187.6,3069
PM,2026-09-02,10:48,187.6261,187.72,187.6261,187.71,1183
PM,2026-09-02,10:49,187.73,187.78,187.55,187.69,5466
PM,2026-09-02,10:50,187.6001,187.685,187.55,187.685,6564
PM,2026-09-02,10:51,187.735,187.735,187.735,187.735,738
PM,2026-09-02,10:52,187.6,187.695,187.6,187.6,1428
PM,2026-09-02,10:53,187.7,187.747,187.7,187.71,1843
PM,2026-09-02,10:54,187.72,187.72,187.62,187.7,5181
PM,2026-09-02,10:55,187.6008,187.75,187.6008,187.74,5631
PM,2026-09-02,10:56,187.755,187.95,187.755,187.9,3897
PM,2026-09-02,10:57,187.95,187.98,187.89,187.92,5120
PM,2026-09-02,10:58,187.8966,187.92,187.7,187.7,7000
PM,2026-09-02,10:59,187.66,187.75,187.66,187.71,3503
PM,2026-09-02,11:00,187.69,187.745,187.585,187.585,5007
PM,2026-09-02,11:01,187.62,187.62,187.57,187.6,2674
PM,2026-09-02,11:02,187.6,187.81,187.595,187.8,6943
PM,2026-09-02,11:03,187.8,187.95,187.79,187.95,3994
PM,2026-09-02,11:04,187.84,187.8699,187.79,187.79,3404
PM,2026-09-02,11:05,187.87,187.94,187.795,187.905,1896
PM,2026-09-02,11:06,187.905,187.905,187.77,187.77,3192
PM,2026-09-02,11:07,187.72,187.72,187.695,187.715,1957
PM,2026-09-02,11:08,187.715,187.715,187.67,187.67,1840
PM,2026-09-02,11:09,187.7,187.705,187.7,187.7,1488
PM,2026-09-02,11:10,187.72,187.73,187.63,187.73,5764
PM,2026-09-02,11:11,187.79,187.81,187.745,187.75,5155
PM,2026-09-02,11:12,187.75,187.81,187.75,187.755,2259
PM,2026-09-02,11:13,187.755,187.755,187.7,187.73,2901
PM,2026-09-02,11:14,187.73,187.79,187.73,187.7675,2066
PM,2026-09-02,11:15,187.8,187.8,187.67,187.685,6189
PM,2026-09-02,11:16,187.67,187.685,187.67,187.685,1327
PM,2026-09-02,11:17,187.66,187.66,187.55,187.595,4024
PM,2026-09-02,11:18,187.62,187.69,187.6075,187.69,2285
PM,2026-09-02,11:19,187.715,187.85,187.715,187.8175,4130
PM,2026-09-02,11:20,187.84,187.98,187.84,187.979,19098
PM,2026-09-02,11:21,187.98,188,187.87,187.995,7955
PM,2026-09-02,11:22,187.95,187.95,187.92,187.95,2040
PM,2026-09-02,11:23,187.945,188.21,187.945,188.21,7175
PM,2026-09-02,11:24,188.18,188.25,188.17,188.17,3603
PM,2026-09-02,11:25,188.22,188.22,188.04,188.075,16323
PM,2026-09-02,11:26,188.075,188.185,188.075,188.14,4017
PM,2026-09-02,11:27,188.1,188.22,188.095,188.22,3129
PM,2026-09-02,11:28,188.1639,188.36,188.1639,188.2,6095
PM,2026-09-02,11:29,188.21,188.2375,188.21,188.2375,1416
PM,2026-09-02,11:30,188.225,188.33,188.215,188.24,2222
PM,2026-09-02,11:31,188.25,188.25,188.1564,188.1564,2157
PM,2026-09-02,11:32,188.21,188.22,188.15,188.22,3603
PM,2026-09-02,11:33,188.2,188.2,188.0605,188.145,5078
PM,2026-09-02,11:34,188.14,188.14,188.0665,188.08,2831
PM,2026-09-02,11:35,188.075,188.22,188.075,188.16,6497
PM,2026-09-02,11:36,188.12,188.125,188.12,188.125,870
PM,2026-09-02,11:37,188.125,188.31,188.125,188.31,3313
PM,2026-09-02,11:38,188.38,188.475,188.3164,188.41,4253
PM,2026-09-02,11:39,188.415,188.415,188.3,188.3,5162
PM,2026-09-02,11:40,188.35,188.35,188.31,188.335,1045
PM,2026-09-02,11:41,188.355,188.41,188.355,188.41,2036
PM,2026-09-02,11:42,188.38,188.41,188.31,188.31,2585
PM,2026-09-02,11:43,188.305,188.35,188.305,188.35,2504
PM,2026-09-02,11:44,188.39,188.44,188.34,188.34,4572
PM,2026-09-02,11:45,188.33,188.38,188.27,188.3725,4084
PM,2026-09-02,11:46,188.355,188.36,188.355,188.36,1533
PM,2026-09-02,11:47,188.39,188.43,188.33,188.33,3437
PM,2026-09-02,11:48,188.33,188.33,188.28,188.28,2126
PM,2026-09-02,11:49,188.265,188.32,188.23,188.265,2610
PM,2026-09-02,11:50,188.3,188.44,188.285,188.44,3876
