symbol,date,time,open,high,low,close,volume
QCOM,2026-09-02,09:30,166.04,166.77,165.305,166.56,194279
QCOM,2026-09-02,09:31,166.8,167.8,166.8,167.665,33632
QCOM,2026-09-02,09:32,167.87,168.235,167.59,168.19,10411
QCOM,2026-09-02,09:33,168.285,168.73,167.75,168.59,29209
QCOM,2026-09-02,09:34,168.77,169.39,168.57,169.085,26489
QCOM,2026-09-02,09:35,169.085,169.09,167.8138,167.9973,24124
QCOM,2026-09-02,09:36,167.905,168.06,167.32,167.4033,10797
QCOM,2026-09-02,09:37,167.29,167.435,166.9,167.055,8150
QCOM,2026-09-02,09:38,167,167.0702,165.8358,165.86,10912
QCOM,2026-09-02,09:39,165.81,166.35,165.6913,166.35,9083
QCOM,2026-09-02,09:40,166.305,166.69,166.041,166.125,13008
QCOM,2026-09-02,09:41,166.02,166.38,166.02,166.2988,19112
QCOM,2026-09-02,09:42,166.25,166.62,166.25,166.5299,12414
QCOM,2026-09-02,09:43,166.3,166.56,166.175,166.55,16186
QCOM,2026-09-02,09:44,166.38,166.51,166.333,166.41,8472
QCOM,2026-09-02,09:45,166.21,166.49,165.92,166.06,22105
QCOM,2026-09-02,09:46,166.08,166.26,165.65,165.735,12188
QCOM,2026-09-02,09:47,165.6,166.1,165.6,165.82,19579
QCOM,2026-09-02,09:48,165.73,165.7696,165.581,165.581,7569
QCOM,2026-09-02,09:49,165.57,166.03,165.43,166.03,19506
QCOM,2026-09-02,09:50,166.22,166.24,165.93,165.94,19444
QCOM,2026-09-02,09:51,166.02,166.04,165.77,165.78,7274
QCOM,2026-09-02,09:52,165.85,165.97,165.555,165.63,10219
QCOM,2026-09-02,09:53,165.625,165.7,165.15,165.15,32005
QCOM,2026-09-02,09:54,165.1,165.45,165.08,165.27,8519
QCOM,2026-09-02,09:55,165.36,165.37,165.1615,165.37,13795
QCOM,2026-09-02,09:56,165.33,165.33,165.12,165.12,7196
QCOM,2026-09-02,09:57,165.1,165.32,165.085,165.265,14403
QCOM,2026-09-02,09:58,165.2001,165.34,165.16,165.33,12668
QCOM,2026-09-02,09:59,165.325,165.85,165.28,165.62,23828
QCOM,2026-09-02,10:00,165.61,165.87,165.56,165.87,20954
QCOM,2026-09-02,10:01,165.92,166,165.77,165.78,12092
QCOM,2026-09-02,10:02,165.75,165.945,165.62,165.945,12408
QCOM,2026-09-02,10:03,165.995,166.43,165.995,166.42,9631
QCOM,2026-09-02,10:04,166.36,166.56,166.3,166.56,17340
QCOM,2026-09-02,10:05,166.57,166.9477,166.55,166.87,8291
QCOM,2026-09-02,10:06,166.87,167.43,166.87,167.43,23264
QCOM,2026-09-02,10:07,167.43,167.58,167.345,167.35,17795
QCOM,2026-09-02,10:08,167.38,167.48,167.38,167.405,7728
QCOM,2026-09-02,10:09,167.48,167.66,167.38,167.38,16353
QCOM,2026-09-02,10:10,167.45,167.58,167.45,167.5,6106
QCOM,2026-09-02,10:11,167.4764,167.8624,167.47,167.8624,22998
QCOM,2026-09-02,10:12,167.79,167.815,167.471,167.57,9326
QCOM,2026-09-02,10:13,167.62,167.77,167.55,167.74,5697
QCOM,2026-09-02,10:14,167.9,168,167.845,167.93,12289
QCOM,2026-09-02,10:15,167.96,168.05,167.83,167.95,13237
QCOM,2026-09-02,10:16,168.11,168.12,167.9725,168.03,11511
QCOM,2026-09-02,10:17,168.11,168.142,167.94,168.07,6401
QCOM,2026-09-02,10:18,168.18,168.542,168.18,168.43,16694
QCOM,2026-09-02,10:19,168.38,168.49,168.16,168.16,17350
QCOM,2026-09-02,10:20,168.1,168.21,167.5952,167.6599,25024
QCOM,2026-09-02,10:21,167.535,167.9,167.535,167.815,16715
QCOM,2026-09-02,10:22,167.815,167.9,167.7,167.86,7841
QCOM,2026-09-02,10:23,167.87,168.04,167.87,168.01,15862
QCOM,2026-09-02,10:24,167.89,167.95,167.825,167.92,8136
QCOM,2026-09-02,10:25,167.85,168.01,167.85,167.93,8381
QCOM,2026-09-02,10:26,167.93,168.17,167.91,168.17,13182
QCOM,2026-09-02,10:27,168.1552,168.545,168.07,168.4203,13975
QCOM,2026-09-02,10:28,168.475,168.83,168.475,168.72,16386
QCOM,2026-09-02,10:29,168.87,169.17,168.84,169.17,22618
QCOM,2026-09-02,10:30,169.2,169.31,168.875,168.915,19830
QCOM,2026-09-02,10:31,168.9,169.115,168.9,169.065,9182
QCOM,2026-09-02,10:32,169.085,169.15,169.04,169.095,4514
QCOM,2026-09-02,10:33,169.1,169.29,169.03,169.29,12195
QCOM,2026-09-02,10:34,169.3,169.505,169.3,169.41,15308
QCOM,2026-09-02,10:35,169.5695,169.5695,169.3201,169.37,10509
QCOM,2026-09-02,10:36,169.38,169.48,169.26,169.355,11431
QCOM,2026-09-02,10:37,169.33,169.45,169.23,169.3,9252
QCOM,2026-09-02,10:38,169.27,169.325,168.96,168.96,16567
QCOM,2026-09-02,10:39,168.96,169.045,168.9,168.94,9107
QCOM,2026-09-02,10:40,168.97,169.03,168.9,168.945,11785
QCOM,2026-09-02,10:41,169,169.06,168.91,169.035,4008
QCOM,2026-09-02,10:42,169.03,169.11,168.9,168.985,12121
QCOM,2026-09-02,10:43,169,169.18,168.97,169.095,8428
QCOM,2026-09-02,10:44,169.13,169.18,169.0601,169.16,8629
QCOM,2026-09-02,10:45,169.095,169.18,168.95,168.95,26224
QCOM,2026-09-02,10:46,168.88,169.09,168.8019,169.0808,10731
QCOM,2026-09-02,10:47,169.19,169.205,169.1396,169.205,5793
QCOM,2026-09-02,10:48,169.19,169.34,169.0801,169.097,11994
QCOM,2026-09-02,10:49,169.0928,169.33,169.0852,169.31,5598
QCOM,2026-09-02,10:50,169.255,169.35,169.2,169.2,6878
QCOM,2026-09-02,10:51,169.245,169.3,169.2,169.28,5664
QCOM,2026-09-02,10:52,169.18,169.3,169.145,169.21,18424
QCOM,2026-09-02,10:53,169.24,169.255,168.98,168.98,10095
QCOM,2026-09-02,10:54,168.9868,169.15,168.9237,169.03,9306
QCOM,2026-09-02,10:55,169.0001,169.24,169.0001,169.175,7033
QCOM,2026-09-02,10:56,169.1143,169.3,169.1,169.11,8586
QCOM,2026-09-02,10:57,169.22,169.2301,169.11,169.1999,18894
QCOM,2026-09-02,10:58,169.16,169.18,168.7725,168.775,7888
QCOM,2026-09-02,10:59,168.775,168.81,168.58,168.7,10408
QCOM,2026-09-02,11:00,168.692,168.7,168.45,168.47,8090
QCOM,2026-09-02,11:01,168.45,168.475,168.21,168.32,14712
QCOM,2026-09-02,11:02,168.34,168.51,168.34,168.51,5645
QCOM,2026-09-02,11:03,168.605,168.66,168.55,168.645,4397
QCOM,2026-09-02,11:04,168.68,168.73,168.6,168.73,6230
QCOM,2026-09-02,11:05,168.665,168.665,168.34,168.445,5842
QCOM,2026-09-02,11:06,168.48,168.62,168.48,168.59,9985
QCOM,2026-09-02,11:07,168.62,168.62,168.5,168.54,6102
QCOM,2026-09-02,11:08,168.7,168.91,168.66,168.9,9104
QCOM,2026-09-02,11:09,168.83,168.89,168.76,168.89,7529
QCOM,2026-09-02,11:10,168.9514,168.96,168.8924,168.895,5906
QCOM,2026-09-02,11:11,168.9,168.97,168.8201,168.97,8395
QCOM,2026-09-02,11:12,169.12,169.2,168.89,169.01,13633
QCOM,2026-09-02,11:13,168.99,169.02,168.9,169.02,3034
QCOM,2026-09-02,11:14,169,169.11,168.94,169.04,4013
QCOM,2026-09-02,11:15,169.0967,169.1,169.01,169.09,5411
QCOM,2026-09-02,11:16,169.17,169.32,169.16,169.32,8024
QCOM,2026-09-02,11:17,169.29,169.42,169.29,169.39,9038
QCOM,2026-09-02,11:18,169.42,169.42,169.3,169.3504,8729
QCOM,2026-09-02,11:19,169.33,169.3895,169.215,169.215,7394
QCOM,2026-09-02,11:20,169.24,169.36,169.1951,169.315,6778
QCOM,2026-09-02,11:21,169.36,169.4,169.31,169.33,3092
QCOM,2026-09-02,11:22,169.29,169.47,169.29,169.42,6789
QCOM,2026-09-02,11:23,169.4,169.4259,169.2101,169.2101,7634
QCOM,2026-09-02,11:24,169.155,169.36,169.155,169.36,3938
QCOM,2026-09-02,11:25,169.32,169.4699,169.26,169.46,4618
QCOM,2026-09-02,11:26,169.445,169.69,169.445,169.58,10577
QCOM,2026-09-02,11:27,169.59,169.59,169.505,169.53,4736
QCOM,2026-09-02,11:28,169.49,169.745,169.49,169.62,31644
QCOM,2026-09-02,11:29,169.63,169.675,169.59,169.66,8220
QCOM,2026-09-02,11:30,169.7499,169.77,169.66,169.71,15212
QCOM,2026-09-02,11:31,169.7,169.82,169.655,169.705,17159
