symbol,date,time,open,high,low,close,volume
RTX,2026-09-02,09:30,206.88,206.88,205.9,205.945,68648
RTX,2026-09-02,09:31,205.66,205.66,204.81,204.82,13677
RTX,2026-09-02,09:32,204.58,205,204.28,204.28,3988
RTX,2026-09-02,09:33,204.39,204.45,204.02,204.02,19020
RTX,2026-09-02,09:34,204.02,204.27,204,204.255,11312
RTX,2026-09-02,09:35,204.265,204.48,203.89,203.965,8533
RTX,2026-09-02,09:36,203.965,204.3,203.94,204.3,7539
RTX,2026-09-02,09:37,204.305,204.4664,203.945,204.265,6972
RTX,2026-09-02,09:38,204.322,204.322,204,204.14,8383
RTX,2026-09-02,09:39,204.1625,204.1625,203.87,203.8901,4997
RTX,2026-09-02,09:40,203.9446,203.9446,203.47,203.65,18041
RTX,2026-09-02,09:41,203.72,203.9879,203.64,203.9879,6605
RTX,2026-09-02,09:42,203.77,203.78,203.76,203.78,3493
RTX,2026-09-02,09:43,203.71,203.89,203.63,203.89,4655
RTX,2026-09-02,09:44,203.845,203.85,203.52,203.52,6300
RTX,2026-09-02,09:45,203.59,203.84,203.1,203.2275,20068
RTX,2026-09-02,09:46,203.34,203.435,202.85,203.065,18890
RTX,2026-09-02,09:47,203.12,203.12,202.81,202.81,5260
RTX,2026-09-02,09:48,202.86,202.86,202.63,202.64,4137
RTX,2026-09-02,09:49,202.695,202.93,202.6,202.865,7452
RTX,2026-09-02,09:50,203.05,203.12,202.975,202.975,2650
RTX,2026-09-02,09:51,202.9,202.965,202.87,202.8801,3630
RTX,2026-09-02,09:52,202.8226,202.825,202.64,202.82,5907
RTX,2026-09-02,09:53,202.805,202.805,202.6,202.74,6669
RTX,2026-09-02,09:54,202.82,202.85,202.11,202.395,13390
RTX,2026-09-02,09:55,202.36,202.36,202.18,202.295,3852
RTX,2026-09-02,09:56,202.41,202.55,202.26,202.38,5026
RTX,2026-09-02,09:57,202.3,202.45,202.25,202.26,3720
RTX,2026-09-02,09:58,202.35,202.365,202.13,202.1817,5130
RTX,2026-09-02,09:59,202.13,202.13,201.62,201.76,12625
RTX,2026-09-02,10:00,201.74,201.8,201.4,201.69,10008
RTX,2026-09-02,10:01,201.84,201.95,201.76,201.8201,12849
RTX,2026-09-02,10:02,201.82,201.88,201.73,201.785,4300
RTX,2026-09-02,10:03,201.7851,201.9,201.66,201.9,6731
RTX,2026-09-02,10:04,201.8635,202.05,201.8635,202.015,5862
RTX,2026-09-02,10:05,202.015,202.23,201.97,202.03,9649
RTX,2026-09-02,10:06,202.01,202.21,201.94,202.11,7893
RTX,2026-09-02,10:07,202.03,202.03,201.985,201.985,2696
RTX,2026-09-02,10:08,201.82,202.02,201.82,201.84,3937
