symbol,date,time,open,high,low,close,volume
SHOP,2026-09-02,09:30,139.76,139.76,138.91,139.28,168157
SHOP,2026-09-02,09:31,139.19,139.82,139.19,139.82,65911
SHOP,2026-09-02,09:32,140,140.39,139.92,140.07,32912
SHOP,2026-09-02,09:33,140.12,140.51,140.12,140.49,14529
SHOP,2026-09-02,09:34,140.63,140.98,140.25,140.48,21147
SHOP,2026-09-02,09:35,140.65,140.845,140.3,140.82,12429
SHOP,2026-09-02,09:36,140.96,141.08,140.43,140.52,26619
SHOP,2026-09-02,09:37,140.52,140.59,140.38,140.472,28058
SHOP,2026-09-02,09:38,140.47,140.82,140.31,140.82,30342
SHOP,2026-09-02,09:39,140.9,140.9,140.405,140.55,18086
SHOP,2026-09-02,09:40,140.6255,140.865,140.39,140.832,11135
SHOP,2026-09-02,09:41,140.73,140.75,140.31,140.375,11551
SHOP,2026-09-02,09:42,140.382,141.025,140.382,141.025,8514
SHOP,2026-09-02,09:43,140.94,141.2373,140.93,140.93,11319
SHOP,2026-09-02,09:44,140.88,140.9363,140.65,140.745,19985
SHOP,2026-09-02,09:45,140.747,140.985,140.56,140.66,26207
SHOP,2026-09-02,09:46,140.73,140.73,140.6525,140.655,13077
SHOP,2026-09-02,09:47,140.81,140.81,140.69,140.74,12634
SHOP,2026-09-02,09:48,140.73,140.98,140.62,140.97,19426
SHOP,2026-09-02,09:49,141.01,141.12,140.6,140.6,24916
SHOP,2026-09-02,09:50,140.605,140.645,140.4,140.4315,28021
SHOP,2026-09-02,09:51,140.395,140.51,140.18,140.36,39382
SHOP,2026-09-02,09:52,140.28,140.565,140.19,140.46,39502
SHOP,2026-09-02,09:53,140.485,141.01,140.46,140.78,19894
SHOP,2026-09-02,09:54,140.695,141.04,140.695,141.03,23073
SHOP,2026-09-02,09:55,141.0054,141.02,140.83,140.83,12433
SHOP,2026-09-02,09:56,140.8,141.04,140.75,141.01,13058
SHOP,2026-09-02,09:57,141.1,141.1,140.61,140.705,29351
SHOP,2026-09-02,09:58,140.63,140.63,140.365,140.365,4933
SHOP,2026-09-02,09:59,140.44,140.89,140.39,140.885,10333
SHOP,2026-09-02,10:00,140.89,140.89,140.54,140.7935,8286
SHOP,2026-09-02,10:01,140.695,140.72,140.28,140.28,5537
SHOP,2026-09-02,10:02,140.3327,140.551,140.2001,140.41,9110
SHOP,2026-09-02,10:03,140.37,140.61,140.3001,140.5446,8299
SHOP,2026-09-02,10:04,140.455,140.455,140.11,140.15,8910
SHOP,2026-09-02,10:05,140.17,140.39,140.17,140.3,7361
SHOP,2026-09-02,10:06,140.195,140.35,140.18,140.335,11379
SHOP,2026-09-02,10:07,140.335,140.475,140.335,140.365,15132
SHOP,2026-09-02,10:08,140.23,140.46,140.18,140.385,10990
SHOP,2026-09-02,10:09,140.365,140.43,140.14,140.2,9554
SHOP,2026-09-02,10:10,140.2,140.525,140.2,140.525,7787
SHOP,2026-09-02,10:11,140.46,140.55,140.39,140.455,14348
SHOP,2026-09-02,10:12,140.499,140.499,140.07,140.11,12282
SHOP,2026-09-02,10:13,140.105,140.22,140.055,140.15,7575
SHOP,2026-09-02,10:14,140.11,140.16,139.85,139.8601,12528
SHOP,2026-09-02,10:15,139.92,139.9899,139.83,139.85,13416
SHOP,2026-09-02,10:16,139.92,139.94,139.83,139.89,6893
SHOP,2026-09-02,10:17,139.87,139.9,139.85,139.875,7310
SHOP,2026-09-02,10:18,139.875,140.04,139.66,139.83,36166
SHOP,2026-09-02,10:19,139.825,140.13,139.825,139.88,30082
SHOP,2026-09-02,10:20,139.87,140.12,139.77,140.02,16466
SHOP,2026-09-02,10:21,140.02,140.25,139.93,140.24,13251
SHOP,2026-09-02,10:22,140.18,140.23,140.09,140.14,11923
SHOP,2026-09-02,10:23,140.13,140.4,140.13,140.33,12060
SHOP,2026-09-02,10:24,140.33,140.51,140.3217,140.495,16642
SHOP,2026-09-02,10:25,140.505,140.505,140.33,140.44,11310
SHOP,2026-09-02,10:26,140.3601,140.54,140.3601,140.51,13710
SHOP,2026-09-02,10:27,140.44,140.51,140.4227,140.4751,7349
SHOP,2026-09-02,10:28,140.475,140.54,140.4,140.47,17894
SHOP,2026-09-02,10:29,140.52,140.6,140.47,140.47,23141
SHOP,2026-09-02,10:30,140.4395,140.4395,140.09,140.1471,9105
SHOP,2026-09-02,10:31,140.25,140.3,140.11,140.11,13479
SHOP,2026-09-02,10:32,140.19,140.3,140.15,140.23,12510
SHOP,2026-09-02,10:33,140.185,140.38,140.08,140.36,21788
SHOP,2026-09-02,10:34,140.365,140.38,140.2,140.235,12395
SHOP,2026-09-02,10:35,140.235,140.27,140.16,140.23,9679
SHOP,2026-09-02,10:36,140.26,140.42,140.2597,140.32,16298
SHOP,2026-09-02,10:37,140.335,140.47,140.24,140.47,36625
SHOP,2026-09-02,10:38,140.47,140.47,140.35,140.42,19807
SHOP,2026-09-02,10:39,140.42,140.46,140.42,140.43,5651
SHOP,2026-09-02,10:40,140.4,140.44,140.265,140.44,11006
SHOP,2026-09-02,10:41,140.42,140.67,140.41,140.59,25815
SHOP,2026-09-02,10:42,140.585,140.64,140.47,140.56,6985
SHOP,2026-09-02,10:43,140.57,140.79,140.49,140.75,12683
SHOP,2026-09-02,10:44,140.75,140.75,140.61,140.655,16203
SHOP,2026-09-02,10:45,140.7,140.95,140.7,140.8,26988
SHOP,2026-09-02,10:46,140.8,140.82,140.57,140.815,12970
SHOP,2026-09-02,10:47,140.81,140.88,140.72,140.805,15988
SHOP,2026-09-02,10:48,140.8,141.085,140.7846,141.07,16730
SHOP,2026-09-02,10:49,141.07,141.25,141.07,141.21,13591
SHOP,2026-09-02,10:50,141.18,141.22,140.95,140.97,12280
SHOP,2026-09-02,10:51,140.96,141.09,140.88,141.045,9406
SHOP,2026-09-02,10:52,141.05,141.05,140.945,141.03,7106
SHOP,2026-09-02,10:53,141.015,141.06,140.91,140.94,9799
SHOP,2026-09-02,10:54,140.97,141.05,140.94,141.02,7967
SHOP,2026-09-02,10:55,141.045,141.1,140.79,140.81,14141
SHOP,2026-09-02,10:56,140.76,140.81,140.59,140.59,14191
SHOP,2026-09-02,10:57,140.5601,140.63,140.475,140.55,10807
