symbol,date,time,open,high,low,close,volume
T,2026-09-02,09:30,26.09,26.26,26.065,26.16,598893
T,2026-09-02,09:31,26.175,26.24,26.14,26.15,94919
T,2026-09-02,09:32,26.15,26.24,26.14,26.235,177252
T,2026-09-02,09:33,26.235,26.26,26.185,26.2,165388
T,2026-09-02,09:34,26.2,26.32,26.2,26.295,94908
T,2026-09-02,09:35,26.2963,26.34,26.29,26.33,97736
T,2026-09-02,09:36,26.34,26.35,26.32,26.325,116104
T,2026-09-02,09:37,26.325,26.345,26.285,26.285,137095
T,2026-09-02,09:38,26.285,26.315,26.27,26.27,94372
T,2026-09-02,09:39,26.265,26.27,26.215,26.225,86392
T,2026-09-02,09:40,26.2291,26.2291,26.19,26.195,52976
T,2026-09-02,09:41,26.2,26.27,26.2,26.26,40526
T,2026-09-02,09:42,26.26,26.28,26.255,26.275,36661
T,2026-09-02,09:43,26.275,26.275,26.245,26.2567,33168
T,2026-09-02,09:44,26.255,26.2779,26.255,26.27,30850
T,2026-09-02,09:45,26.27,26.315,26.27,26.31,42303
T,2026-09-02,09:46,26.315,26.33,26.31,26.325,45680
T,2026-09-02,09:47,26.325,26.325,26.29,26.305,72463
T,2026-09-02,09:48,26.305,26.305,26.28,26.28,64843
T,2026-09-02,09:49,26.28,26.28,26.26,26.27,38743
T,2026-09-02,09:50,26.265,26.27,26.23,26.235,58399
T,2026-09-02,09:51,26.235,26.29,26.235,26.27,53865
T,2026-09-02,09:52,26.27,26.275,26.255,26.255,19458
T,2026-09-02,09:53,26.25,26.2573,26.235,26.245,43200
T,2026-09-02,09:54,26.245,26.3,26.245,26.2801,40351
T,2026-09-02,09:55,26.285,26.32,26.28,26.305,68795
T,2026-09-02,09:56,26.305,26.335,26.285,26.295,105689
T,2026-09-02,09:57,26.295,26.335,26.29,26.335,64747
T,2026-09-02,09:58,26.335,26.34,26.2901,26.31,65570
T,2026-09-02,09:59,26.305,26.3099,26.27,26.275,41679
T,2026-09-02,10:00,26.275,26.34,26.27,26.33,66727
T,2026-09-02,10:01,26.32,26.35,26.32,26.3401,34625
T,2026-09-02,10:02,26.34,26.345,26.31,26.315,73725
