symbol,date,time,open,high,low,close,volume
TJX,2026-09-02,09:30,133.36,133.5,133.11,133.11,83553
TJX,2026-09-02,09:31,133.18,133.18,132.68,132.82,20643
TJX,2026-09-02,09:32,132.85,132.95,132.64,132.7175,5908
TJX,2026-09-02,09:33,132.832,132.85,132.12,132.12,19070
TJX,2026-09-02,09:34,132.14,132.245,131.9,131.9,13842
TJX,2026-09-02,09:35,131.9,132,131.78,131.795,11756
TJX,2026-09-02,09:36,131.81,131.99,131.81,131.86,17920
TJX,2026-09-02,09:37,131.86,132.07,131.8,131.85,14508
TJX,2026-09-02,09:38,131.85,132.07,131.82,131.93,7914
TJX,2026-09-02,09:39,132.005,132.17,131.93,131.9745,12826
TJX,2026-09-02,09:40,131.88,131.88,131.64,131.75,9632
TJX,2026-09-02,09:41,131.75,131.92,131.61,131.64,14863
TJX,2026-09-02,09:42,131.57,131.69,131.3601,131.54,15756
TJX,2026-09-02,09:43,131.615,131.6799,131.55,131.59,5317
TJX,2026-09-02,09:44,131.59,131.6325,131.31,131.53,22154
TJX,2026-09-02,09:45,131.43,131.62,131.43,131.495,8941
TJX,2026-09-02,09:46,131.49,131.61,131.43,131.6,20210
TJX,2026-09-02,09:47,131.565,131.565,131.29,131.4,22822
TJX,2026-09-02,09:48,131.4,131.475,131.29,131.32,5909
TJX,2026-09-02,09:49,131.32,131.41,131.29,131.3336,14239
TJX,2026-09-02,09:50,131.4,131.53,131.33,131.48,13051
TJX,2026-09-02,09:51,131.515,131.6,131.41,131.54,10369
TJX,2026-09-02,09:52,131.57,131.65,131.535,131.58,20418
TJX,2026-09-02,09:53,131.585,131.69,131.58,131.69,15553
TJX,2026-09-02,09:54,131.6953,131.905,131.6953,131.905,10788
TJX,2026-09-02,09:55,131.95,132.01,131.795,131.88,15057
TJX,2026-09-02,09:56,131.855,131.88,131.71,131.75,7634
TJX,2026-09-02,09:57,131.71,131.78,131.68,131.72,21743
TJX,2026-09-02,09:58,131.71,131.72,131.62,131.62,17104
TJX,2026-09-02,09:59,131.6301,131.67,131.63,131.67,21349
TJX,2026-09-02,10:00,131.65,131.74,131.57,131.715,13966
TJX,2026-09-02,10:01,131.6601,131.77,131.6601,131.74,9612
TJX,2026-09-02,10:02,131.725,131.89,131.6401,131.89,16002
TJX,2026-09-02,10:03,131.89,131.89,131.805,131.805,9919
TJX,2026-09-02,10:04,131.815,131.91,131.81,131.86,22830
TJX,2026-09-02,10:05,131.885,131.9,131.805,131.9,11931
TJX,2026-09-02,10:06,131.91,131.91,131.81,131.81,5225
TJX,2026-09-02,10:07,131.82,131.827,131.73,131.73,12352
TJX,2026-09-02,10:08,131.73,131.75,131.64,131.75,13428
TJX,2026-09-02,10:09,131.73,131.73,131.6,131.65,17555
TJX,2026-09-02,10:10,131.65,131.735,131.57,131.64,12439
TJX,2026-09-02,10:11,131.605,131.75,131.6,131.75,12413
TJX,2026-09-02,10:12,131.75,131.79,131.69,131.73,9303
TJX,2026-09-02,10:13,131.73,131.84,131.7,131.83,20558
TJX,2026-09-02,10:14,131.83,131.9,131.81,131.88,15647
TJX,2026-09-02,10:15,131.88,132.05,131.86,132.05,17953
TJX,2026-09-02,10:16,132.025,132.23,132.005,132.23,14621
TJX,2026-09-02,10:17,132.23,132.34,132.19,132.27,16392
TJX,2026-09-02,10:18,132.285,132.32,132.26,132.2962,16411
TJX,2026-09-02,10:19,132.28,132.3098,132.23,132.26,9030
TJX,2026-09-02,10:20,132.285,132.3,132.1,132.2,17021
TJX,2026-09-02,10:21,132.1995,132.27,132.13,132.13,21212
TJX,2026-09-02,10:22,132.12,132.14,132.06,132.0675,8520
TJX,2026-09-02,10:23,132.07,132.185,132.035,132.1159,17692
TJX,2026-09-02,10:24,132.11,132.255,132.105,132.24,9820
TJX,2026-09-02,10:25,132.23,132.24,132.19,132.2,11314
TJX,2026-09-02,10:26,132.19,132.205,132.07,132.07,12211
TJX,2026-09-02,10:27,132.051,132.16,132.02,132.13,30681
TJX,2026-09-02,10:28,132.13,132.14,132.04,132.065,8243
TJX,2026-09-02,10:29,132.065,132.12,132.04,132.09,9686
TJX,2026-09-02,10:30,132.09,132.14,132.02,132.14,14005
TJX,2026-09-02,10:31,132.14,132.2784,132.111,132.125,18493
TJX,2026-09-02,10:32,132.14,132.18,132.05,132.05,7798
TJX,2026-09-02,10:33,132.065,132.0728,131.95,131.95,17343
TJX,2026-09-02,10:34,131.95,131.97,131.76,131.76,12899
TJX,2026-09-02,10:35,131.76,131.93,131.76,131.93,17644
TJX,2026-09-02,10:36,131.935,131.98,131.9,131.955,13321
TJX,2026-09-02,10:37,131.955,132,131.955,132,11335
TJX,2026-09-02,10:38,132,132.04,131.97,132.03,12367
TJX,2026-09-02,10:39,132.038,132.13,132.03,132.13,14960
TJX,2026-09-02,10:40,132.13,132.13,132.075,132.1,9726
TJX,2026-09-02,10:41,132.09,132.19,132.09,132.1356,15196
TJX,2026-09-02,10:42,132.14,132.16,132.08,132.14,12519
TJX,2026-09-02,10:43,132.12,132.12,132.01,132.04,17478
TJX,2026-09-02,10:44,132.065,132.12,132.04,132.12,14082
TJX,2026-09-02,10:45,132.13,132.17,132.11,132.13,10874
TJX,2026-09-02,10:46,132.12,132.16,132.12,132.155,10758
TJX,2026-09-02,10:47,132.155,132.18,132.06,132.15,13475
TJX,2026-09-02,10:48,132.155,132.195,132.155,132.17,7829
TJX,2026-09-02,10:49,132.1727,132.18,132.12,132.18,21249
TJX,2026-09-02,10:50,132.18,132.28,132.18,132.26,8202
TJX,2026-09-02,10:51,132.3,132.325,132.25,132.27,8944
TJX,2026-09-02,10:52,132.28,132.28,132.22,132.24,9376
TJX,2026-09-02,10:53,132.23,132.26,132.195,132.26,15255
TJX,2026-09-02,10:54,132.24,132.28,132.22,132.25,9309
TJX,2026-09-02,10:55,132.26,132.31,132.25,132.3,9029
TJX,2026-09-02,10:56,132.3,132.305,132.25,132.27,7392
TJX,2026-09-02,10:57,132.31,132.31,132.25,132.26,10593
TJX,2026-09-02,10:58,132.26,132.3,132.24,132.24,10297
TJX,2026-09-02,10:59,132.28,132.3,132.2438,132.275,12987
TJX,2026-09-02,11:00,132.275,132.37,132.25,132.35,9529
TJX,2026-09-02,11:01,132.34,132.36,132.29,132.29,11473
TJX,2026-09-02,11:02,132.29,132.3,132.25,132.27,5115
TJX,2026-09-02,11:03,132.278,132.34,132.26,132.335,13189
TJX,2026-09-02,11:04,132.335,132.4,132.335,132.355,14083
TJX,2026-09-02,11:05,132.35,132.4,132.32,132.37,14228
TJX,2026-09-02,11:06,132.37,132.37,132.295,132.31,4856
TJX,2026-09-02,11:07,132.28,132.29,132.26,132.29,4352
TJX,2026-09-02,11:08,132.29,132.35,132.25,132.35,15137
TJX,2026-09-02,11:09,132.37,132.395,132.33,132.35,7420
TJX,2026-09-02,11:10,132.36,132.43,132.36,132.43,17263
TJX,2026-09-02,11:11,132.44,132.47,132.44,132.44,6942
TJX,2026-09-02,11:12,132.43,132.43,132.35,132.38,8980
TJX,2026-09-02,11:13,132.37,132.38,132.26,132.32,14070
TJX,2026-09-02,11:14,132.31,132.31,132.2519,132.295,9191
TJX,2026-09-02,11:15,132.29,132.34,132.22,132.3,19675
TJX,2026-09-02,11:16,132.31,132.57,132.31,132.495,26702
TJX,2026-09-02,11:17,132.495,132.53,132.435,132.45,9566
TJX,2026-09-02,11:18,132.45,132.51,132.435,132.495,7857
TJX,2026-09-02,11:19,132.51,132.53,132.48,132.5,7619
TJX,2026-09-02,11:20,132.4738,132.51,132.44,132.44,10226
TJX,2026-09-02,11:21,132.44,132.51,132.42,132.46,13421
TJX,2026-09-02,11:22,132.475,132.55,132.46,132.46,11729
TJX,2026-09-02,11:23,132.49,132.52,132.45,132.45,9996
TJX,2026-09-02,11:24,132.45,132.53,132.38,132.38,10211
TJX,2026-09-02,11:25,132.4,132.4,132.36,132.4,6555
TJX,2026-09-02,11:26,132.39,132.39,132.26,132.31,35799
TJX,2026-09-02,11:27,132.28,132.33,132.22,132.31,10075
TJX,2026-09-02,11:28,132.31,132.33,132.26,132.3,12437
TJX,2026-09-02,11:29,132.3,132.33,132.25,132.265,8651
TJX,2026-09-02,11:30,132.28,132.29,132.22,132.27,11997
TJX,2026-09-02,11:31,132.27,132.44,132.27,132.28,28913
TJX,2026-09-02,11:32,132.2839,132.31,132.16,132.17,25120
TJX,2026-09-02,11:33,132.17,132.17,132.13,132.13,16754
TJX,2026-09-02,11:34,132.145,132.15,132.05,132.065,17990
TJX,2026-09-02,11:35,132.08,132.21,132.08,132.17,22279
TJX,2026-09-02,11:36,132.18,132.24,132.1,132.12,19407
TJX,2026-09-02,11:37,132.12,132.135,132.09,132.11,16886
TJX,2026-09-02,11:38,132.125,132.125,132.09,132.09,13033
TJX,2026-09-02,11:39,132.095,132.1,131.91,131.92,17555
TJX,2026-09-02,11:40,131.92,132.075,131.82,132.05,43107
TJX,2026-09-02,11:41,132.05,132.11,132.04,132.11,19984
TJX,2026-09-02,11:42,132.11,132.14,132.09,132.13,20755
TJX,2026-09-02,11:43,132.115,132.2,132.1,132.2,19456
TJX,2026-09-02,11:44,132.22,132.32,132.215,132.235,20780
TJX,2026-09-02,11:45,132.235,132.32,132.19,132.31,29498
TJX,2026-09-02,11:46,132.29,132.3,132.13,132.13,9957
TJX,2026-09-02,11:47,132.12,132.15,132.1,132.125,13955
TJX,2026-09-02,11:48,132.125,132.16,132.09,132.12,24176
TJX,2026-09-02,11:49,132.14,132.19,132.11,132.18,14708
TJX,2026-09-02,11:50,132.16,132.18,132.135,132.17,11366
TJX,2026-09-02,11:51,132.15,132.17,132.09,132.09,5907
TJX,2026-09-02,11:52,132.09,132.11,132.07,132.1,11946
TJX,2026-09-02,11:53,132.1,132.205,132.1,132.17,28841
TJX,2026-09-02,11:54,132.16,132.175,132.12,132.145,13395
TJX,2026-09-02,11:55,132.16,132.17,132.05,132.05,7802
TJX,2026-09-02,11:56,132.06,132.075,131.93,131.97,11009
