symbol,date,time,open,high,low,close,volume
TMUS,2026-09-02,09:30,183.56,183.56,182.93,183.215,774105
TMUS,2026-09-02,09:31,183.21,183.21,182.43,182.7025,8289
TMUS,2026-09-02,09:32,182.67,182.94,182.565,182.94,5605
TMUS,2026-09-02,09:33,182.91,183.5,182.75,183.445,10665
TMUS,2026-09-02,09:34,183.5,183.78,183.4675,183.78,6787
TMUS,2026-09-02,09:35,183.84,184.16,183.84,184.16,10393
TMUS,2026-09-02,09:36,184.2625,184.42,184.2625,184.27,6412
TMUS,2026-09-02,09:37,184.39,184.46,183.925,183.925,6539
TMUS,2026-09-02,09:38,184.19,184.3,183.995,184.3,6969
TMUS,2026-09-02,09:39,184.12,184.12,183.815,183.94,11491
TMUS,2026-09-02,09:40,183.8335,183.8335,183.575,183.615,9324
TMUS,2026-09-02,09:41,183.68,184.29,183.67,184.105,12274
TMUS,2026-09-02,09:42,184.195,184.225,184.07,184.163,7937
TMUS,2026-09-02,09:43,184.15,184.37,184.067,184.18,16120
TMUS,2026-09-02,09:44,184.16,184.215,184.005,184.18,8368
TMUS,2026-09-02,09:45,184.04,184.6752,184.04,184.58,12521
TMUS,2026-09-02,09:46,184.545,184.74,184.48,184.67,7604
TMUS,2026-09-02,09:47,184.615,184.615,184.47,184.5,4058
TMUS,2026-09-02,09:48,184.62,184.62,184.23,184.23,6194
TMUS,2026-09-02,09:49,184.27,184.4,184.24,184.27,10531
TMUS,2026-09-02,09:50,184.19,184.29,183.88,184.2112,10449
TMUS,2026-09-02,09:51,184.205,184.51,184.205,184.5,4335
TMUS,2026-09-02,09:52,184.55,184.61,184.45,184.455,4565
TMUS,2026-09-02,09:53,184.3101,184.475,184.3101,184.475,2770
TMUS,2026-09-02,09:54,184.555,184.87,184.555,184.87,7682
TMUS,2026-09-02,09:55,184.865,185,184.785,184.8801,21276
TMUS,2026-09-02,09:56,185.01,185.04,184.735,184.9,14808
TMUS,2026-09-02,09:57,184.98,185.1,184.8784,184.9601,9710
TMUS,2026-09-02,09:58,185.1899,185.2,185.03,185.06,9390
TMUS,2026-09-02,09:59,185.06,185.13,184.9101,185.11,17410
TMUS,2026-09-02,10:00,185.12,185.38,185.12,185.38,16241
TMUS,2026-09-02,10:01,185.44,185.6117,185.44,185.52,4811
TMUS,2026-09-02,10:02,185.4666,185.5925,185.275,185.275,7743
TMUS,2026-09-02,10:03,185.3499,185.36,185.015,185.14,16011
TMUS,2026-09-02,10:04,185.14,185.14,184.95,185.01,6949
TMUS,2026-09-02,10:05,184.965,184.99,184.82,184.975,5886
TMUS,2026-09-02,10:06,184.895,185.11,184.875,185.03,5633
TMUS,2026-09-02,10:07,185.0225,185.04,184.89,184.9804,4908
TMUS,2026-09-02,10:08,184.985,184.985,184.7,184.95,7747
TMUS,2026-09-02,10:09,184.95,185.08,184.82,185,7843
TMUS,2026-09-02,10:10,184.94,185.08,184.81,184.825,17023
TMUS,2026-09-02,10:11,184.82,185.11,184.82,185.03,7957
TMUS,2026-09-02,10:12,185.065,185.25,184.98,185.25,7183
TMUS,2026-09-02,10:13,185.18,185.56,185.13,185.427,10328
TMUS,2026-09-02,10:14,185.47,185.58,185.43,185.44,6193
TMUS,2026-09-02,10:15,185.374,185.5,185.31,185.425,7148
