symbol,date,time,open,high,low,close,volume
TSLA,2026-09-02,09:30,360.61,360.62,356.96,358.9346,1276001
TSLA,2026-09-02,09:31,359.21,359.21,355.43,355.9699,285788
TSLA,2026-09-02,09:32,355.88,356.92,355.64,356.255,216327
TSLA,2026-09-02,09:33,356.27,357.52,355.8386,357.385,173267
TSLA,2026-09-02,09:34,357.385,357.385,356.1533,356.69,150926
TSLA,2026-09-02,09:35,356.7,356.71,354.64,354.8394,244197
TSLA,2026-09-02,09:36,354.825,354.9893,354.02,354.02,194359
TSLA,2026-09-02,09:37,354.1496,354.1496,352.726,353.207,386421
TSLA,2026-09-02,09:38,353.1777,353.65,352.09,352.245,253868
TSLA,2026-09-02,09:39,352.25,352.47,351.51,352.295,252129
TSLA,2026-09-02,09:40,352.2672,353.15,351.54,352.96,262936
TSLA,2026-09-02,09:41,352.99,353.18,351.6546,352.2,191759
TSLA,2026-09-02,09:42,352.24,352.27,351.51,351.898,164638
TSLA,2026-09-02,09:43,351.93,351.93,350.42,350.51,345433
TSLA,2026-09-02,09:44,350.485,351.19,350.485,350.7099,200806
TSLA,2026-09-02,09:45,350.65,351,349.92,350.7,445774
TSLA,2026-09-02,09:46,350.68,351.09,350.19,350.925,209171
TSLA,2026-09-02,09:47,350.92,352.108,350.85,351.8559,271758
TSLA,2026-09-02,09:48,351.861,351.9998,351.12,351.2725,141183
TSLA,2026-09-02,09:49,351.27,352.099,351.24,351.56,141823
TSLA,2026-09-02,09:50,351.66,352.38,351.63,352.37,150553
TSLA,2026-09-02,09:51,352.3699,352.3699,351.79,351.87,116693
TSLA,2026-09-02,09:52,351.905,352.59,351.88,352.5,148322
TSLA,2026-09-02,09:53,352.56,352.99,352.47,352.55,136024
TSLA,2026-09-02,09:54,352.51,352.524,351.93,352.39,126393
TSLA,2026-09-02,09:55,352.39,352.7399,352.3487,352.495,108516
TSLA,2026-09-02,09:56,352.495,352.495,351.8501,351.88,98251
TSLA,2026-09-02,09:57,352.015,352.39,351.85,352.225,77760
TSLA,2026-09-02,09:58,352.28,352.63,352.0701,352.33,72445
TSLA,2026-09-02,09:59,352.3107,352.36,351.48,351.8,137156
TSLA,2026-09-02,10:00,351.73,351.7685,350.72,351.06,169100
TSLA,2026-09-02,10:01,351.09,351.4255,350.9255,351.12,85192
TSLA,2026-09-02,10:02,351.19,351.35,350.5,351.155,130329
TSLA,2026-09-02,10:03,351.155,351.1799,350.36,350.605,77936
TSLA,2026-09-02,10:04,350.61,351.115,350.61,351.0711,60285
TSLA,2026-09-02,10:05,351.1499,351.44,350.73,351.065,109083
TSLA,2026-09-02,10:06,351.065,351.25,350.7501,351.155,85217
TSLA,2026-09-02,10:07,351.155,351.31,350.8801,351.2699,63742
TSLA,2026-09-02,10:08,351.19,351.55,351.0537,351.38,79487
TSLA,2026-09-02,10:09,351.41,351.948,351.38,351.65,116513
TSLA,2026-09-02,10:10,351.7199,352.22,351.5201,352.035,124929
TSLA,2026-09-02,10:11,352.0192,352.19,351.8,352.05,93207
TSLA,2026-09-02,10:12,352.09,352.25,351.9,352.0799,82226
TSLA,2026-09-02,10:13,352.055,352.49,351.99,352.49,65479
TSLA,2026-09-02,10:14,352.5,352.91,352.34,352.815,123460
