symbol,date,time,open,high,low,close,volume
TXN,2026-09-02,09:30,253.34,253.34,251.23,252.105,66239
TXN,2026-09-02,09:31,252.1,252.65,251.67,252.51,6720
TXN,2026-09-02,09:32,252.885,252.885,252.2801,252.885,3569
TXN,2026-09-02,09:33,252.9,252.9,252.815,252.815,1229
TXN,2026-09-02,09:34,252.785,253.22,252.6593,253.22,1027
TXN,2026-09-02,09:35,253.22,253.34,252.56,252.56,4751
TXN,2026-09-02,09:36,252.76,253.21,252.45,253.2,8555
TXN,2026-09-02,09:37,253.24,253.585,253.205,253.585,4492
TXN,2026-09-02,09:38,253.655,253.655,253.655,253.655,2097
TXN,2026-09-02,09:39,253.87,253.87,253.63,253.635,3082
TXN,2026-09-02,09:40,253.7359,253.7359,253.46,253.46,4031
TXN,2026-09-02,09:41,253.46,254.09,253.46,254.09,3723
TXN,2026-09-02,09:42,253.75,253.85,253.42,253.47,4562
TXN,2026-09-02,09:43,253.3,253.37,253.15,253.335,3200
TXN,2026-09-02,09:44,253.15,253.19,252.88,253.035,8730
TXN,2026-09-02,09:45,252.76,252.88,251.9675,252,5648
TXN,2026-09-02,09:46,251.71,252.14,251.71,252.1399,6327
TXN,2026-09-02,09:47,251.9787,252.17,251.9787,252.17,4579
TXN,2026-09-02,09:48,252.02,252.25,251.96,252.11,9432
TXN,2026-09-02,09:49,252.02,252.02,251.81,251.875,9509
TXN,2026-09-02,09:50,251.97,252.08,251.93,251.93,5759
TXN,2026-09-02,09:51,251.84,251.97,251.84,251.97,792
TXN,2026-09-02,09:52,251.97,251.97,251.77,251.865,4456
TXN,2026-09-02,09:53,251.74,251.78,251.62,251.67,5731
TXN,2026-09-02,09:54,251.5,251.565,251.43,251.43,5941
TXN,2026-09-02,09:55,251.37,251.45,251.17,251.45,7613
TXN,2026-09-02,09:56,251.34,251.36,251.12,251.28,3892
TXN,2026-09-02,09:57,251.1,251.295,251.045,251.2875,6028
TXN,2026-09-02,09:58,251.25,251.43,251.25,251.43,6164
TXN,2026-09-02,09:59,251.43,251.815,251.43,251.755,11176
TXN,2026-09-02,10:00,251.755,251.82,251.54,251.64,12904
TXN,2026-09-02,10:01,251.64,251.78,251.48,251.48,7693
TXN,2026-09-02,10:02,251.56,251.58,251.355,251.55,13112
TXN,2026-09-02,10:03,251.55,251.605,251.54,251.54,2982
TXN,2026-09-02,10:04,251.54,251.91,251.54,251.91,8440
TXN,2026-09-02,10:05,251.91,252.2533,251.91,252.2533,5144
TXN,2026-09-02,10:06,252.305,252.38,252.17,252.38,5196
TXN,2026-09-02,10:07,252.37,252.5,252.31,252.34,6874
TXN,2026-09-02,10:08,252.32,252.48,252.23,252.37,3199
TXN,2026-09-02,10:09,252.59,252.915,252.59,252.915,2064
TXN,2026-09-02,10:10,252.95,253.37,252.89,253.37,11945
TXN,2026-09-02,10:11,253.37,253.7736,253.28,253.563,6131
TXN,2026-09-02,10:12,253.79,253.99,253.6741,253.85,6787
TXN,2026-09-02,10:13,253.85,253.875,253.57,253.595,8523
