symbol,date,time,open,high,low,close,volume
UBER,2026-09-02,09:30,76.05,76.32,75.66,76.13,788075
UBER,2026-09-02,09:31,76.0969,76.64,76.06,76.64,51659
UBER,2026-09-02,09:32,76.565,76.68,76.2,76.475,111341
UBER,2026-09-02,09:33,76.515,76.77,76.3269,76.77,72591
UBER,2026-09-02,09:34,76.77,76.79,76.4,76.475,99419
UBER,2026-09-02,09:35,76.43,76.48,76.12,76.22,51076
UBER,2026-09-02,09:36,76.24,76.28,75.81,75.8156,75009
UBER,2026-09-02,09:37,75.825,75.86,75.5503,75.5804,64689
UBER,2026-09-02,09:38,75.61,75.68,75.36,75.58,105417
UBER,2026-09-02,09:39,75.5439,75.66,75.405,75.46,42518
UBER,2026-09-02,09:40,75.44,75.625,75.3801,75.61,33357
UBER,2026-09-02,09:41,75.595,75.61,75.4,75.4727,23555
UBER,2026-09-02,09:42,75.45,75.76,75.45,75.735,32698
UBER,2026-09-02,09:43,75.72,75.9,75.6848,75.83,40844
UBER,2026-09-02,09:44,75.855,75.855,75.755,75.78,31188
UBER,2026-09-02,09:45,75.78,75.96,75.76,75.86,34348
UBER,2026-09-02,09:46,75.865,76.097,75.8,76.0659,45306
UBER,2026-09-02,09:47,76.08,76.24,76.01,76.24,40018
UBER,2026-09-02,09:48,76.3,76.34,76.175,76.3,33739
UBER,2026-09-02,09:49,76.33,76.33,76.2,76.26,47216
UBER,2026-09-02,09:50,76.26,76.46,76.26,76.43,38208
UBER,2026-09-02,09:51,76.47,76.54,76.4,76.51,68441
UBER,2026-09-02,09:52,76.5,76.64,76.47,76.58,68685
UBER,2026-09-02,09:53,76.56,76.66,76.5201,76.535,42739
UBER,2026-09-02,09:54,76.55,76.61,76.5,76.52,48054
UBER,2026-09-02,09:55,76.52,76.52,76.23,76.245,44814
UBER,2026-09-02,09:56,76.24,76.25,76.07,76.0845,49066
UBER,2026-09-02,09:57,76.09,76.2099,76.075,76.19,33263
UBER,2026-09-02,09:58,76.14,76.14,76,76.015,39661
UBER,2026-09-02,09:59,76.02,76.03,75.81,75.8295,40963
UBER,2026-09-02,10:00,75.82,75.8399,75.65,75.7,50506
UBER,2026-09-02,10:01,75.72,75.73,75.55,75.55,75277
UBER,2026-09-02,10:02,75.57,75.71,75.53,75.66,70986
UBER,2026-09-02,10:03,75.65,75.78,75.65,75.76,25023
UBER,2026-09-02,10:04,75.74,75.75,75.65,75.68,21613
UBER,2026-09-02,10:05,75.68,75.78,75.6776,75.74,16407
UBER,2026-09-02,10:06,75.74,75.8,75.69,75.77,23798
UBER,2026-09-02,10:07,75.75,75.82,75.75,75.791,46057
UBER,2026-09-02,10:08,75.81,75.91,75.7701,75.8293,39107
UBER,2026-09-02,10:09,75.795,75.7959,75.64,75.66,23459
UBER,2026-09-02,10:10,75.66,75.68,75.6,75.66,18220
UBER,2026-09-02,10:11,75.67,75.74,75.62,75.71,33710
UBER,2026-09-02,10:12,75.71,75.8,75.6748,75.715,18207
UBER,2026-09-02,10:13,75.73,75.87,75.7279,75.82,27548
UBER,2026-09-02,10:14,75.81,75.95,75.81,75.91,31376
UBER,2026-09-02,10:15,75.9172,76.015,75.89,75.95,24616
UBER,2026-09-02,10:16,75.957,75.957,75.8101,75.8332,18458
UBER,2026-09-02,10:17,75.84,75.87,75.755,75.765,21741
UBER,2026-09-02,10:18,75.74,75.76,75.61,75.61,26959
UBER,2026-09-02,10:19,75.61,75.65,75.52,75.545,40689
UBER,2026-09-02,10:20,75.54,75.59,75.45,75.57,54492
UBER,2026-09-02,10:21,75.54,75.71,75.52,75.68,39838
UBER,2026-09-02,10:22,75.67,75.74,75.67,75.735,17669
UBER,2026-09-02,10:23,75.7503,75.7747,75.7201,75.7747,13517
UBER,2026-09-02,10:24,75.78,75.88,75.75,75.88,23153
UBER,2026-09-02,10:25,75.86,75.86,75.74,75.7626,16655
UBER,2026-09-02,10:26,75.77,75.8,75.75,75.78,14486
UBER,2026-09-02,10:27,75.775,75.79,75.73,75.765,12866
UBER,2026-09-02,10:28,75.76,75.7899,75.74,75.76,16455
UBER,2026-09-02,10:29,75.78,75.79,75.7301,75.79,14320
UBER,2026-09-02,10:30,75.79,75.79,75.69,75.69,37694
UBER,2026-09-02,10:31,75.7,75.7,75.525,75.545,17403
UBER,2026-09-02,10:32,75.545,75.56,75.4601,75.47,37593
UBER,2026-09-02,10:33,75.4798,75.55,75.441,75.55,22793
UBER,2026-09-02,10:34,75.54,75.54,75.4536,75.4536,14392
UBER,2026-09-02,10:35,75.45,75.6,75.45,75.58,22828
UBER,2026-09-02,10:36,75.5702,75.755,75.56,75.755,23402
UBER,2026-09-02,10:37,75.7691,75.86,75.7,75.8536,28116
UBER,2026-09-02,10:38,75.84,75.87,75.73,75.765,31767
UBER,2026-09-02,10:39,75.765,75.8353,75.7301,75.835,23997
UBER,2026-09-02,10:40,75.835,75.89,75.83,75.87,16653
UBER,2026-09-02,10:41,75.875,75.95,75.86,75.935,17418
UBER,2026-09-02,10:42,75.935,75.99,75.915,75.915,18494
UBER,2026-09-02,10:43,75.915,76.09,75.8105,76.09,42469
UBER,2026-09-02,10:44,76.1,76.21,76.08,76.13,24443
UBER,2026-09-02,10:45,76.14,76.2,76.11,76.125,18726
UBER,2026-09-02,10:46,76.12,76.27,76.11,76.1936,35877
UBER,2026-09-02,10:47,76.205,76.21,76.103,76.195,22674
UBER,2026-09-02,10:48,76.205,76.23,76.1628,76.2,14682
UBER,2026-09-02,10:49,76.2,76.22,76.14,76.1989,45598
UBER,2026-09-02,10:50,76.2,76.2883,76.2,76.25,20750
UBER,2026-09-02,10:51,76.25,76.28,76.2,76.27,9330
UBER,2026-09-02,10:52,76.27,76.3099,76.13,76.18,28470
UBER,2026-09-02,10:53,76.185,76.2,76.09,76.09,20320
UBER,2026-09-02,10:54,76.08,76.2594,76.06,76.24,19323
UBER,2026-09-02,10:55,76.2142,76.28,76.2142,76.265,11822
UBER,2026-09-02,10:56,76.28,76.29,76.17,76.19,13258
UBER,2026-09-02,10:57,76.1934,76.3,76.185,76.23,30912
UBER,2026-09-02,10:58,76.24,76.29,76.21,76.28,18391
UBER,2026-09-02,10:59,76.285,76.385,76.275,76.356,66450
UBER,2026-09-02,11:00,76.37,76.42,76.35,76.35,21132
UBER,2026-09-02,11:01,76.36,76.3799,76.3342,76.3342,9535
UBER,2026-09-02,11:02,76.33,76.33,76.24,76.25,17803
UBER,2026-09-02,11:03,76.27,76.31,76.265,76.275,8431
UBER,2026-09-02,11:04,76.305,76.305,76.23,76.305,10776
UBER,2026-09-02,11:05,76.31,76.355,76.3,76.335,17215
UBER,2026-09-02,11:06,76.335,76.3499,76.255,76.26,8815
UBER,2026-09-02,11:07,76.2708,76.28,76.22,76.2421,6986
UBER,2026-09-02,11:08,76.235,76.235,76.185,76.205,13132
UBER,2026-09-02,11:09,76.2,76.265,76.2,76.25,37861
UBER,2026-09-02,11:10,76.25,76.25,76.19,76.21,9146
UBER,2026-09-02,11:11,76.2,76.24,76.1901,76.24,7176
UBER,2026-09-02,11:12,76.2599,76.275,76.21,76.21,10804
UBER,2026-09-02,11:13,76.23,76.295,76.2001,76.285,11422
UBER,2026-09-02,11:14,76.285,76.36,76.27,76.36,7935
UBER,2026-09-02,11:15,76.3531,76.3971,76.2523,76.2942,18449
UBER,2026-09-02,11:16,76.315,76.35,76.29,76.35,31875
UBER,2026-09-02,11:17,76.37,76.42,76.37,76.39,18496
UBER,2026-09-02,11:18,76.4,76.46,76.395,76.44,13351
UBER,2026-09-02,11:19,76.44,76.49,76.4214,76.47,15713
UBER,2026-09-02,11:20,76.46,76.52,76.45,76.51,28180
UBER,2026-09-02,11:21,76.5024,76.5827,76.49,76.575,25032
UBER,2026-09-02,11:22,76.57,76.625,76.45,76.485,33420
UBER,2026-09-02,11:23,76.48,76.55,76.44,76.49,35957
UBER,2026-09-02,11:24,76.475,76.53,76.435,76.51,20808
UBER,2026-09-02,11:25,76.51,76.53,76.49,76.525,17744
UBER,2026-09-02,11:26,76.525,76.53,76.4901,76.53,11504
UBER,2026-09-02,11:27,76.5352,76.61,76.525,76.6,12910
UBER,2026-09-02,11:28,76.59,76.68,76.59,76.675,38502
UBER,2026-09-02,11:29,76.675,76.7795,76.6601,76.77,71153
UBER,2026-09-02,11:30,76.775,76.78,76.64,76.675,41342
UBER,2026-09-02,11:31,76.6651,76.675,76.61,76.615,30814
UBER,2026-09-02,11:32,76.605,76.67,76.59,76.655,36332
UBER,2026-09-02,11:33,76.655,76.655,76.57,76.58,12260
UBER,2026-09-02,11:34,76.58,76.615,76.53,76.5301,16590
UBER,2026-09-02,11:35,76.545,76.5593,76.52,76.55,15218
UBER,2026-09-02,11:36,76.54,76.6097,76.53,76.57,16712
UBER,2026-09-02,11:37,76.56,76.58,76.54,76.54,8525
UBER,2026-09-02,11:38,76.54,76.54,76.49,76.53,11356
UBER,2026-09-02,11:39,76.5001,76.55,76.5,76.53,14860
UBER,2026-09-02,11:40,76.54,76.63,76.54,76.6,17934
UBER,2026-09-02,11:41,76.6014,76.64,76.59,76.6,14173
UBER,2026-09-02,11:42,76.62,76.635,76.56,76.56,17148
UBER,2026-09-02,11:43,76.555,76.585,76.55,76.555,9462
UBER,2026-09-02,11:44,76.5405,76.6,76.44,76.44,36621
UBER,2026-09-02,11:45,76.445,76.47,76.43,76.43,15532
UBER,2026-09-02,11:46,76.42,76.44,76.39,76.4,12868
UBER,2026-09-02,11:47,76.4,76.49,76.36,76.465,59155
UBER,2026-09-02,11:48,76.46,76.46,76.41,76.44,8430
UBER,2026-09-02,11:49,76.43,76.43,76.41,76.42,8573
UBER,2026-09-02,11:50,76.4371,76.495,76.4371,76.485,14577
UBER,2026-09-02,11:51,76.485,76.485,76.4,76.405,12087
UBER,2026-09-02,11:52,76.4,76.4259,76.365,76.405,15256
UBER,2026-09-02,11:53,76.4074,76.41,76.33,76.331,8637
UBER,2026-09-02,11:54,76.34,76.385,76.32,76.35,19664
UBER,2026-09-02,11:55,76.34,76.37,76.29,76.3,14727
UBER,2026-09-02,11:56,76.2805,76.305,76.28,76.3,6636
UBER,2026-09-02,11:57,76.3083,76.32,76.29,76.305,7969
UBER,2026-09-02,11:58,76.29,76.345,76.286,76.3361,12979
UBER,2026-09-02,11:59,76.33,76.38,76.31,76.38,7335
UBER,2026-09-02,12:00,76.4,76.45,76.37,76.45,17275
UBER,2026-09-02,12:01,76.44,76.44,76.39,76.4,6141
UBER,2026-09-02,12:02,76.4,76.45,76.39,76.45,26927
UBER,2026-09-02,12:03,76.4527,76.6,76.45,76.6,24699
UBER,2026-09-02,12:04,76.585,76.585,76.53,76.5582,11939
UBER,2026-09-02,12:05,76.555,76.555,76.5,76.52,21816
UBER,2026-09-02,12:06,76.52,76.52,76.4438,76.475,4859
UBER,2026-09-02,12:07,76.475,76.56,76.475,76.56,6916
UBER,2026-09-02,12:08,76.5506,76.65,76.52,76.615,16517
UBER,2026-09-02,12:09,76.6096,76.6399,76.57,76.61,7997
UBER,2026-09-02,12:10,76.6106,76.6899,76.61,76.66,16738
UBER,2026-09-02,12:11,76.6414,76.77,76.6414,76.76,12161
UBER,2026-09-02,12:12,76.77,76.7701,76.72,76.74,8703
UBER,2026-09-02,12:13,76.746,76.746,76.72,76.74,7392
UBER,2026-09-02,12:14,76.735,76.87,76.73,76.85,64751
UBER,2026-09-02,12:15,76.85,76.92,76.85,76.8782,99989
