symbol,date,time,open,high,low,close,volume
VRTX,2026-09-02,09:30,552.42,552.78,551.835,551.945,19993
VRTX,2026-09-02,09:31,551.95,552,551.03,551.24,4177
VRTX,2026-09-02,09:32,552.41,555.055,552.41,555.055,2224
VRTX,2026-09-02,09:33,555.14,555.47,554.46,554.46,1471
VRTX,2026-09-02,09:34,554.49,555.84,554.485,555.62,3056
VRTX,2026-09-02,09:35,555.25,555.91,554.83,554.83,2323
VRTX,2026-09-02,09:36,554.86,555.9899,554.83,555.145,1907
VRTX,2026-09-02,09:37,555.85,556.9999,554.84,555.471,6131
VRTX,2026-09-02,09:38,556.3109,556.34,555.6,555.905,2199
VRTX,2026-09-02,09:39,555.6111,555.97,555.6111,555.97,1138
VRTX,2026-09-02,09:40,556.6862,556.6862,555.575,555.575,2025
VRTX,2026-09-02,09:41,556.48,557.4999,556.48,557.171,2753
VRTX,2026-09-02,09:42,557.1875,557.1875,555.82,556.055,5181
VRTX,2026-09-02,09:43,555.09,556,554.3,554.3,3410
VRTX,2026-09-02,09:44,554.22,555.9,552.9,554.95,6797
VRTX,2026-09-02,09:45,555.39,556.35,555.065,555.165,2778
VRTX,2026-09-02,09:46,554.82,555.24,553.481,553.481,3246
VRTX,2026-09-02,09:47,553.495,554.315,553.495,554.24,4228
VRTX,2026-09-02,09:48,553.51,553.51,552.275,553.184,8662
VRTX,2026-09-02,09:49,552.275,553.21,551.95,551.95,718
VRTX,2026-09-02,09:50,551.95,551.95,550.9,551.3584,1268
VRTX,2026-09-02,09:51,551.195,551.75,551.195,551.43,1708
VRTX,2026-09-02,09:52,552.03,552.55,552.02,552.185,1623
VRTX,2026-09-02,09:53,552.19,552.19,551.415,551.415,1639
VRTX,2026-09-02,09:54,551.875,553.04,551.875,552.46,8275
VRTX,2026-09-02,09:55,552.46,552.46,552.46,552.46,0
VRTX,2026-09-02,09:56,552.245,552.29,552.1734,552.29,1022
VRTX,2026-09-02,09:57,551.6001,551.6001,551.236,551.236,1161
VRTX,2026-09-02,09:58,551.34,551.34,550.7,550.815,1561
VRTX,2026-09-02,09:59,550.696,551.895,550.34,551.855,38450
VRTX,2026-09-02,10:00,551.915,553.769,551.915,553.744,4690
VRTX,2026-09-02,10:01,553.445,555.72,553.445,555.72,5375
VRTX,2026-09-02,10:02,555.0812,556.32,555.0812,555.505,6230
VRTX,2026-09-02,10:03,555.5,557,555.31,555.31,13057
VRTX,2026-09-02,10:04,555.92,556.05,555.29,555.63,2478
VRTX,2026-09-02,10:05,555.76,557.5,555.76,556.67,41168
VRTX,2026-09-02,10:06,556.33,556.61,555.685,555.69,8115
VRTX,2026-09-02,10:07,555.12,555.98,555.12,555.96,2282
VRTX,2026-09-02,10:08,555.96,555.96,555.07,555.55,10261
VRTX,2026-09-02,10:09,555.88,555.88,555.2475,555.255,7374
VRTX,2026-09-02,10:10,555.83,555.83,555.1534,555.1534,2793
VRTX,2026-09-02,10:11,555.2625,555.77,553.83,553.875,4422
VRTX,2026-09-02,10:12,554.56,555.58,554.43,554.79,4774
VRTX,2026-09-02,10:13,555.57,555.57,554.01,555.18,5570
VRTX,2026-09-02,10:14,555.55,555.55,551.15,551.175,27862
VRTX,2026-09-02,10:15,551.735,552.33,550.88,550.88,3074
VRTX,2026-09-02,10:16,550.88,551.52,550.74,551.265,1197
VRTX,2026-09-02,10:17,551.4327,551.4327,550.64,550.825,3111
VRTX,2026-09-02,10:18,550.725,553.36,550.21,552.96,62499
VRTX,2026-09-02,10:19,552.15,552.15,552.025,552.025,879
VRTX,2026-09-02,10:20,552.025,552.025,551.11,552.015,1595
VRTX,2026-09-02,10:21,552.015,552.21,550,550.2,5357
VRTX,2026-09-02,10:22,551.02,551.7199,550.19,550.19,1845
VRTX,2026-09-02,10:23,550.66,550.66,550.035,550.15,1127
VRTX,2026-09-02,10:24,550.18,551.95,550.17,551.95,1526
VRTX,2026-09-02,10:25,551.8,552.5199,551.8,551.835,682
VRTX,2026-09-02,10:26,551.84,552.5199,551.84,551.85,1358
VRTX,2026-09-02,10:27,552.37,552.73,552.0362,552.35,3044
VRTX,2026-09-02,10:28,552.9599,555.15,552.9599,553.55,7967
VRTX,2026-09-02,10:29,553.365,553.365,553.285,553.285,483
VRTX,2026-09-02,10:30,552.84,552.84,552.84,552.84,126
VRTX,2026-09-02,10:31,553.3,553.31,552.695,552.695,873
VRTX,2026-09-02,10:32,553.3099,553.3099,552.695,552.695,324
VRTX,2026-09-02,10:33,553.24,553.24,552.535,552.545,483
VRTX,2026-09-02,10:34,552.17,552.245,552.13,552.165,413
VRTX,2026-09-02,10:35,552.14,552.63,552.13,552.13,504
VRTX,2026-09-02,10:36,552.83,552.83,552.475,552.475,1564
VRTX,2026-09-02,10:37,552.475,552.74,552.32,552.675,2212
VRTX,2026-09-02,10:38,552.65,552.9,552.41,552.52,5476
VRTX,2026-09-02,10:39,552.89,552.89,552.285,552.285,494
VRTX,2026-09-02,10:40,552.285,552.285,552.255,552.255,158
VRTX,2026-09-02,10:41,552.178,552.61,552.178,552.61,5081
VRTX,2026-09-02,10:42,552.525,552.5525,551.8801,551.8801,2611
VRTX,2026-09-02,10:43,552.315,552.315,551.25,551.59,4689
VRTX,2026-09-02,10:44,551.685,551.811,551.685,551.811,956
VRTX,2026-09-02,10:45,551.6,551.6,551.585,551.585,534
VRTX,2026-09-02,10:46,551.01,551.01,550.5,550.5,1578
VRTX,2026-09-02,10:47,550.54,550.54,550.54,550.54,608
VRTX,2026-09-02,10:48,550.54,550.54,550.46,550.46,743
VRTX,2026-09-02,10:49,550.46,550.46,550.46,550.46,0
VRTX,2026-09-02,10:50,550.5,550.5,550.5,550.5,339
VRTX,2026-09-02,10:51,550.17,550.34,549.945,550.34,1921
VRTX,2026-09-02,10:52,550.17,550.185,550.17,550.185,785
VRTX,2026-09-02,10:53,550.195,550.23,549.73,550.03,2405
VRTX,2026-09-02,10:54,550.55,550.55,550.525,550.525,843
VRTX,2026-09-02,10:55,550.515,550.525,550.19,550.19,756
VRTX,2026-09-02,10:56,550.02,550.02,549.965,549.965,335
VRTX,2026-09-02,10:57,549.975,549.975,549.975,549.975,476
VRTX,2026-09-02,10:58,549.98,552.06,549.98,550.73,8068
VRTX,2026-09-02,10:59,550.42,550.42,550.42,550.42,1077
VRTX,2026-09-02,11:00,550.18,550.18,550.03,550.18,679
VRTX,2026-09-02,11:01,550.19,550.19,550,550,664
VRTX,2026-09-02,11:02,550.535,550.535,550.535,550.535,1052
VRTX,2026-09-02,11:03,550.85,551.06,550.84,551.06,1000
VRTX,2026-09-02,11:04,550.72,551.05,550.72,551.045,820
VRTX,2026-09-02,11:05,551.08,551.34,550.995,551.34,748
VRTX,2026-09-02,11:06,551.08,551.08,551.075,551.075,591
VRTX,2026-09-02,11:07,551.065,551.085,551.065,551.085,686
VRTX,2026-09-02,11:08,551.085,551.41,551.085,551.09,641
VRTX,2026-09-02,11:09,551.09,551.09,550.24,550.39,3713
VRTX,2026-09-02,11:10,550.39,550.97,550.11,550.375,1947
VRTX,2026-09-02,11:11,550.385,550.4275,550.385,550.4275,286
VRTX,2026-09-02,11:12,550.405,550.41,550.405,550.41,272
VRTX,2026-09-02,11:13,550.41,550.415,549.89,550,1465
VRTX,2026-09-02,11:14,549.91,549.95,549.11,549.11,2644
VRTX,2026-09-02,11:15,549.505,549.79,549.07,549.4,3552
VRTX,2026-09-02,11:16,549.79,550,549.47,549.8,6320
VRTX,2026-09-02,11:17,549.905,549.905,549.48,549.905,1036
VRTX,2026-09-02,11:18,549.905,550.56,549.905,550.55,2303
VRTX,2026-09-02,11:19,550.84,551.23,550.75,550.89,4945
VRTX,2026-09-02,11:20,550.9,551.755,550.9,551.43,6726
VRTX,2026-09-02,11:21,551.175,551.49,551.15,551.29,2815
VRTX,2026-09-02,11:22,551.39,551.6,551.27,551.6,2926
VRTX,2026-09-02,11:23,551.37,552.21,551.37,552.15,3260
VRTX,2026-09-02,11:24,552.03,552.21,551.41,551.57,3778
VRTX,2026-09-02,11:25,551.67,551.79,551.51,551.59,1838
VRTX,2026-09-02,11:26,551.49,551.72,551.39,551.65,2973
VRTX,2026-09-02,11:27,551.55,551.865,551.51,551.865,2298
VRTX,2026-09-02,11:28,551.92,552.01,551.83,552.01,2724
VRTX,2026-09-02,11:29,552.03,552.16,551.92,552.1,1838
VRTX,2026-09-02,11:30,552,552.04,551.78,551.82,8086
VRTX,2026-09-02,11:31,551.71,551.86,551.47,551.52,3324
VRTX,2026-09-02,11:32,551.5,551.58,550.9001,551,2327
VRTX,2026-09-02,11:33,551.06,551.145,551.02,551.02,2783
VRTX,2026-09-02,11:34,550.92,551.02,550.38,550.38,2412
