symbol,date,time,open,high,low,close,volume
WFC,2026-09-02,09:30,87.75,87.78,87.58,87.64,23916
WFC,2026-09-02,09:31,87.64,88.17,87.64,88.105,279172
WFC,2026-09-02,09:32,88.13,88.45,88.07,88.3079,58733
WFC,2026-09-02,09:33,88.44,88.46,87.9881,88.04,32849
WFC,2026-09-02,09:34,88.08,88.12,87.99,88.075,21887
WFC,2026-09-02,09:35,88.02,88.04,87.86,87.99,28863
WFC,2026-09-02,09:36,88,88.01,87.875,87.9,20482
WFC,2026-09-02,09:37,87.91,88.24,87.91,88.24,18995
WFC,2026-09-02,09:38,88.25,88.62,88.21,88.445,123532
WFC,2026-09-02,09:39,88.445,88.5,88.1831,88.19,65566
WFC,2026-09-02,09:40,88.205,88.205,87.91,87.94,42878
WFC,2026-09-02,09:41,87.94,88.05,87.93,87.94,28805
WFC,2026-09-02,09:42,87.94,88.02,87.85,87.87,34157
WFC,2026-09-02,09:43,87.89,88.23,87.88,88.21,35049
WFC,2026-09-02,09:44,88.19,88.29,88.17,88.245,24212
WFC,2026-09-02,09:45,88.235,88.33,88.16,88.2744,57270
WFC,2026-09-02,09:46,88.285,88.36,88.26,88.31,35412
WFC,2026-09-02,09:47,88.32,88.335,88.21,88.23,37752
WFC,2026-09-02,09:48,88.26,88.285,88.2,88.215,28027
WFC,2026-09-02,09:49,88.215,88.325,88.215,88.305,26509
WFC,2026-09-02,09:50,88.305,88.36,88.3008,88.335,39007
WFC,2026-09-02,09:51,88.345,88.38,88.295,88.31,31070
WFC,2026-09-02,09:52,88.305,88.41,88.3,88.41,28946
WFC,2026-09-02,09:53,88.42,88.48,88.39,88.4,39125
WFC,2026-09-02,09:54,88.42,88.45,88.385,88.45,25482
WFC,2026-09-02,09:55,88.45,88.53,88.44,88.5,43288
WFC,2026-09-02,09:56,88.5,88.555,88.44,88.53,50197
WFC,2026-09-02,09:57,88.54,88.63,88.525,88.63,29379
WFC,2026-09-02,09:58,88.64,88.72,88.63,88.705,30095
WFC,2026-09-02,09:59,88.7,88.8,88.655,88.7,55571
WFC,2026-09-02,10:00,88.7,88.78,88.68,88.76,30366
WFC,2026-09-02,10:01,88.76,88.8,88.645,88.76,58715
WFC,2026-09-02,10:02,88.765,88.765,88.65,88.7,42745
WFC,2026-09-02,10:03,88.7,88.7,88.58,88.645,23168
WFC,2026-09-02,10:04,88.65,88.73,88.56,88.675,30503
WFC,2026-09-02,10:05,88.665,88.725,88.66,88.725,34035
WFC,2026-09-02,10:06,88.73,88.785,88.71,88.75,55746
WFC,2026-09-02,10:07,88.75,88.76,88.6628,88.72,39860
WFC,2026-09-02,10:08,88.73,88.815,88.725,88.81,24470
WFC,2026-09-02,10:09,88.82,88.845,88.795,88.82,63180
WFC,2026-09-02,10:10,88.825,88.87,88.761,88.86,39195
WFC,2026-09-02,10:11,88.84,88.91,88.83,88.88,54413
WFC,2026-09-02,10:12,88.88,88.975,88.865,88.925,22032
WFC,2026-09-02,10:13,88.93,88.985,88.915,88.9301,61105
WFC,2026-09-02,10:14,88.94,89.035,88.93,89.0253,52491
WFC,2026-09-02,10:15,89.01,89.11,88.99,89.105,105166
WFC,2026-09-02,10:16,89.1,89.18,89.06,89.12,26088
WFC,2026-09-02,10:17,89.125,89.22,89.11,89.19,65811
WFC,2026-09-02,10:18,89.18,89.18,89.0847,89.1,30233
WFC,2026-09-02,10:19,89.12,89.22,89.12,89.16,55748
WFC,2026-09-02,10:20,89.1601,89.2553,89.1402,89.235,61694
WFC,2026-09-02,10:21,89.22,89.275,89.1825,89.275,33463
WFC,2026-09-02,10:22,89.275,89.275,89.16,89.2,42109
WFC,2026-09-02,10:23,89.19,89.225,89.18,89.22,25504
WFC,2026-09-02,10:24,89.22,89.28,89.21,89.28,20118
WFC,2026-09-02,10:25,89.28,89.3553,89.245,89.34,23293
WFC,2026-09-02,10:26,89.35,89.35,89.315,89.345,31295
WFC,2026-09-02,10:27,89.35,89.38,89.315,89.33,23491
WFC,2026-09-02,10:28,89.32,89.37,89.32,89.34,49593
WFC,2026-09-02,10:29,89.33,89.38,89.33,89.36,25736
WFC,2026-09-02,10:30,89.36,89.43,89.33,89.41,36470
WFC,2026-09-02,10:31,89.415,89.48,89.365,89.45,99211
WFC,2026-09-02,10:32,89.45,89.49,89.4,89.46,83468
WFC,2026-09-02,10:33,89.45,89.46,89.38,89.39,32651
WFC,2026-09-02,10:34,89.4,89.47,89.385,89.46,21552
WFC,2026-09-02,10:35,89.46,89.53,89.45,89.46,126227
WFC,2026-09-02,10:36,89.47,89.58,89.47,89.5,64758
WFC,2026-09-02,10:37,89.5,89.69,89.5,89.69,88562
WFC,2026-09-02,10:38,89.69,89.72,89.635,89.68,49895
WFC,2026-09-02,10:39,89.68,89.7,89.6338,89.665,32853
WFC,2026-09-02,10:40,89.675,89.69,89.57,89.59,38336
WFC,2026-09-02,10:41,89.59,89.675,89.5435,89.67,29823
WFC,2026-09-02,10:42,89.675,89.6999,89.66,89.69,29249
WFC,2026-09-02,10:43,89.695,89.71,89.66,89.69,31374
WFC,2026-09-02,10:44,89.695,89.73,89.69,89.71,29860
WFC,2026-09-02,10:45,89.71,89.82,89.685,89.805,51443
WFC,2026-09-02,10:46,89.805,89.805,89.765,89.7901,32839
WFC,2026-09-02,10:47,89.8,89.86,89.79,89.84,52389
WFC,2026-09-02,10:48,89.85,89.905,89.84,89.905,34451
WFC,2026-09-02,10:49,89.91,89.95,89.89,89.905,52153
WFC,2026-09-02,10:50,89.905,89.93,89.8703,89.915,38766
