symbol,date,time,open,high,low,close,volume
WM,2026-09-02,09:30,219.07,219.655,218.39,218.86,46275
WM,2026-09-02,09:31,218.435,218.435,218.01,218.43,5660
WM,2026-09-02,09:32,218.01,218.22,216.52,216.55,19299
WM,2026-09-02,09:33,216.905,217.36,216.905,217.17,6327
WM,2026-09-02,09:34,217.175,217.28,216.92,216.92,6250
WM,2026-09-02,09:35,216.765,216.96,216.27,216.96,11859
WM,2026-09-02,09:36,216.96,216.98,216.73,216.98,4872
WM,2026-09-02,09:37,216.89,216.915,216.89,216.915,1066
WM,2026-09-02,09:38,216.915,217.06,216.915,217.06,3051
WM,2026-09-02,09:39,216.985,217.22,216.8117,216.8117,13460
WM,2026-09-02,09:40,216.78,217.2,216.71,217.145,6227
WM,2026-09-02,09:41,216.95,216.9632,216.59,216.65,3749
WM,2026-09-02,09:42,216.5925,217.34,216.5925,217.1001,8584
WM,2026-09-02,09:43,217.52,217.72,217.51,217.55,3554
WM,2026-09-02,09:44,217.64,217.74,217.48,217.625,1998
WM,2026-09-02,09:45,217.68,217.84,217.56,217.575,5439
WM,2026-09-02,09:46,217.57,217.64,217.45,217.64,4602
WM,2026-09-02,09:47,217.46,217.46,216.76,216.91,7028
WM,2026-09-02,09:48,216.885,217.03,216.8231,216.8231,4166
WM,2026-09-02,09:49,216.915,217.25,216.79,217.25,9697
WM,2026-09-02,09:50,217.19,217.41,217.19,217.36,4111
WM,2026-09-02,09:51,217.41,217.65,217.3847,217.65,3420
WM,2026-09-02,09:52,217.81,218.04,217.66,218.04,2505
WM,2026-09-02,09:53,217.905,218.4215,217.905,218.29,4549
WM,2026-09-02,09:54,218.31,218.43,218.31,218.375,2116
WM,2026-09-02,09:55,218.36,218.48,218.255,218.26,4869
WM,2026-09-02,09:56,218.25,218.2625,218.07,218.21,2765
WM,2026-09-02,09:57,218.24,218.24,218.06,218.13,2103
WM,2026-09-02,09:58,218.155,218.155,217.96,217.965,3409
WM,2026-09-02,09:59,217.89,218.085,217.88,218.085,10011
WM,2026-09-02,10:00,218.0725,218.0825,217.76,217.865,5337
WM,2026-09-02,10:01,217.86,217.88,217.75,217.75,718
WM,2026-09-02,10:02,217.85,217.86,217.5,217.5,2751
WM,2026-09-02,10:03,217.47,217.49,217.46,217.46,1342
WM,2026-09-02,10:04,217.46,217.46,217.365,217.43,3912
WM,2026-09-02,10:05,217.46,217.46,216.94,216.94,6414
WM,2026-09-02,10:06,216.89,217.31,216.89,217.24,14652
WM,2026-09-02,10:07,217.14,217.14,217.095,217.125,1677
WM,2026-09-02,10:08,217.0225,217.13,216.94,216.955,7497
WM,2026-09-02,10:09,216.955,217.13,216.76,216.87,6292
WM,2026-09-02,10:10,216.76,217.2,216.75,217.11,5437
WM,2026-09-02,10:11,217.11,217.11,216.8901,216.8901,2045
WM,2026-09-02,10:12,216.92,217.16,216.92,216.96,1665
WM,2026-09-02,10:13,216.92,217.08,216.85,217.08,7407
WM,2026-09-02,10:14,217.09,217.09,216.93,216.93,2431
WM,2026-09-02,10:15,217.0454,217.0454,216.85,216.955,4825
WM,2026-09-02,10:16,216.87,216.96,216.84,216.955,3831
WM,2026-09-02,10:17,216.9,216.95,216.85,216.95,5192
WM,2026-09-02,10:18,217.0025,217.18,217.0025,217.12,2680
WM,2026-09-02,10:19,217.095,217.15,217.01,217.015,3797
WM,2026-09-02,10:20,217.04,217.12,216.87,216.975,3239
WM,2026-09-02,10:21,216.956,217.12,216.956,217.05,3197
WM,2026-09-02,10:22,217.075,217.14,217.075,217.08,3199
WM,2026-09-02,10:23,217.085,217.15,217.07,217.14,2975
WM,2026-09-02,10:24,217.23,217.25,217.15,217.24,1909
WM,2026-09-02,10:25,217.19,217.41,217.16,217.41,29067
WM,2026-09-02,10:26,217.45,217.515,217.45,217.47,5132
WM,2026-09-02,10:27,217.42,217.47,217.3793,217.46,3577
WM,2026-09-02,10:28,217.455,217.455,217.36,217.4,2251
WM,2026-09-02,10:29,217.39,217.54,217.36,217.36,4699
WM,2026-09-02,10:30,217.36,217.53,217.36,217.45,1480
WM,2026-09-02,10:31,217.535,217.63,217.48,217.48,2651
WM,2026-09-02,10:32,217.48,217.63,217.47,217.52,2081
WM,2026-09-02,10:33,217.4001,217.63,217.4001,217.52,1700
WM,2026-09-02,10:34,217.525,217.63,217.525,217.63,1663
WM,2026-09-02,10:35,217.54,217.79,217.54,217.79,5133
WM,2026-09-02,10:36,217.835,217.96,217.82,217.96,1690
WM,2026-09-02,10:37,217.84,217.865,217.84,217.865,1602
WM,2026-09-02,10:38,217.865,218.01,217.85,218.01,5605
WM,2026-09-02,10:39,218.03,218.165,217.99,218.165,6255
WM,2026-09-02,10:40,218.09,218.105,217.955,218.005,5857
WM,2026-09-02,10:41,218.07,218.11,218.07,218.11,1390
WM,2026-09-02,10:42,218.07,218.09,217.95,218.035,2267
WM,2026-09-02,10:43,218.05,218.135,218,218.07,2018
WM,2026-09-02,10:44,218.1,218.17,218.07,218.11,3007
WM,2026-09-02,10:45,218.145,218.155,218.0002,218.06,2756
WM,2026-09-02,10:46,218.13,218.135,218.13,218.135,2409
WM,2026-09-02,10:47,218.14,218.24,218.07,218.24,3545
WM,2026-09-02,10:48,218.38,218.455,218.275,218.455,1264
WM,2026-09-02,10:49,218.345,218.48,218.345,218.39,2962
WM,2026-09-02,10:50,218.3825,218.45,218.3825,218.45,2010
WM,2026-09-02,10:51,218.42,218.57,218.42,218.5,2783
