symbol,date,time,open,high,low,close,volume
HOOD,2026-09-08,09:30,125.065,125.1209,120.88,122.3188,2166026
HOOD,2026-09-08,09:31,122.245,122.72,121.29,122.22,224762
HOOD,2026-09-08,09:32,122.3046,122.5,121.12,121.445,251088
HOOD,2026-09-08,09:33,121.425,122.46,121.3,122.28,193287
HOOD,2026-09-08,09:34,122.38,123.42,122.28,122.62,330531
HOOD,2026-09-08,09:35,122.58,122.9894,122.23,122.685,131423
HOOD,2026-09-08,09:36,122.61,122.73,120.4501,121.63,252937
HOOD,2026-09-08,09:37,121.7099,122.65,121.3137,122.455,131675
HOOD,2026-09-08,09:38,122.455,123.18,122.35,123.03,199889
HOOD,2026-09-08,09:39,123.075,123.15,122.0327,122.26,131505
HOOD,2026-09-08,09:40,122.2484,122.275,121.63,121.7121,97542
HOOD,2026-09-08,09:41,121.76,122.46,121.7101,122,117139
HOOD,2026-09-08,09:42,122.08,122.2,121.87,121.98,68216
HOOD,2026-09-08,09:43,121.98,122.5999,121.9594,122.5372,87042
HOOD,2026-09-08,09:44,122.5,123.09,122.3862,122.8509,107956
HOOD,2026-09-08,09:45,122.8443,123.31,122.74,122.925,184980
HOOD,2026-09-08,09:46,122.9482,122.97,122.6,122.835,78474
HOOD,2026-09-08,09:47,122.835,123.3695,122.83,123.3695,132018
HOOD,2026-09-08,09:48,123.2801,123.3999,122.76,122.9,125847
HOOD,2026-09-08,09:49,122.895,123.25,122.61,123.185,107029
HOOD,2026-09-08,09:50,123.14,123.53,122.8673,122.9399,208147
HOOD,2026-09-08,09:51,122.895,123.04,122.74,122.9,79186
HOOD,2026-09-08,09:52,122.83,123.16,122.55,122.59,102093
HOOD,2026-09-08,09:53,122.55,122.98,122.51,122.78,128040
HOOD,2026-09-08,09:54,122.81,123.9,122.79,123.9,323196
HOOD,2026-09-08,09:55,123.905,124.1699,123.7501,124.13,185901
HOOD,2026-09-08,09:56,124.13,124.135,123.5,123.875,132207
HOOD,2026-09-08,09:57,123.875,124.13,123.61,123.64,100551
HOOD,2026-09-08,09:58,123.64,123.655,123.11,123.3399,88420
HOOD,2026-09-08,09:59,123.28,123.69,123.15,123.4,217653
HOOD,2026-09-08,10:00,123.41,123.67,123.2,123.4516,83271
HOOD,2026-09-08,10:01,123.505,123.505,122.88,123,85807
HOOD,2026-09-08,10:02,123,123.245,122.88,123.245,59135
HOOD,2026-09-08,10:03,123.21,123.34,122.75,122.93,75208
HOOD,2026-09-08,10:04,122.89,123.35,122.825,123.185,56165
HOOD,2026-09-08,10:05,123.22,123.6999,122.9902,123.56,127235
HOOD,2026-09-08,10:06,123.56,123.56,123.0001,123.165,62283
HOOD,2026-09-08,10:07,123.17,123.17,122.82,122.85,61051
HOOD,2026-09-08,10:08,122.85,123.15,122.68,123.01,64416
HOOD,2026-09-08,10:09,123.035,123.035,122.7501,122.96,33547
HOOD,2026-09-08,10:10,122.95,123.157,122.83,123.115,51260
HOOD,2026-09-08,10:11,123.06,123.15,122.9386,122.985,49681
HOOD,2026-09-08,10:12,123,123.09,122.86,123.02,42171
HOOD,2026-09-08,10:13,123.02,123.25,122.94,123.205,42567
HOOD,2026-09-08,10:14,123.205,123.44,123.035,123.125,73883
HOOD,2026-09-08,10:15,123.125,123.358,123.11,123.218,54858
HOOD,2026-09-08,10:16,123.22,123.73,123.085,123.345,147905
HOOD,2026-09-08,10:17,123.36,123.36,123.16,123.3,68737
HOOD,2026-09-08,10:18,123.34,123.5,123.231,123.47,71907
HOOD,2026-09-08,10:19,123.4001,124.1,123.4,124.1,181943
HOOD,2026-09-08,10:20,124.13,124.3413,123.89,124.09,116391
HOOD,2026-09-08,10:21,124.04,124.2,123.8,124.11,93386
HOOD,2026-09-08,10:22,124.14,124.42,123.7312,123.79,148734
HOOD,2026-09-08,10:23,123.77,123.8899,123.61,123.745,49029
HOOD,2026-09-08,10:24,123.72,123.82,123.6362,123.77,41220
HOOD,2026-09-08,10:25,123.77,123.845,123.6,123.645,28154
HOOD,2026-09-08,10:26,123.6066,123.6699,123.3033,123.4385,63221
HOOD,2026-09-08,10:27,123.3901,123.4599,123.1067,123.4599,55999
HOOD,2026-09-08,10:28,123.4599,123.57,123.3216,123.36,40299
HOOD,2026-09-08,10:29,123.39,123.47,123.16,123.16,31538
HOOD,2026-09-08,10:30,123.205,123.41,123.205,123.3,19381
HOOD,2026-09-08,10:31,123.3,123.39,122.8,122.84,114068
HOOD,2026-09-08,10:32,122.885,123.18,122.885,123.18,39119
HOOD,2026-09-08,10:33,123.18,123.545,123.11,123.545,56355
HOOD,2026-09-08,10:34,123.545,123.76,123.4236,123.52,45402
HOOD,2026-09-08,10:35,123.58,123.684,123.476,123.5399,47040
HOOD,2026-09-08,10:36,123.505,123.565,123.26,123.335,30409
HOOD,2026-09-08,10:37,123.32,123.37,123.05,123.18,55796
HOOD,2026-09-08,10:38,123.21,123.3,122.9772,123.2265,43548
HOOD,2026-09-08,10:39,123.245,123.3,123.02,123.07,28700
HOOD,2026-09-08,10:40,123.07,123.11,122.86,123.02,64083
HOOD,2026-09-08,10:41,123.03,123.08,122.75,122.81,75422
HOOD,2026-09-08,10:42,122.81,122.82,122.4616,122.55,68278
HOOD,2026-09-08,10:43,122.4988,122.69,122.47,122.675,35691
HOOD,2026-09-08,10:44,122.68,122.68,122.251,122.33,71127
HOOD,2026-09-08,10:45,122.3226,122.3226,121.68,121.7574,101191
HOOD,2026-09-08,10:46,121.7921,122.435,121.7921,122.37,110553
HOOD,2026-09-08,10:47,122.36,122.4499,122.2383,122.2383,48918
HOOD,2026-09-08,10:48,122.33,122.3751,122.17,122.33,27724
HOOD,2026-09-08,10:49,122.322,122.64,122.26,122.31,76479
HOOD,2026-09-08,10:50,122.32,122.3699,122.17,122.205,42428
HOOD,2026-09-08,10:51,122.24,122.32,122.05,122.17,52674
HOOD,2026-09-08,10:52,122.21,122.23,121.8105,122.015,119773
HOOD,2026-09-08,10:53,122.05,122.34,121.8725,122.23,49141
HOOD,2026-09-08,10:54,122.195,122.35,122.1638,122.2749,26935
HOOD,2026-09-08,10:55,122.28,122.535,122.28,122.365,48951
HOOD,2026-09-08,10:56,122.365,122.365,122.04,122.0866,61548
HOOD,2026-09-08,10:57,122.066,122.22,122.0008,122.15,37086
HOOD,2026-09-08,10:58,122.18,122.21,121.9403,122.03,28205
HOOD,2026-09-08,10:59,121.977,122.095,121.92,122.06,29642
HOOD,2026-09-08,11:00,122.045,122.09,121.77,121.84,59018
HOOD,2026-09-08,11:01,121.89,121.94,121.81,121.88,33232
HOOD,2026-09-08,11:02,121.88,122.06,121.71,121.9301,58377
HOOD,2026-09-08,11:03,121.94,122.425,121.93,122.3762,42929
HOOD,2026-09-08,11:04,122.375,122.42,122.22,122.28,35540
HOOD,2026-09-08,11:05,122.2659,122.47,122.25,122.375,42277
HOOD,2026-09-08,11:06,122.365,122.4,122.09,122.14,32346
HOOD,2026-09-08,11:07,122.18,122.3,122.145,122.27,30809
HOOD,2026-09-08,11:08,122.255,122.3,122.165,122.3,23874
HOOD,2026-09-08,11:09,122.37,122.48,122.28,122.48,33702
HOOD,2026-09-08,11:10,122.4999,122.62,122.3,122.37,85726
HOOD,2026-09-08,11:11,122.4,122.41,122.2,122.24,33055
HOOD,2026-09-08,11:12,122.29,122.3887,122.22,122.3143,42861
HOOD,2026-09-08,11:13,122.31,122.42,122.31,122.355,23576
HOOD,2026-09-08,11:14,122.35,122.4519,122.33,122.35,50100
HOOD,2026-09-08,11:15,122.36,122.44,122.21,122.425,31747
HOOD,2026-09-08,11:16,122.44,122.48,122.294,122.4,28959
HOOD,2026-09-08,11:17,122.4,122.46,122.1601,122.175,52233
HOOD,2026-09-08,11:18,122.19,122.26,122.15,122.165,35190
HOOD,2026-09-08,11:19,122.17,122.19,122.025,122.03,50759
HOOD,2026-09-08,11:20,122.01,122.02,121.91,121.94,40195
HOOD,2026-09-08,11:21,121.93,121.95,121.7765,121.82,44953
HOOD,2026-09-08,11:22,121.795,121.795,121.625,121.695,45095
HOOD,2026-09-08,11:23,121.695,121.8272,121.62,121.74,37867
HOOD,2026-09-08,11:24,121.745,121.82,121.6405,121.82,41728
HOOD,2026-09-08,11:25,121.81,121.96,121.75,121.77,48266
