symbol,date,time,open,high,low,close,volume
WFC,2026-09-08,09:30,89.635,89.73,89.635,89.73,12505
WFC,2026-09-08,09:31,89.52,89.54,89.04,89.08,123801
WFC,2026-09-08,09:32,89.12,89.38,89.075,89.365,41241
WFC,2026-09-08,09:33,89.37,89.42,89.215,89.31,7416
WFC,2026-09-08,09:34,89.36,89.42,89.07,89.07,57729
WFC,2026-09-08,09:35,89,89.14,88.9,89.035,20816
WFC,2026-09-08,09:36,89.015,89.23,88.96,89.1568,15582
WFC,2026-09-08,09:37,89.17,89.175,89.02,89.03,7247
WFC,2026-09-08,09:38,89.01,89.02,88.93,88.98,17934
WFC,2026-09-08,09:39,88.95,89.2,88.95,89.13,21540
WFC,2026-09-08,09:40,89.11,89.11,88.92,88.93,12115
WFC,2026-09-08,09:41,88.91,89.05,88.91,88.98,19421
WFC,2026-09-08,09:42,88.97,89.22,88.9,89.215,27587
WFC,2026-09-08,09:43,89.23,89.43,89.2072,89.255,45460
WFC,2026-09-08,09:44,89.25,89.32,89.23,89.315,9365
WFC,2026-09-08,09:45,89.29,89.31,89.185,89.205,27931
WFC,2026-09-08,09:46,89.185,89.19,89.085,89.16,12114
WFC,2026-09-08,09:47,89.16,89.26,89.1473,89.26,17681
WFC,2026-09-08,09:48,89.26,89.33,89.25,89.28,12987
WFC,2026-09-08,09:49,89.28,89.28,89.185,89.185,14054
WFC,2026-09-08,09:50,89.185,89.22,89.16,89.17,20895
WFC,2026-09-08,09:51,89.165,89.32,89.165,89.24,6225
WFC,2026-09-08,09:52,89.24,89.26,89.2,89.255,6583
WFC,2026-09-08,09:53,89.24,89.36,89.24,89.26,16617
WFC,2026-09-08,09:54,89.211,89.255,89.08,89.11,12608
WFC,2026-09-08,09:55,89.1,89.17,89.055,89.13,12077
WFC,2026-09-08,09:56,89.12,89.19,89.115,89.135,19332
WFC,2026-09-08,09:57,89.15,89.15,89.07,89.11,20061
WFC,2026-09-08,09:58,89.1,89.125,89.08,89.08,4979
WFC,2026-09-08,09:59,89.09,89.145,89.075,89.085,5754
WFC,2026-09-08,10:00,89.085,89.11,88.995,89.04,17485
WFC,2026-09-08,10:01,89.03,89.05,88.96,88.96,30660
WFC,2026-09-08,10:02,89,89.13,89,89.059,5622
WFC,2026-09-08,10:03,89.0353,89.04,88.85,88.88,27776
WFC,2026-09-08,10:04,88.885,88.91,88.86,88.885,11505
WFC,2026-09-08,10:05,88.8762,88.93,88.85,88.87,13504
WFC,2026-09-08,10:06,88.83,88.845,88.735,88.77,23345
WFC,2026-09-08,10:07,88.78,88.85,88.715,88.83,69030
WFC,2026-09-08,10:08,88.85,88.865,88.7937,88.7937,17742
WFC,2026-09-08,10:09,88.81,88.87,88.81,88.85,13991
WFC,2026-09-08,10:10,88.85,88.925,88.815,88.92,30050
WFC,2026-09-08,10:11,88.93,88.965,88.87,88.93,15494
WFC,2026-09-08,10:12,88.92,89,88.92,88.99,9876
WFC,2026-09-08,10:13,89.005,89.02,88.97,88.995,6808
WFC,2026-09-08,10:14,88.99,88.99,88.93,88.975,6660
WFC,2026-09-08,10:15,88.972,88.98,88.83,88.88,15390
WFC,2026-09-08,10:16,88.87,88.9,88.83,88.87,10807
WFC,2026-09-08,10:17,88.845,88.85,88.72,88.72,37937
WFC,2026-09-08,10:18,88.7297,88.7297,88.62,88.62,11261
WFC,2026-09-08,10:19,88.61,88.685,88.6,88.685,22799
WFC,2026-09-08,10:20,88.68,88.685,88.58,88.635,11370
