symbol,date,time,open,high,low,close,volume
ALAB,2026-09-08,09:30,304.94,312.24,303.735,310,189290
ALAB,2026-09-08,09:31,309.745,310.0678,302,303.52,57827
ALAB,2026-09-08,09:32,302.01,302.06,298.58,300.42,60610
ALAB,2026-09-08,09:33,299.84,299.9,296.53,298.74,43505
ALAB,2026-09-08,09:34,298.37,300.6075,298.37,300,39951
ALAB,2026-09-08,09:35,300.75,301.99,297.41,297.95,65302
ALAB,2026-09-08,09:36,297.91,301.43,296.5001,299.855,44926
ALAB,2026-09-08,09:37,299.565,302.265,299.565,302.265,17290
ALAB,2026-09-08,09:38,302.45,302.67,300.27,300.6,29353
ALAB,2026-09-08,09:39,300.22,302.2,300.22,301.86,25846
ALAB,2026-09-08,09:40,302.1,303.6,302,302.56,17356
ALAB,2026-09-08,09:41,302.555,303.06,301.51,302.19,12799
ALAB,2026-09-08,09:42,301.99,302.4594,300.5,301.96,15069
ALAB,2026-09-08,09:43,301.62,302.1074,300.24,301.72,15305
ALAB,2026-09-08,09:44,301.42,301.42,297.925,298.52,20853
ALAB,2026-09-08,09:45,298.52,300.64,298.045,298.47,43606
ALAB,2026-09-08,09:46,298.3,299.2,298,298.435,16924
ALAB,2026-09-08,09:47,298.865,300.03,298.26,298.26,18219
ALAB,2026-09-08,09:48,298.26,299.04,297.78,298.595,20080
ALAB,2026-09-08,09:49,298.73,301.34,298.4239,301.1206,19733
ALAB,2026-09-08,09:50,300.995,301.03,300,300,13570
ALAB,2026-09-08,09:51,299.72,300.23,298,298.87,26298
ALAB,2026-09-08,09:52,298.875,299.55,297.5,297.89,20520
ALAB,2026-09-08,09:53,297.4,298.74,296.56,298.74,20779
ALAB,2026-09-08,09:54,298.73,299.32,298.59,299.32,14709
ALAB,2026-09-08,09:55,299.04,299.07,298.66,299.02,8259
ALAB,2026-09-08,09:56,299.355,301.425,299.355,301.345,10823
ALAB,2026-09-08,09:57,301.095,302.59,300.93,301.7927,21472
ALAB,2026-09-08,09:58,301.535,302.24,300.71,301.595,7616
ALAB,2026-09-08,09:59,301.715,302.375,301.365,302.37,12162
ALAB,2026-09-08,10:00,302.535,302.535,301.285,301.5763,18675
ALAB,2026-09-08,10:01,301.02,301.69,300.57,301.475,19172
ALAB,2026-09-08,10:02,301.475,301.475,300,300.645,10687
ALAB,2026-09-08,10:03,300.42,301.31,300.04,300.815,6344
ALAB,2026-09-08,10:04,300.78,300.78,299.53,300.07,12982
ALAB,2026-09-08,10:05,300.03,300.22,299.36,299.615,16998
ALAB,2026-09-08,10:06,299.95,300.02,299.66,299.855,6853
ALAB,2026-09-08,10:07,300.305,301.03,299.675,300.795,10520
ALAB,2026-09-08,10:08,300.81,301.3474,300.04,300.58,14164
ALAB,2026-09-08,10:09,300.0338,300.0338,298.98,299.295,14638
ALAB,2026-09-08,10:10,299.295,301.1099,299.295,300.18,15923
ALAB,2026-09-08,10:11,300.24,300.52,299.755,299.79,8520
ALAB,2026-09-08,10:12,300.36,300.64,300.05,300.64,6053
ALAB,2026-09-08,10:13,300.77,300.8799,300.395,300.565,5674
ALAB,2026-09-08,10:14,300.7,300.7,299.81,300.515,8904
ALAB,2026-09-08,10:15,300.25,300.94,300,300.165,8776
ALAB,2026-09-08,10:16,299.8975,300.61,299.8,300.1401,9306
ALAB,2026-09-08,10:17,300.325,300.92,300.325,300.7781,5257
ALAB,2026-09-08,10:18,300.565,301.28,300.35,301.05,11405
ALAB,2026-09-08,10:19,300.6928,301.5266,300.59,300.9,7932
ALAB,2026-09-08,10:20,300.855,301.475,300.64,301.475,8326
ALAB,2026-09-08,10:21,301.635,302.1,301.37,301.66,10419
ALAB,2026-09-08,10:22,301.14,301.14,300.565,300.565,8604
ALAB,2026-09-08,10:23,300,300.84,299.86,300.84,10325
ALAB,2026-09-08,10:24,300.59,300.785,300.04,300.353,15943
ALAB,2026-09-08,10:25,299.89,299.99,299.45,299.47,9478
ALAB,2026-09-08,10:26,299.635,299.6703,298.21,298.21,17615
ALAB,2026-09-08,10:27,298.215,299.5,298,299,9292
ALAB,2026-09-08,10:28,299.42,300.6651,299.42,299.745,7399
ALAB,2026-09-08,10:29,300.07,300.29,299.24,299.42,9781
ALAB,2026-09-08,10:30,299.43,300.2799,299.425,299.425,4956
ALAB,2026-09-08,10:31,299.47,299.57,299.3,299.33,5100
ALAB,2026-09-08,10:32,299.42,299.9898,298.605,299.7,12225
ALAB,2026-09-08,10:33,299.56,299.7631,299.04,299.045,5393
ALAB,2026-09-08,10:34,298.8313,299.075,298.72,298.72,7445
ALAB,2026-09-08,10:35,298.585,298.82,297.54,297.6,17150
ALAB,2026-09-08,10:36,297.38,297.99,297.37,297.99,5487
ALAB,2026-09-08,10:37,297.91,298.11,297.75,298.07,6064
ALAB,2026-09-08,10:38,297.85,299.19,297.775,299.055,21031
ALAB,2026-09-08,10:39,299.3,299.4,298.99,299.38,7552
ALAB,2026-09-08,10:40,298.935,299.59,298.935,299.5,8436
ALAB,2026-09-08,10:41,299.44,299.4406,298.815,299.11,6095
ALAB,2026-09-08,10:42,299.015,299.3419,298.6014,298.845,3441
ALAB,2026-09-08,10:43,298.91,300.6699,298.835,300.6699,12528
ALAB,2026-09-08,10:44,300.82,301.485,300.82,301.13,8619
ALAB,2026-09-08,10:45,301.19,301.19,300.315,300.485,8470
ALAB,2026-09-08,10:46,300.6105,300.7999,300.39,300.7999,5940
ALAB,2026-09-08,10:47,300.565,300.67,300,300.35,7883
ALAB,2026-09-08,10:48,300.54,301.09,300.54,300.9521,4449
ALAB,2026-09-08,10:49,300.82,300.95,300.205,300.95,12398
ALAB,2026-09-08,10:50,300.99,301.25,300.5101,301.25,6008
ALAB,2026-09-08,10:51,301.615,301.93,301.615,301.75,9907
ALAB,2026-09-08,10:52,301.885,302.37,301.4,302.37,16702
ALAB,2026-09-08,10:53,302.94,303.34,302.6875,303.1313,16406
ALAB,2026-09-08,10:54,302.7224,303.49,302.7224,303.2,17308
ALAB,2026-09-08,10:55,303.2,303.4,303,303.2,14037
ALAB,2026-09-08,10:56,303.37,303.8,303,303.8,16703
ALAB,2026-09-08,10:57,303.41,303.76,303.1802,303.76,9536
ALAB,2026-09-08,10:58,303.605,303.79,303.265,303.51,6036
ALAB,2026-09-08,10:59,303.55,305.14,303.55,305.14,25910
ALAB,2026-09-08,11:00,305.28,305.44,304.765,305.17,14760
ALAB,2026-09-08,11:01,305.01,305.03,304.135,304.46,38102
ALAB,2026-09-08,11:02,304.46,304.51,304.04,304.51,15906
ALAB,2026-09-08,11:03,304.5,304.5,302.52,302.58,15940
ALAB,2026-09-08,11:04,302.38,303.17,302.1985,303.17,10987
ALAB,2026-09-08,11:05,303.3199,303.32,302.63,302.665,5250
ALAB,2026-09-08,11:06,302.755,303.02,302.575,302.77,9283
ALAB,2026-09-08,11:07,303.17,303.17,302.795,302.91,4803
ALAB,2026-09-08,11:08,302.96,303.16,302.75,303.07,4082
ALAB,2026-09-08,11:09,302.746,303.15,302.64,302.765,5873
ALAB,2026-09-08,11:10,302.76,302.86,302.655,302.79,6190
ALAB,2026-09-08,11:11,302.81,303.33,302.76,303.25,4684
ALAB,2026-09-08,11:12,303.435,303.435,303.235,303.255,3643
ALAB,2026-09-08,11:13,303.3,304.32,303.3,304.12,6229
ALAB,2026-09-08,11:14,304.32,306.1,304.32,305.97,19413
ALAB,2026-09-08,11:15,306.155,306.155,304.45,305.04,22078
ALAB,2026-09-08,11:16,304.64,306.6,304.5851,306.4,5071
ALAB,2026-09-08,11:17,306.4,306.4,305.285,305.78,7120
ALAB,2026-09-08,11:18,305.78,305.785,304.99,305.4,5882
ALAB,2026-09-08,11:19,305.2775,305.2775,304.6875,304.69,6009
ALAB,2026-09-08,11:20,304.6825,304.85,304.305,304.31,8364
ALAB,2026-09-08,11:21,304.3025,304.45,302.85,303.05,10718
ALAB,2026-09-08,11:22,303.05,303.05,301.5,301.885,7562
ALAB,2026-09-08,11:23,301.885,303.52,301.55,302.76,12582
ALAB,2026-09-08,11:24,303.04,303.575,303.04,303.575,6398
ALAB,2026-09-08,11:25,303.5475,304.17,302.99,303.905,13877
ALAB,2026-09-08,11:26,303.905,304,303.07,303.31,12589
ALAB,2026-09-08,11:27,303.29,303.29,303.16,303.16,4183
ALAB,2026-09-08,11:28,302.73,302.73,301.8811,302.29,6450
ALAB,2026-09-08,11:29,302.29,302.29,301.83,301.935,4797
ALAB,2026-09-08,11:30,301.59,301.62,301.11,301.62,9634
ALAB,2026-09-08,11:31,301.49,301.85,301.49,301.575,7937
ALAB,2026-09-08,11:32,301.6172,302.08,301.5471,302.08,6802
ALAB,2026-09-08,11:33,301.7547,302.05,301.3525,301.355,7148
ALAB,2026-09-08,11:34,301.25,301.445,301.25,301.41,3287
ALAB,2026-09-08,11:35,301.1504,301.186,300.18,300.345,15639
ALAB,2026-09-08,11:36,300.65,300.66,300.02,300.48,6095
ALAB,2026-09-08,11:37,300.41,301.03,300.41,301.03,6621
ALAB,2026-09-08,11:38,301.3,301.3,300.885,300.885,2293
