symbol,date,time,open,high,low,close,volume
MRVL,2026-09-08,09:30,226.98,230.44,226.2,230,2172722
MRVL,2026-09-08,09:31,229.9,231.45,229.9,230.032,388948
MRVL,2026-09-08,09:32,230.1,230.1,227.5131,228.6074,199819
MRVL,2026-09-08,09:33,228.79,228.86,227.01,227.9119,200841
MRVL,2026-09-08,09:34,227.84,228.57,227.47,227.9315,124905
MRVL,2026-09-08,09:35,228.045,228.6827,225.8902,226.315,147250
MRVL,2026-09-08,09:36,226.1807,226.41,225.256,226.295,119999
MRVL,2026-09-08,09:37,226.23,227.4895,225.885,227.4895,75270
MRVL,2026-09-08,09:38,227.355,227.45,226.44,227.055,66980
MRVL,2026-09-08,09:39,227.13,227.5,226,226.255,99439
MRVL,2026-09-08,09:40,226.2998,226.485,225.15,225.265,147329
MRVL,2026-09-08,09:41,225.14,225.73,224.8,225.2,174148
MRVL,2026-09-08,09:42,225.28,225.42,224.27,224.67,142823
MRVL,2026-09-08,09:43,224.6212,225.72,224.5201,225.36,76908
MRVL,2026-09-08,09:44,225.28,225.685,224.34,224.59,113676
MRVL,2026-09-08,09:45,224.6215,226.15,224.59,226.15,115812
MRVL,2026-09-08,09:46,226.175,226.25,225.27,225.64,55880
MRVL,2026-09-08,09:47,225.665,225.9498,225.25,225.335,47449
MRVL,2026-09-08,09:48,225.47,225.6,225.09,225.44,48872
MRVL,2026-09-08,09:49,225.5,225.98,225.306,225.772,73660
MRVL,2026-09-08,09:50,225.73,225.84,224.5,224.8501,77362
MRVL,2026-09-08,09:51,225.06,225.09,224.03,224.6601,175838
MRVL,2026-09-08,09:52,224.66,224.705,223.25,223.485,113169
MRVL,2026-09-08,09:53,223.495,223.5352,222.53,223.005,116117
MRVL,2026-09-08,09:54,223.005,223.8,222.83,223.75,55386
MRVL,2026-09-08,09:55,223.715,224.65,223.48,224.3,62977
MRVL,2026-09-08,09:56,224.275,224.68,224.17,224.65,84857
MRVL,2026-09-08,09:57,224.77,224.8399,224.135,224.15,84813
MRVL,2026-09-08,09:58,224.1,224.715,223.55,224.7012,100277
MRVL,2026-09-08,09:59,224.715,224.77,224.25,224.29,46485
MRVL,2026-09-08,10:00,224.3,224.455,223.56,223.83,104042
MRVL,2026-09-08,10:01,223.87,224.35,223.61,224.185,83543
MRVL,2026-09-08,10:02,224.1,224.4677,223.75,224.46,66776
MRVL,2026-09-08,10:03,224.35,224.73,224.1675,224.7,77518
MRVL,2026-09-08,10:04,224.675,224.73,224.25,224.53,47107
MRVL,2026-09-08,10:05,224.41,224.87,224.24,224.615,83576
MRVL,2026-09-08,10:06,224.695,224.85,224.4,224.6999,28652
MRVL,2026-09-08,10:07,224.4,224.795,224.16,224.69,35259
MRVL,2026-09-08,10:08,224.575,224.8,224.33,224.33,30863
MRVL,2026-09-08,10:09,224.4,224.8005,224.1901,224.36,38003
MRVL,2026-09-08,10:10,224.21,224.645,224.1756,224.57,35753
MRVL,2026-09-08,10:11,224.54,225.16,224.39,224.69,77186
MRVL,2026-09-08,10:12,224.73,225.37,224.7165,225.37,64719
MRVL,2026-09-08,10:13,225.38,225.5971,225.1,225.51,62351
MRVL,2026-09-08,10:14,225.535,225.59,224.96,225.115,68409
MRVL,2026-09-08,10:15,225.135,225.65,225.0301,225.51,32513
MRVL,2026-09-08,10:16,225.525,226.1209,225.44,226.05,58918
MRVL,2026-09-08,10:17,226,226.49,225.93,226.3,62528
MRVL,2026-09-08,10:18,226.3,226.5,226,226.4,64739
MRVL,2026-09-08,10:19,226.3431,226.53,225.89,226.145,73483
MRVL,2026-09-08,10:20,226.145,226.545,226.0667,226.545,46502
MRVL,2026-09-08,10:21,226.545,227.4499,226.48,227.31,90432
MRVL,2026-09-08,10:22,227.31,227.68,227.04,227.565,80250
MRVL,2026-09-08,10:23,227.565,228.22,227.33,228.16,80288
