symbol,date,time,open,high,low,close,volume
RBLX,2026-09-08,09:30,44.56,45.09,44.43,44.73,565152
RBLX,2026-09-08,09:31,44.6735,44.845,43.821,43.821,186268
RBLX,2026-09-08,09:32,43.87,43.87,43.5,43.64,44902
RBLX,2026-09-08,09:33,43.61,43.7,43.38,43.565,28454
RBLX,2026-09-08,09:34,43.59,44.09,43.5001,44.09,37285
RBLX,2026-09-08,09:35,44.09,44.26,43.88,43.88,69125
RBLX,2026-09-08,09:36,43.865,43.89,43.27,43.285,49982
RBLX,2026-09-08,09:37,43.29,43.42,43.18,43.2701,36247
RBLX,2026-09-08,09:38,43.24,43.5,43.1925,43.49,33577
RBLX,2026-09-08,09:39,43.54,43.765,43.41,43.635,36089
RBLX,2026-09-08,09:40,43.635,43.69,43.5,43.63,45055
RBLX,2026-09-08,09:41,43.63,43.87,43.57,43.675,35252
RBLX,2026-09-08,09:42,43.67,44.06,43.6278,43.97,51086
RBLX,2026-09-08,09:43,44,44,43.835,43.92,13024
RBLX,2026-09-08,09:44,43.925,43.925,43.57,43.57,50642
RBLX,2026-09-08,09:45,43.54,43.61,43.39,43.44,28548
RBLX,2026-09-08,09:46,43.44,43.59,43.43,43.56,14145
RBLX,2026-09-08,09:47,43.515,43.67,43.46,43.6499,30205
RBLX,2026-09-08,09:48,43.61,43.73,43.57,43.59,33879
RBLX,2026-09-08,09:49,43.58,43.66,43.56,43.615,13590
RBLX,2026-09-08,09:50,43.64,43.65,43.54,43.565,28628
RBLX,2026-09-08,09:51,43.54,43.61,43.4283,43.6,13075
RBLX,2026-09-08,09:52,43.594,43.75,43.54,43.69,30954
RBLX,2026-09-08,09:53,43.66,43.675,43.53,43.65,28271
RBLX,2026-09-08,09:54,43.69,43.95,43.65,43.95,28292
RBLX,2026-09-08,09:55,43.9424,44.1432,43.93,44.009,28407
RBLX,2026-09-08,09:56,44.03,44.07,43.9,44.05,22942
RBLX,2026-09-08,09:57,44.08,44.23,44.055,44.2,29006
RBLX,2026-09-08,09:58,44.2,44.2,44.08,44.1786,60613
RBLX,2026-09-08,09:59,44.185,44.23,44.0017,44.21,36887
RBLX,2026-09-08,10:00,44.215,44.4,44.2,44.305,45716
RBLX,2026-09-08,10:01,44.31,44.31,44.12,44.145,42850
RBLX,2026-09-08,10:02,44.17,44.27,44.13,44.135,27510
RBLX,2026-09-08,10:03,44.16,44.32,44.16,44.16,22867
RBLX,2026-09-08,10:04,44.14,44.225,44.07,44.225,12863
RBLX,2026-09-08,10:05,44.21,44.245,44.06,44.085,29105
RBLX,2026-09-08,10:06,44.08,44.215,44.01,44.17,40139
RBLX,2026-09-08,10:07,44.17,44.205,44.06,44.065,17402
RBLX,2026-09-08,10:08,44.065,44.16,44.065,44.135,35154
RBLX,2026-09-08,10:09,44.13,44.16,44.0142,44.035,19870
RBLX,2026-09-08,10:10,44.03,44.135,44.03,44.085,17796
RBLX,2026-09-08,10:11,44.085,44.11,43.975,44,30805
RBLX,2026-09-08,10:12,44,44.05,43.82,44,60651
RBLX,2026-09-08,10:13,44.01,44.045,43.95,43.96,34181
RBLX,2026-09-08,10:14,44,44,43.855,43.9,16196
RBLX,2026-09-08,10:15,43.905,44.07,43.8915,44.035,20692
RBLX,2026-09-08,10:16,44.07,44.115,43.945,44.04,29548
RBLX,2026-09-08,10:17,44.05,44.07,43.985,44,17382
RBLX,2026-09-08,10:18,44,44.0115,43.93,43.99,13912
RBLX,2026-09-08,10:19,43.99,44.02,43.93,43.93,15255
RBLX,2026-09-08,10:20,43.93,43.98,43.905,43.98,7897
RBLX,2026-09-08,10:21,43.995,44.02,43.96,44.015,17702
RBLX,2026-09-08,10:22,44.0253,44.03,43.92,44.005,21108
RBLX,2026-09-08,10:23,44.005,44.01,43.95,43.97,11499
RBLX,2026-09-08,10:24,43.97,43.97,43.9,43.93,14234
RBLX,2026-09-08,10:25,43.94,44,43.91,43.91,12958
RBLX,2026-09-08,10:26,43.93,43.94,43.885,43.93,12367
RBLX,2026-09-08,10:27,43.925,43.925,43.86,43.9,20760
RBLX,2026-09-08,10:28,43.9,43.94,43.8,43.89,22292
RBLX,2026-09-08,10:29,43.916,43.95,43.85,43.85,18329
RBLX,2026-09-08,10:30,43.86,43.885,43.85,43.86,10755
RBLX,2026-09-08,10:31,43.86,43.925,43.85,43.85,25396
RBLX,2026-09-08,10:32,43.855,43.925,43.855,43.925,5984
RBLX,2026-09-08,10:33,43.93,43.95,43.88,43.91,16525
RBLX,2026-09-08,10:34,43.93,44.22,43.9,44.05,119168
RBLX,2026-09-08,10:35,44.05,44.085,43.97,44.085,16897
RBLX,2026-09-08,10:36,44.085,44.205,44.05,44.2,23975
RBLX,2026-09-08,10:37,44.2,44.31,44.18,44.24,39480
RBLX,2026-09-08,10:38,44.22,44.39,44.21,44.36,23982
RBLX,2026-09-08,10:39,44.36,44.39,44.265,44.355,20508
RBLX,2026-09-08,10:40,44.355,44.46,44.34,44.455,26975
RBLX,2026-09-08,10:41,44.455,44.5193,44.39,44.51,22985
RBLX,2026-09-08,10:42,44.5028,44.5173,44.28,44.34,59241
RBLX,2026-09-08,10:43,44.34,44.49,44.335,44.49,12632
RBLX,2026-09-08,10:44,44.5,44.5,44.435,44.45,23005
RBLX,2026-09-08,10:45,44.45,44.54,44.385,44.385,41206
RBLX,2026-09-08,10:46,44.42,44.49,44.35,44.49,29209
RBLX,2026-09-08,10:47,44.49,44.64,44.435,44.61,47575
RBLX,2026-09-08,10:48,44.63,44.66,44.53,44.64,132150
RBLX,2026-09-08,10:49,44.64,44.765,44.58,44.735,28309
RBLX,2026-09-08,10:50,44.76,44.84,44.72,44.76,48498
RBLX,2026-09-08,10:51,44.75,44.91,44.75,44.86,45003
RBLX,2026-09-08,10:52,44.835,44.93,44.74,44.9025,27263
RBLX,2026-09-08,10:53,44.905,44.97,44.87,44.96,40312
RBLX,2026-09-08,10:54,44.96,44.96,44.79,44.79,30696
RBLX,2026-09-08,10:55,44.7562,44.94,44.75,44.855,35336
RBLX,2026-09-08,10:56,44.855,44.855,44.79,44.825,17109
RBLX,2026-09-08,10:57,44.81,44.81,44.73,44.75,20886
RBLX,2026-09-08,10:58,44.76,44.79,44.69,44.71,24397
RBLX,2026-09-08,10:59,44.72,44.73,44.6,44.68,26868
RBLX,2026-09-08,11:00,44.69,44.7,44.59,44.605,11873
RBLX,2026-09-08,11:01,44.605,44.67,44.56,44.625,34137
RBLX,2026-09-08,11:02,44.625,44.65,44.51,44.635,38495
RBLX,2026-09-08,11:03,44.65,44.79,44.65,44.745,26448
RBLX,2026-09-08,11:04,44.75,44.96,44.73,44.94,50187
RBLX,2026-09-08,11:05,44.94,45.0382,44.89,44.915,53817
RBLX,2026-09-08,11:06,44.91,44.98,44.88,44.9,42063
RBLX,2026-09-08,11:07,44.9,44.91,44.845,44.88,19951
RBLX,2026-09-08,11:08,44.87,44.87,44.82,44.845,10922
RBLX,2026-09-08,11:09,44.855,44.88,44.72,44.75,19917
RBLX,2026-09-08,11:10,44.74,44.87,44.73,44.87,48008
RBLX,2026-09-08,11:11,44.87,44.8946,44.8,44.81,24170
RBLX,2026-09-08,11:12,44.805,44.86,44.78,44.85,26369
RBLX,2026-09-08,11:13,44.85,44.98,44.85,44.955,21540
RBLX,2026-09-08,11:14,44.97,44.97,44.83,44.83,44571
RBLX,2026-09-08,11:15,44.8101,44.872,44.795,44.87,8753
RBLX,2026-09-08,11:16,44.88,44.88,44.81,44.845,23331
RBLX,2026-09-08,11:17,44.85,44.86,44.615,44.71,49470
RBLX,2026-09-08,11:18,44.71,44.8,44.7,44.71,29655
RBLX,2026-09-08,11:19,44.715,44.745,44.65,44.69,25888
RBLX,2026-09-08,11:20,44.7,44.7,44.625,44.6448,22552
RBLX,2026-09-08,11:21,44.64,44.69,44.61,44.67,13334
RBLX,2026-09-08,11:22,44.6521,44.6521,44.565,44.57,13316
RBLX,2026-09-08,11:23,44.57,44.72,44.53,44.67,22230
RBLX,2026-09-08,11:24,44.675,44.765,44.65,44.75,16492
RBLX,2026-09-08,11:25,44.745,44.9,44.745,44.87,10757
RBLX,2026-09-08,11:26,44.9,44.92,44.87,44.89,11197
RBLX,2026-09-08,11:27,44.89,44.92,44.85,44.88,13499
RBLX,2026-09-08,11:28,44.885,44.91,44.83,44.85,21311
RBLX,2026-09-08,11:29,44.86,44.86,44.75,44.775,14760
RBLX,2026-09-08,11:30,44.775,44.83,44.775,44.8,9454
