key,trades,wins,losses,winRate,expectancyR,pf
ABBV,1,1,0,100,0.45,
ADBE,1,0,1,0,-1,0
ADI,1,1,0,100,0.69,
AMT,3,0,3,0,-1,0
APH,2,2,0,100,2.5,
APP,4,2,2,50,-0.338,0.32
AXP,3,1,2,33.3,-0.587,0.12
BKNG,6,1,5,16.7,-0.16,0.77
BMY,1,1,0,100,5,
BRK-B,3,1,2,33.3,-0.48,0.28
BSX,1,1,0,100,0.04,
C,1,1,0,100,1.94,
CAT,2,0,2,0,-1,0
CME,1,0,1,0,-1,0
CSCO,1,0,1,0,-1,0
CVX,2,1,1,50,0.87,2.74
DE,2,0,2,0,-1,0
FISV,1,0,1,0,-1,0
GE,2,1,1,50,0.19,1.38
GILD,1,0,1,0,-1,0
HD,1,0,1,0,-1,0
ICE,3,1,2,33.3,-0.183,0.72
JNJ,1,0,1,0,-1,0
JPM,1,0,1,0,-1,0
KO,1,0,1,0,-1,0
LLY,1,0,1,0,-1,0
LOW,4,3,1,75,0.943,4.77
LRCX,1,1,0,100,0.9,
MA,2,1,1,50,0.255,1.51
MCD,2,2,0,100,1.785,
MDLZ,1,0,1,0,-1,0
MDT,1,0,1,0,-1,0
MRK,1,0,1,0,-1,0
MRVL,1,1,0,100,1.68,
MS,2,0,2,0,-1,0
NEE,1,0,1,0,-1,0
NOW,3,0,3,0,-1,0
PG,1,0,1,0,-1,0
PGR,2,1,1,50,0.895,2.79
PLD,2,1,1,50,0.095,1.19
PM,1,0,1,0,-1,0
RBLX,1,1,0,100,2.32,
SCHW,2,1,1,50,0.5,2
T,1,0,1,0,-1,0
TJX,1,0,1,0,-1,0
TMUS,2,0,2,0,-0.845,0
TXN,3,1,2,33.3,-0.113,0.83
VRTX,1,1,0,100,1.22,
VZ,2,2,0,100,2.665,
WMT,2,0,2,0,-1,0
XOM,2,0,2,0,-1,0
