symbol,date,source_rows,rth_bars,duplicates,missing_minutes,missing_list,malformed,ohlc_violations,zero_volume_rth,out_of_session,rows_1600,first,last,status
"ABBV","2026-09-01",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"ABBV","2026-09-02",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"ABBV","2026-09-03",391,390,0,0,"",0,0,7,0,1,"09:30","16:00","COMPLETE"
"ABBV","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"ABT","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ABT","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ABT","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"ABT","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"ADBE","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ADBE","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ADBE","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"ADBE","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"ADI","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ADI","2026-09-02",390,390,0,0,"",0,0,2,0,0,"09:30","15:59","COMPLETE"
"ADI","2026-09-03",391,390,0,0,"",0,0,8,0,1,"09:30","16:00","COMPLETE"
"ADI","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"ADP","2026-09-01",390,390,0,0,"",0,0,39,0,0,"09:30","15:59","COMPLETE"
"ADP","2026-09-02",390,390,0,0,"",0,0,8,0,0,"09:30","15:59","COMPLETE"
"ADP","2026-09-03",391,390,0,0,"",0,0,53,0,1,"09:30","16:00","COMPLETE"
"ADP","2026-09-04",391,390,0,0,"",0,0,31,0,1,"09:30","16:00","COMPLETE"
"ALAB","2026-09-01",390,390,0,0,"",0,0,2,0,0,"09:30","15:59","COMPLETE"
"ALAB","2026-09-02",390,390,0,0,"",0,0,8,0,0,"09:30","15:59","COMPLETE"
"ALAB","2026-09-03",390,390,0,0,"",0,0,6,0,0,"09:30","15:59","COMPLETE"
"ALAB","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"AMGN","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AMGN","2026-09-02",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"AMGN","2026-09-03",391,390,0,0,"",0,0,5,0,1,"09:30","16:00","COMPLETE"
"AMGN","2026-09-04",391,390,0,0,"",0,0,3,0,1,"09:30","16:00","COMPLETE"
"AMT","2026-09-01",390,390,0,0,"",0,0,6,0,0,"09:30","15:59","COMPLETE"
"AMT","2026-09-02",390,390,0,0,"",0,0,10,0,0,"09:30","15:59","COMPLETE"
"AMT","2026-09-03",391,390,0,0,"",0,0,16,0,1,"09:30","16:00","COMPLETE"
"AMT","2026-09-04",391,390,0,0,"",0,0,9,0,1,"09:30","16:00","COMPLETE"
"APH","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APH","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APH","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"APH","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"APP","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APP","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APP","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"APP","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"ASML","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ASML","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ASML","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"ASML","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"AXP","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AXP","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AXP","2026-09-03",391,390,0,0,"",0,0,4,0,1,"09:30","16:00","COMPLETE"
"AXP","2026-09-04",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BAC","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BAC","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BAC","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BAC","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BKNG","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BKNG","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BKNG","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BKNG","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BLK","2026-09-01",390,390,0,0,"",0,0,30,0,0,"09:30","15:59","COMPLETE"
"BLK","2026-09-02",390,390,0,0,"",0,0,12,0,0,"09:30","15:59","COMPLETE"
