symbol,trades,wins,losses,winRate,expectancyR,totalR,pf
"ABBV",2,1,1,50,-0.275,-0.55,0.45
"ABNB",1,0,1,0,-1,-1,0
"ABT",2,1,1,50,-0.04,-0.08,0.92
"ADBE",2,0,2,0,-1,-2,0
"ADI",3,2,1,66.7,0.08,0.24,1.24
"ADP",4,2,2,50,0.355,1.42,1.71
"ALAB",1,1,0,100,1.25,1.25,"inf"
"AMD",1,0,1,0,-1,-1,0
"AMT",4,1,3,25,-0.025,-0.1,0.97
"APH",2,2,0,100,2.5,5,"inf"
"APP",4,3,1,75,0.255,1.02,2.02
"ASML",1,1,0,100,1.38,1.38,"inf"
"AXP",4,1,3,25,-0.69,-2.76,0.08
"BAC",3,2,1,66.7,0.7,2.1,8
"BKNG",6,1,5,16.7,-0.308,-1.85,0.63
"BLK",4,2,2,50,-0.017,-0.07,0.97
"BMY",2,1,1,50,2,4,5
"BRK-B",4,1,3,25,-0.61,-2.44,0.19
"BSX",1,1,0,100,0.04,0.04,"inf"
"BX",1,1,0,100,0.9,0.9,"inf"
"C",1,1,0,100,1.94,1.94,"inf"
"CAT",4,1,3,25,-0.698,-2.79,0.07
"CB",2,0,2,0,-1,-2,0
"CME",3,1,2,33.3,-0.17,-0.51,0.74
"COIN",2,1,1,50,-0.46,-0.92,0.08
"COST",1,0,1,0,-1,-1,0
"CRDO",2,1,1,50,0.105,0.21,1.21
"CRM",4,3,1,75,0.932,3.73,4.73
"CRWD",1,1,0,100,1.75,1.75,"inf"
"CSCO",4,3,1,75,1.642,6.57,7.57
"CVX",4,1,3,25,-0.065,-0.26,0.91
"DDOG",2,0,2,0,-1,-2,0
"DE",3,1,2,33.3,-0.15,-0.45,0.78
"DUK",3,2,1,66.7,0.79,2.37,3.37
"FISV",2,0,2,0,-1,-2,0
"GE",5,2,3,40,-0.118,-0.59,0.8
"GILD",1,0,1,0,-1,-1,0
"HD",3,0,3,0,-1,-3,0
"HON",1,1,0,100,2.04,2.04,"inf"
"HOOD",4,3,1,75,0.77,3.08,4.08
"ICE",4,1,3,25,-0.388,-1.55,0.48
"INTC",1,0,1,0,-1,-1,0
"INTU",2,0,2,0,-1,-2,0
"ISRG",1,0,1,0,-1,-1,0
"JNJ",2,1,1,50,-0.05,-0.1,0.9
"JPM",2,1,1,50,0.37,0.74,1.74
"KLAC",5,4,1,80,0.87,4.35,5.35
"KO",2,0,2,0,-1,-2,0
"LIN",1,0,1,0,-1,-1,0
"LLY",1,0,1,0,-1,-1,0
"LMT",1,1,0,100,0.09,0.09,"inf"
"LOW",4,3,1,75,0.943,3.77,4.77
"LRCX",2,1,1,50,0.93,1.86,2.86
"MA",2,1,1,50,0.3,0.6,1.6
"MCD",5,4,1,80,1.102,5.51,6.51
"MDLZ",7,1,6,14.3,-0.7,-4.9,0.18
"MDT",1,0,1,0,-1,-1,0
"META",1,0,1,0,-1,-1,0
"MRK",1,0,1,0,-1,-1,0
"MRSH",2,0,2,0,-1,-2,0
"MRVL",1,1,0,100,1.68,1.68,"inf"
"MS",2,0,2,0,-1,-2,0
"MU",4,3,1,75,1.228,4.91,16.34
"NEE",3,1,2,33.3,-0.177,-0.53,0.73
"NFLX",2,1,1,50,0.135,0.27,1.27
"NOW",6,1,5,16.7,-0.195,-1.17,0.71
"ORCL",2,2,0,100,1.315,2.63,"inf"
"PANW",3,2,1,66.7,0.457,1.37,2.37
"PEP",3,2,1,66.7,0.687,2.06,3.06
"PG",2,1,1,50,0.125,0.25,1.25
"PGR",5,3,2,60,0.738,3.69,2.84
"PLD",2,1,1,50,0.095,0.19,1.19
"PLTR",1,0,1,0,-1,-1,0
"PM",2,0,2,0,-1,-2,0
"QCOM",3,1,2,33.3,-0.06,-0.18,0.91
"RBLX",4,1,3,25,-0.023,-0.09,0.96
"SCHW",3,2,1,66.7,0.9,2.7,3.7
"SMCI",3,1,2,33.3,0.06,0.18,1.15
"SNOW",1,0,1,0,-1,-1,0
"SO",1,0,1,0,-1,-1,0
"T",1,1,0,100,1.57,1.57,"inf"
"TJX",3,1,2,33.3,-0.263,-0.79,0.6
"TMUS",4,1,3,25,-0.52,-2.08,0.23
"TSLA",1,1,0,100,0.13,0.13,"inf"
"TSM",2,1,1,50,0.115,0.23,1.23
"TXN",3,1,2,33.3,-0.113,-0.34,0.83
"UBER",2,0,2,0,-1,-2,0
"UNH",1,0,1,0,-1,-1,0
"UNP",1,0,1,0,-1,-1,0
"V",2,2,0,100,1.455,2.91,"inf"
"VRTX",1,1,0,100,1.22,1.22,"inf"
"VZ",2,1,1,50,1.855,3.71,4.71
"WFC",2,0,2,0,-1,-2,0
"WMT",4,1,3,25,-0.718,-2.87,0.04
"XOM",1,0,1,0,-1,-1,0
