symbol,date,source_rows,rth_bars,duplicates,missing_minutes,missing_list,malformed,ohlc_violations,zero_volume_rth,out_of_session,rows_1600,first,last,status
"ABBV","2026-08-28",388,388,0,2,"12:34 12:37",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"ABBV","2026-08-31",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"ABBV","2026-09-01",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"ABBV","2026-09-02",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"ABBV","2026-09-03",391,390,0,0,"",0,0,7,0,1,"09:30","16:00","COMPLETE"
"ABBV","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"ABNB","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ABNB","2026-09-01",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"ABNB","2026-09-02",390,390,0,0,"",0,0,3,0,0,"09:30","15:59","COMPLETE"
"ABNB","2026-09-03",390,390,0,0,"",0,0,2,0,0,"09:30","15:59","COMPLETE"
"ABNB","2026-09-04",391,390,0,0,"",0,0,9,0,1,"09:30","16:00","COMPLETE"
"ABT","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ABT","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ABT","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ABT","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ABT","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"ABT","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"ADBE","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ADBE","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ADBE","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ADBE","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ADBE","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"ADBE","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"ADI","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ADI","2026-08-31",390,390,0,0,"",0,0,3,0,0,"09:30","15:59","COMPLETE"
"ADI","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ADI","2026-09-02",390,390,0,0,"",0,0,2,0,0,"09:30","15:59","COMPLETE"
"ADI","2026-09-03",391,390,0,0,"",0,0,8,0,1,"09:30","16:00","COMPLETE"
"ADI","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"ADP","2026-08-28",346,346,0,44,"09:33 09:34 09:36 09:54 09:59",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"ADP","2026-08-31",390,390,0,0,"",0,0,96,0,0,"09:30","15:59","COMPLETE"
"ADP","2026-09-01",390,390,0,0,"",0,0,39,0,0,"09:30","15:59","COMPLETE"
"ADP","2026-09-02",390,390,0,0,"",0,0,8,0,0,"09:30","15:59","COMPLETE"
"ADP","2026-09-03",391,390,0,0,"",0,0,53,0,1,"09:30","16:00","COMPLETE"
"ADP","2026-09-04",391,390,0,0,"",0,0,31,0,1,"09:30","16:00","COMPLETE"
"ALAB","2026-08-31",390,390,0,0,"",0,0,25,0,0,"09:30","15:59","COMPLETE"
"ALAB","2026-09-01",390,390,0,0,"",0,0,2,0,0,"09:30","15:59","COMPLETE"
"ALAB","2026-09-02",390,390,0,0,"",0,0,8,0,0,"09:30","15:59","COMPLETE"
"ALAB","2026-09-03",390,390,0,0,"",0,0,6,0,0,"09:30","15:59","COMPLETE"
"ALAB","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"AMD","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AMD","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AMD","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AMD","2026-09-02",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"AMD","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"AMD","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"AMGN","2026-08-28",388,388,0,2,"13:04 13:47",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"AMGN","2026-08-31",390,390,0,0,"",0,0,7,0,0,"09:30","15:59","COMPLETE"
"AMGN","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AMGN","2026-09-02",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"AMGN","2026-09-03",391,390,0,0,"",0,0,5,0,1,"09:30","16:00","COMPLETE"
"AMGN","2026-09-04",391,390,0,0,"",0,0,3,0,1,"09:30","16:00","COMPLETE"
"AMT","2026-08-28",384,384,0,6,"10:53 11:19 11:50 12:25 13:04",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"AMT","2026-08-31",390,390,0,0,"",0,0,7,0,0,"09:30","15:59","COMPLETE"
"AMT","2026-09-01",390,390,0,0,"",0,0,6,0,0,"09:30","15:59","COMPLETE"
"AMT","2026-09-02",390,390,0,0,"",0,0,10,0,0,"09:30","15:59","COMPLETE"
"AMT","2026-09-03",391,390,0,0,"",0,0,16,0,1,"09:30","16:00","COMPLETE"
"AMT","2026-09-04",391,390,0,0,"",0,0,9,0,1,"09:30","16:00","COMPLETE"
"ANET","2026-08-28",388,388,0,2,"14:28 14:31",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"ANET","2026-08-31",390,390,0,0,"",0,0,3,0,0,"09:30","15:59","COMPLETE"
"ANET","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ANET","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ANET","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"ANET","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"APH","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APH","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APH","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APH","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APH","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"APH","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"APP","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APP","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APP","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"APP","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"APP","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"ARM","2026-08-31",390,390,0,0,"",0,0,6,0,0,"09:30","15:59","COMPLETE"
"ARM","2026-09-01",390,390,0,0,"",0,0,9,0,0,"09:30","15:59","COMPLETE"
"ARM","2026-09-02",390,390,0,0,"",0,0,9,0,0,"09:30","15:59","COMPLETE"
"ARM","2026-09-03",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"ARM","2026-09-04",391,390,0,0,"",0,0,5,0,1,"09:30","16:00","COMPLETE"
"ASML","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ASML","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ASML","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ASML","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"ASML","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"AVGO","2026-08-27",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AVGO","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AVGO","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AVGO","2026-09-01",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"AVGO","2026-09-02",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"AVGO","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"AVGO","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"AXP","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AXP","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AXP","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AXP","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"AXP","2026-09-03",391,390,0,0,"",0,0,4,0,1,"09:30","16:00","COMPLETE"
"AXP","2026-09-04",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BAC","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BAC","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BAC","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BAC","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BAC","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BAC","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BKNG","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BKNG","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BKNG","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BKNG","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BKNG","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BKNG","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BLK","2026-08-28",374,374,0,16,"09:52 09:54 10:15 10:19 10:28",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"BLK","2026-08-31",390,390,0,0,"",0,0,61,0,0,"09:30","15:59","COMPLETE"
"BLK","2026-09-01",390,390,0,0,"",0,0,30,0,0,"09:30","15:59","COMPLETE"
"BLK","2026-09-02",390,390,0,0,"",0,0,12,0,0,"09:30","15:59","COMPLETE"
"BLK","2026-09-03",391,390,0,0,"",0,0,56,0,1,"09:30","16:00","COMPLETE"
"BLK","2026-09-04",392,390,1,0,"",0,0,85,0,1,"09:30","16:00","COMPLETE"
"BMY","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BMY","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BMY","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BMY","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BMY","2026-09-03",391,390,0,0,"",0,0,3,0,1,"09:30","16:00","COMPLETE"
"BMY","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BRK-B","2026-08-27",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BRK-B","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BRK-B","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BRK-B","2026-09-01",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BRK-B","2026-09-02",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BRK-B","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"BRK-B","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BSX","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BSX","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BSX","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BSX","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BSX","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BSX","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BX","2026-08-28",385,385,0,5,"10:51 12:34 12:48 13:49 14:22",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"BX","2026-08-31",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"BX","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BX","2026-09-02",390,390,0,0,"",0,0,6,0,0,"09:30","15:59","COMPLETE"
"BX","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BX","2026-09-04",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"C","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"C","2026-08-31",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"C","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
