symbol,date,time,open,high,low,close,volume
CRDO,2026-08-31,09:30,232,235.9799,231.22,234.26,157546
CRDO,2026-08-31,09:31,233,235.5,232.52,235.5,11572
CRDO,2026-08-31,09:32,235.5718,237.54,234.69,236.7899,16645
CRDO,2026-08-31,09:33,236.05,238.3948,235.73,238,17421
CRDO,2026-08-31,09:34,237.25,238.03,236.51,237.37,13049
CRDO,2026-08-31,09:35,237.37,238.18,236.27,236.27,20811
CRDO,2026-08-31,09:36,235.3205,235.83,234.8,234.84,17749
CRDO,2026-08-31,09:37,234.51,236.095,233.84,234.625,16306
CRDO,2026-08-31,09:38,234.625,235.115,232.82,232.82,9360
CRDO,2026-08-31,09:39,232.72,233.8794,231.68,232.13,9236
CRDO,2026-08-31,09:40,232.125,232.689,231.5,232.686,10662
CRDO,2026-08-31,09:41,232.72,232.72,231.72,231.885,8079
CRDO,2026-08-31,09:42,231.895,233.87,231.895,232.73,22252
CRDO,2026-08-31,09:43,232.73,233.445,232.73,233.1083,5913
CRDO,2026-08-31,09:44,233.325,233.325,232.89,232.94,3531
CRDO,2026-08-31,09:45,232.56,234.2,232.08,233.54,10154
CRDO,2026-08-31,09:46,233.64,234.22,233.43,233.95,3687
CRDO,2026-08-31,09:47,233.0301,234.24,233.0301,233.84,10587
CRDO,2026-08-31,09:48,233.95,233.95,232.25,232.86,11075
CRDO,2026-08-31,09:49,233.385,233.385,231.18,233.06,15372
CRDO,2026-08-31,09:50,232.71,233.2,232.565,232.565,6593
CRDO,2026-08-31,09:51,232.56,234.36,232.56,234.36,7866
CRDO,2026-08-31,09:52,234.03,234.03,233,233,4682
CRDO,2026-08-31,09:53,233.105,234,232.85,233.84,7750
CRDO,2026-08-31,09:54,233.4,233.89,233.16,233.89,7116
CRDO,2026-08-31,09:55,233.59,234.18,233.45,234.18,3874
CRDO,2026-08-31,09:56,233.6499,234.13,233.25,233.25,6483
CRDO,2026-08-31,09:57,233.18,233.18,232.89,232.89,1529
CRDO,2026-08-31,09:58,233.1,233.1,232.48,232.71,4199
CRDO,2026-08-31,09:59,232.51,232.8,231.61,231.82,4900
CRDO,2026-08-31,10:00,232.21,232.47,232.1,232.41,4618
CRDO,2026-08-31,10:01,232.5727,232.89,231.925,231.925,17966
CRDO,2026-08-31,10:02,231.76,232.1,230.62,230.91,17333
CRDO,2026-08-31,10:03,230.63,230.88,230.36,230.58,4591
CRDO,2026-08-31,10:04,230.4,230.77,230.1526,230.67,5810
CRDO,2026-08-31,10:05,230.64,231.74,230.4389,231.705,12894
CRDO,2026-08-31,10:06,231.075,231.075,230.6,230.77,4227
CRDO,2026-08-31,10:07,230.3848,230.89,230.3848,230.825,5100
CRDO,2026-08-31,10:08,230.26,230.9999,230.26,230.9999,2684
CRDO,2026-08-31,10:09,230.57,230.71,230.29,230.51,6014
CRDO,2026-08-31,10:10,230.56,230.845,230.56,230.845,4662
CRDO,2026-08-31,10:11,231.25,231.47,230.84,230.85,7249
CRDO,2026-08-31,10:12,230.64,230.76,230.52,230.555,4613
CRDO,2026-08-31,10:13,230.62,230.8493,230.38,230.5,4031
CRDO,2026-08-31,10:14,230.51,231.04,230.51,230.56,8802
CRDO,2026-08-31,10:15,230.38,230.76,230.23,230.49,8314
CRDO,2026-08-31,10:16,230.5895,230.72,230.2494,230.695,6567
CRDO,2026-08-31,10:17,230.6597,230.7,230.6597,230.69,1884
CRDO,2026-08-31,10:18,230.705,231.68,230.705,230.9,8434
CRDO,2026-08-31,10:19,231.31,231.57,231.31,231.57,1535
CRDO,2026-08-31,10:20,231.455,231.505,230.75,231.165,9628
CRDO,2026-08-31,10:21,231.385,231.7,231.38,231.67,14095
CRDO,2026-08-31,10:22,231.67,232.09,231,231,8206
CRDO,2026-08-31,10:23,230.38,230.38,230,230.25,15088
CRDO,2026-08-31,10:24,229.99,230.05,229.85,230.05,7413
CRDO,2026-08-31,10:25,229.7,230.49,229.7,230.05,1918
CRDO,2026-08-31,10:26,230.055,230.28,229.45,229.705,11674
CRDO,2026-08-31,10:27,229.64,229.64,228.85,228.85,18978
CRDO,2026-08-31,10:28,228.7101,229.69,228.7101,229.69,11353
CRDO,2026-08-31,10:29,229.68,229.68,228.74,228.9,10843
CRDO,2026-08-31,10:30,228.95,229.555,228.7855,228.9,13872
CRDO,2026-08-31,10:31,228.8959,229.185,228.06,228.91,12062
CRDO,2026-08-31,10:32,228.55,229.03,228.338,228.65,8521
CRDO,2026-08-31,10:33,228.64,229.59,228.64,229.41,10492
CRDO,2026-08-31,10:34,229.25,229.25,228.975,228.975,2821
CRDO,2026-08-31,10:35,228.62,228.955,228.62,228.955,2569
CRDO,2026-08-31,10:36,228.96,229.27,228.79,228.79,2896
CRDO,2026-08-31,10:37,229.02,229.3,229.02,229.2,3527
CRDO,2026-08-31,10:38,229.1,229.24,228.7701,228.885,4231
CRDO,2026-08-31,10:39,228.6515,229.385,228.6515,229.385,3309
CRDO,2026-08-31,10:40,229.345,230.16,229.345,229.89,7226
CRDO,2026-08-31,10:41,229.52,229.52,229.37,229.41,2753
CRDO,2026-08-31,10:42,229.7,229.75,229.5,229.75,4211
CRDO,2026-08-31,10:43,230.11,230.1299,229.82,229.845,4089
CRDO,2026-08-31,10:44,229.96,230,229.7,229.97,7702
CRDO,2026-08-31,10:45,229.97,229.97,229.05,229.05,4095
CRDO,2026-08-31,10:46,229.07,229.08,228.975,229,4927
CRDO,2026-08-31,10:47,228.9,229,228.36,228.41,10212
CRDO,2026-08-31,10:48,228.545,228.5575,228.1,228.28,7911
CRDO,2026-08-31,10:49,228.28,228.345,227.6731,227.955,20391
CRDO,2026-08-31,10:50,227.89,228.73,227.89,228.17,7034
CRDO,2026-08-31,10:51,228.545,228.555,227.51,227.83,10836
CRDO,2026-08-31,10:52,227.79,228.0284,227.65,227.735,3082
CRDO,2026-08-31,10:53,227.5299,227.64,227.0701,227.0701,11211
CRDO,2026-08-31,10:54,227.245,227.52,227.245,227.425,5470
CRDO,2026-08-31,10:55,227.455,228.03,227.455,227.975,8586
CRDO,2026-08-31,10:56,227.975,228.6499,227.975,228.26,3389
CRDO,2026-08-31,10:57,228.31,228.66,228.1,228.395,3315
CRDO,2026-08-31,10:58,228.51,228.66,228.365,228.405,8181
CRDO,2026-08-31,10:59,228.255,228.32,227.81,227.96,8165
CRDO,2026-08-31,11:00,228.12,229.05,227.87,228.76,5293
CRDO,2026-08-31,11:01,228.999,228.999,228.43,228.43,5228
CRDO,2026-08-31,11:02,228.34,228.49,228.27,228.32,136169
CRDO,2026-08-31,11:03,227.59,227.77,227.07,227.77,5015
CRDO,2026-08-31,11:04,227.8595,228.02,227.36,227.64,7555
CRDO,2026-08-31,11:05,227.52,227.95,227.23,227.95,6436
