symbol,date,time,open,high,low,close,volume
UBER,2026-08-31,09:30,78.17,78.2927,77.77,78.14,310444
UBER,2026-08-31,09:31,78.13,78.17,77.82,78,58375
UBER,2026-08-31,09:32,78.01,78.0199,77.81,77.81,38185
UBER,2026-08-31,09:33,77.8,77.85,77.5,77.575,55588
UBER,2026-08-31,09:34,77.565,77.75,77.5301,77.55,31500
UBER,2026-08-31,09:35,77.57,77.72,77.49,77.6517,78368
UBER,2026-08-31,09:36,77.61,77.65,77.4,77.42,48745
UBER,2026-08-31,09:37,77.44,77.595,77.31,77.31,53961
UBER,2026-08-31,09:38,77.28,77.29,77.1136,77.26,51320
UBER,2026-08-31,09:39,77.28,77.46,77.26,77.34,40674
UBER,2026-08-31,09:40,77.35,77.4226,77.0226,77.044,41660
UBER,2026-08-31,09:41,77.02,77.04,76.87,76.905,62019
UBER,2026-08-31,09:42,76.87,76.96,76.8,76.8734,42226
UBER,2026-08-31,09:43,76.85,76.895,76.75,76.78,35921
UBER,2026-08-31,09:44,76.79,76.98,76.79,76.87,35466
UBER,2026-08-31,09:45,76.875,76.93,76.78,76.8899,38828
UBER,2026-08-31,09:46,76.875,76.9499,76.81,76.845,20469
UBER,2026-08-31,09:47,76.845,76.91,76.67,76.69,130994
UBER,2026-08-31,09:48,76.6801,76.7899,76.42,76.44,96200
UBER,2026-08-31,09:49,76.455,76.51,76.19,76.28,86762
UBER,2026-08-31,09:50,76.27,76.38,76.24,76.31,75420
UBER,2026-08-31,09:51,76.31,76.34,76.185,76.2,49990
UBER,2026-08-31,09:52,76.2,76.23,76.095,76.165,51290
UBER,2026-08-31,09:53,76.165,76.17,75.81,75.8801,198150
UBER,2026-08-31,09:54,75.87,76,75.81,75.85,99852
UBER,2026-08-31,09:55,75.86,75.94,75.8,75.85,78172
UBER,2026-08-31,09:56,75.85,76.085,75.815,76.06,65996
UBER,2026-08-31,09:57,76.06,76.13,75.985,76.0503,40398
UBER,2026-08-31,09:58,76.05,76.085,75.91,75.96,39503
UBER,2026-08-31,09:59,75.95,76.01,75.86,76.0099,67617
UBER,2026-08-31,10:00,75.97,75.97,75.825,75.83,41642
UBER,2026-08-31,10:01,75.83,75.91,75.7556,75.82,92417
UBER,2026-08-31,10:02,75.835,75.9,75.79,75.8,52268
UBER,2026-08-31,10:03,75.7922,75.918,75.75,75.86,59968
UBER,2026-08-31,10:04,75.86,75.862,75.71,75.76,38415
UBER,2026-08-31,10:05,75.74,75.76,75.68,75.7,48011
UBER,2026-08-31,10:06,75.68,75.71,75.46,75.5,123085
UBER,2026-08-31,10:07,75.5,75.5,75.34,75.46,97079
