symbol,date,set,setupId,type,readyTime,entryTime,entryPrice,stop,t1,t2,exitTime,exitReason,mfeR,maeR,R,minutesHeld,quality,readyScore
"INTC","2026-08-28","BLIND","RECLAIM_CONTINUATION|VWAP@91.98|10:29","RECLAIM_CONTINUATION","10:33","10:34",92.14,91.84,93.17,93.7,"10:52","stop",2.53,-1.3,-1,18,"Good",6
"INTC","2026-08-28","BLIND","RECLAIM_CONTINUATION|VWAP@91.99|10:29","RECLAIM_CONTINUATION","10:37","10:38",92.34,91.84,93.17,93.7,"10:52","stop",1.12,-1.18,-1,14,"Good",6
"QCOM","2026-08-31","BLIND","RECLAIM_CONTINUATION|VWAP@168.37|12:41","RECLAIM_CONTINUATION","12:43","12:44",168.5,168.23,168.85,169,"13:02","stop",0.92,-1.09,-1,18,"Good",7
"QCOM","2026-08-31","BLIND","RECLAIM_CONTINUATION|VWAP@168.37|12:48","RECLAIM_CONTINUATION","12:51","12:52",168.58,168.2,169.27,169.29,"13:36","target1",2.03,-0.99,1.82,44,"Good",6
"QCOM","2026-09-02","BLIND","RECLAIM_CONTINUATION|שפל 14:29@169.56|14:53","RECLAIM_CONTINUATION","15:04","15:05",169.83,169.47,170.44,170.56,"15:16","stop",0.75,-1.06,-1,11,"Good",6
"PANW","2026-08-31","BLIND","RECLAIM_CONTINUATION|VWAP@377.22|13:35","RECLAIM_CONTINUATION","13:38","13:39",377.53,376.95,378.42,378.47,"13:45","target1",2.31,-0.59,1.53,6,"Neutral",6
"KLAC","2026-09-02","BLIND","RECLAIM_CONTINUATION|שפל 11:12@170.72|11:25","RECLAIM_CONTINUATION","11:36","11:37",171.15,170.51,172.16,172.58,"13:06","time",1.56,-0.5,1.19,89,"Good",6
"KLAC","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 15:12@171.91|15:19","RECLAIM_CONTINUATION","15:34","15:35",172.06,171.84,172.41,172.49,"15:44","target1",2.2,0,1.53,9,"Good",7
"KLAC","2026-09-04","BLIND","RECLAIM_CONTINUATION|שפל 14:14@185.14|14:42","RECLAIM_CONTINUATION","14:44","14:45",185.34,185.05,185.75,185.8,"14:51","stop",0.28,-1.67,-1,6,"Good",6
"KLAC","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@184.53|15:29","RECLAIM_CONTINUATION","15:32","15:33",185.05,184.34,186.12,186.28,"15:52","target1",1.54,-0.13,1.51,19,"Good",6
"KLAC","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@184.54|15:29","RECLAIM_CONTINUATION","15:36","15:37",185.64,184.33,187.3,187.34,"15:59","close",0.59,-0.26,-0.08,22,"Good",7
