symbol,date,set,setupId,type,readyTime,entryTime,entryPrice,stop,t1,t2,exitTime,exitReason,mfeR,maeR,R,minutesHeld,quality,readyScore
"CRDO","2026-09-04","BLIND","RECLAIM_CONTINUATION|שפל 13:51@169.86|13:46","RECLAIM_CONTINUATION","14:01","14:02",170.36,169.55,171.64,171.65,"15:10","stop",0.68,-1.16,-1,68,"Good",6
"DDOG","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@214.87|10:51","RECLAIM_CONTINUATION","10:53","10:54",215.37,214.55,216.35,216.63,"10:56","stop",0.28,-1.65,-1,2,"Good",6
"HOOD","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@105.09|09:55","RECLAIM_CONTINUATION","09:57","09:58",105.34,104.51,106.53,106.96,"10:35","target1",1.43,-0.81,1.43,37,"Neutral",6
"HOOD","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@105.15|10:12","RECLAIM_CONTINUATION","10:14","10:15",105.69,104.71,106.96,107.38,"10:19","stop",0.02,-1.04,-1,4,"Good",6
"HOOD","2026-09-02","BLIND","RECLAIM_CONTINUATION|שפל 13:56@105.81|14:02","RECLAIM_CONTINUATION","14:23","14:24",106.09,105.56,106.84,106.97,"15:24","target1",1.68,-0.13,1.42,60,"Good",6
"HOOD","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 12:31@122.67|12:45","RECLAIM_CONTINUATION","12:58","12:59",122.97,122.49,123.56,123.59,"13:35","target1",1.37,-0.81,1.23,36,"Good",6
"SMCI","2026-08-31","BLIND","RECLAIM_CONTINUATION|VWAP@37.14|15:42","RECLAIM_CONTINUATION","15:46","15:47",37.33,37.09,37.59,37.78,"15:59","close",0.49,-0.47,-0.19,12,"Good",7
"SMCI","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@36.1|10:40","RECLAIM_CONTINUATION","10:43","10:44",36.27,36.03,36.6,36.73,"11:21","target1",1.37,-0.42,1.37,37,"Neutral",6
"SMCI","2026-09-01","BLIND","RECLAIM_CONTINUATION|שפל 13:19@36.38|13:26","RECLAIM_CONTINUATION","13:40","13:41",36.46,36.37,36.59,36.61,"13:54","stop",0.39,-1,-1,13,"Good",6
"SNOW","2026-08-31","BLIND","RECLAIM_CONTINUATION|שפל 13:01@326.48|13:11","RECLAIM_CONTINUATION","13:23","13:24",327.36,326.07,329.12,332.65,"14:02","target1",1.66,-0.7,1.36,38,"Neutral",6
"UBER","2026-09-01","BLIND","RECLAIM_CONTINUATION|שפל 12:48@75.45|13:09","RECLAIM_CONTINUATION","13:11","13:12",75.54,75.4,76.11,75.89,"13:25","stop",0.5,-1.18,-1,13,"Good",8
"UBER","2026-09-02","BLIND","RECLAIM_CONTINUATION|שפל 12:55@76.81|13:12","RECLAIM_CONTINUATION","13:14","13:15",76.89,76.73,77.19,77.24,"13:40","stop",0.52,-1.06,-1,25,"Good",6
"UBER","2026-09-02","BLIND","RECLAIM_CONTINUATION|שפל 13:02@76.82|13:12","RECLAIM_CONTINUATION","13:28","13:29",76.91,76.73,77.19,77.24,"13:40","stop",0.28,-1.06,-1,11,"Good",7
