symbol,date,set,setupId,type,readyTime,entryTime,entryPrice,stop,t1,t2,exitTime,exitReason,mfeR,maeR,R,minutesHeld,quality,readyScore
"AMD","2026-08-28","DEV","RECLAIM_CONTINUATION|שפל 10:42@475.84|11:09","RECLAIM_CONTINUATION","11:12","11:13",476.47,475.39,477.84,478.75,"11:15","stop",0.61,-1.08,-1,2,"Good",6
"MSFT","2026-08-31","DEV","RECLAIM_CONTINUATION|VWAP@510.09|14:47","RECLAIM_CONTINUATION","14:50","14:51",510.33,509.91,510.74,510.8,"14:51","stop",0.1,-1.21,-1,0,"Good",6
"MSFT","2026-09-01","DEV","RECLAIM_CONTINUATION|VWAP@500.94|13:29","RECLAIM_CONTINUATION","13:37","13:38",501.26,500.57,502.37,502.84,"14:15","stop",1.17,-1.13,-1,37,"Good",6
"MSFT","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@496.66|15:39","RECLAIM_CONTINUATION","15:41","15:42",497.03,496.53,497.85,497.92,"15:56","stop",0.94,-1.3,-1,14,"Good",8
"AAPL","2026-08-28","DEV","RECLAIM_CONTINUATION|VWAP@319.42|15:13","RECLAIM_CONTINUATION","15:25","15:26",319.79,319.18,320.8,320.81,"15:59","close",0.89,-0.48,-0.25,33,"Good",7
"AAPL","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@326.14|10:05","RECLAIM_CONTINUATION","10:19","10:20",328.7,325.93,333.8,336.42,"11:49","time",0.76,-0.39,0.37,89,"Good",6
"META","2026-09-04","DEV","RECLAIM_CONTINUATION|VWAP@610.64|14:39","RECLAIM_CONTINUATION","14:42","14:43",611.37,610.36,612.77,612.96,"14:53","target1",2.21,-0.13,1.39,10,"Good",7
"AMZN","2026-08-26","DEV","RECLAIM_CONTINUATION|VWAP@260.2|11:08","RECLAIM_CONTINUATION","11:11","11:12",260.46,260.11,260.93,260.98,"11:13","target1",1.92,-0.08,1.37,1,"Good",7
"AMZN","2026-09-01","DEV","RECLAIM_CONTINUATION|VWAP@254.27|10:51","RECLAIM_CONTINUATION","10:55","10:56",254.69,254.11,255.66,255.82,"11:04","stop",0.09,-1.03,-1,8,"Good",6
"AMZN","2026-09-01","DEV","RECLAIM_CONTINUATION|VWAP@254.27|11:10","RECLAIM_CONTINUATION","11:12","11:13",254.53,254.07,255.28,255.66,"11:16","target1",1.68,-0.03,1.66,3,"Neutral",6
"AMZN","2026-09-01","DEV","RECLAIM_CONTINUATION|VWAP@254.42|12:56","RECLAIM_CONTINUATION","12:58","12:59",254.62,254.25,255.18,255.21,"13:02","stop",0.22,-1,-1,3,"Good",6
"GOOGL","2026-08-28","DEV","RECLAIM_CONTINUATION|VWAP@345.6|13:11","RECLAIM_CONTINUATION","13:16","13:17",346.06,345.34,347.67,348.08,"14:46","time",1.5,-0.47,1.13,89,"Good",6
"GOOGL","2026-09-01","DEV","RECLAIM_CONTINUATION|שפל 10:57@335.79|11:07","RECLAIM_CONTINUATION","11:22","11:23",336.15,335.7,336.72,336.78,"12:14","stop",0.87,-1.29,-1,51,"Good",7
"MU","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@942.92|13:10","RECLAIM_CONTINUATION","13:12","13:13",943.83,941.82,947.8,948.14,"13:45","target1",2.57,-0.11,1.98,32,"Good",6
"PLTR","2026-09-01","DEV","RECLAIM_CONTINUATION|VWAP@183.96|11:35","RECLAIM_CONTINUATION","11:43","11:44",184.39,183.83,185.55,186.2,"11:46","stop",0.38,-1.06,-1,2,"Good",7
"NFLX","2026-09-01","DEV","RECLAIM_CONTINUATION|VWAP@80.99|11:46","RECLAIM_CONTINUATION","11:49","11:50",81.06,80.94,81.82,82.13,"12:08","stop",0.65,-1.22,-1,18,"Good",8
"NFLX","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@82.18|13:39","RECLAIM_CONTINUATION","13:46","13:47",82.25,82.14,82.39,82.49,"13:57","target1",1.5,-0.18,1.27,10,"Strong",8
"ORCL","2026-08-31","DEV","RECLAIM_CONTINUATION|VWAP@148.88|10:50","RECLAIM_CONTINUATION","10:52","10:53",149.23,148.58,150.14,150.28,"11:07","target1",1.43,-0.15,1.4,14,"Neutral",6
"ORCL","2026-09-02","BLIND","RECLAIM_CONTINUATION|שפל 10:12@144.66|10:31","RECLAIM_CONTINUATION","10:35","10:36",144.96,144.44,145.6,146.05,"10:43","target1",1.37,-0.6,1.23,7,"Good",6
"CRM","2026-08-28","DEV","RECLAIM_CONTINUATION|VWAP@259.04|13:24","RECLAIM_CONTINUATION","13:29","13:30",259.38,259.04,259.87,260.17,"13:32","target1",1.52,0,1.42,2,"Good",6
"CRM","2026-08-28","DEV","RECLAIM_CONTINUATION|VWAP@259.2|15:09","RECLAIM_CONTINUATION","15:12","15:13",259.89,258.94,261.35,261.39,"15:23","stop",0.26,-1.59,-1,10,"Good",6
"CRM","2026-08-31","DEV","RECLAIM_CONTINUATION|VWAP@257.74|10:08","RECLAIM_CONTINUATION","10:13","10:14",258.08,257.3,259.75,260.24,"10:27","target1",2.62,-0.21,2.14,13,"Neutral",6
"CRM","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@265.19|13:29","RECLAIM_CONTINUATION","13:32","13:33",265.53,264.77,266.46,266.5,"14:09","target1",1.26,-0.49,1.22,36,"Good",6
