kind,item
"golden fixed","TSLA-G06"
"golden fixed","AMD-G04"
"golden fixed","AMD-G08"
"golden fixed","AMD-G09"
"golden broken","AMD-G07"
"READY added","10:08|PULLBACK_CONTINUATION@469.79"
"READY added","10:09|PULLBACK_CONTINUATION@469.79"
"READY added","10:10|PULLBACK_CONTINUATION@469.79"
"READY added","10:11|PULLBACK_CONTINUATION@469.79"
"READY added","10:12|PULLBACK_CONTINUATION@469.79"
"READY added","10:13|PULLBACK_CONTINUATION@469.79"
"READY added","10:14|PULLBACK_CONTINUATION@469.79"
"READY added","10:15|PULLBACK_CONTINUATION@469.79"
"READY added","10:16|PULLBACK_CONTINUATION@469.79"
"READY added","12:49|PULLBACK_CONTINUATION@473.51"
"READY added","12:50|PULLBACK_CONTINUATION@473.51"
"READY added","12:51|PULLBACK_CONTINUATION@473.51"
"READY added","12:52|PULLBACK_CONTINUATION@473.51"
"READY added","12:54|PULLBACK_CONTINUATION@473.51"
"READY added","12:55|PULLBACK_CONTINUATION@473.51"
"READY added","12:56|PULLBACK_CONTINUATION@473.51"
"READY added","12:57|PULLBACK_CONTINUATION@473.51"
"READY added","12:58|PULLBACK_CONTINUATION@473.51"
"READY added","12:59|PULLBACK_CONTINUATION@473.51"
"READY added","13:00|PULLBACK_CONTINUATION@473.51"
"READY added","15:30|STRUCTURAL_BASE|15:23|15:25"
"READY added","15:43|PULLBACK_CONTINUATION@472.82"
"READY added","15:44|PULLBACK_CONTINUATION@472.82"
"READY added","15:45|PULLBACK_CONTINUATION@472.82"
"READY added","15:46|PULLBACK_CONTINUATION@472.82"
"READY added","15:47|PULLBACK_CONTINUATION@472.82"
"READY added","15:48|PULLBACK_CONTINUATION@472.82"
"READY added","15:49|PULLBACK_CONTINUATION@472.82"
"READY added","15:52|PULLBACK_CONTINUATION@354.00"
"READY added","15:54|PULLBACK_CONTINUATION@354.00"
"READY removed","10:08|CONTINUATION@469.79"
"READY removed","10:09|CONTINUATION@469.79"
"READY removed","10:10|CONTINUATION@469.79"
"READY removed","10:11|CONTINUATION@469.79"
"READY removed","10:12|CONTINUATION@469.79"
"READY removed","10:13|CONTINUATION@469.79"
"READY removed","10:14|CONTINUATION@469.79"
"READY removed","10:15|CONTINUATION@469.79"
"READY removed","10:16|CONTINUATION@469.79"
"READY removed","12:36|STRUCTURAL_BASE|12:24|12:26"
"READY removed","12:49|CONTINUATION@473.51"
"READY removed","12:50|CONTINUATION@473.51"
"READY removed","12:51|CONTINUATION@473.51"
"READY removed","12:52|CONTINUATION@473.51"
"READY removed","12:58|CONTINUATION@473.51"
"READY removed","12:59|CONTINUATION@473.51"
"READY removed","13:02|STRUCTURAL_BASE|12:37|12:44"
"READY removed","13:03|STRUCTURAL_BASE|12:37|12:44"
"READY removed","13:04|STRUCTURAL_BASE|12:37|12:44"
"READY removed","13:05|STRUCTURAL_BASE|12:37|12:44"
"READY removed","13:06|STRUCTURAL_BASE|12:37|12:44"
"READY removed","15:43|CONTINUATION@472.82"
"READY removed","15:44|CONTINUATION@472.82"
"READY removed","15:45|CONTINUATION@472.82"
"READY removed","15:46|CONTINUATION@472.82"
"READY removed","15:47|CONTINUATION@472.82"
"READY removed","15:48|CONTINUATION@472.82"
"READY removed","15:49|CONTINUATION@472.82"
"READY removed","15:51|CONTINUATION@473.55"
"READY removed","15:52|CONTINUATION@473.55"
"READY removed","15:53|CONTINUATION@473.55"
"READY removed","15:54|CONTINUATION@473.55"
"READY removed","15:55|CONTINUATION@473.55"
"READY removed","15:56|CONTINUATION@473.55"
"READY removed","15:57|CONTINUATION@473.55"
"READY removed","15:58|CONTINUATION@473.55"
"READY removed","15:59|CONTINUATION@473.55"
"trade added","AMD|10:08|PULLBACK_CONTINUATION@469.79|-1"
"trade added","AMD|12:00|STRUCTURAL_BASE|11:48|11:56|1.65"
"trade added","AMD|12:49|PULLBACK_CONTINUATION@473.51|-1"
"trade added","AMD|15:30|STRUCTURAL_BASE|15:23|15:25|0.98"
"trade added","AMD|15:43|PULLBACK_CONTINUATION@472.82|1.57"
"trade added","TSLA|15:52|PULLBACK_CONTINUATION@354.00|-1"
"trade removed","AMD|10:08|CONTINUATION@469.79|-1"
"trade removed","AMD|12:00|STRUCTURAL_BASE|11:48|11:56|1.5"
"trade removed","AMD|12:36|STRUCTURAL_BASE|12:24|12:26|-0.79"
"trade removed","AMD|12:49|CONTINUATION@473.51|-1"
"trade removed","AMD|13:02|STRUCTURAL_BASE|12:37|12:44|-1"
"trade removed","AMD|15:43|CONTINUATION@472.82|1.4"
"trade removed","AMD|15:51|CONTINUATION@473.55|0.94"
