symbol,date,set,type,setupId,readyTime,entryTime,entryPrice,stop,t1,exitTime,exitReason,mfeR,maeR,R,minutesHeld,quality
"AMD","2026-08-31","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@468.41","12:59","13:00",469.29,468.33,471.12,"13:15","stop",0.34,-1.19,-1,15,"Neutral"
"AMD","2026-08-31","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@468.64","14:23","14:24",469.36,468.56,471.12,"14:26","stop",0.4,-1.01,-1,2,"Good"
"AMD","2026-08-31","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@468.55","15:51","15:52",471.46,468.43,475.81,"15:59","close",0.11,-0.5,-0.5,7,"Good"
"AMD","2026-09-01","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@454.00","10:45","10:46",456.54,453.81,459.63,"11:41","target1",1.13,-0.2,1.13,55,"Neutral"
"AMD","2026-09-01","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@458.64","11:48","11:49",461.31,458.47,466.98,"12:19","stop",0.03,-1.02,-1,30,"Good"
"AMD","2026-09-02","BLIND","REVERSAL","REVERSAL|10:30|10:10","10:34","10:35",462.14,459.79,465.94,"10:38","stop",0.03,-1.43,-1,3,"Neutral"
"AMD","2026-09-02","BLIND","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@457.88","12:10","12:11",459.09,457.77,461.6,"12:27","stop",0.27,-1.39,-1,16,"Good"
"AMD","2026-09-02","BLIND","STRUCTURAL_BASE","STRUCTURAL_BASE|12:08|12:10","12:14","12:15",459.45,458.02,461.6,"12:23","stop",0,-1.1,-1,8,"Good"
"AMD","2026-09-03","BLIND","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@450.00","11:00","11:01",455.17,449.76,463.1,"12:30","time",0.85,-0.16,0.55,89,"Good"
"AMD","2026-09-03","BLIND","STRUCTURAL_BASE","STRUCTURAL_BASE|13:15|13:19","13:25","13:26",458.2,457.04,459.63,"14:18","stop",0.65,-1.09,-1,52,"Good"
"AMD","2026-09-03","BLIND","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION|13:38|13:30","13:46","13:47",457.94,457.28,458.99,"14:16","stop",1.53,-1.3,-1,29,"Good"
"AMD","2026-09-04","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@469.79","10:08","10:09",472.27,469.5,475.31,"10:20","stop",0.59,-1.19,-1,11,"Good"
"AMD","2026-09-04","DEV","STRUCTURAL_BASE","STRUCTURAL_BASE|11:03|11:07","11:12","11:13",471.88,470.15,473.91,"11:18","stop",0,-1.03,-1,5,"Good"
"AMD","2026-09-04","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION|11:48|11:42","11:55","11:56",470.14,468.99,471.88,"12:07","target1",1.91,-0.03,1.51,11,"Good"
"AMD","2026-09-04","DEV","STRUCTURAL_BASE","STRUCTURAL_BASE|11:48|11:56","12:00","12:01",470.85,469,473.91,"12:10","target1",1.69,-0.12,1.65,9,"Good"
"AMD","2026-09-04","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@473.51","12:49","12:50",476.24,473.4,479.89,"13:21","stop",0.34,-1.01,-1,31,"Strong"
"AMD","2026-09-04","DEV","STRUCTURAL_BASE","STRUCTURAL_BASE|15:23|15:25","15:30","15:31",472.3,471.48,473.1,"15:35","target1",1.4,-0.05,0.98,4,"Good"
"AMD","2026-09-04","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@472.82","15:43","15:44",473.81,472.71,475.55,"15:51","target1",2.11,-0.24,1.57,7,"Strong"
"NVDA","2026-08-26","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@210.85","15:00","15:01",211.19,210.82,211.76,"15:21","stop",0.4,-1.03,-1,20,"Good"
"NVDA","2026-08-26","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@210.90","15:06","15:07",211.28,210.86,212.7,"15:21","stop",0.12,-1.12,-1,14,"Good"
"NVDA","2026-08-27","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@224.25","10:18","10:19",225.95,224.06,229.73,"10:38","stop",0.24,-1.12,-1,19,"Good"
"NVDA","2026-08-27","DEV","STRUCTURAL_BASE","STRUCTURAL_BASE|11:21|11:22","11:32","11:33",226.11,225.16,227.31,"11:37","stop",0.16,-1.03,-1,4,"Good"
"NVDA","2026-08-27","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@226.54","12:10","12:11",227.64,226.46,229.55,"12:37","target1",1.65,-0.32,1.62,26,"Strong"
"NVDA","2026-08-27","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@227.26","12:23","12:24",228.22,227.19,229.62,"12:39","target1",1.5,-0.49,1.36,15,"Strong"
"NVDA","2026-08-27","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@229.71","13:23","13:24",230.18,229.68,230.61,"13:27","stop",0.58,-1.64,-1,3,"Strong"
"NVDA","2026-08-27","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@225.81","15:18","15:19",226.69,225.72,228.81,"15:52","target1",2.31,-0.27,2.19,33,"Strong"
"NVDA","2026-08-27","DEV","STRUCTURAL_BASE","STRUCTURAL_BASE|15:25|15:27","15:31","15:32",227.63,226.77,228.81,"15:52","target1",1.5,-0.15,1.36,20,"Good"
"NVDA","2026-08-27","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@228.18","15:51","15:52",228.56,228.12,229.48,"15:55","stop",0.93,-1.99,-1,3,"Strong"
"NVDA","2026-08-28","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@225.32","10:52","10:53",226.34,225.24,229.26,"11:06","stop",0.52,-1.01,-1,13,"Good"
"NVDA","2026-08-31","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@219.27","10:20","10:21",220.26,219.17,222.44,"11:11","stop",0.31,-1,-1,50,"Good"
"NVDA","2026-08-31","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@219.71","10:35","10:36",220.37,219.63,221.85,"10:51","stop",0.31,-1.2,-1,15,"Strong"
"NVDA","2026-08-31","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@219.85","12:58","12:59",220.08,219.82,220.54,"13:06","stop",0.69,-1.04,-1,7,"Strong"
"NVDA","2026-08-31","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@218.58","15:13","15:14",218.96,218.54,219.44,"15:23","target1",1.22,-0.49,1.17,9,"Good"
"NVDA","2026-08-31","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@219.59","15:39","15:40",219.79,219.55,220.26,"15:48","stop",1,-1,-1,8,"Strong"
"NVDA","2026-09-01","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@218.70","11:38","11:39",219.41,218.65,220.45,"13:07","stop",1.3,-1.14,-1,88,"Strong"
"NVDA","2026-09-01","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@219.19","11:46","11:47",219.66,219.14,220.39,"11:54","target1",1.44,-0.08,1.4,7,"Strong"
"NVDA","2026-09-01","DEV","REVERSAL","REVERSAL|11:42|11:31","11:57","11:58",220.06,219.14,221.54,"12:21","stop",0.29,-1.04,-1,23,"Strong"
"NVDA","2026-09-01","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@216.53","15:06","15:07",217.56,216.48,219.45,"15:59","close",0.32,-0.85,-0.02,52,"Good"
"NVDA","2026-09-01","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@217.28","15:09","15:10",217.69,217.23,218.28,"15:31","stop",0.46,-1.02,-1,21,"Good"
"NVDA","2026-09-01","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@217.63","15:19","15:20",217.86,217.59,218.28,"15:20","stop",0,-1,-1,0,"Good"
"NVDA","2026-09-02","BLIND","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@219.63","10:01","10:02",221.7,219.52,225.64,"11:09","target1",1.99,-0.22,1.81,67,"Good"
"NVDA","2026-09-02","BLIND","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@223.47","11:09","11:10",226.03,223.38,229.95,"12:39","time",0.73,-0.1,0.26,89,"Strong"
"NVDA","2026-09-02","BLIND","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@224.52","14:24","14:25",225.18,224.46,226.89,"14:52","stop",0.23,-1.15,-1,27,"Strong"
"NVDA","2026-09-03","BLIND","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@226.78","11:27","11:28",227.65,226.72,228.68,"12:57","time",0.48,-0.83,-0.41,89,"Good"
"NVDA","2026-09-03","BLIND","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION|14:44|14:40","14:49","14:50",229.84,229.52,230.27,"14:53","stop",0.14,-1.19,-1,3,"Good"
"NVDA","2026-09-04","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@229.94","15:50","15:51",230.55,229.89,231.17,"15:59","close",0.82,-0.59,-0.31,8,"Neutral"
"TSLA","2026-08-26","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@344.44","13:07","13:08",345.83,344.37,347.01,"14:37","time",0.75,-0.95,-0.23,89,"Neutral"
"TSLA","2026-08-26","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@344.74","13:20","13:21",346.46,344.66,349.4,"14:13","stop",0.26,-1,-1,52,"Good"
"TSLA","2026-08-26","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@346.37","13:41","13:42",346.81,346.3,349.4,"13:47","stop",0.07,-1.06,-1,5,"Good"
"TSLA","2026-08-26","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION|13:35|13:30","13:40","13:41",346.77,346.3,349.4,"13:47","stop",0.17,-1.06,-1,6,"Good"
"TSLA","2026-08-26","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@345.34","14:42","14:43",345.88,345.28,346.84,"15:01","target1",1.71,-0.49,1.6,18,"Neutral"
"TSLA","2026-08-26","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@345.90","15:00","15:01",346.78,345.84,347.23,"15:02","target1",0.49,-0.19,0.48,1,"Good"
"TSLA","2026-08-26","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION@346.02","15:03","15:04",347.25,345.95,349.4,"15:14","stop",0.15,-1.25,-1,10,"Good"
"TSLA","2026-08-27","DEV","PULLBACK_CONTINUATION","PULLBACK_CONTINUATION|11:07|11:00","11:11","11:12",353.13,351.85,354.93,"11:36","stop",0.2,-1.27,-1,24,"Strong"
