symbol,date,time,open,high,low,close,volume
ABNB,2026-09-02,09:30,183.28,183.28,182.01,182.035,54834
ABNB,2026-09-02,09:31,182.01,182.73,182,182.365,11673
ABNB,2026-09-02,09:32,182.98,183.135,182.53,183.135,7629
ABNB,2026-09-02,09:33,182.98,183.06,182.8,183.06,4412
ABNB,2026-09-02,09:34,183.06,183.07,182.22,182.38,12448
ABNB,2026-09-02,09:35,182.24,182.24,181.36,181.4975,14317
ABNB,2026-09-02,09:36,181.465,181.4699,181.06,181.4699,7430
ABNB,2026-09-02,09:37,181.08,181.255,180.2554,180.29,11083
ABNB,2026-09-02,09:38,180.25,180.6002,180.16,180.445,4922
ABNB,2026-09-02,09:39,180.5,180.685,180.26,180.465,3389
ABNB,2026-09-02,09:40,180.4279,180.86,180.25,180.79,8903
ABNB,2026-09-02,09:41,180.9,181.05,180.51,180.655,5269
ABNB,2026-09-02,09:42,180.78,180.97,180.78,180.96,2586
ABNB,2026-09-02,09:43,181.02,181.24,181.02,181.24,1966
ABNB,2026-09-02,09:44,181.16,181.16,180.85,180.85,3057
ABNB,2026-09-02,09:45,180.905,181.26,180.8735,181.175,5958
ABNB,2026-09-02,09:46,181.185,181.6382,181.05,181.6382,6448
ABNB,2026-09-02,09:47,181.695,182.39,181.695,182.38,11364
ABNB,2026-09-02,09:48,182.22,182.505,182.22,182.505,5451
ABNB,2026-09-02,09:49,182.38,182.54,182.12,182.13,9408
ABNB,2026-09-02,09:50,182.08,182.5581,182,182.5581,12816
ABNB,2026-09-02,09:51,182.5967,182.8,182.49,182.49,23087
ABNB,2026-09-02,09:52,182.49,182.66,182.49,182.55,3523
ABNB,2026-09-02,09:53,182.45,182.63,182.38,182.51,6929
ABNB,2026-09-02,09:54,182.51,182.51,182.51,182.51,0
ABNB,2026-09-02,09:55,182.65,182.65,182.49,182.64,3004
ABNB,2026-09-02,09:56,182.645,183.085,182.645,183.085,7729
ABNB,2026-09-02,09:57,182.95,183.1044,182.64,182.69,6767
ABNB,2026-09-02,09:58,182.7,182.7,182,182,6439
ABNB,2026-09-02,09:59,182.05,182.05,181.73,181.75,14295
ABNB,2026-09-02,10:00,181.81,181.81,181.04,181.15,7065
ABNB,2026-09-02,10:01,181.16,181.45,181.16,181.22,5643
ABNB,2026-09-02,10:02,180.9,181.15,180.76,181.15,6966
ABNB,2026-09-02,10:03,181.4,181.405,181.4,181.405,2385
ABNB,2026-09-02,10:04,181.405,181.425,181.22,181.355,7609
ABNB,2026-09-02,10:05,181.24,181.24,181.03,181.05,2408
ABNB,2026-09-02,10:06,180.965,181.1595,180.965,181.015,1981
ABNB,2026-09-02,10:07,180.9,180.9,180.79,180.79,1940
ABNB,2026-09-02,10:08,180.75,180.81,180.61,180.765,6529
ABNB,2026-09-02,10:09,180.775,180.775,180.65,180.6501,2487
ABNB,2026-09-02,10:10,180.66,181.0645,180.29,180.39,30212
ABNB,2026-09-02,10:11,180.35,180.54,180.18,180.54,27045
ABNB,2026-09-02,10:12,180.72,180.78,180.26,180.3,8652
ABNB,2026-09-02,10:13,180.385,180.6395,180.385,180.58,2648
ABNB,2026-09-02,10:14,180.57,181.355,180.57,181.05,22284
ABNB,2026-09-02,10:15,180.99,181.27,180.98,181.02,10292
ABNB,2026-09-02,10:16,181.09,181.11,180.65,180.71,8107
ABNB,2026-09-02,10:17,180.849,180.849,180.56,180.625,5103
ABNB,2026-09-02,10:18,180.56,180.6,180.24,180.36,21574
ABNB,2026-09-02,10:19,180.24,180.48,180.24,180.31,6433
ABNB,2026-09-02,10:20,180.35,180.445,180.315,180.445,5369
ABNB,2026-09-02,10:21,180.46,180.71,180.45,180.71,5210
ABNB,2026-09-02,10:22,180.68,180.85,180.63,180.85,8302
ABNB,2026-09-02,10:23,180.85,180.98,180.8,180.98,3866
ABNB,2026-09-02,10:24,181.045,181.13,181,181.12,5992
ABNB,2026-09-02,10:25,181.05,181.175,180.96,181.145,29181
ABNB,2026-09-02,10:26,181.03,181.155,181.03,181.155,3196
ABNB,2026-09-02,10:27,181.155,181.155,181.05,181.1,4353
ABNB,2026-09-02,10:28,181.1,181.38,181.1,181.3787,13452
ABNB,2026-09-02,10:29,181.38,181.39,181.32,181.32,3619
ABNB,2026-09-02,10:30,181.33,181.425,181.33,181.35,4964
ABNB,2026-09-02,10:31,181.33,181.34,181,181,4336
ABNB,2026-09-02,10:32,181.015,181.02,180.76,180.77,9451
ABNB,2026-09-02,10:33,180.76,180.83,180.6,180.83,7643
ABNB,2026-09-02,10:34,180.8,180.84,180.71,180.75,5903
ABNB,2026-09-02,10:35,180.869,180.93,180.81,180.83,7121
ABNB,2026-09-02,10:36,180.835,181.25,180.835,181.2,13170
ABNB,2026-09-02,10:37,181.175,181.18,180.83,181.11,14620
ABNB,2026-09-02,10:38,181.07,181.1,180.91,180.91,2572
ABNB,2026-09-02,10:39,180.9825,181.03,180.93,181,4014
ABNB,2026-09-02,10:40,180.96,181.3958,180.91,181.3958,10990
ABNB,2026-09-02,10:41,181.28,181.4,181.14,181.175,6691
ABNB,2026-09-02,10:42,181.175,181.41,181.175,181.41,5387
ABNB,2026-09-02,10:43,181.43,181.49,181.26,181.49,5636
ABNB,2026-09-02,10:44,181.5284,181.5284,181.36,181.36,2720
ABNB,2026-09-02,10:45,181.34,181.34,181.26,181.26,3934
ABNB,2026-09-02,10:46,181.24,181.4,181.19,181.4,8773
ABNB,2026-09-02,10:47,181.325,181.385,181.325,181.325,4385
ABNB,2026-09-02,10:48,181.33,181.51,181.33,181.51,4471
ABNB,2026-09-02,10:49,181.51,181.63,181.51,181.63,2620
ABNB,2026-09-02,10:50,181.58,181.58,181.48,181.485,3668
ABNB,2026-09-02,10:51,181.435,181.435,181.3,181.3,2061
ABNB,2026-09-02,10:52,181.405,181.405,181.31,181.31,1411
ABNB,2026-09-02,10:53,181.3,181.3,181.11,181.145,5699
ABNB,2026-09-02,10:54,181.19,181.56,181.105,181.47,9458
ABNB,2026-09-02,10:55,181.39,181.39,181.39,181.39,2014
ABNB,2026-09-02,10:56,181.21,181.26,181.2,181.26,1643
ABNB,2026-09-02,10:57,181.195,181.245,181.195,181.235,3260
ABNB,2026-09-02,10:58,181.27,181.338,181.09,181.1,6107
ABNB,2026-09-02,10:59,181.29,181.35,181.215,181.28,2983
ABNB,2026-09-02,11:00,181.23,181.35,181.23,181.325,6770
ABNB,2026-09-02,11:01,181.41,181.42,181.32,181.375,5624
ABNB,2026-09-02,11:02,181.32,181.37,181.22,181.22,3796
ABNB,2026-09-02,11:03,181.27,181.34,181.27,181.34,14720
ABNB,2026-09-02,11:04,181.42,181.43,181.26,181.27,2699
ABNB,2026-09-02,11:05,181.27,181.275,181.255,181.275,3454
ABNB,2026-09-02,11:06,181.29,181.4,181.29,181.355,6302
ABNB,2026-09-02,11:07,181.34,181.34,181.26,181.31,2481
ABNB,2026-09-02,11:08,181.31,181.31,181.25,181.3,3588
ABNB,2026-09-02,11:09,181.43,181.53,181.43,181.46,4510
ABNB,2026-09-02,11:10,181.345,181.345,181.28,181.3,2276
ABNB,2026-09-02,11:11,181.2,181.42,181.2,181.42,2303
ABNB,2026-09-02,11:12,181.448,181.448,181.27,181.27,3663
ABNB,2026-09-02,11:13,181.27,181.31,181.26,181.26,1515
ABNB,2026-09-02,11:14,181.21,181.21,181.105,181.1743,6135
ABNB,2026-09-02,11:15,181.13,181.13,180.82,180.9,3658
ABNB,2026-09-02,11:16,180.915,180.98,180.83,180.98,4226
ABNB,2026-09-02,11:17,180.97,181.1,180.9,180.9,10060
ABNB,2026-09-02,11:18,181.01,181.13,180.99,181.13,2280
ABNB,2026-09-02,11:19,181.04,181.14,180.99,181.09,2484
ABNB,2026-09-02,11:20,181.1,181.28,181.1,181.28,5763
ABNB,2026-09-02,11:21,181.3,181.44,181.3,181.44,3489
ABNB,2026-09-02,11:22,181.35,181.365,181.35,181.365,6375
ABNB,2026-09-02,11:23,181.36,181.36,181.36,181.36,2999
ABNB,2026-09-02,11:24,181.28,181.285,181.2,181.2,4281
ABNB,2026-09-02,11:25,181.329,181.38,181.329,181.37,2472
ABNB,2026-09-02,11:26,181.32,181.34,181.31,181.31,3943
ABNB,2026-09-02,11:27,181.31,181.68,181.26,181.68,33474
ABNB,2026-09-02,11:28,181.51,181.7,181.51,181.635,2914
ABNB,2026-09-02,11:29,181.74,181.9,181.74,181.9,3132
ABNB,2026-09-02,11:30,181.895,181.92,181.67,181.67,6527
ABNB,2026-09-02,11:31,181.57,181.87,181.57,181.725,21465
ABNB,2026-09-02,11:32,181.75,182.0073,181.71,181.885,7821
ABNB,2026-09-02,11:33,181.89,181.9,181.78,181.89,12373
ABNB,2026-09-02,11:34,181.895,181.95,181.84,181.84,2627
ABNB,2026-09-02,11:35,181.985,182.038,181.915,181.96,8372
ABNB,2026-09-02,11:36,182.05,182.37,182.03,182.36,9377
ABNB,2026-09-02,11:37,182.25,182.25,181.97,182.01,6161
ABNB,2026-09-02,11:38,181.77,181.845,181.77,181.79,1105
ABNB,2026-09-02,11:39,181.85,181.855,181.8,181.8,3123
ABNB,2026-09-02,11:40,181.83,181.89,181.8,181.89,2184
ABNB,2026-09-02,11:41,181.85,182.1615,181.78,182.1615,5032
ABNB,2026-09-02,11:42,182.13,182.13,182.025,182.025,1774
ABNB,2026-09-02,11:43,181.98,181.98,181.96,181.97,2369
ABNB,2026-09-02,11:44,182.02,182.02,181.86,181.945,3212
ABNB,2026-09-02,11:45,181.86,181.9098,181.78,181.85,3559
ABNB,2026-09-02,11:46,181.72,181.795,181.69,181.795,4251
ABNB,2026-09-02,11:47,181.88,181.88,181.825,181.825,5618
ABNB,2026-09-02,11:48,181.825,181.88,181.78,181.81,4688
ABNB,2026-09-02,11:49,181.977,181.99,181.977,181.98,2004
ABNB,2026-09-02,11:50,181.99,182.14,181.96,182.12,7112
ABNB,2026-09-02,11:51,182.23,182.27,182.23,182.27,5710
ABNB,2026-09-02,11:52,182.19,182.22,182.16,182.22,3644
ABNB,2026-09-02,11:53,182.16,182.16,182.0513,182.0513,3894
ABNB,2026-09-02,11:54,182.175,182.4,182.175,182.4,10443
ABNB,2026-09-02,11:55,182.36,182.41,182.29,182.295,10078
ABNB,2026-09-02,11:56,182.24,182.35,182.24,182.35,2915
ABNB,2026-09-02,11:57,182.31,182.435,182.25,182.435,3086
ABNB,2026-09-02,11:58,182.489,182.58,182.489,182.58,2576
ABNB,2026-09-02,11:59,182.59,182.685,182.56,182.66,5682
ABNB,2026-09-02,12:00,182.66,182.7,182.48,182.7,14546
ABNB,2026-09-02,12:01,182.66,182.74,182.5,182.62,10946
ABNB,2026-09-02,12:02,182.63,182.69,182.61,182.615,3431
ABNB,2026-09-02,12:03,182.595,182.595,182.51,182.51,231
ABNB,2026-09-02,12:04,182.51,182.595,182.49,182.53,1946
ABNB,2026-09-02,12:05,182.61,182.69,182.56,182.625,2178
ABNB,2026-09-02,12:06,182.635,182.635,182.49,182.49,4966
ABNB,2026-09-02,12:07,182.46,182.48,182.46,182.48,1303
ABNB,2026-09-02,12:08,182.48,182.54,182.475,182.54,2227
ABNB,2026-09-02,12:09,182.58,182.64,182.57,182.57,2906
ABNB,2026-09-02,12:10,182.6114,182.6114,182.6114,182.6114,1192
ABNB,2026-09-02,12:11,182.595,182.61,182.57,182.585,3826
ABNB,2026-09-02,12:12,182.63,182.63,182.56,182.605,2077
ABNB,2026-09-02,12:13,182.57,182.6,182.55,182.55,1848
ABNB,2026-09-02,12:14,182.625,182.635,182.57,182.635,1130
ABNB,2026-09-02,12:15,182.635,182.635,182.59,182.59,1362
ABNB,2026-09-02,12:16,182.59,182.805,182.58,182.7417,9081
ABNB,2026-09-02,12:17,182.75,182.855,182.75,182.855,2061
ABNB,2026-09-02,12:18,182.85,182.87,182.56,182.69,5659
ABNB,2026-09-02,12:19,182.58,182.6,182.58,182.59,2571
ABNB,2026-09-02,12:20,182.57,182.625,182.57,182.625,1233
ABNB,2026-09-02,12:21,182.59,182.76,182.58,182.72,5310
ABNB,2026-09-02,12:22,182.8575,182.92,182.8575,182.92,2392
ABNB,2026-09-02,12:23,182.855,182.855,182.81,182.81,1296
ABNB,2026-09-02,12:24,182.77,182.78,182.76,182.76,1630
ABNB,2026-09-02,12:25,182.815,182.815,182.75,182.75,3115
ABNB,2026-09-02,12:26,182.73,182.73,182.625,182.625,3146
ABNB,2026-09-02,12:27,182.7,182.72,182.5735,182.72,4365
ABNB,2026-09-02,12:28,182.7999,182.7999,182.68,182.68,2172
ABNB,2026-09-02,12:29,182.7,182.7,182.64,182.64,799
ABNB,2026-09-02,12:30,182.71,182.71,182.61,182.65,3507
ABNB,2026-09-02,12:31,182.67,182.7,182.66,182.66,1924
ABNB,2026-09-02,12:32,182.715,182.75,182.57,182.57,6143
ABNB,2026-09-02,12:33,182.55,182.57,182.55,182.57,1092
ABNB,2026-09-02,12:34,182.53,182.54,182.53,182.54,1500
ABNB,2026-09-02,12:35,182.58,182.68,182.58,182.59,6991
ABNB,2026-09-02,12:36,182.59,182.59,182.59,182.59,0
